	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_ASW1	CMCP6_YJ016ref_ASW2
VV1_RS08970	3273	3468	982	628
VV1_RS08980	6502	2571	450	411
VV1_RS08990	549	629	277	315
VV1_RS08995	6162	2254	1188	464
VV1_RS09015	6136	6388	4488	2615
VV1_RS09025	1772	1273	931	838
VV1_RS09045	9887	13544	1859	2289
VV1_RS09055	836	475	204	190
VV1_RS09060	10014	2115	1108	1235
VV1_RS09095	6399	2150	1931	1476
VV1_RS09100	4688	4014	15491	11485
VV1_RS09105	88004	61144	333533	307209
VV1_RS09110	31717	61925	61451	49664
VV1_RS09135	3905	9998	2605	1917
VV1_RS09140	2222	1760	7859	2240
VV1_RS09145	1102	783	1869	978
VV1_RS09235	7102	7782	10545	9297
VV1_RS09250	10599	14687	28686	14669
VV1_RS09255	27341	37358	57704	37639
VV1_RS09260	2293	5276	6762	4913
VV1_RS09265	2454	5032	9960	7912
VV1_RS09270	4992	11963	27568	25117
VV1_RS09285	1151	2967	824	658
VV1_RS09290	648	1106	911	629
VV1_RS09295	292	596	467	359
VV1_RS09310	874	1078	1100	697
VV1_RS09325	425	606	889	470
VV1_RS09330	2796	1558	562	1030
VV1_RS09335	304	444	257	284
VV1_RS09340	478	1705	21610	13820
VV1_RS09345	1958	3253	1720	1212
VV1_RS09365	12219	13838	69495	48412
VV1_RS09380	4242	1841	1643	1942
VV1_RS09385	7138	2567	1878	3415
VV1_RS09390	63	229	91	68
VV1_RS09410	3651	2010	2143	1988
VV1_RS09420	1575	1728	1586	1359
VV1_RS09435	1567	8483	771	626
VV1_RS09440	2307	1192	253	282
VV1_RS09455	2758	1350	401	490
VV1_RS09460	61845	9855	1371	2184
VV1_RS09465	7157	4350	128349	102936
VV1_RS09500	292	142	173	208
VV1_RS09505	1182	1146	2783	3373
VV1_RS09510	339	772	879	699
VV1_RS09515	226	202	311	216
VV1_RS09545	131	139	46	53
VV1_RS09565	707	356	75	101
VV1_RS09695	1888	1673	914	311
VV1_RS09705	8916	2061	2852	5924
VV1_RS09720	176	242	551	185
VV1_RS09725	188	574	9484	6044
VV1_RS09740	27009	19194	11869	5805
VV1_RS09745	8195	43294	206	203
VV1_RS09750	3972	13927	10519	7669
VV1_RS09760	4327	1555	765	643
VV1_RS09775	4517	2194	2564	2027
VV1_RS09785	5694	743	224	223
VV1_RS09795	4992	1937	1048	711
VV1_RS09800	3760	1717	3858	2989
VV1_RS09810	1287	963	486	313
VV1_RS09815	499	568	266	219
VV1_RS09820	1094	1374	274	341
VV1_RS09830	5148	3470	843	490
VV1_RS09835	2511	1829	390	355
VV1_RS09850	650	658	138	94
VV1_RS09855	76	280	2208	2124
VV1_RS09860	1771	3886	376934	273197
VV1_RS09865	3514	7542	441503	419885
VV1_RS09870	16245	14745	983861	842120
VV1_RS09880	117	443	693	927
VV1_RS09890	624	246	16094	14214
VV1_RS09895	251	524	782	640
VV1_RS09900	369727	25453	10250	4140
VV1_RS09905	56613	7603	3098	1931
VV1_RS09915	4556	375	23647	19798
VV1_RS09920	10943	657	36016	22110
VV1_RS09925	864	94	4007	2514
VV1_RS09930	503	96	2223	1320
VV1_RS09940	4351	3447	536	504
VV1_RS09945	7733	2403	4444	8526
VV1_RS09960	88	317	88	69
VV1_RS09975	1376	2365	1276	884
VV1_RS09980	1180	1565	2885	1058
VV1_RS09985	29566	10711	4040	3367
VV1_RS10010	1064	516	10498	5242
VV1_RS10025	6600	4414	4287	3836
VV1_RS10050	569	834	872	704
VV1_RS10060	102	116	329	267
VV1_RS10070	1780	1359	862	551
VV1_RS10080	993	932	974	749
VV1_RS10085	1290	5465	944	767
VV1_RS10090	1967	1120	1577	854
VV1_RS10095	2466	1281	669	1054
VV1_RS10100	738	1098	413	873
VV1_RS10110	895	271	503	522
VV1_RS10125	547	2409	840	846
VV1_RS10130	959	2537	832	903
VV1_RS10135	923	1684	983	819
VV1_RS10140	498	355	226	178
VV1_RS10145	546	494	353	338
VV1_RS10150	898	728	598	641
VV1_RS10165	451	729	1980	3004
VV1_RS10180	11543	12198	1921	861
VV1_RS10185	2440	3777	548	241
VV1_RS10205	3756	3327	623	655
VV1_RS10215	1424	1553	540	430
VV1_RS10230	4225	3566	1558	1445
VV1_RS10235	12949	4468	1107	1463
VV1_RS10240	267	400	302	244
VV1_RS10255	130	225	163	133
VV1_RS10265	9469	7919	32698	30547
VV1_RS10360	1407	530	378	294
VV1_RS10365	207	317	320	179
VV1_RS10370	9204	1913	1321	3083
VV1_RS10375	213	273	74	118
VV1_RS10380	959	2976	204	120
VV1_RS10390	1990	638	304	298
VV1_RS10395	2070	1702	5081	4279
VV1_RS10400	274	489	218	200
VV1_RS10405	746	2123	1917	2284
VV1_RS10410	693	967	813	385
VV1_RS10415	5715	42164	37943	33559
VV1_RS10420	432	3386	4553	6967
VV1_RS10425	31	62	19	30
VV1_RS10435	401	460	273	216
VV1_RS10445	15614	2249	934	426
VV1_RS10450	46507	8286	1002	668
VV1_RS10460	8499	880	2584	3163
VV1_RS10465	1439	468	1080	1212
VV1_RS10470	375	179	228	337
VV1_RS10480	328	951	444	419
VV1_RS10485	113	245	99	52
VV1_RS10490	639	344	55	118
VV1_RS10505	3110	3336	1239	1025
VV1_RS10520	221	283	389	531
VV1_RS10530	109	102	171	139
VV1_RS10535	1313	1756	990	1263
VV1_RS10540	402	759	680	872
VV1_RS10550	202	453	233	257
VV1_RS10555	1301	1414	294	257
VV1_RS10560	75	152	130	50
VV1_RS10570	1241	15792	42237	32375
VV1_RS10575	43410	3079	1177	862
VV1_RS10580	184	256	1535	1181
VV1_RS10610	322	7021	3266	1834
VV1_RS10625	1120	3243	14760	8604
VV1_RS10630	229	2495	3833	2076
VV1_RS10635	519	9274	1694	1318
VV1_RS10640	605	783	7973	4167
VV1_RS10650	897	1262	50150	57968
VV1_RS10665	5930	26615	5671	3963
VV1_RS10680	9693	2621	357	556
VV1_RS10685	4054	2852	554	477
VV1_RS10705	1918	5600	82	33
VV1_RS10710	1662	6340	59	68
VV1_RS10720	193	534	140	146
VV1_RS10725	9677	12752	2880	3263
VV1_RS10730	1254	1674	1388	1364
VV1_RS10735	2486	4518	17057	14370
VV1_RS10745	4029	2623	10815	11207
VV1_RS10750	1660	2051	7321	5934
VV1_RS10755	649	765	1081	1153
VV1_RS10760	407	289	4317	3870
VV1_RS10765	180	109	77	34
VV1_RS10770	1179	6392	5022	3815
VV1_RS10775	154	190	57	40
VV1_RS10780	511	228	1219	1296
VV1_RS10785	105	309	235	522
VV1_RS10790	1360	3472	280	313
VV1_RS10800	1030	1507	2463	2121
VV1_RS10825	13105	1514	311	355
VV1_RS10830	68	95	111	163
VV1_RS10835	217	1139	312	251
VV1_RS10850	828	776	332	323
VV1_RS10870	89	196	176	224
VV1_RS10875	43	94	177	145
VV1_RS10885	846	582	499	641
VV1_RS10895	1046	2325	11375	14823
VV1_RS10900	3339	7100	63837	58129
VV1_RS10910	3035	2942	840	762
VV1_RS10920	194	2418	290	158
VV1_RS10925	1354	12847	173	102
VV1_RS10930	908	12584	71	38
VV1_RS10935	291	1080	148	128
VV1_RS10955	1724	1776	565	585
VV1_RS10980	462	224	31	67
VV1_RS10985	743	199	99	124
VV1_RS10995	261	140	76	146
VV1_RS11000	200	115	51	136
VV1_RS11005	107	32	47	42
VV1_RS11010	68	51	22	20
VV1_RS11015	72	11	14	27
VV1_RS11030	60	123	94	102
VV1_RS11040	89	167	52	49
VV1_RS11045	2339	4371	7440	2657
VV1_RS11070	76	147	1841	2126
VV1_RS11100	1144	1364	226	167
VV1_RS11105	4374	4123	421	314
VV1_RS11115	163	197	1471	832
VV1_RS11130	1509	1593	474	500
VV1_RS11140	64	45	17	22
VV1_RS11145	3276	2685	424	393
VV1_RS11155	84	19	218	69
VV1_RS11160	126	202	2765	556
VV1_RS11165	1602	7508	14659	14825
VV1_RS11180	4956	1593	180	154
VV1_RS11185	1931	1772	126	88
VV1_RS11190	2764	1841	72	76
VV1_RS11200	5990	41981	2392	3815
VV1_RS11205	1325	817	624	596
VV1_RS11215	752	2848	699	552
VV1_RS11225	1451	1377	1044	617
VV1_RS11230	738	443	136	87
VV1_RS11235	210	264	60	65
VV1_RS11240	1570	3698	10414	7895
VV1_RS11245	25355	6071	2357	3161
VV1_RS11255	6321	19979	1168	1553
VV1_RS11260	171	245	443	251
VV1_RS11270	126	1686	43180	24815
VV1_RS11275	110	882	29735	13290
VV1_RS11285	154	688	881	552
VV1_RS11290	730	791	154	126
VV1_RS11295	1041	1248	1112	966
THRS	28215	11298	2613	2342
VV1_RS11320	408	702	2295	2367
VV1_RS11675	1057	2505	623	282
VV1_RS11900	1583	2097	2098	1651
VV1_RS12160	2216	2377	3255	3445
VV1_RS12210	1887	634	121	177
VV1_RS12215	2526	2452	10467	5556
VV1_RS12225	1048	14556	26776	21377
VV1_RS12230	298	2731	350	197
VV1_RS12235	248	2031	540	426
VV1_RS12255	390	303	58	68
VV1_RS12265	1932	26599	1607	2407
VV1_RS12275	519	7338	480	275
VV1_RS12285	1184	7675	820	772
VV1_RS12290	942	2622	396	131
VV1_RS12295	4443	3625	2019	1967
VV1_RS12300	4888	5665	482	613
VV1_RS12305	1319	4700	387	349
VV1_RS12310	151	371	230	83
VV1_RS12320	212	540	356	273
VV1_RS12330	3768	1522	526	518
VV1_RS12345	2626	3301	631	1371
VV1_RS12350	611	926	397	390
VV1_RS12360	1434	1965	1072	856
VV1_RS12365	152	156	80	50
VV1_RS12370	283	622	268	279
VV1_RS12395	3748	594	362	399
VV1_RS12400	3984	2736	2177	2425
POTD	2322	1760	226	237
VV1_RS12430	331	696	3986	2414
VV1_RS12435	696	1157	5896	4386
VV1_RS12440	236	550	3207	1683
VV1_RS12445	247	517	2849	1438
VV1_RS12450	15812	18627	52336	28857
VV1_RS12455	15333	22657	15244	19329
VV1_RS12460	229	460	222	173
VV1_RS12480	2271	4205	1038	764
VV1_RS12490	7551	8178	3210	2803
VV1_RS12495	5218	7353	2301	3015
VV1_RS12505	2072	3440	1567	2183
VV1_RS12510	835	3460	2313	1858
VV1_RS12515	1224	2942	31361	15625
VV1_RS12535	518	1366	313	280
VV1_RS12555	1883	5998	3803	4733
VV1_RS12575	1142	2065	471	391
VV1_RS12590	940	326	30599	22715
VV1_RS12595	7893	6048	10323	7745
VV1_RS12600	3516	4779	8995	6896
VV1_RS12610	1789	3519	10950	7370
VV1_RS12615	545	1014	739	443
VV1_RS12620	1008	3075	1309	1057
VV1_RS12630	1677	3327	1263	1152
VV1_RS12635	1197	1348	604	994
VV1_RS12645	1058	710	137	73
VV1_RS12660	263	548	125	79
VV1_RS12670	89	29	26	20
VV1_RS12675	213	133	136	68
VV1_RS12680	40	26	24	28
VV1_RS12685	975	253	2831	1434
VV1_RS12690	358	794	20535	12569
VV1_RS12695	1791	3608	30716	23224
VV1_RS12710	171	174	1759	1143
VV1_RS12720	87	96	716	568
VV1_RS12725	60	10	158	196
VV1_RS12730	743	850	486	576
VV1_RS12735	87	135	53	52
VV1_RS12750	275	93	56	121
VV1_RS12780	1756	4981	859	550
VV1_RS12785	825	1491	629	448
VV1_RS12790	1665	2940	1004	641
VV1_RS12795	655	711	1485	1716
VV1_RS12800	328	911	1298	1619
VV1_RS12815	638	1125	131	58
VV1_RS12820	119	445	86	53
VV1_RS12825	142	447	96	60
VV1_RS12830	1453	2497	861	1387
VV1_RS12835	21237	12533	5465	6777
VV1_RS12845	1042	363	223	147
VV1_RS12855	1886	1316	280	248
VV1_RS12865	148	606	54	63
VV1_RS12880	1276	732	999	734
VV1_RS12885	28411	14865	115013	106684
VV1_RS12890	1160	1025	2953	2459
VV1_RS12895	1211	1475	4146	5210
VV1_RS12900	4901	4845	22590	10639
VV1_RS12925	15632	13468	6418	7333
VV1_RS12945	20526	11559	10098	6049
VV1_RS12950	40751	12013	9544	6081
VV1_RS12960	187	1245	195	157
VV1_RS12965	173	138	93	63
VV1_RS12970	664	314	205	181
VV1_RS12975	1133	693	102	55
VV1_RS12980	294	1069	115	80
VV1_RS12985	422	848	115	185
VV1_RS12990	176	171	143	114
VV1_RS13025	362	1154	15263	4934
VV1_RS13035	649	885	7046	2559
VV1_RS13045	105	32	392	442
VV1_RS13055	464	188	180	117
VV1_RS13070	56	40	24	49
VV1_RS13080	1222	3868	1368	1255
VV1_RS13095	8648	1546	1434	2627
VV1_RS13100	1250	3389	1544	1782
VV1_RS13105	22	35	103	61
VV1_RS13110	29	55	68	63
VV1_RS13115	131	134	50	79
VV1_RS13125	49	53	75	40
VV1_RS13130	1548	7520	2877	2138
VV1_RS13150	377	526	661	500
VV1_RS13165	1271	1260	14521	10968
VV1_RS13170	2050	2517	2237	2178
VV1_RS13180	250	208	2126	1311
VV1_RS13190	213	901	5088	2932
VV1_RS13195	464	4033	18541	14882
VV1_RS13200	180	3124	14790	7917
VV1_RS13205	558	160	164	58
VV1_RS13215	691	200	143	212
VV1_RS13220	81	342	436	256
VV1_RS13245	757	11364	2134	1763
VV1_RS13250	954	1196	220	395
VV1_RS13265	107	86	43	43
VV1_RS13270	380	479	254	171
VV1_RS13275	1741	7899	827	710
VV1_RS13280	15037	7844	2332	3278
VV1_RS13285	4490	3818	1194	614
VV1_RS13305	328	2926	6006	3653
VV1_RS13320	169	69	144	37
VV1_RS13340	1971	715	876	684
VV1_RS13350	2787	3314	2769	1170
VV1_RS13355	663	846	557	557
VV1_RS13360	121	393	880	239
VV1_RS13365	1574	2282	2392	3897
VV1_RS13370	388	585	294	244
VV1_RS13380	125	219	3208	1285
VV1_RS13385	14068	5092	2311	2021
VV1_RS13390	177	483	69	62
VV1_RS13395	190	313	101	41
VV1_RS13400	23099	2016	503	708
VV1_RS13405	10920	4323	5103	4237
VV1_RS13430	2228	3199	1717	1288
VV1_RS13435	1290	927	652	454
VV1_RS13445	705	1790	559	317
VV1_RS13450	12152	24099	6718	4589
VV1_RS13455	4542	23087	10344	6927
VV1_RS13465	357	914	241	188
VV1_RS13470	7232	1605	842	700
VV1_RS13475	2980	26589	12856	8502
VV1_RS13480	261	3180	1317	811
VV1_RS13490	157	354	71	105
VV1_RS13495	583	706	471	372
VV1_RS13500	61	307	46	45
VV1_RS13505	1906	2368	1533	2278
VV1_RS13510	195	307	406	268
VV1_RS13515	153	74	30	54
VV1_RS13520	773	424	151	127
VV1_RS13525	158	435	143	125
VV1_RS13530	243	300	55	51
VV1_RS13540	5518	4429	402	439
VV1_RS13545	1271	1977	280	194
VV1_RS13555	125	151	126	100
VV1_RS13560	231	274	418	285
VV1_RS13565	1339	1308	2429	2131
VV1_RS13585	2551	2283	20211	16952
VV1_RS13590	143	280	959	704
VV1_RS13595	281	211	1339	758
VV1_RS13600	46	199	1291	969
VV1_RS13605	1026	369	172	216
VV1_RS13610	150	237	95	104
VV1_RS13615	131	222	65	129
VV1_RS13620	57	60	56	34
VV1_RS13625	115	279	137	243
VV1_RS13630	1586	1772	2871	3036
VV1_RS13635	27090	2739	26455	27260
VV1_RS13645	4044	1608	455	641
VV1_RS13655	2875	3559	6236	4427
VV1_RS13665	7692	2970	8248	21553
VV1_RS13680	15094	12799	4095	2690
VV1_RS13685	5522	2124	540	613
VV1_RS13690	2165	6345	3819	3237
VV1_RS13695	195	1021	6346	3856
VV1_RS13700	207	550	293	246
VV1_RS13705	228	620	1230	551
VV1_RS13710	71	323	513	209
VV1_RS13725	1678	1032	537	204
VV1_RS13745	294	425	3559	2766
VV1_RS13755	4463	5868	4322	3124
VV1_RS13760	1728	3437	3426	2853
VV1_RS13770	589	2393	1268	2060
VV1_RS13775	207	244	75	289
VV1_RS13780	1814	523	395	421
VV1_RS13795	524	4188	2042	737
VV1_RS13825	230	410	80	83
VV1_RS13830	506	2190	632	569
VV1_RS13840	426	341	354	214
VV1_RS13845	983	558	314	283
VV1_RS13850	3899	1679	803	1150
VV1_RS13860	3459	1944	656	655
VV1_RS13865	5651	2911	1059	950
VV1_RS13880	377	1500	365	338
VV1_RS13890	2172	2582	1100	1316
VV1_RS13905	4082	4705	922	1394
VV1_RS13910	3409	1370	3578	4987
VV1_RS13930	1230	3152	154884	159758
VV1_RS13935	481	1375	61147	51924
VV1_RS13955	1284	27232	884	707
VV1_RS13965	4055	1297	79	162
VV1_RS13975	330	421	384	261
VV1_RS13985	50884	11788	1605	1125
VV1_RS13990	458	430	426	223
VV1_RS14010	10143	15462	5956	5346
VV1_RS14025	5715	7717	41326	16500
VV1_RS14030	584	594	334	366
VV1_RS14045	397	850	12931	9270
VV1_RS14050	332	694	816	615
VV1_RS14060	775	1592	23600	20777
VV1_RS14065	358	240	91	102
VV1_RS14070	2220	971	357	513
VV1_RS14075	332	598	210	246
VV1_RS14085	937	1328	1310	805
VV1_RS14110	6778	3142	4691	3251
VV1_RS14115	1697	1929	997	1003
VV1_RS14120	873	740	1129	851
VV1_RS14125	199	1154	362	688
VV1_RS14130	9662	11745	3446	5119
VV1_RS14155	1406	3202	1238	2352
VV1_RS14160	402	775	222	274
VV1_RS14165	679	473	1184	802
VV1_RS14170	445	687	2022	1234
VV1_RS14180	6241	12060	8748	6405
VV1_RS14185	3565	16262	3688	4154
VV1_RS14190	4413	20045	25521	27766
VV1_RS14195	2223	8477	22439	28171
VV1_RS14205	12137	1700	1227	1580
VV1_RS14215	45059	47114	16463	13153
VV1_RS14220	341	339	98	54
VV1_RS14235	1632	1214	265	261
VV1_RS14240	1871	738	353	458
VV1_RS14245	462	1034	372	329
VV1_RS14260	494	580	415	463
VV1_RS14265	288	554	379	326
VV1_RS14270	350	572	380	498
VV1_RS14290	473	968	160	151
VV1_RS14295	5484	10813	1466	625
VV1_RS14300	441	412	225	231
VV1_RS14310	1160	631	205	125
VV1_RS14320	1887	3259	5371	2756
VV1_RS14325	3911	1747	703	942
VV1_RS14335	909017	5382	288	275
VV1_RS14355	230	3395	378	404
VV1_RS14360	383	7643	1611	1582
VV1_RS14365	267	3002	991	431
VV1_RS14385	160	753	90	57
VV1_RS14390	3817	4979	1896	1157
VV1_RS14400	267	847	231	173
VV1_RS14405	893	517	1566	1156
VV1_RS14420	3260	4760	2232	1852
VV1_RS14425	8881	2400	1149	1010
VV1_RS14435	301	698	2363	969
VV1_RS14440	1354	1241	704	519
VV1_RS14445	2413	2200	3075	1985
VV1_RS14495	356	955	255	289
VV1_RS14510	2313	4045	1120	850
VV1_RS14515	2851	511	155	298
VV1_RS14520	1625	1373	2893	3011
VV1_RS14525	1191	1481	2228	3672
VV1_RS14535	10615	3247	2800	3472
VV1_RS14555	4092	3702	4131	3623
VV1_RS14565	9214	1504	297	169
VV1_RS14595	2485	2330	2966	2126
VV1_RS14600	313	456	343	222
VV1_RS14610	574	1346	728	444
VV1_RS14620	11562	8836	10530	6987
VV1_RS14650	1877	3457	2474	3120
VV1_RS14660	22975	33044	3987	5310
VV1_RS14665	9590	4257	2390	2320
VV1_RS14700	445	462	366	194
VV1_RS14705	539	455	277	190
VV1_RS14710	483	583	392	372
VV1_RS14725	5939	2024	6363	5016
VV1_RS14730	161	166	53	82
VV1_RS14735	234	180	1453	884
VV1_RS14740	1573	763	721	705
VV1_RS14760	243	6588	59424	23198
VV1_RS14765	495064	63070	5211	3392
VV1_RS14770	233	673	241	171
VV1_RS14775	544	290	90	144
VV1_RS14785	17826	3576	1211	1355
VV1_RS14790	127	451	235	234
VV1_RS14795	495	1891	3753	2398
VV1_RS14800	1861	8340	8371	4737
VV1_RS14805	2881	2013	822	701
VV1_RS14815	1391	2238	1509	1054
VV1_RS14825	138	543	19	9
VV1_RS14845	1329	1874	3938	5287
VV1_RS14850	3094	7601	11449	13153
VV1_RS14855	69	100	60	24
FADH	1352	6493	5953	4086
VV1_RS14875	6405	2549	2608	2165
VV1_RS14890	1795	3144	1761	1378
VV1_RS14900	52903	23895	2643	2538
VV1_RS14905	9695	950	273	242
VV1_RS14910	831	809	226	155
VV1_RS14925	4207	10791	548	822
VV1_RS14935	4043	24112	18570	12255
VV1_RS14950	3894	844	2262	1782
VV1_RS14965	3054	2995	497	456
VV1_RS14980	756	707	585	466
VV1_RS14985	1340	563	1049	601
VV1_RS15005	6539	4514	1566	1461
VV1_RS15015	687	1289	604	497
VV1_RS15020	37	261	26	30
VV1_RS15035	2360	1413	1184	822
VV1_RS15040	5573	1996	487	322
VV1_RS15055	676	1912	365	346
VV1_RS15060	2589	452	953	1074
