	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_ASW1	CMCP6_YJ016ref_ASW2
VV1_RS02500	57	73	3619	1030
VV1_RS02505	992	1053	1737	997
VV1_RS02515	296	1083	303	318
VV1_RS02520	380	1402	444	420
VV1_RS02525	7244	8491	3143	2903
VV1_RS02535	1079	410	1617	1973
VV1_RS02545	7714	2044	2210	2410
VV1_RS02555	22845	10192	4142	7165
VV1_RS02565	6874	1660	605	690
VV1_RS02570	1090	861	330	454
VV1_RS02575	2347	1149	891	713
VV1_RS02590	81	145	97	66
VV1_RS02595	466	307	346	266
VV1_RS02600	1011	813	386	262
VV1_RS02605	9010	3593	1628	1922
VV1_RS02610	388	408	512	355
VV1_RS02625	45759	835	3148	2003
VV1_RS02630	7565	626	604	645
VV1_RS02640	22685	4088	4347	4415
VV1_RS02645	20332	4262	3324	4809
VV1_RS02670	15973	11411	4383	3499
VV1_RS02680	12380	23257	10769	11052
VV1_RS02685	1940	1328	1310	1470
VV1_RS02690	2526	1950	94	103
VV1_RS02720	678	1949	835	750
VV1_RS02730	188	533	76	64
VV1_RS02735	31	186	30	20
VV1_RS02740	144	590	117	108
VV1_RS02745	110	308	51	47
VV1_RS02760	336	517	139	90
VV1_RS02765	3810	1531	367	737
VV1_RS02790	47277	26049	49018	42270
VV1_RS02800	4905	6286	5217	5530
VV1_RS02815	704	1437	745	782
MURF	490	617	250	174
VV1_RS02840	121	347	117	95
VV1_RS02855	5202	4243	3743	3948
VV1_RS02860	9815	3617	2932	3505
VV1_RS02890	9538	7914	6435	9432
VV1_RS02895	6708	9326	6328	6987
VV1_RS02915	1915	1934	5538	4163
VV1_RS02925	5312	90230	1235	1419
VV1_RS02930	1334	914	495	396
VV1_RS02935	2228	1326	906	707
VV1_RS02940	1323	1106	460	303
VV1_RS02950	2817	1748	1783	1198
NUDF	2404	2158	653	671
VV1_RS02970	7542	5584	1934	2567
VV1_RS02975	6966	5987	2767	3026
VV1_RS02980	11574	25377	10465	10416
VV1_RS02985	1567	6708	1268	2005
VV1_RS02990	12360	5836	2665	2835
VV1_RS02995	1549	5890	5663	3726
VV1_RS03000	333	1202	451	228
VV1_RS03005	754	1033	115	187
VV1_RS03035	3206	2827	3893	4232
VV1_RS03045	465	1066	3651	1957
VV1_RS03065	17144	42373	12349	7938
VV1_RS03075	2922	4659	2320	2203
VV1_RS03080	227	329	437	344
VV1_RS03085	1732	3161	684	1131
VV1_RS03090	562	8075	12318	19710
VV1_RS03095	722	5442	5786	10157
VV1_RS03105	64934	1445	4144	5297
VV1_RS03110	16175	470	2251	4437
