"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_batch1","K12_batch2","K12_starvation1","K12_starvation2"
"1","fadE",4513.05248066254,6.56633943942998,0.0942227434382269,69.6895377890893,0,0,92.0412364456072,95.6965872229662,8955.91752498287,8908.55457399873
"2","mhpR",1262.89484222511,5.12744735935109,0.117242210525504,43.7337997668998,0,0,73.9568879357665,66.6801521413038,2420.02274984184,2490.91957898153
"3","yajO",2525.6114535903,4.51460932555323,0.0988996446404424,45.648387736543,0,0,211.074037831275,211.37800390615,5082.96444995189,4597.02932267189
"4","ybbK",1839.77505295874,5.15796518662811,0.121048387901167,42.6107714118379,0,0,95.5501398878151,103.767383735747,3845.45281651004,3314.32987170134
"5","allR",4822.09091459932,4.60653977428197,0.0958048316994671,48.0825412723687,0,0,370.054355328233,388.935527187317,8772.58246817667,9756.79130770506
"6","cstA",25675.2051136207,6.66556446181827,0.0803401658758337,82.9667749518958,0,0,489.626988012702,509.805313057288,52300.9083303887,49400.4798230241
"7","ybhL",3823.43265609149,5.49985568323137,0.0956251338599745,57.514750162702,0,0,169.237112174181,161.03160661214,7759.65627932241,7203.80562625721
"8","ycbB",5579.43751762051,5.61064269438397,0.0975432763877918,57.5195226381198,0,0,213.503278675881,232.323642475032,11403.4405333456,10468.4826159855
"9","agp",7443.03964101103,6.67384093910276,0.101358668058917,65.8438105680655,0,0,137.387065544909,149.886220951634,15441.3951595022,14043.4901180454
"10","putP",3218.36056753078,3.98675248809211,0.0935898202683864,42.5981423691097,0,0,363.306464093218,398.54361827396,6132.55765016739,5979.03453758856
"11","phoH",5196.47297137735,4.96123006037239,0.0965564353172042,51.3816613473138,0,0,339.283971296564,306.882429307384,9716.7580107286,10422.9674741769
"12","ycgB",12132.0639490262,7.87297114985933,0.096940739277316,81.2142676912883,0,0,109.045922357846,97.2338817968291,23718.9729743021,24603.0030176481
"13","dadA",3937.43066844711,6.07821252570327,0.115490642450128,52.6294805947418,0,0,102.567946772231,125.289507769827,7672.57212733947,7849.29309190691
"14","dadX",1057.18471011873,4.78394051468575,0.122951309562496,38.9092278212302,0,0,69.3683218959562,77.8255378018099,1975.4352370868,2106.10974369036
"15","acnA",4382.61364930647,3.29527776130773,0.0795995779497527,41.3981813243768,0,0,823.512646321254,796.318589260988,7883.4074426666,8027.21591897702
"16","gmr",1480.32460773844,4.5394601365561,0.11906914598174,38.1245712239529,0,0,131.179005608695,112.991151178924,2937.94428531935,2739.1839888468
"17","uspE",10938.3010850764,4.70099784934369,0.0832343734374769,56.4790441160098,0,0,813.795682942832,803.81290030857,21926.8727940215,20208.7229630329
"18","aldA",14933.3998639987,4.21629009464807,0.0963799094051669,43.7465662778682,0,0,1613.01592081803,1432.37421919677,29333.609088992,27354.6002269882
"19","ydcJ",786.573743843287,6.18428420961519,0.162761641269346,37.9959563038636,0,0,20.2436737050456,21.9064476775465,1668.34901693642,1435.79583705414
"20","ydcL",1947.04691977569,3.64180803502619,0.0929861362970743,39.165064600504,0,0,294.747889145464,282.47787794731,3648.36763044338,3562.59428156661
"21","ydcS",2761.93955799554,8.32778074534028,0.147967489885658,56.2811517028204,0,0,15.115276366434,18.4475348863549,5527.55196270693,5486.64345802244
"22","ydgD",1538.1499011203,5.0147723932815,0.122337187699956,40.9913983439012,0,0,85.0234295611914,98.1946909054935,3135.02947138602,2834.35201262848
"23","ynhG",8917.87154815936,6.41149591531325,0.107013571651865,59.9129233455644,0,0,212.153700428878,201.001265532576,18901.8443567192,16356.4868699568
"24","yniA",4683.57762966882,6.2862389536241,0.0957939034285537,65.6225368069753,0,0,112.824741449454,122.983565909033,9093.41881758752,9405.08339372926
"25","astB",1284.15455118105,8.35507252438328,0.211662950754904,39.4734765559329,0,0,5.93814428681337,9.0316056214446,2374.18898564029,2747.45946917564
"26","astA",1975.45541259962,8.83120511878209,0.189200509237844,46.676434193316,0,0,8.90721643022006,8.26295833451315,3895.86995713175,3988.78151850198
"27","astC",4095.96118621512,9.08596328812658,0.159561638498116,56.943281440632,0,0,13.765698119431,15.7572693820948,8616.7476698914,7737.57410746754
"28","yeaG",24960.7110384847,7.37815530451583,0.0910386117331068,81.0442422622391,0,0,299.336455185274,295.737043646878,52131.323402843,47116.4472522636
"29","yeaH",7771.78512818316,7.95445406279397,0.116544304200822,68.2526196139737,0,0,67.7488279995525,57.2642228763934,16165.5686338867,14796.55882797
"30","fadD",17097.9301312308,8.00533171079012,0.0849572467965232,94.2277676436866,0,0,131.179005608695,133.168142460875,33614.4826654168,34512.8907114368
"31","sdaA",2351.17779925612,6.00985282506599,0.10932000727573,54.9748666765798,0,0,71.527647091161,71.6763595063582,4821.71199400306,4439.79519642389
"32","yedP",1159.09773560981,5.52774137270947,0.126969818558255,43.5358688818895,0,0,52.3636359837179,46.1188372158873,2328.35522143874,2209.55324780089
"33","erfK",1428.69811295545,4.64874969595754,0.107932211205888,43.0710132222692,0,0,112.824741449454,106.073325596541,2818.77649839532,2677.11788638048
"34","glpQ",5711.45885634469,3.4043418909956,0.0818466863887898,41.5941321658915,0,0,962.789121411968,1006.15929859328,10702.1839410619,10174.7030643116
"35","glpT",5534.31358706662,3.42795462069735,0.0832082018877153,41.1973164054569,0,0,957.120892774555,923.145391604678,10454.6816143736,9802.3064495137
"36","glpA",5265.72930217338,6.10396029496743,0.124528129385724,49.0167187532424,0,0,139.006559441313,160.839444790407,11233.8556057999,9529.2155986619
"37","glpB",3139.92710925316,6.11714979811382,0.127145875395502,48.1112720258185,0,0,88.5323330033993,88.970923462316,6787.98047824955,5594.22470229739
"38","glpC",1840.95282283704,5.9383616168996,0.116101716617227,51.1479226140787,0,0,56.412370724727,60.9152974893179,3758.3686645271,3488.11495860703
"39","yfcY",932.98682034033,5.61776473204502,0.132132594115006,42.5161162517963,0,0,37.7881909160851,36.5107461292441,1828.76719164184,1828.88115267415
"40","mntH",2742.57372116923,4.69511035818978,0.0975125116911025,48.1487993362618,0,0,212.963447377079,194.659925415391,5394.63404652243,5168.03746536201
"41","ucpA",3893.53266711553,5.13913333792059,0.121340676282431,42.352931394241,0,0,219.981254261495,208.495576580157,8314.24482616117,6831.40901145931
"42","yfiQ",2527.59036184396,4.87716473560067,0.0930087445919961,52.4377009602211,0,0,167.077786978976,165.06700486853,4986.71354512864,4791.50311039969
"43","ygeV",1289.94616604242,6.38721362242009,0.132042571006563,48.3723815261261,0,0,30.5004683822687,30.1694060120596,2525.4404075054,2573.67438226995
"44","glcC",1020.96225640266,5.1576837690648,0.127344963564824,40.5016706172233,0,0,54.7928768283234,55.9190901242634,2094.60302401083,1878.5340346472
