	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
codA	5522	8641	22	29
cynT	15	33	4	1
cynX	21	26	1	0
lacY	32	49	13	9
lacI	299	412	119	139
mhpR	274	347	528	602
mhpB	9	26	0	1
mhpC	34	50	1	2
mhpD	29	51	1	1
mhpF	49	53	3	5
mhpE	41	62	6	5
mhpT	48	91	16	22
frmA	548	831	28	27
yaiO	28	31	42	39
yaiP	34	33	12	12
tauA	25	45	2	3
tauB	20	37	0	1
tauD	37	48	7	2
hemB	1667	2225	19	5
yaiV	12	22	0	1
ampH	347	465	9	17
sbmA	340	434	33	60
yaiW	453	647	33	42
ddlA	1017	1537	87	73
phoA	279	335	17	17
yaiC	35	43	7	19
proC	258	322	11	13
aroM	219	340	14	22
rdgC	1598	1972	19	26
mak	351	519	107	117
araJ	114	187	24	18
sbcD	211	329	7	9
phoB	194	254	18	16
phoR	177	215	6	9
brnQ	479	788	275	315
proY	402	570	14	26
malZ	394	561	17	15
queA	445	599	2	2
tgt	4179	5237	47	36
secD	7401	10960	118	127
secF	3362	5028	181	193
tsx	3753	5406	125	110
ribD	785	1175	37	58
thiL	430	629	6	9
yajO	782	1100	1109	1111
dxs	1757	2499	38	52
ispA	789	1030	12	16
thiI	1128	1691	34	45
panE	549	828	118	127
yajR	330	492	10	14
cyoE	6888	10920	147	162
cyoC	5256	7663	61	89
cyoB	24764	36234	252	262
cyoA	16037	24158	193	201
ampG	436	533	2	1
tig	28748	44907	190	208
clpP	3436	4697	243	282
clpX	6742	10769	1280	1398
lon	9078	14444	231	259
ppiD	7020	9927	148	184
queC	1058	1534	28	16
ybaE	94	142	70	82
cof	180	248	36	36
mdlA	268	347	18	19
mdlB	179	256	2	5
amtB	282	422	11	10
tesB	269	493	20	20
ylaB	268	325	57	82
acrB	7739	11652	176	241
acrA	5865	7728	73	80
acrR	578	706	17	25
kefA	1775	2629	30	36
dnaX	1618	2125	33	35
recR	1179	1771	31	38
htpG	6943	11246	309	354
adk	7421	9786	27	36
hemH	249	358	101	117
aes	55	84	24	20
gsk	1048	1342	12	6
ybaL	877	1311	149	144
fsr	176	228	8	8
ushA	1642	2344	193	190
ybaP	217	302	8	5
copA	778	1136	89	114
ybaS	73	97	22	34
ybaT	55	99	20	28
ybbK	354	540	839	801
ybbL	374	490	11	9
ybbM	272	373	10	13
ybbN	1815	2776	53	62
ybbO	298	394	11	13
tesA	324	397	34	40
ybbA	129	227	34	27
ybbP	289	484	27	23
ybbB	169	254	11	9
ybbS	12	18	0	1
allR	1371	2024	1914	2358
gcl	52	66	36	37
hyi	10	27	4	3
glxR	20	29	3	1
ybbW	4	8	14	11
allB	51	65	23	37
ybbY	27	28	6	4
glxK	63	96	10	12
ylbA	289	377	2	6
allC	124	177	6	8
allD	14	16	1	1
ylbE	21	33	2	1
ylbF	13	22	1	1
ybcF	49	75	2	4
purK	2096	3142	3	10
lpxH	718	1101	5	4
cysS	2250	3237	33	35
folD	844	1037	22	15
sfmC	5	10	0	0
sfmH	8	10	2	0
fimZ	8	13	2	0
envY	38	64	3	1
ybcH	44	69	5	3
nfrB	135	131	25	21
cusR	107	184	4	9
cusC	1334	1128	6	8
cusB	18	37	3	0
cusA	53	95	5	9
pheP	392	720	7	10
ybdG	692	1035	17	21
nfnB	1125	1555	12	19
ybdK	57	74	349	332
fepA	2018	2915	30	34
fepC	205	252	2	1
fepG	96	149	3	6
fepD	60	91	8	14
ybdA	242	395	4	8
fepB	242	319	6	13
entC	621	906	13	22
entE	782	1270	32	33
entB	676	1051	18	22
entA	443	633	12	22
cstA	1814	2653	11411	11939
ybdH	631	956	205	230
ybdL	427	641	5	16
ibrB	70	89	3	3
ibrA	35	32	2	3
ybdO	20	32	5	1
dsbG	308	347	26	28
ahpF	3667	5373	73	87
