	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2
yedJ	342	194	17	7
hchA	471	301	410	440
yedW	449	244	9	15
yedZ	101	53	20	24
yodA	10386	6150	18	28
yeeI	4484	1987	250	225
shiA	1179	650	30	31
amn	834	544	26	23
yeeN	2534	1463	10	16
yeeO	175	89	41	41
cbl	994	487	13	13
nac	80	47	14	18
erfK	619	376	615	647
cobS	611	361	24	22
yeeA	460	301	47	45
dacD	344	185	20	19
yeeE	8398	3515	51	41
yeeF	2706	1689	16	23
yeeY	220	127	199	206
yeeZ	1094	628	443	465
hisG	1154	713	16	20
hisD	849	539	19	23
hisC	754	462	14	22
hisB	1546	901	20	35
hisA	1077	605	16	18
hisF	934	502	17	17
ugd	310	152	23	39
gnd	19067	11233	455	451
galF	6011	3471	202	227
wcaL	43	25	3	2
wcaK	37	16	0	2
wzxC	25	16	1	1
wcaJ	25	14	0	1
cpsG	33	17	1	2
cpsB	46	24	2	1
fcl	28	14	0	0
gmd	39	29	0	0
wcaE	8	7	0	0
wcaD	26	22	6	2
wcaC	53	25	1	2
wcaA	13	10	1	1
wzc	35	17	2	0
wza	9	5	0	2
yegH	504	280	130	149
asmA	2246	1130	63	72
udk	400	254	2	6
yegL	39	12	0	3
mdtA	84	65	12	6
mdtB	217	118	11	11
mdtC	219	108	7	12
baeS	117	74	5	9
baeR	194	150	15	18
yegQ	526	347	13	20
yegS	312	192	60	61
gatD	9551	3966	59	77
gatZ	138739	53535	5940	6121
gatY	115782	47113	7189	6833
fbaB	5305	2643	482	563
yegT	142	86	6	2
yegU	194	87	4	3
yegV	163	79	2	5
yegW	177	99	9	14
yegX	260	118	4	8
thiD	946	509	17	14
thiM	1852	1001	19	12
rncA	57	37	2	3
yehA	27	14	2	5
yehC	0	2	0	0
mrp	3604	2192	122	133
metG	2279	1443	25	27
yehL	8	4	0	0
yehP	21	11	3	4
yehT	654	306	9	14
yehU	1355	572	34	40
mlrA	227	135	19	32
yehW	107	43	6	3
yehX	157	82	10	9
yehY	179	91	8	6
yehZ	442	225	86	105
bglX	1998	1079	56	64
dld	5011	2635	85	115
pbpG	651	356	17	14
yohF	213	126	129	156
dusC	159	90	4	6
yohK	66	49	34	59
cdd	330	180	79	91
sanA	160	92	5	5
yeiT	268	127	20	32
yeiA	402	168	37	40
mglC	5006	1878	24	44
mglA	12035	4298	48	68
mglB	36197	15214	333	334
galS	1067	394	23	35
yeiB	326	200	3	7
folE	1440	940	6	6
frmC	2069	1247	38	56
cirA	2542	1330	30	37
lysP	2934	1836	105	109
yeiE	409	277	115	101
yeiH	164	109	34	42
nfo	650	419	11	13
yeiJ	31	32	5	4
rihB	21	7	4	3
yeiL	54	24	4	9
yeiC	213	68	2	0
fruA	1670	914	321	321
fruK	781	408	94	111
fruB	703	419	52	61
setB	46	24	0	3
yeiQ	493	279	64	64
yeiR	248	145	0	1
yeiU	160	103	2	1
rtn	556	343	16	20
yejB	114	71	2	4
yejE	161	112	3	4
yejF	584	347	23	23
bcr	473	256	42	38
rsuA	508	371	9	9
yejH	99	69	3	3
yejK	1714	886	31	23
yejM	1253	646	31	44
narP	1068	592	47	47
ccmH	249	151	5	3
ccmF	287	137	2	7
ccmC	152	67	0	5
ccmB	79	40	1	4
ccmA	162	87	24	30
napC	313	141	18	28
napH	74	38	1	1
napG	54	32	1	1
napA	503	250	10	13
mqo	249	154	10	8
yojI	1036	551	7	12
alkB	39	18	8	13
ada	158	110	40	46
yojL	158	72	0	3
rcsB	4021	2308	179	228
rcsC	1463	809	50	40
yfaP	38	11	12	10
yfaQ	113	40	8	6
yfaT	8	4	0	0
gyrA	11092	6511	110	105
ubiG	627	346	7	9
nrdA	2922	1878	29	33
nrdB	2137	1318	44	50
inaA	587	289	31	35
glpQ	62411	23644	2335	2459
glpT	68349	24728	2281	2369
glpA	8081	3167	2451	2303
glpB	5284	2028	1481	1352
glpC	3180	1276	820	843
yfaY	593	334	33	26
ais	22	11	2	3
yfbE	178	99	15	23
yfbF	48	36	1	2
yfbG	234	123	6	7
yfbH	80	43	3	0
arnT	105	51	41	46
menE	332	182	14	6
menC	485	301	17	22
menB	908	509	22	33
yfbB	283	178	8	6
menD	328	178	21	27
menF	633	377	26	15
elaC	306	234	4	4
nuoN	2299	1429	60	103
nuoM	2451	1445	29	34
nuoL	5309	2958	107	148
nuoH	4656	2382	78	76
nuoG	15983	7900	260	303
nuoF	7917	3978	101	155
nuoC	10396	5175	188	225
nuoB	5668	2759	209	190
lrhA	2908	1333	547	677
yfbQ	1133	659	18	27
yfbS	351	188	62	57
yfbT	1552	920	164	161
ackA	2469	1371	603	578
pta	3677	2113	189	154
yfcF	201	125	14	12
yfcG	90	57	98	104
yfcH	1004	609	445	515
hisP	1229	573	6	11
hisM	913	441	13	9
hisQ	2099	969	37	35
hisJ	10123	4298	218	207
purF	2659	1648	22	23
dedD	829	419	106	125
folC	1667	875	124	154
accD	6993	3837	126	140
truA	1028	619	86	90
usg	989	588	23	16
pdxB	1573	975	28	38
flk	461	242	4	4
yfcJ	83	65	2	1
fabB	4238	2839	235	238
trmC	477	315	15	11
yfcA	451	249	8	5
mepA	562	341	7	7
aroC	2536	1500	30	27
prmB	1936	1104	22	16
yfcY	1520	568	399	442
fadL	3592	1509	465	468
vacJ	1418	798	153	205
yfdC	193	91	88	105
dsdA	199	129	15	19
emrY	15	9	2	3
emrK	35	17	22	51
evgA	343	230	5	13
yfdE	48	13	77	81
yfdV	12	9	1	4
oxc	52	18	0	0
frc	41	19	0	1
yfdX	25	8	1	6
ddg	90	50	4	4
yfdZ	938	551	56	70
ypdA	378	205	70	61
ypdB	428	212	83	74
ypdC	101	60	19	21
ypdD	132	72	2	3
ypdE	44	18	0	1
ypdF	67	31	0	3
ypdG	27	16	2	1
glk	1848	968	117	124
yfeO	195	114	49	52
mntH	918	543	1177	1249
nupC	965	589	23	24
yfeA	749	412	19	21
gltX	5728	3320	66	79
yfeR	166	103	16	12
yfeH	529	290	38	50
ligA	1193	648	83	79
zipA	4473	2263	320	419
cysZ	388	233	35	35
cysK	36987	18154	195	252
ptsI	45644	26560	2259	2489
pdxK	718	387	25	32
cysM	4221	1907	22	28
cysA	3742	1670	35	34
cysW	2064	892	10	13
cysU	1838	711	7	17
cysP	4240	1922	18	27
ucpA	4154	1595	1814	1651
yfeT	130	59	10	7
yfeU	206	82	32	34
murP	188	71	36	30
murQ	230	123	25	26
yfeX	2025	1106	47	59
amiA	791	476	48	47
hemF	279	159	4	16
yfeG	162	60	4	8
eutL	184	80	9	7
eutC	187	115	8	10
eutB	905	590	47	52
eutA	17	9	0	3
eutH	25	15	7	12
eutG	25	14	2	0
eutJ	15	11	3	0
eutE	32	11	2	2
eutI	72	46	4	3
eutT	38	24	2	3
eutQ	63	22	1	9
maeB	21048	9712	604	632
talA	1937	1255	331	384
tktB	3147	2002	607	699
ypfG	325	197	16	25
aegA	127	59	6	8
narQ	260	147	25	21
acrD	222	113	8	18
dapE	881	524	176	235
ypfH	360	160	105	91
ypfJ	1022	626	701	735
purC	4411	2464	22	35
nlpB	4710	2705	106	129
dapA	7456	4055	128	149
hyfA	5	5	1	0
hyfC	9	5	0	1
hyfD	25	12	3	3
hyfE	17	5	0	1
hyfG	41	19	7	7
hyfI	20	10	1	4
perM	383	238	7	17
yfgC	1979	1086	53	70
hda	952	522	4	5
uraA	2549	1405	9	14
upp	4495	2444	13	14
purM	3034	1756	31	26
purN	869	553	6	9
ppk	1321	782	105	92
ppx	1188	648	23	32
yfgF	102	62	7	13
guaA	5682	3165	39	51
guaB	3373	2176	20	16
xseA	550	366	5	7
der	2788	1626	92	101
yfgL	3769	2122	135	182
yfgM	2542	1343	38	40
hisS	5768	3272	99	104
ispG	3237	1813	367	432
yfgA	2094	1213	400	387
yfgB	1941	1078	43	51
pbpC	142	61	6	5
sseA	1576	683	472	459
sseB	944	543	17	13
pepB	3255	1679	56	61
hscA	2889	1719	36	46
iscS	9518	5760	415	470
yfhQ	1100	665	57	75
suhB	1610	942	17	18
yfhR	31	22	4	6
hcaT	255	119	65	72
hcaR	5402	1950	74	82
hcaE	338	157	13	9
hcaB	77	42	3	0
yphB	114	58	11	5
yphC	136	54	3	5
yphD	37	12	6	4
yphE	94	45	8	12
yphF	92	43	11	16
yphH	488	220	28	24
glyA	20340	10566	112	139
hmp	903	477	69	78
yfhA	545	297	5	11
yfhG	324	176	8	10
yfhK	697	375	61	70
yfhD	349	193	6	11
yfhB	437	256	37	41
yfhH	260	140	10	2
pdxJ	1536	783	33	41
recO	627	358	36	31
era	2012	1149	236	258
rnc	1377	874	194	286
lepB	2428	1374	101	128
lepA	5191	2909	83	119
rseB	2158	1115	73	81
rseA	6719	3521	1433	1391
yfiC	313	173	4	3
srmB	781	458	16	14
yfiE	215	124	17	21
ung	811	440	26	18
yfiF	1320	772	47	50
yfiP	120	55	3	3
yfiQ	4008	1607	1088	1158
pssA	5083	2401	369	355
kgtP	22997	11537	1881	2027
clpB	9565	5936	985	1052
yfiH	414	195	13	11
rluD	1202	669	65	81
yfiO	5696	3279	66	66
pheA	2678	1599	34	30
tyrA	1939	1138	81	67
aroF	3415	1830	98	130
yfiN	109	67	2	7
trmD	31601	16555	262	303
ffh	2808	1605	181	193
ypjD	421	243	7	6
yfjD	602	400	15	12
yfjB	371	243	15	23
recN	783	431	104	138
gabT	879	443	310	482
gabP	263	147	32	31
csiR	402	188	46	71
nrdF	265	150	8	5
proV	1448	883	5	12
proW	440	307	6	9
proX	2107	1126	12	10
ygaZ	724	383	19	13
emrA	486	277	9	11
emrB	305	184	59	51
gshA	3601	2111	163	173
alaS	15586	8771	151	176
recA	7275	3970	556	496
mltB	178	86	4	5
srlE	75	40	8	9
srlD	150	90	15	19
srlR	582	260	28	23
gutQ	386	181	18	22
norV	83	52	6	8
norW	29	33	1	1
ascG	924	472	9	11
ascF	120	66	18	25
hycG	66	24	4	2
hycE	34	17	1	1
hycD	6	8	0	1
hycC	15	4	0	0
hycB	11	3	0	0
hypB	132	72	4	4
hypD	721	353	23	23
hypE	200	78	25	33
fhlA	161	101	25	23
mutS	1187	645	11	14
ygbI	736	375	41	54
ygbJ	63	46	41	42
ygbK	73	48	22	27
ygbL	41	25	4	6
ygbM	43	28	4	7
ygbN	116	52	8	11
nlpD	64314	30073	2653	2838
pcm	985	490	57	63
surE	934	481	40	52
truD	1976	972	54	55
ispD	449	261	5	12
cysC	2176	887	6	19
cysN	8817	3925	59	80
cysD	5452	2385	14	29
iap	316	191	7	11
cysH	5605	2480	28	41
cysI	10254	4699	41	68
cysJ	7055	3247	22	27
ygcQ	37	34	2	2
ygcR	15	13	1	0
ygcS	31	11	0	2
ygcU	62	30	2	3
ygcW	25	10	2	1
yqcE	100	46	1	3
ygcF	695	403	501	472
eno	28655	17383	1620	1850
pyrG	6555	3939	1033	1021
mazG	1050	555	84	88
relA	3823	2005	136	152
barA	817	474	18	21
gudD	235	130	21	24
gudX	115	50	8	22
gudP	57	30	22	14
truC	235	122	4	3
queF	903	523	14	17
ygdH	1123	572	263	268
sdaC	954	666	35	42
sdaB	380	242	16	14
exo	252	167	6	7
fucO	1288	467	59	79
fucA	478	170	20	17
fucP	106	42	21	19
fucI	294	147	26	19
fucK	247	151	12	15
fucR	1465	642	22	27
ygdE	815	441	47	43
gcvA	447	223	34	32
csdA	408	217	12	17
ygdL	453	222	20	13
mltA	1015	496	46	47
amiC	1555	813	18	15
argA	3950	1754	35	41
recD	861	438	39	32
ptr	1699	905	26	23
recC	1139	616	34	45
thyA	1139	697	8	12
lgt	859	484	5	12
ptsP	2759	1641	65	47
mutH	238	103	12	16
ygdQ	152	133	7	10
tas	908	572	50	60
ygeD	279	126	23	30
aas	909	552	31	34
galR	452	204	24	32
lysA	1500	758	14	13
lysR	124	79	4	4
ygeA	729	359	13	22
araE	253	111	36	51
kduD	222	119	11	9
kduI	213	98	14	18
yqeF	5219	2238	153	188
yqeG	81	48	9	8
yqeH	35	25	3	2
yqeI	65	32	1	1
ygeH	21	13	2	4
ygeR	1012	489	29	35
xdhA	178	90	13	12
xdhB	71	34	1	8
ygeV	1393	512	551	622
ygeW	30	10	2	2
ygeX	51	23	2	5
ygeY	46	26	0	3
hyuA	53	18	2	3
yqeA	139	72	30	28
yqeB	410	147	156	193
yqeC	199	58	98	84
ssnA	22	12	2	5
ygfM	30	12	1	5
xdhD	157	97	26	23
ygfO	100	68	54	75
guaD	216	112	12	13
ygfT	169	63	10	18
ygfU	38	22	2	3
lysS	6174	3412	86	86
prfB	4535	2565	34	35
recJ	1101	670	34	22
dsbC	1296	735	37	42
xerD	1043	595	75	65
ygfZ	2247	1176	155	156
yqfA	624	336	97	136
bglA	2621	1638	106	103
ygfF	126	53	4	8
gcvP	2970	1305	26	23
gcvT	1477	699	26	25
visC	1102	645	17	24
serA	16861	11784	126	121
rpiA	3563	1905	94	89
argP	801	446	46	44
yliK	84	38	4	7
argK	29	19	3	2
ygfG	37	21	1	1
ygfH	78	52	5	7
ygfI	120	47	8	11
yggE	1473	896	144	151
argO	249	111	8	6
mscS	1808	1300	23	22
fbaA	17469	9915	494	543
pgk	18386	10606	861	951
epd	3394	1943	200	238
yggF	63	40	11	16
cmtA	32	17	0	1
tktA	6046	4171	108	111
yggG	1453	693	505	520
speB	1206	623	75	70
speA	7868	4256	951	921
metK	4515	3181	49	59
galP	224	129	6	4
endA	43	9	10	10
yggJ	457	255	21	12
gshB	1396	766	47	60
yggS	520	326	12	19
yggW	532	284	1	5
yggM	91	46	3	4
ansB	135	72	13	13
yggN	1146	574	40	36
yggH	2049	1219	58	57
mutY	902	515	10	14
mltC	841	481	10	10
nupG	1203	482	158	184
yqgA	58	23	8	12
yghK	439	252	24	36
glcF	1245	655	40	59
glcD	1017	573	68	87
glcC	1600	641	457	454
ECIAI1_3132	204	108	4	10
yghR	10	5	0	0
yghS	17	10	1	1
yghT	7	4	1	0
pitB	33	22	0	5
gss	1089	672	27	34
yghU	1754	899	60	55
hybC	556	301	36	31
hybB	126	78	3	2
hybA	145	51	8	7
hybO	134	89	11	23
yghZ	3207	1180	598	610
yghA	268	146	58	85
exbB	3488	2028	60	56
metC	3280	1645	37	29
yghB	430	220	123	110
yqhC	226	118	42	43
yqhD	570	581	34	44
dkgA	473	337	323	304
yqhG	89	47	17	22
ygiQ	796	471	16	19
sufI	759	454	34	38
plsC	596	331	30	31
parC	2459	1283	56	45
qseB	53	27	2	3
parE	1995	1086	50	48
cpdA	1859	929	336	366
nudF	1098	614	28	32
tolC	4489	2765	151	162
ygiC	2672	1503	132	125
ygiE	700	453	234	211
ribB	3033	1618	378	376
yqiJ	38	19	11	6
yqiK	58	44	6	3
rfaE	2134	1261	52	78
htrG	745	380	13	11
cca	833	426	32	40
bacA	846	440	39	41
plsY	416	222	26	26
ygiP	105	52	0	7
ttdA	24	13	0	2
ttdB	7	4	0	0
ygjE	76	41	3	1
gcp	622	355	23	25
dnaG	2291	1362	235	241
rpoD	7804	4748	1965	2001
yqjH	309	173	4	7
yqjI	384	197	26	20
aer	9661	4332	67	67
ygjG	1622	831	1082	1167
ebgR	112	69	3	3
ygjI	18	9	2	2
ygjJ	10	7	0	0
ygjK	57	45	6	6
ygjO	212	151	7	7
ygjQ	21	15	1	1
ygjR	1077	473	632	746
alx	96	64	1	2
sstT	1949	955	935	1022
uxaA	985	428	52	40
uxaC	1158	483	52	38
exuT	737	298	53	50
exuR	1148	582	206	223
yqjA	592	335	148	159
yqjG	534	295	257	265
yhaJ	984	554	9	16
yhaK	80	32	8	13
yhaM	138	78	6	5
yhaO	62	29	6	8
tdcG	103	46	13	7
tdcE	531	273	30	39
tdcD	63	23	1	2
tdcC	194	93	6	12
tdcB	68	28	0	3
tdcA	40	27	7	6
garK	246	121	139	165
garR	223	124	171	174
garL	63	37	57	79
garP	25	7	57	79
garD	418	158	96	97
agaR	1404	733	34	37
kbaZ	167	67	10	7
agaS	39	19	3	3
kbaY	26	10	1	1
agaC	10	7	0	0
agaD	25	18	3	2
agaI	19	10	0	0
yraI	12	7	0	0
yraL	563	293	14	20
yraQ	1105	527	48	48
yraR	203	109	206	197
yhbU	39	17	1	0
yhbV	35	24	3	2
yhbW	206	141	10	13
mtr	430	225	108	90
deaD	1667	1096	68	78
nlpI	8761	4635	263	387
pnp	17694	9820	308	494
truB	2004	1039	29	34
infB	24307	12723	202	221
nusA	8134	4337	160	150
argG	9463	4561	99	118
yhbX	155	82	15	25
glmM	3838	2030	93	107
folP	973	485	11	20
ftsH	13410	8198	1610	1800
rrmJ	4097	2455	599	683
dacB	187	117	2	3
obgE	2129	1155	765	804
yhbE	1290	685	158	168
ispB	1809	1045	64	97
murA	3179	1779	26	21
yrbC	2319	1357	131	117
yrbE	1111	626	56	80
yrbF	2334	1258	101	109
yrbG	469	251	21	22
kdsD	2051	1131	18	38
lptB	2262	1323	89	93
rpoN	7828	4399	167	212
yhbJ	1740	1016	31	35
yrbL	4948	2883	757	762
mtgA	1073	601	63	55
elbB	1297	671	77	75
arcB	2430	1220	251	230
yhcC	35	19	2	3
gltB	14982	10037	98	100
gltD	8267	5387	38	69
nanE	150	61	21	19
nanT	320	142	37	39
nanA	509	200	15	16
nanR	776	488	31	18
dcuD	60	17	1	7
sspA	2973	1783	131	155
degQ	1755	1108	61	68
degS	543	338	12	18
mdh	34676	19445	593	697
aaeB	92	57	8	13
aaeA	190	96	4	10
aaeR	183	103	13	15
tldD	1696	927	180	236
rng	2196	1199	56	58
mreC	828	498	14	16
mreB	3324	1988	43	35
csrD	1031	565	90	98
yhdH	1271	667	233	204
accC	8549	4701	92	114
panF	252	133	13	23
prmA	642	350	40	36
dusB	7596	4270	71	72
yhdJ	94	43	5	3
envR	93	60	0	0
acrE	15	13	0	0
acrF	254	143	25	33
aapQ	66	38	13	12
aapP	168	81	4	5
aroE	919	506	78	80
smf	1064	598	231	249
fmt	1759	1147	700	610
rsmB	995	615	49	73
trkA	942	568	159	148
rpoA	64536	33876	700	830
rpsD	57743	30167	436	537
secY	66346	34965	1656	2023
rpsC	44913	21849	364	444
rplB	41895	21598	312	383
rplD	26961	15293	263	259
rplC	40280	22323	282	319
tufA	172677	90307	1962	2226
fusA	148426	76194	2041	2350
yheO	1345	853	29	27
fkpA	6297	3810	171	215
kefB	646	349	73	73
yheS	875	587	22	33
yheT	282	153	25	23
prkB	662	362	62	47
crp	6933	4191	195	234
yhfK	1064	624	11	13
argD	4290	2037	33	36
fic	395	189	725	664
tsgA	96	72	10	9
nirB	134	83	5	7
nirC	83	48	4	0
cysG	793	441	24	37
frlA	37	22	5	1
frlB	38	21	5	3
frlC	54	23	2	3
frlD	83	53	5	11
frlR	196	125	17	9
yhfS	43	38	8	4
yhfT	42	28	1	0
php	43	15	2	5
yhfZ	479	223	61	77
trpS	3702	2069	85	86
gph	1297	681	16	12
rpe	1271	697	12	16
dam	832	532	8	15
aroB	5075	2921	70	99
hofQ	83	39	4	2
yrfD	103	67	3	4
mrcA	1334	851	22	21
igaA	1337	659	42	31
yrfG	651	364	37	35
hslO	1074	590	81	83
pck	19043	8420	1851	1789
envZ	1061	532	60	63
ompR	1540	842	198	190
yhgF	1943	1175	12	21
feoB	1077	625	38	53
yhgA	133	80	2	2
bioH	246	153	9	15
gntX	245	154	8	11
gntT	391	212	43	59
malQ	3021	1555	43	56
malP	4376	2248	44	44
malT	25720	11180	1502	1437
rtcB	162	88	113	112
glpG	921	510	24	19
glpD	45595	22202	21419	20731
glgP	6147	3486	348	386
glgA	3505	1983	194	232
glgC	4839	2707	291	338
glgX	3984	2238	300	348
glgB	6594	3668	142	202
asd	12548	6880	180	217
gntU	102	48	8	10
gntR	521	304	39	35
yhhW	287	148	25	23
yhhX	704	404	127	137
yhhZ	7	0	1	0
ggt	489	285	6	7
ugpC	447	235	27	49
ugpE	159	57	8	10
ugpA	93	46	9	9
ugpB	2468	930	1493	1657
livF	3829	1971	24	23
livG	3036	1485	9	22
livM	4018	2066	34	30
livH	3413	1732	27	30
livK	11603	5582	97	103
livJ	52720	28734	279	258
rpoH	3688	2078	449	455
ftsX	1108	720	150	149
ftsE	769	411	61	64
ftsY	3772	1984	106	127
yhhN	179	107	39	40
yhhQ	149	93	8	5
yhhS	168	97	12	10
yhhT	226	143	89	116
nikA	14	16	1	1
nikB	19	6	0	0
nikC	14	5	1	0
nikD	23	13	0	0
nikE	23	14	2	6
yhhI	94	51	3	5
yhhJ	611	376	45	40
rbbA	1441	899	56	65
yhiI	1908	1058	199	237
yhiM	54	28	12	10
yhiN	485	275	71	63
pitA	2065	1250	157	180
yhiP	173	108	144	169
yhiQ	240	150	21	40
prlC	2181	1415	251	309
yhiR	213	135	4	6
gor	1766	1007	57	55
arsB	69	49	13	17
yhiD	41	26	4	5
mdtE	25	14	4	2
mdtF	172	113	19	10
gadW	148	112	15	24
gadX	330	181	108	133
gadA	334	187	86	98
yhjA	107	46	10	12
treF	294	216	174	175
yhjB	130	53	10	14
yhjC	212	110	8	7
yhjD	259	168	267	245
yhjE	2676	2000	33	41
yhjG	3243	1688	186	209
yhjH	8957	4547	36	49
kdgK	1357	630	24	21
yhjJ	1143	617	10	21
dctA	2995	1314	270	321
yhjK	535	297	39	31
bcsC	488	234	79	83
bcsZ	52	26	0	1
bcsB	62	47	3	2
bcsA	87	47	2	3
bcsE	1006	595	57	66
bcsG	280	210	13	12
yhjV	589	283	2	8
dppF	2624	1424	20	13
dppD	2569	1287	18	21
dppC	2103	1003	25	27
dppB	2677	1276	21	27
dppA	50752	25972	628	789
eptB	647	291	3	14
yhjX	43	31	6	8
yhjY	561	301	190	175
yiaD	214	113	4	7
tiaE	1520	1043	17	19
yiaF	2888	1553	215	264
glyS	8203	4815	128	120
glyQ	4252	2437	67	75
yiaH	92	46	8	10
xylB	309	154	110	115
xylA	370	154	130	156
xylF	426	174	14	19
xylG	372	195	10	19
xylH	147	69	27	23
xylR	272	161	12	13
bax	15078	7065	197	201
avtA	1666	972	49	46
yiaJ	331	178	17	8
yiaK	70	40	7	6
yiaN	22	11	0	2
yiaO	24	10	0	0
sgbH	26	20	1	2
sgbU	35	19	1	1
sgbE	42	18	2	3
yiaT	44	27	46	42
yiaU	108	61	27	28
yiaV	42	24	11	12
aldB	1396	488	979	1074
yiaY	16	9	2	3
selB	1421	778	17	19
selA	579	305	8	18
yibF	231	124	16	33
yibH	99	66	52	44
mtlA	3204	1542	1429	1479
mtlD	1681	850	526	640
lldP	842	412	49	51
lldR	316	151	14	23
lldD	465	241	7	19
cysE	1408	709	118	98
gpsA	3230	1631	133	192
gpmI	2492	1740	84	103
envC	1066	636	10	9
yibQ	282	190	2	2
yibD	53	31	1	0
tdh	634	334	123	164
kbl	757	414	157	207
waaD	2187	1353	105	108
waaF	1359	826	22	31
kdtA	532	293	21	19
mutM	271	139	8	9
yicR	939	556	79	62
dfp	679	490	11	7
pyrE	102	47	8	7
yicC	1574	889	30	36
yicG	30	16	1	2
ligB	217	103	12	9
gmk	2462	1414	185	246
spoT	2707	1635	44	40
trmH	431	243	0	4
gltS	204	127	87	113
yicE	1102	669	22	14
yicH	1321	772	273	271
yicI	235	132	11	10
yicJ	43	23	4	8
setC	26	10	0	3
yicL	534	275	32	27
nlpA	3317	1607	49	51
yicM	55	45	3	2
uhpT	4186	2491	820	1111
uhpC	114	65	2	1
uhpB	236	132	2	4
ilvB	6625	3161	46	58
emrD	14	3	5	4
yidJ	85	47	1	3
yidK	30	19	4	0
yidL	118	60	9	9
yidP	33	14	0	2
yidE	890	477	116	125
yidR	771	340	11	15
cbrA	44	18	2	2
dgoT	45	27	3	9
dgoD	126	80	17	28
dgoA	58	22	6	8
dgoR	441	176	57	55
yidX	202	112	19	21
yidA	467	301	12	7
gyrB	4693	2635	193	231
recF	456	256	2	7
dnaN	1385	757	43	50
dnaA	2438	1279	47	67
yidC	6172	3514	58	71
trmE	774	500	14	17
tnaA	6005	2264	25	30
tnaB	532	188	10	7
mdtL	41	25	2	4
yidZ	176	91	33	29
yieE	285	124	10	9
yieH	214	140	5	7
yieK	67	47	6	12
yieL	42	21	1	4
bglH	43	23	4	1
bglB	45	36	2	0
bglG	39	13	0	0
phoU	893	585	12	15
pstB	1043	723	16	12
pstA	257	203	11	6
pstC	406	334	21	15
pstS	1344	1205	25	16
glmS	6992	4462	519	528
glmU	4701	2733	376	393
atpD	25873	13603	264	297
atpG	19393	9788	109	159
atpA	44964	24469	288	360
atpB	23959	12023	148	155
gidB	373	218	11	9
gidA	1906	1186	25	33
asnA	526	308	21	22
yieM	384	224	13	13
ravA	361	211	42	58
trkD	645	378	35	26
rbsA	1996	886	91	120
rbsC	1972	893	69	92
rbsB	18170	8433	258	383
rbsK	2061	1013	25	41
rbsR	445	204	7	5
hsrA	179	127	9	8
yieP	521	332	40	43
hdfR	603	334	20	27
yifB	207	131	5	3
ilvE	1611	902	17	13
ilvD	1924	1040	43	25
ilvA	960	497	22	32
ilvY	217	133	39	47
ilvC	41620	21765	195	233
rep	853	479	14	11
gpp	1229	721	36	36
rhlB	3150	1875	152	182
rho	3320	1991	106	136
rfe	1395	834	38	40
wzzE	856	578	18	10
rffE	823	443	10	4
rffD	704	375	12	8
rffG	548	307	9	9
rffH	351	210	11	16
rffC	212	133	1	2
rffA	442	249	20	23
wzxE	389	207	21	27
rffT	305	157	13	9
wzyE	201	109	14	13
rffM	318	189	12	18
yifK	1570	758	169	209
hemY	1976	1073	43	59
hemX	2571	1366	66	77
hemD	854	456	28	27
hemC	962	537	138	130
cyaA	3173	2440	282	290
dapF	1282	658	25	26
yigA	721	412	4	5
xerC	1168	576	3	5
yigB	597	268	9	7
uvrD	1083	594	27	26
yigE	54	37	1	1
corA	1059	570	47	39
rarD	150	90	4	5
pldA	896	571	20	13
recQ	746	374	3	7
rhtC	540	279	7	4
rhtB	326	164	6	5
pldB	986	552	30	32
yigL	452	256	7	8
yigM	117	65	2	2
metR	482	274	7	14
ysgA	1133	697	62	58
udp	1792	984	71	101
rmuC	1043	465	57	49
ubiE	1797	999	41	51
yigP	463	226	19	22
ubiB	1435	748	34	37
tatC	856	489	6	11
tatD	347	183	8	6
ubiD	3259	1592	233	280
fre	2163	1093	166	211
fadA	1627	625	251	258
fadB	5945	2147	772	844
pepQ	5009	2847	158	147
yigZ	536	293	24	28
trkH	722	447	51	63
yihE	1244	797	17	16
dsbA	3082	1758	71	50
yihG	104	58	0	0
polA	4219	2122	266	269
hemN	1129	634	39	34
glnG	662	316	61	60
glnL	535	263	40	40
glnA	4604	2945	40	51
bipA	8383	5392	119	136
yihL	214	128	2	4
yihM	425	200	2	6
yihN	191	104	2	1
ompL	22	10	0	0
yihO	49	34	2	8
yihP	28	17	2	4
yihQ	46	38	1	5
yihS	127	69	5	13
yihT	70	41	2	5
yihU	46	13	2	1
yihV	117	54	22	23
yihW	677	315	34	36
rbn	1056	451	64	65
yiiD	1826	922	36	38
fdhE	670	315	31	47
fdoI	291	152	66	106
fdoH	463	239	153	185
fdoG	4072	2278	1232	1487
fdhD	394	209	91	80
frvB	20	16	3	1
rhaD	14	10	0	2
rhaA	21	15	2	1
rhaS	121	57	30	23
rhaR	94	37	7	13
sodA	31964	18075	336	345
kdgT	150	67	14	20
yiiM	488	268	90	99
cpxA	1924	1052	51	39
cpxR	2125	1247	44	47
fieF	1325	781	78	84
pfkA	4323	2617	479	516
sbp	1401	662	8	16
cdh	170	112	2	1
tpiA	8164	4924	123	139
fpr	1195	696	29	27
glpX	3555	1669	161	176
glpK	121050	52700	8580	9119
glpF	41923	17569	6492	6722
menA	482	278	6	4
hslU	2992	1858	234	233
ftsN	870	480	67	59
cytR	1200	520	17	18
yiiX	234	129	5	6
metB	1820	952	20	13
metL	2146	1058	34	50
