	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2
kefA	1799	980	30	36
dnaX	1801	903	33	35
recR	1192	691	31	38
htpG	7078	4813	309	354
adk	6181	3307	27	36
hemH	303	160	101	117
aes	198	59	24	20
gsk	752	482	12	6
ybaL	1319	752	149	144
fsr	308	189	8	8
ushA	2317	1209	193	190
ybaP	196	106	8	5
copA	1015	539	89	114
ybaS	75	45	22	34
ybaT	58	64	20	28
ybbK	547	326	839	801
ybbL	369	208	11	9
ybbM	272	169	10	13
ybbN	1825	1090	53	62
ybbO	288	174	11	13
tesA	486	259	34	40
ybbA	220	114	34	27
ybbP	432	254	27	23
ybbB	213	98	11	9
ybbS	8	5	0	1
allR	1602	912	1914	2358
gcl	81	41	36	37
hyi	24	10	4	3
glxR	25	20	3	1
ybbW	13	13	14	11
allB	166	92	23	37
ybbY	33	21	6	4
glxK	100	44	10	12
ylbA	367	231	2	6
allC	202	117	6	8
allD	24	17	1	1
ylbE	34	17	2	1
ylbF	14	13	1	1
ybcF	46	31	2	4
purK	1725	927	3	10
lpxH	592	379	5	4
cysS	1750	1086	33	35
folD	752	518	22	15
sfmC	14	0	0	0
sfmH	11	9	2	0
fimZ	11	16	2	0
envY	35	41	3	1
ybcH	60	39	5	3
nfrB	165	79	25	21
cusR	151	70	4	9
cusC	915	460	6	8
cusB	34	16	3	0
cusA	91	56	5	9
pheP	410	236	7	10
ybdG	573	372	17	21
nfnB	930	533	12	19
ybdK	167	117	349	332
fepA	1848	791	30	34
fepC	184	106	2	1
fepG	120	47	3	6
fepD	81	48	8	14
ybdA	245	106	4	8
fepB	258	134	6	13
entC	542	255	13	22
entE	725	330	32	33
entB	697	284	18	22
entA	439	180	12	22
cstA	32937	12211	11411	11939
ybdH	1888	834	205	230
ybdL	583	340	5	16
ibrB	93	51	3	3
ibrA	38	17	2	3
ybdO	32	16	5	1
dsbG	350	185	26	28
ahpF	3766	2094	73	87
ybdR	287	119	16	21
rna	424	262	77	69
citT	35	27	3	3
citG	19	13	6	1
citF	8	4	1	2
citE	16	12	2	1
citC	20	12	0	1
citA	327	186	7	8
citB	128	81	4	3
dcuC	62	31	9	9
lipA	2849	1558	194	223
ybeF	126	76	5	10
lipB	436	258	2	4
dacA	1671	1127	13	10
rlpA	1946	1054	39	44
mrdB	969	485	16	19
mrdA	1120	656	14	10
phpB	102	53	7	5
nadD	251	170	3	9
holA	880	533	14	18
leuS	9905	5540	428	444
ybeQ	201	137	125	162
ybeU	18	8	0	0
hscC	156	67	9	9
rihA	2407	1034	32	31
gltL	1136	533	12	8
gltK	621	316	9	15
gltJ	622	277	8	9
gltI	7493	3923	348	383
ybeX	3644	2062	603	688
ybeZ	3195	1880	810	819
miaB	1692	979	65	85
asnB	2706	1544	86	70
nagD	897	512	19	16
nagC	1029	570	44	66
nagA	1182	625	121	123
nagB	740	418	123	130
nagE	3857	1835	501	525
glnS	4741	2884	56	44
ybfM	140	53	7	7
ybfF	302	184	8	8
pgm	5697	3065	159	221
potE	160	80	33	46
kdpE	85	42	46	59
kdpD	461	225	270	312
kdpB	116	54	2	3
ybgH	254	97	9	7
ybgI	2476	1331	129	94
ybgJ	1298	662	61	61
ybgK	1345	718	72	71
nei	188	101	2	3
abrB	45	34	6	4
gltA	21985	13146	1028	1155
sdhA	18132	8745	268	337
sdhB	9537	4529	129	165
sucA	24432	13095	389	435
sucB	13412	7584	212	265
sucC	25587	14242	241	370
sucD	19705	12029	248	315
mngR	362	207	10	11
mngA	19	17	2	2
cydA	5126	2736	569	650
cydB	3531	1777	438	494
tolQ	1242	669	14	15
tolA	2391	1163	103	123
tolB	9230	5221	268	296
ybgF	5304	3035	86	99
nadA	4009	2125	83	77
pnuC	1618	877	145	143
zitB	442	224	66	61
aroG	4413	3194	41	63
gpmA	15851	8205	1059	1123
galM	2712	1516	53	68
galK	2942	1494	55	79
galT	741	356	45	59
galE	864	504	132	157
modF	1704	963	27	38
modE	462	267	8	17
modA	2801	1532	33	45
modB	1234	635	13	20
modC	1900	1068	23	25
ybhA	525	273	8	10
pgl	1052	606	53	70
ybhD	61	30	1	4
ybhH	9	5	0	0
ybhI	815	419	8	14
ybhJ	122	67	4	5
ybhC	2364	1369	31	27
bioB	2040	1178	25	21
bioC	434	242	4	6
bioD	497	324	3	3
uvrB	1519	886	236	244
ybhK	837	428	13	8
moaA	1588	948	90	92
ybhL	939	626	1693	1741
ybhN	73	54	16	12
ybhO	181	137	40	41
ybhP	213	124	42	31
ybhR	146	77	10	15
ybhS	107	56	4	11
ybhF	372	191	21	39
ybhG	392	235	37	38
ybiH	128	101	15	17
rhlE	94	49	3	1
dinG	351	181	44	47
ybiB	809	454	128	134
ybiC	4740	2795	125	132
ybiX	154	91	9	18
fiu	552	283	9	10
ybiN	281	173	7	7
ybiO	196	117	44	47
glnQ	3067	1560	40	65
glnP	2779	1419	95	109
glnH	12063	6068	618	624
rhtA	101	47	10	8
ybiR	423	245	31	36
ybiS	1622	1144	73	99
ybiT	2708	1543	46	54
ybiU	162	107	7	11
ybiV	378	280	16	9
ybiW	147	67	7	15
ybiY	30	10	3	0
fsaA	110	73	10	7
moeB	440	244	10	16
moeA	729	389	36	44
iaaA	4159	1754	123	125
yliA	2802	1277	51	58
yliB	2372	1283	38	46
yliC	704	354	8	8
yliD	448	245	2	10
yliE	295	198	1	3
yliF	133	70	1	0
yliG	513	362	2	1
yliI	185	110	47	42
yliJ	2227	1348	36	43
dacC	2931	1516	604	578
deoR	620	344	19	16
cmr	224	145	229	218
ybjI	456	264	12	16
ybjJ	172	117	11	10
ybjL	532	345	65	58
nfsA	703	413	14	16
rimK	478	256	8	17
potF	2267	1224	237	221
potG	677	424	41	49
potH	311	165	19	20
potI	243	131	22	29
rumB	275	136	2	3
artJ	4520	2128	14	17
artM	840	422	11	25
artQ	720	380	20	27
artI	2431	1210	195	233
artP	1116	623	102	137
ybjR	544	316	334	315
ybjS	351	176	33	37
ybjT	721	409	17	17
ltaE	1179	655	64	57
poxB	1288	839	144	132
hcr	31	17	2	2
hcp	27	15	1	1
ybjE	64	54	4	7
