"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_chemostat1","K12_chemostat2","K12_starvation1","K12_starvation2"
"69","ansA","ansA",1221,52.5550335228086,-1.53117681793307,0.460221270712774,-3.32704487031126,0.000877722390227664,0.00166415015018595,72.4027439773103,85.0571041517631,25.6337632518558,27.1265227103053
"70","ansB","ansB",1336,38.5687737475458,1.10553461781407,0.394857632559089,2.79983094324163,0.00511293761554468,0.00885961869759426,24.6205804456849,23.7368662749106,55.5398203790209,50.377827890567
"71","ansP","ansP",1901,39.0491370310352,0.423275368125894,0.412867906539587,1.02520772726933,0.30526518294081,0.371745869809561,30.63894455463,35.9349781106286,46.9952326284023,42.6273928304798
"72","apaH","apaH",1254,119.346784996084,0.836817186555486,0.26266586585189,3.18586194609445,0.0014432344827443,0.00266434436009015,86.6279682348171,84.7274254535005,123.89652238397,182.13522391205
"73","aphA","aphA",983,121.066250900838,-1.89045763189616,0.404996022545312,-4.66784246426678,3.04379134301138e-06,7.16823698786506e-06,234.533825578894,149.674129011242,34.1783510024744,65.8786980107415
"74","appA","appA",2176,24.9602774982451,0.161227858078831,0.504670590495691,0.319471475285438,0.749369018418792,0.797237719503448,23.3439577559086,23.7368662749106,25.6337632518558,27.1265227103053
"75","aqpZ","aqpZ",324,107.29615918755,3.00074135448152,0.26010961154373,11.5364493325424,8.6419291497446e-31,6.17471172273418e-30,22.9792084159725,24.0665449731733,192.253224388918,189.885658972137
"76","araA","araA",205,144.565157029315,3.6064112355409,0.247792108153506,14.554181173949,5.49398323492972e-48,6.20418106773771e-47,20.7907123763561,22.4181514818601,294.788277396342,240.263486862704
"77","araC","araC",300,703.763990930231,2.30574500407219,0.19395990817232,11.8877402335316,1.37064969273372e-32,1.05768467955952e-31,264.990395463556,205.060150319367,1089.43493820387,1255.57047973413
"78","araD","araD",708,24.5969772260515,3.28552521952985,0.508205449080722,6.46495472544212,1.01329142756799e-10,3.31323397573431e-10,4.74174141916893,3.62646568088913,51.2675265037116,38.7521753004362
"79","araE","araE",608,108.543450138107,2.06168955082234,0.278108269991721,7.41326229127856,1.23229822636142e-13,4.69205656912286e-13,46.1407915019131,36.5943355071539,153.802579511135,197.636094032224
"80","araF","araF",159,759.648017604177,3.10416816483683,0.193465883461623,16.0450416853604,6.19173596107684e-58,9.01501179238546e-57,177.815303218835,134.838587589423,1435.49074210392,1290.44743750452
"81","araG","araG",69,602.572735307919,3.62682621812087,0.165632853500326,21.8967803879182,2.78798284152678e-106,9.3538844610645e-105,95.3819523932828,83.0790319621873,1080.89035045325,1150.93960642295
"82","araH","araH",60,476.935959089269,3.88053342401144,0.168021316473789,23.0954827961772,5.14015751309434e-118,1.98324410713557e-116,61.2778891092601,58.6828082907513,931.360064817427,856.423074139639
"83","araJ","araJ",999,57.5289729625677,1.54523532074858,0.337460054967535,4.57901697697891,4.67166283995441e-06,1.08257251996942e-05,28.8151978549497,29.011725447113,102.535053007423,69.7539155407851
"84","arcA","arcA",32,9706.8580822584,3.7128111434354,0.140593107750839,26.4082016738352,1.10303626018097e-153,7.97977794474671e-152,1388.23598779669,1347.06716110118,19537.1998917894,16554.9292883463
"85","arcB","arcB",624,702.256063628856,1.20899102640452,0.167041391112206,7.2376733596071,4.56447117287822e-13,1.69338954570722e-12,443.170448022327,402.20801188043,1072.34576270263,891.300031910032
"86","argA","argA",524,401.76264687351,-2.05890622560215,0.243899846534282,-8.4416052525591,3.13008890390494e-17,1.38285416269846e-16,720.379946373742,578.256436752684,149.530285635825,158.883918731788
"87","argB","argB",620,221.173631076479,-2.3087763871144,0.316937137666705,-7.28465084310297,3.22504450798187e-13,1.20419000580291e-12,421.285487626163,317.150907728667,72.6289958802581,73.6291330708287
"88","argC","argC",613,263.134952354374,-2.04080636684366,0.276409770536048,-7.38326421271533,1.54455083101903e-13,5.83301007146664e-13,467.608653798044,380.449217795096,115.351934633351,89.1300031910032
"89","argD","argD",430,433.609092872666,-2.35886757633717,0.237125854413184,-9.94774518440711,2.57961670531309e-23,1.38879364483717e-22,782.387334162874,671.555508361014,140.985697885207,139.50783108157
"90","argE","argE",1919,305.223838663438,-0.185733823087488,0.195341028943965,-0.950818289898365,0.341696626314126,0.412208280311205,327.909656602529,322.755445599132,256.337632518558,313.892619933533
"91","argG","argG",391,1027.42720172106,-1.86748628576436,0.176052735271612,-10.6075391721874,2.74893736581074e-26,1.62756777540968e-25,1725.81150190752,1503.66454277594,422.957093655621,457.275668545147
"92","argH","argH",651,422.482528004626,-1.61170972598738,0.229509576619556,-7.02240729875519,2.18077695130263e-12,7.75499023389492e-12,709.802215515596,565.398967520441,209.342399890156,205.386529092312
"93","argI","argI",525,469.278474602676,-2.03524769534278,0.242199557419737,-8.4031850306632,4.34529215559974e-17,1.91606692194541e-16,853.695830120376,658.368360430508,175.164048887681,189.885658972137
"94","argK","argK",1921,8.03001934551962,0.758839812614766,0.800831359468012,0.947565056791557,0.343350922232355,0.413557432345423,5.28886542907304,6.26389526699031,12.8168816259279,7.75043506008723
"95","argO","argO",1885,34.8588211279827,-0.514639159979596,0.480286614886096,-1.07152509361863,0.28393339384302,0.34870334575416,45.4112928220409,36.5943355071539,34.1783510024744,23.2513051802617
"96","argP","argP",1761,165.038474913921,0.31945123602245,0.227222513215513,1.40589605977758,0.15975499152506,0.210012950244471,146.082110644397,147.036699425141,196.525518264228,170.509571321919
"97","argS","argS",1095,412.795095194983,-0.724835060014047,0.18039970711912,-4.01793922833495,5.87093327902537e-05,0.000124120644209532,508.460579870884,521.222021953246,307.60515902227,313.892619933533
"98","arnT","arnT",307,97.3467523069316,3.25536463267634,0.276897469765358,11.7565705292826,6.53345210275893e-32,4.92669108074493e-31,19.1493403466438,16.813613611395,175.164048887681,178.260006382006
"99","aroA","aroA",315,527.177270910314,-2.86298498349416,0.246039330555962,-11.6362899257807,2.6948499992838e-31,1.98050087248953e-30,852.601582100568,1005.52002970108,111.079640758042,139.50783108157
"100","aroB","aroB",572,642.812508614736,-1.45711786468262,0.183689176403606,-7.9325189061821,2.14745013633736e-15,8.6911661986381e-15,925.551450087782,962.991477625194,299.060571271651,383.646535474318
"101","aroC","aroC",531,297.454975000842,-2.02939262742344,0.244523305996187,-8.2993832393837,1.04653265155476e-16,4.56256702137339e-16,462.502163038939,494.518047393972,128.168816259279,104.630873311178
"102","aroD","aroD",1321,62.4639752352791,-1.13698278944306,0.394820037060536,-2.8797494623322,0.00397991299517426,0.00697463935187617,82.9804748354563,89.6726059274402,38.4506448777837,38.7521753004362
"103","aroE","aroE",944,244.419016924785,0.938075632545234,0.191405724575197,4.90098002359745,9.53597535627941e-07,2.33853632942657e-06,167.602321700625,166.8174213209,333.238922274125,310.017402403489
"104","aroF","aroF",1450,537.146148611867,-0.406278765051131,0.172169636683617,-2.3597585083932,0.0182868349413032,0.0291958778545635,622.809497940843,603.312017820646,418.684799780311,503.77827890567
"105","aroG","aroG",516,569.278983525067,-2.12532034748006,0.247066171139826,-8.60223128757375,7.81810400961389e-18,3.50092554620388e-17,804.819418568943,1052.9937622509,175.164048887681,244.138704392748
"106","aroH","aroH",1356,69.9858901584889,-1.07314138920946,0.394097023723711,-2.72303855296763,0.00646845089120147,0.0110431149064391,82.9804748354563,108.134613030149,38.4506448777837,50.377827890567
"107","aroM","aroM",2311,72.5137639676319,0.00642356634680613,0.330049340991729,0.0194624425775391,0.984472197845472,0.985749627167936,76.4149867166071,68.5731692386308,59.8121142543302,85.2547856609596
"108","aroP","aroP",710,912.707760214174,-1.00962116302329,0.156572873172638,-6.44825085319908,1.1314837710916e-10,3.6892745494043e-10,1194.7364629606,1245.19644333802,645.116375171704,565.781759386368
"109","arsB","arsB",915,37.5391567081066,2.05633078243663,0.406906021240811,5.05357668624834,4.33612096803962e-07,1.09706229956412e-06,12.5838522277945,16.1542562148697,55.5398203790209,65.8786980107415
"110","artI","artI",694,644.571759443894,1.03991365998902,0.158434994042296,6.56366143272241,5.25023367554985e-11,1.75102723178077e-10,443.352822692295,398.911224897804,833.097305685313,902.925684500163
"111","artJ","artJ",314,412.895147605877,-3.55885190500549,0.304489313011394,-11.6879369913134,1.46911889741735e-31,1.08312428265006e-30,824.333508255522,701.556269902915,59.8121142543302,65.8786980107415
"112","artM","artM",1279,109.04870107987,-0.994106084118706,0.325480624427988,-3.0542711593533,0.00225608061775144,0.00408352355754071,153.19472277315,139.124410666837,46.9952326284023,96.8804382510904
"113","artP","artP",665,343.89968439987,1.23948067847884,0.181209900520955,6.84002736558817,7.91780539461877e-12,2.75634879526954e-11,203.530131684328,205.38982901763,435.773975281548,530.904801615975
"114","artQ","artQ",1732,111.666104633539,-0.424684767249443,0.282228646674187,-1.50475429143701,0.132387259225309,0.176949483317893,131.309762376986,125.277905339806,85.445877506186,104.630873311178
"115","ascF","ascF",803,54.3563706220392,1.97044427808199,0.338431944195413,5.8222762711319,5.80514829097461e-09,1.67358882859355e-08,21.8849603961643,21.7587940853348,76.9012897555674,96.8804382510904
"116","ascG","ascG",877,101.300144584675,-1.96367981660793,0.370671318491915,-5.29763086228847,1.17314825697505e-07,3.09335591197635e-07,168.514195050465,155.60834557997,38.4506448777837,42.6273928304798
"117","asd","asd",397,1541.64047609527,-1.49604830078247,0.142273220464762,-10.5153190171372,7.34318679682841e-26,4.28198424046795e-25,2288.43735875892,2268.18944404702,769.012897555674,840.922204019465
"118","asmA","asmA",1386,332.580153523157,-0.510831597881447,0.196019130990526,-2.60602929571266,0.00915986268108837,0.0152986230237083,409.613508748209,372.536929036792,269.154514144486,279.01566216314
"119","asnA","asnA",2057,93.1107681276343,-0.172479422374566,0.294920054641887,-0.584834498908538,0.558659004864818,0.628729021031626,95.9290764031869,101.541039064896,89.7181713814953,85.2547856609596
"120","asnB","asnB",1229,410.303066857672,-0.652563496676686,0.19724895624444,-3.30832420663357,0.000938560878730655,0.00176791573170176,493.505856933505,509.023910117528,367.4172732766,271.265227103053
"121","asnS","asnS",908,1078.29588027726,-0.799405417628692,0.156992926211625,-5.09198367671104,3.5433661598914e-07,9.03402275346762e-07,1325.86385066762,1416.6293664346,722.017664927271,848.672639079552
"122","aspA","aspA",86,11034.1107363045,3.82235097830454,0.19288545318411,19.8166886885767,2.13716791343067e-87,5.75295781347907e-86,1671.82859959699,1208.60210783087,21686.16371107,19569.8485267203
"123","aspC","aspC",398,874.129074564329,-1.91165781801788,0.18192412107245,-10.5079953485474,7.93625462102709e-26,4.61618830343661e-25,1289.38891667401,1476.6308895184,354.600391650672,375.896100414231
"124","aspS","aspS",735,722.086017757111,-1.00865097938829,0.161031264498717,-6.26369657176929,3.75956698740191e-10,1.18413572460346e-09,957.831766672125,973.870874667862,452.863150782786,503.77827890567
"125","astA","astA",12,1859.61176780324,6.63746831247231,0.191715267611149,34.6214904800118,1.20008734420781e-262,2.31516850153424e-260,41.9461740926483,29.3414041453757,3631.4497940129,3735.70969896205
"126","astB","astB",24,1208.58666875625,6.56347682197722,0.223902080174602,29.3140502172151,6.86745695187253e-189,6.62423451816038e-187,29.3623218648538,18.7916858009709,2213.04822741022,2573.14443994896
"127","astC","astC",35,3853.02219322403,6.77005288779317,0.259247055211801,26.1142904102117,2.50915755021841e-150,1.65962849393018e-148,85.7160948849769,47.8034112480839,8031.91248558148,7246.65678118156
"128","astE","astE",23,719.48757369603,6.43355306513758,0.211268961466414,30.4519557462791,1.12857123129509e-203,1.13593147845571e-201,18.4198416667716,12.8574692322433,1358.58945234836,1488.08353153675
"129","atpA","atpA",90,4723.17541878407,-2.62414527409111,0.136304033494545,-19.2521468867326,1.3543258186022e-82,3.48362696673787e-81,8200.29466044277,8066.90806778873,1230.42063608908,1395.0783108157
"130","atpB","atpB",116,2391.54997941963,-2.74974013051826,0.1549106652238,-17.7504894614306,1.70858408055228e-70,3.40980357455046e-69,4369.51471776417,3963.72698921182,632.299493545776,600.658717156761
"131","atpD","atpD",188,2870.5060895136,-2.00937871352479,0.133407360224525,-15.0619779159335,2.88038820366436e-51,3.54686100610798e-50,4718.57983608299,4484.6193324668,1127.88558308165,1150.93960642295
"132","atpG","atpG",201,1961.38167324264,-2.63039896645324,0.179661222639345,-14.640883145572,1.54054105276325e-48,1.77430474484922e-47,3536.79197469012,3226.8950985948,465.680032408714,616.159587276935
"133","avtA","avtA",1248,252.971575287551,-0.686681819431162,0.215070932165408,-3.19281556330005,0.00140892905639979,0.00261351824163903,303.836200166748,320.447694711294,209.342399890156,178.260006382006
"134","azoR","azoR",1417,51.8031187167216,-1.09010026880438,0.437278354573132,-2.49292071607003,0.0126697133285266,0.0206989317964284,63.8311344888126,77.8041727899849,38.4506448777837,27.1265227103053
"135","bacA","bacA",2101,156.212744474344,0.117553017981344,0.235476108639069,0.499214203346319,0.617628489616561,0.680460482097985,154.288970792958,145.058627235565,166.619461137063,158.883918731788
"136","baeR","baeR",1638,54.6677035959052,0.657568159058947,0.378123848749588,1.73902852526612,0.0820297455148157,0.115933370492551,35.380685973799,49.4518047393972,64.0844081296395,69.7539155407851
"137","baeS","baeS",2050,25.4931218011588,0.305811022753723,0.502301011443084,0.608820240825604,0.542643595774403,0.612199754312858,21.3378363862602,24.3962236714359,21.3614693765465,34.8769577703926
"138","barA","barA",1257,115.887166556716,-0.935219319537339,0.294041898563955,-3.18056482462116,0.00146988249152333,0.00270706282249523,149.000105363885,156.267702976495,76.9012897555674,81.3795681309159
"139","basR","basR",278,172.238416715108,3.10485119548873,0.24702414456978,12.5690191171238,3.12577888572208e-36,2.60294176994483e-35,39.5753033830638,30.6601189384263,277.699101895104,341.019142643838
"140","basS","basS",778,79.1032180939572,1.72990842732907,0.287389372278505,6.01938900389344,1.75076661555847e-09,5.20954333549853e-09,35.1983113038309,37.5833716019419,119.62422850866,124.006960961396
"141","bax","bax",433,1674.89647349459,-1.64375286008488,0.166274016579427,-9.88580713872204,4.79700303294366e-23,2.56467945063847e-22,2749.84527377805,2329.18000322561,841.641893435932,778.918723538767
"142","bcr","bcr",1146,124.338893638692,0.924960406361503,0.247094292922524,3.74334993909197,0.000181583063378626,0.000366490664098971,86.263218894881,84.3977467552378,179.436342762991,147.258266141657
"143","bcsA","bcsA",1982,12.8829338615783,-0.585889689036071,0.725131044416238,-0.807977666309596,0.419103439059585,0.489517891737104,15.8665962872191,15.4948988183444,8.5445877506186,11.6256525901308
