	IAI1_batch1	IAI1_batch2	IAI1_K12ref_batch1	IAI1_K12ref_batch2
mukF	1113	789	1081	761
mukE	664	531	645	527
mukB	4496	3148	4217	2977
ycbB	559	360	558	360
ycbL	1247	895	1243	890
aspC	6452	3976	6337	3907
ompF	25326	18016	25321	18006
asnS	4933	3386	4808	3285
pncB	1338	812	1289	788
pepN	2360	1523	2060	1333
ssuC	13	8	13	8
ssuA	15	16	12	16
ycbR	19	8	19	8
ycbT	64	36	55	28
ycbF	30	24	28	22
pyrD	811	523	811	523
ycbX	475	252	472	252
ycbY	1224	883	1188	854
uup	1396	970	1388	968
pqiA	317	229	317	229
pqiB	714	567	691	550
ycbZ	1034	748	1030	743
yccR	144	105	144	105
yccS	411	326	410	322
helD	820	608	820	607
yccT	12	6	12	6
yccW	587	424	671	492
yccA	2525	1723	2452	1661
hyaA	7	2	7	2
hyaB	9	4	9	4
hyaC	6	8	6	8
hyaF	12	8	12	8
appC	78	72	80	72
appB	33	24	30	22
appA	62	43	62	43
yccC	7462	5813	7458	5812
yccZ	3544	2552	3544	2552
ymcA	2988	2143	2794	1997
ymcB	705	472	702	467
ymcC	1470	1103	1448	1081
yccM	56	30	55	30
torR	102	71	95	68
torC	15	13	15	10
torA	31	30	31	28
cbpA	264	227	260	225
agp	269	212	264	204
rutG	34	14	33	14
rutD	4	4	4	4
rutB	0	2	0	2
rutA	2	4	2	4
rutR	123	87	117	84
putP	2727	1796	2496	1633
efeO	3026	1636	2960	1596
efeB	1599	904	1547	878
phoH	361	243	361	243
ycdW	788	523	788	522
ycdX	937	667	936	661
csgG	47	39	38	32
csgD	25	22	25	21
ymdC	101	77	101	77
mdoC	72	54	68	51
mdoG	2007	1350	1913	1289
mdoH	1694	1138	1685	1133
mdtG	20	11	20	11
lpxL	114	71	113	71
yceA	1678	1103	1585	1027
solA	1233	739	1153	706
pyrC	648	344	643	362
grxB	316	171	315	171
mdtH	41	23	39	23
yceH	460	323	448	314
mviM	542	387	523	378
mviN	265	196	264	194
flgA	21	11	21	11
flgD	11	4	11	4
flgF	6	4	7	3
flgG	11	5	11	5
flgH	3	5	3	5
flgI	9	7	8	7
flgJ	8	4	8	4
flgK	43	33	40	30
flgL	40	30	38	25
rluC	1035	820	1035	820
plsX	2944	2198	2942	2198
fabH	4207	3027	4185	3016
fabD	4953	3258	4922	3242
fabG	7863	5253	7860	5249
fabF	8161	5678	7722	5349
pabC	331	254	328	254
yceG	328	245	301	223
tmk	299	188	295	183
holB	319	192	307	176
ycfH	443	300	442	299
ptsG	12883	9249	12878	9247
fhuE	325	127	318	127
ycfM	823	574	808	560
ycfN	411	256	409	255
nagZ	921	643	894	631
ndh	959	651	945	636
ycfQ	116	69	116	69
ycfS	155	113	154	112
mfd	1646	996	1565	938
lolC	485	268	485	268
lolD	395	232	350	208
lolE	803	597	796	591
ycfX	584	414	625	430
cobB	760	526	597	397
potD	4785	3519	3868	2894
potC	573	402	571	399
potB	373	243	368	235
potA	728	420	720	415
pepT	363	307	351	294
ycfD	1081	780	1053	749
phoQ	1704	1327	1699	1315
phoP	1371	1090	1304	1008
purB	1521	848	1428	783
hflD	274	138	274	138
trmU	1009	674	1009	674
ymfC	100	71	90	68
icd	39514	27458	36582	25320
ycgE	497	328	493	325
ycgF	192	119	192	119
ycgG	13	10	13	10
minD	3298	2523	3295	2523
minC	1154	745	1131	719
ycgM	975	677	894	617
umuC	68	51	67	51
nhaB	360	226	360	225
fadR	497	360	495	359
ycgB	31	29	32	28
dadA	244	163	219	143
dadX	133	93	127	89
cvrA	360	275	311	244
emtA	553	409	538	395
ycgR	92	54	92	54
treA	30	24	30	24
dhaH	1048	733	1040	728
dhaL	474	322	471	318
dhaK	871	562	857	555
dhaR	268	161	260	158
ychF	3004	2322	3001	2319
ychM	215	138	211	138
prsA	3780	2211	3779	2211
ispE	1008	568	1007	567
lolB	440	291	440	291
hemA	824	636	794	605
prfA	717	594	692	568
prmC	289	206	289	206
ychA	654	533	653	532
kdsA	2216	1715	2214	1712
chaA	1646	1167	1569	1131
chaC	320	249	277	206
ychP	146	106	156	118
narL	355	232	354	230
narX	272	185	275	187
narK	14	11	14	11
narG	63	48	63	48
narH	56	33	52	31
narJ	16	17	12	15
narI	20	13	20	13
purU	2111	1607	2045	1560
rssA	321	243	299	229
rssB	232	172	223	169
galU	2097	1583	2092	1581
tdk	514	415	514	415
adhE	8423	5824	8410	5815
ychE	75	61	73	58
oppA	1658	1115	1651	1111
oppB	321	223	319	220
oppC	422	311	422	310
oppD	559	383	506	352
oppF	610	393	562	358
cls	952	665	900	629
kch	342	245	326	241
tonB	731	377	713	372
yciC	574	443	561	435
ompW	525	927	504	890
trpA	2496	1633	2457	1585
trpB	4600	2742	4535	2709
trpD	2482	1274	2242	1170
trpE	1305	743	1114	636
yciV	418	317	418	317
yciO	356	234	318	209
rluB	1206	860	1009	715
yciK	626	439	600	427
sohB	1637	1123	1602	1097
topA	5958	4136	5948	4131
cysB	568	434	530	411
acnA	1476	1105	1380	1040
pgpB	225	154	225	154
yciM	814	612	805	605
pyrF	1329	959	1324	957
deoT	314	201	275	179
gmr	644	481	641	480
rnb	5397	3536	5296	3470
fabI	6623	4837	6530	4758
sapF	188	133	185	131
sapD	301	196	301	196
sapC	107	71	103	71
sapB	122	93	117	88
sapA	276	186	276	186
puuP	47	31	46	31
puuA	134	66	124	59
puuD	180	108	179	108
puuB	14	6	13	6
puuE	20	12	19	11
pspF	137	82	138	82
pspA	524	425	509	415
ycjM	9	7	9	7
ycjN	2	4	2	4
ycjO	3	4	2	3
ycjP	3	3	3	3
ycjQ	13	13	12	10
ycjR	8	8	7	7
ycjS	18	10	17	9
ycjU	2	1	2	0
ompG	6	11	5	11
ycjW	161	100	125	76
ycjX	243	160	173	109
ycjF	245	151	226	142
tyrR	957	723	949	720
ycjG	172	119	163	111
mpaA	111	68	108	64
ycjZ	159	123	154	121
mppA	959	777	951	768
ynaI	220	171	218	165
uspE	1375	1043	1369	1041
fnr	2207	1453	2207	1453
abgT	17	10	17	10
abgB	19	11	21	12
abgA	28	20	28	20
abgR	91	67	89	63
ydaM	55	45	54	45
ydaN	391	264	391	263
dbpA	155	107	149	105
ydaO	866	688	839	664
ompN	77	51	95	78
ldhA	607	424	579	402
feaR	155	108	154	108
feaB	131	95	131	91
maoC	37	30	36	30
paaA	26	14	26	14
paaC	26	21	24	21
paaJ	29	19	28	15
paaF	17	16	13	15
paaG	27	11	26	9
paaH	50	38	48	37
paaE	87	64	83	62
paaK	81	58	74	55
paaX	205	137	176	118
ydbC	66	47	57	43
azoR	340	261	324	244
hrpA	1394	931	1245	845
ydcF	144	101	139	99
aldA	580	374	572	373
trg	68	63	67	61
ydcI	491	332	487	330
ydcJ	56	27	56	27
mdoD	1437	994	1486	1021
ydcK	41	28	41	27
tehA	100	60	98	59
ydcL	417	283	415	277
ydcO	75	41	73	40
ydcP	1475	1097	1426	1069
ydcR	269	169	265	167
ydcS	28	20	28	20
ydcT	9	15	9	15
ydcU	13	9	13	9
ydcV	19	12	20	12
ydcW	97	71	93	70
yncB	137	113	141	116
yncC	62	51	62	51
yncD	337	211	336	211
yncE	8137	3875	7868	3750
ansP	444	325	439	323
yncG	7	9	7	8
nhoA	90	71	83	70
narV	36	13	35	12
narW	11	7	11	7
narY	25	27	25	23
narZ	55	38	55	38
narU	9	10	9	10
yddG	149	115	142	114
fdnG	112	82	118	90
fdnH	29	30	30	30
fdnI	47	39	46	36
adhP	85	40	77	37
sfcA	1784	1315	1661	1241
ddpD	24	7	23	7
ddpC	19	11	15	11
ddpB	9	4	9	4
ddpA	16	14	16	14
dos	286	206	269	197
yddV	355	230	333	217
yddW	255	195	251	190
gadC	76	59	71	59
gadB	162	115	162	115
ydeM	21	11	21	11
ydeN	120	68	120	67
ydeO	8	5	7	5
ydeP	211	168	188	151
ydeQ	70	70	67	67
lsrK	79	57	75	52
lsrR	130	110	123	108
lsrC	17	13	17	13
lsrD	12	11	12	11
lsrB	28	30	27	30
lsrF	70	39	63	36
tam	35	28	33	27
yneE	66	49	64	48
uxaB	164	108	157	107
yneF	215	177	150	122
yneH	283	207	280	206
yneI	147	138	131	126
ydeA	128	107	126	101
marC	108	85	103	85
eamA	422	264	404	245
ydeE	66	48	65	47
ydeH	230	194	230	194
dcp	2048	1488	1972	1434
ydfG	1567	1097	1539	1078
ydfH	357	285	350	283
ydfT	32	33	32	33
ydfU	6	3	6	3
rspB	105	77	95	71
rspA	243	159	151	110
ynfC	235	166	235	166
ynfF	50	46	50	45
ynfG	19	12	18	12
ynfH	127	81	127	81
dmsD	185	137	185	137
clcB	39	30	39	30
ynfK	132	121	132	121
dgsA	996	689	997	680
ynfL	61	37	57	35
ynfM	176	96	161	89
ydgD	175	125	150	111
ydgG	138	120	133	114
