	IAI1_batch1	IAI1_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
entA	1201	373	329	312
cstA	3522	2438	49377	42578
ybdH	593	434	1138	937
ybdL	203	141	177	145
ibrB	37	29	45	36
ibrA	19	10	22	14
ybdO	7	12	23	11
dsbG	272	166	182	187
ahpF	2862	2053	2627	2510
ybdR	40	26	74	51
rna	189	130	196	168
citT	19	13	37	24
citG	6	5	8	5
citF	3	1	4	2
citE	4	5	7	7
citC	9	7	12	10
citA	156	92	163	172
citB	52	47	52	59
dcuC	17	15	49	35
lipA	945	701	1701	1412
ybeF	47	48	105	89
lipB	241	138	110	116
dacA	1361	946	1069	927
rlpA	1170	750	905	811
mrdB	510	351	473	376
mrdA	739	547	530	512
phpB	75	49	62	71
nadD	171	121	152	117
holA	585	399	495	415
leuS	7709	5412	6278	5742
ybeQ	64	48	185	166
ybeU	7	11	15	9
hscC	62	43	218	167
rihA	499	361	2222	1944
gltL	680	508	2433	2253
gltK	446	315	1842	1582
gltJ	515	372	2303	2115
gltI	4413	3067	30565	27185
ybeX	1711	1158	1569	1348
ybeZ	1309	915	1148	1019
miaB	1355	966	658	537
asnB	2387	1490	812	817
nagD	497	294	337	311
nagC	550	374	543	447
nagA	990	709	992	854
nagB	554	404	637	565
nagE	1345	981	5443	4901
glnS	3616	2528	2467	2276
ybfM	28	22	275	184
ybfF	289	181	243	208
pgm	4898	3386	7561	7131
potE	78	60	135	113
kdpE	60	37	49	35
kdpD	161	91	181	159
kdpB	33	20	68	85
ybgH	403	307	231	223
ybgI	1190	885	1015	972
ybgJ	825	528	779	695
ybgK	966	730	831	782
nei	245	192	156	135
abrB	58	37	16	21
gltA	9599	6088	13016	12972
sdhA	9641	6753	21655	20105
sdhB	3931	2942	11130	9928
sucA	18838	12552	38937	36997
sucB	12045	7925	28161	25693
sucC	13132	8836	46738	43893
sucD	10225	6606	35277	32683
mngR	109	82	169	127
mngA	15	2	24	33
cydA	4231	3587	12264	11181
cydB	2581	2160	7161	6737
tolQ	1298	927	952	849
tolA	2152	1428	1935	1734
tolB	8869	6433	9051	8122
ybgF	3869	2686	3348	3006
nadA	1475	863	898	816
pnuC	782	488	585	564
zitB	211	130	200	192
aroG	8700	6027	2526	2422
gpmA	8103	5576	7270	6975
galM	3012	2282	3134	2944
galK	684	559	1028	1127
galT	349	213	452	437
galE	379	242	362	378
modF	1791	1253	1218	1090
modE	286	182	336	308
modA	270	202	472	340
modB	148	107	270	239
modC	262	178	485	374
ybhA	298	226	266	219
pgl	644	450	528	456
ybhD	26	9	32	30
ybhH	4	1	15	8
ybhI	1169	845	270	220
ybhJ	67	67	99	83
ybhC	2704	2226	1840	1722
bioB	1635	1034	1270	1113
bioC	458	278	262	210
bioD	455	308	333	268
uvrB	742	529	903	791
ybhK	377	237	540	456
moaA	963	588	945	699
ybhL	493	294	605	549
ybhN	8	4	20	10
ybhO	13	8	26	12
ybhP	14	13	29	18
ybhR	46	37	112	76
ybhS	74	60	136	104
ybhF	252	185	342	226
ybhG	160	100	236	236
ybiH	58	40	72	52
rhlE	188	111	34	26
dinG	205	136	169	165
ybiB	313	226	268	236
ybiC	2642	1885	2097	2038
ybiX	50	41	85	98
fiu	378	123	79	54
ybiN	282	201	132	148
ybiO	53	27	56	41
glnQ	785	571	2398	2258
glnP	540	440	2163	2083
glnH	2287	1675	14197	12773
rhtA	66	46	82	50
ybiR	264	192	305	280
ybiS	1606	1102	1005	936
ybiT	2162	1539	1773	1615
ybiU	108	79	69	59
ybiV	283	220	149	132
ybiW	65	39	82	90
ybiY	11	5	22	15
fsaA	49	32	47	42
moeB	274	194	203	167
moeA	446	291	412	341
iaaA	1526	1027	1441	1261
yliA	1244	848	1279	1138
yliB	1149	822	1461	1345
yliC	414	262	498	429
yliD	330	234	327	263
yliE	417	421	172	143
yliF	167	181	57	47
yliG	656	412	323	276
yliI	23	25	40	35
yliJ	877	643	1273	1141
dacC	928	730	1020	923
deoR	472	363	473	383
cmr	224	173	155	146
ybjI	225	137	208	187
ybjJ	107	77	88	87
ybjL	422	264	352	333
nfsA	429	263	457	383
rimK	370	247	379	337
potF	1473	1053	1460	1374
potG	608	439	543	428
potH	313	208	317	256
potI	273	177	272	200
rumB	279	190	96	103
artJ	3931	2815	1793	1717
artM	730	544	770	670
artQ	656	525	904	820
artI	1543	1202	2125	1847
artP	937	636	1015	898
ybjR	231	162	305	243
ybjS	263	149	290	257
ybjT	561	344	567	537
ltaE	893	540	779	654
poxB	47	23	43	41
hcr	27	8	23	27
hcp	15	16	21	15
ybjE	155	76	61	72
aqpZ	100	54	81	56
ybjD	448	325	556	495
ybjX	2316	1691	1459	1206
macA	351	228	460	396
macB	377	248	462	404
clpA	6294	4321	13129	11457
aat	116	54	73	45
cydC	484	311	373	341
cydD	566	374	407	346
trxB	5468	3746	3904	3760
lolA	723	542	896	785
ycaJ	507	405	556	516
serS	5551	4025	4672	4247
dmsA	80	92	74	96
dmsB	26	33	33	32
dmsC	71	68	104	104
ycaC	40	25	94	75
ycaD	239	200	166	138
ycaM	22	11	58	37
ycaN	91	70	117	89
pflA	300	214	357	394
pflB	11469	10594	19560	17170
focA	966	945	1968	1642
ycaO	1743	1174	403	414
ycaP	333	237	634	459
serC	12366	8189	5210	5126
aroA	5723	3980	1765	1748
ycaL	77	53	57	55
cmk	2884	2112	2063	1830
rpsA	85900	63854	55666	53343
msbA	1873	1250	1604	1435
lpxK	431	272	341	320
kdsB	1218	849	918	837
ycbJ	80	66	259	265
smtA	549	426	739	599
mukF	1113	789	1406	1317
mukE	664	531	876	724
mukB	4496	3148	5403	5000
ycbB	559	360	513	432
ycbL	1247	895	2405	1970
aspC	6452	3976	7275	6849
ompF	25326	18016	85382	73409
asnS	4933	3386	2912	2756
pncB	1338	812	919	860
pepN	2360	1523	6121	5694
ssuC	13	8	13	12
ssuA	15	16	23	25
ycbR	19	8	20	16
ycbT	64	36	72	42
ycbF	30	24	41	36
pyrD	811	523	319	287
ycbX	475	252	554	447
ycbY	1224	883	1043	869
uup	1396	970	1365	1153
pqiA	317	229	270	216
pqiB	714	567	610	546
ycbZ	1034	748	966	805
yccR	144	105	413	377
yccS	411	326	353	339
helD	820	608	768	693
yccT	12	6	16	14
yccW	587	424	495	466
yccA	2525	1723	3451	2842
hyaA	7	2	4	4
hyaB	9	4	10	15
hyaC	6	8	14	13
hyaF	12	8	17	11
appC	78	72	194	169
appB	33	24	40	30
appA	62	43	77	65
yccC	7462	5813	3151	2540
yccZ	3544	2552	1667	1369
ymcA	2988	2143	1431	1052
ymcB	705	472	354	296
ymcC	1470	1103	1114	683
yccM	56	30	46	47
torR	102	71	157	136
torC	15	13	41	34
torA	31	30	74	75
cbpA	264	227	302	306
agp	269	212	5098	4426
rutG	34	14	29	32
rutD	4	4	3	5
rutB	0	2	0	0
rutA	2	4	4	7
rutR	123	87	145	120
putP	2727	1796	6456	5586
efeO	3026	1636	2407	2127
efeB	1599	904	1346	1144
phoH	361	243	1322	1098
ycdW	788	523	800	657
ycdX	937	667	953	888
csgG	47	39	87	58
csgD	25	22	44	40
ymdC	101	77	193	159
mdoC	72	54	82	57
mdoG	2007	1350	2492	2130
mdoH	1694	1138	1718	1570
mdtG	20	11	26	20
lpxL	114	71	137	102
yceA	1678	1103	909	712
solA	1233	739	1030	977
pyrC	648	344	450	472
grxB	316	171	433	464
mdtH	41	23	100	88
yceH	460	323	489	485
mviM	542	387	624	542
mviN	265	196	152	147
flgA	21	11	33	34
flgD	11	4	14	12
flgF	6	4	4	2
flgG	11	5	8	6
flgH	3	5	9	8
flgI	9	7	11	11
flgJ	8	4	13	8
flgK	43	33	51	61
flgL	40	30	82	66
rluC	1035	820	960	808
plsX	2944	2198	2694	2270
fabH	4207	3027	3733	3399
fabD	4953	3258	4717	4581
fabG	7863	5253	8894	8560
fabF	8161	5678	6225	5937
pabC	331	254	399	262
yceG	328	245	291	221
tmk	299	188	238	222
holB	319	192	257	252
ycfH	443	300	464	349
ptsG	12883	9249	32058	28394
fhuE	325	127	307	244
ycfM	823	574	1016	948
ycfN	411	256	379	362
nagZ	921	643	901	879
ndh	959	651	255	253
ycfQ	116	69	246	213
ycfS	155	113	251	231
mfd	1646	996	1306	1249
lolC	485	268	436	355
lolD	395	232	254	191
lolE	803	597	1129	1005
ycfX	584	414	1057	924
cobB	760	526	835	739
potD	4785	3519	3877	3698
potC	573	402	468	433
potB	373	243	194	177
potA	728	420	330	303
pepT	363	307	600	511
ycfD	1081	780	1058	892
phoQ	1704	1327	1475	1358
phoP	1371	1090	1258	1173
purB	1521	848	815	762
hflD	274	138	175	177
trmU	1009	674	841	702
ymfC	100	71	60	68
icd	39514	27458	77740	71596
ycgE	497	328	595	543
ycgF	192	119	373	332
ycgG	13	10	27	17
minD	3298	2523	5472	5236
minC	1154	745	1468	1364
ycgM	975	677	1185	1050
umuC	68	51	82	74
nhaB	360	226	359	307
fadR	497	360	1092	838
ycgB	31	29	60	43
dadA	244	163	967	934
dadX	133	93	616	489
cvrA	360	275	283	270
emtA	553	409	526	491
ycgR	92	54	79	53
treA	30	24	82	57
dhaH	1048	733	624	579
dhaL	474	322	385	326
dhaK	871	562	679	655
dhaR	268	161	231	195
ychF	3004	2322	2365	2230
ychM	215	138	463	374
prsA	3780	2211	4218	4107
ispE	1008	568	1113	1020
lolB	440	291	395	398
hemA	824	636	850	752
prfA	717	594	575	576
prmC	289	206	190	188
ychA	654	533	723	628
kdsA	2216	1715	1901	1876
chaA	1646	1167	1002	819
chaC	320	249	157	165
ychP	146	106	137	124
narL	355	232	301	226
narX	272	185	217	140
narK	14	11	26	15
narG	63	48	84	82
narH	56	33	71	82
narJ	16	17	22	15
narI	20	13	46	26
purU	2111	1607	1048	1007
rssA	321	243	410	365
rssB	232	172	279	235
galU	2097	1583	2168	2139
tdk	514	415	407	341
adhE	8423	5824	3877	3526
ychE	75	61	64	68
oppA	1658	1115	3392	3115
oppB	321	223	505	456
oppC	422	311	657	620
oppD	559	383	755	748
oppF	610	393	774	639
cls	952	665	988	825
kch	342	245	231	203
tonB	731	377	719	611
yciC	574	443	759	711
ompW	525	927	6751	7959
trpA	2496	1633	1337	1240
trpB	4600	2742	2340	2107
trpD	2482	1274	1123	999
trpE	1305	743	432	415
yciV	418	317	495	472
yciO	356	234	337	337
rluB	1206	860	580	572
yciK	626	439	861	809
sohB	1637	1123	1758	1526
topA	5958	4136	6362	5958
cysB	568	434	505	423
acnA	1476	1105	4780	4635
pgpB	225	154	349	300
yciM	814	612	1234	917
pyrF	1329	959	756	720
deoT	314	201	386	319
gmr	644	481	488	411
rnb	5397	3536	2397	2365
fabI	6623	4837	4734	4544
sapF	188	133	190	152
sapD	301	196	267	241
sapC	107	71	100	79
sapB	122	93	121	99
sapA	276	186	247	225
puuP	47	31	383	297
puuA	134	66	1818	1292
puuD	180	108	2730	2001
puuB	14	6	240	203
puuE	20	12	262	180
pspF	137	82	189	161
pspA	524	425	677	583
ycjM	9	7	67	37
ycjN	2	4	28	21
ycjO	3	4	19	10
ycjP	3	3	10	12
ycjQ	13	13	22	21
ycjR	8	8	22	16
ycjS	18	10	36	27
ycjU	2	1	7	3
ompG	6	11	18	14
ycjW	161	100	192	186
ycjX	243	160	192	162
ycjF	245	151	283	257
tyrR	957	723	1112	981
ycjG	172	119	748	612
mpaA	111	68	219	176
ycjZ	159	123	212	162
mppA	959	777	2407	2022
ynaI	220	171	370	322
uspE	1375	1043	4993	4367
fnr	2207	1453	2988	2736
abgT	17	10	34	20
abgB	19	11	51	49
abgA	28	20	90	90
abgR	91	67	272	244
ydaM	55	45	89	57
ydaN	391	264	492	402
dbpA	155	107	134	92
ydaO	866	688	525	466
ompN	77	51	179	142
ldhA	607	424	662	582
feaR	155	108	2560	1734
feaB	131	95	396	322
maoC	37	30	189	144
paaA	26	14	231	170
paaC	26	21	151	132
paaJ	29	19	116	103
paaF	17	16	47	51
paaG	27	11	61	49
paaH	50	38	125	106
paaE	87	64	893	872
paaK	81	58	1289	1088
paaX	205	137	473	365
ydbC	66	47	1146	1024
azoR	340	261	356	286
hrpA	1394	931	706	678
ydcF	144	101	212	206
aldA	580	374	11616	10390
trg	68	63	183	140
ydcI	491	332	3009	2580
ydcJ	56	27	175	135
mdoD	1437	994	2305	1928
ydcK	41	28	68	63
tehA	100	60	145	103
ydcL	417	283	913	832
ydcO	75	41	106	75
ydcP	1475	1097	999	935
ydcR	269	169	237	207
ydcS	28	20	52	51
ydcT	9	15	11	9
ydcU	13	9	18	14
ydcV	19	12	14	23
ydcW	97	71	136	120
yncB	137	113	985	831
yncC	62	51	133	102
yncD	337	211	218	160
yncE	8137	3875	7130	6352
ansP	444	325	188	158
yncG	7	9	19	12
nhoA	90	71	121	131
narV	36	13	40	36
narW	11	7	20	13
narY	25	27	54	38
narZ	55	38	68	63
narU	9	10	9	13
yddG	149	115	99	106
fdnG	112	82	239	219
fdnH	29	30	63	65
fdnI	47	39	72	67
adhP	85	40	80	78
sfcA	1784	1315	1765	1753
ddpD	24	7	78	67
ddpC	19	11	50	58
ddpB	9	4	30	39
ddpA	16	14	124	98
dos	286	206	307	222
yddV	355	230	329	223
yddW	255	195	364	344
gadC	76	59	117	99
gadB	162	115	172	154
ydeM	21	11	267	235
ydeN	120	68	2784	2571
ydeO	8	5	6	6
ydeP	211	168	211	184
ydeQ	70	70	14	15
lsrK	79	57	529	435
lsrR	130	110	1007	882
lsrC	17	13	218	146
lsrD	12	11	174	127
lsrB	28	30	641	552
lsrF	70	39	723	668
tam	35	28	195	156
yneE	66	49	62	49
uxaB	164	108	258	218
yneF	215	177	206	162
yneH	283	207	223	204
yneI	147	138	128	97
ydeA	128	107	63	46
marC	108	85	95	81
eamA	422	264	683	545
ydeE	66	48	107	80
ydeH	230	194	652	525
