"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_starvation1","IAI1_starvation2"
"15","tig",5606.13689411075,-3.64059993239113,0.100025621878349,-36.3966738124241,4.80531434917495e-290,7.56356478560138e-288,9699.72823748749,11068.022765457,837.898477185935,818.898096312545
"16","dnaK",30485.6467789289,2.95468416138459,0.0816133778656521,36.203429372185,5.37665173733778e-287,7.93392171990906e-285,6644.20239309668,7258.72595733313,52396.4042890358,55643.2544762499
"17","garR",1399.49395186539,4.68241423703118,0.129752437581034,36.0872930352995,3.58907182675436e-285,4.98458740174531e-283,106.02771068864,101.82301977043,2835.8599510574,2554.26512594509
"18","atpA",14015.760990881,-2.97932547370296,0.0832458221242781,-35.7894894623673,1.60933853483595e-280,2.11091571152649e-278,23899.0074473242,25871.4160370128,3212.16976795189,3080.45071123528
"19","arcA",10719.4227628454,2.73961355505537,0.0784411261740778,34.9257295079571,3.02555856442906e-267,3.75965461611422e-265,2817.56592551575,2755.49829529431,18259.147913992,19045.4789165796
"20","tufB",35516.9598560668,-2.68903847567076,0.0774864436059906,-34.7033410043208,7.01513652818654e-264,8.28136867152421e-262,59421.3026788905,63607.3061311117,9541.75503341463,9497.47558085039
"21","rpsC",8620.51132254415,-3.28424137794559,0.096460312279115,-34.0475922205434,4.40585421433397e-254,4.95343895240119e-252,14476.3970900456,16804.9827697828,1559.38456497285,1641.28086537536
"22","tufA",34838.2931899651,-2.64805506321459,0.0778442985545984,-34.0173283385333,1.23514845027292e-253,1.32553885958834e-251,57960.4095060499,62252.9204845762,9591.8394335049,9548.00333572925
"23","garK",1036.8495044871,4.73556384023514,0.143137439597333,33.0840334545385,5.04316481769811e-240,5.17691831938489e-238,78.918352842113,69.0443764196752,2072.41125778944,1927.02403089718
"24","mltD",4070.89999932814,-3.06887863691817,0.0932253691169862,-32.9189218126572,1.17845083732229e-237,1.15930101121581e-235,7094.8201635234,7460.97716098672,875.800185362358,852.002487440073
"25","garP",975.584194977272,5.3935732590858,0.165626718754052,32.5646326852312,1.29969766116505e-232,1.22743447120428e-230,49.3992742981165,39.0554048434526,1808.45293298935,2005.42916777817
"26","atpG",5435.14484372055,-2.98490480009225,0.0928220699937048,-32.1572746685641,6.98848851638142e-227,6.34608514891405e-225,9329.83611042599,9975.86626572762,1156.00209938092,1278.87489934768
"27","carB",1673.29483817046,-4.48308462631357,0.14268743511521,-31.4189166179475,1.11628632370438e-216,9.76130374172611e-215,3069.98416857563,3339.93453205883,142.131405661588,141.129246385779
"28","atpD",9507.08932493596,-2.58369505494015,0.0837504205437612,-30.8499352978189,5.61283817587056e-209,4.73282533329657e-207,15664.3893938979,16937.492179073,2703.20397243992,2723.271754333
"29","sfsA",4278.21707162802,2.93599195651112,0.0982580702154426,29.8804154210804,3.53585041109927e-196,2.87866993813979e-194,992.202497182902,978.477374917215,6967.14614228757,8175.04227212439
"30","yodA",1455.27672738621,-4.67213820529269,0.1567072623375,-29.814433202402,2.53951658030834e-195,1.99859954870267e-193,2659.12678965715,2944.49855801888,104.229697485165,113.25186438365
"31","clpA",23552.5838762241,2.26906758818591,0.0763778900350378,29.7084350869734,5.97508413376913e-194,4.55070117413836e-192,8037.62338640818,8127.01129715631,37917.951765642,40127.7490556898
"32","garL",743.303635826579,5.85220404562917,0.200090832560959,29.2477369938788,4.79790176496584e-188,3.53995189596386e-186,25.3020673234255,23.7122100835248,1399.65593765793,1524.54432824144
"33","yeaH",747.884291180653,4.89168468449536,0.167660385538478,29.1761507572862,3.893122733241e-187,2.7853523555097e-185,56.0260062161566,39.0554048434526,1453.80123505282,1442.65451861019
"34","yedE",2203.89082705294,-3.37393273904986,0.115855420466043,-29.1219239072095,1.89485620980483e-186,1.31581044451447e-184,3896.51836780753,4151.72901844774,422.333319680148,344.982602276349
"35","rpsD",10984.6096139501,-2.54186175101366,0.0887505665328183,-28.6405129602607,2.10432850493155e-180,1.41951988575525e-178,17972.2993918989,19536.0714370499,3042.96571359286,3387.1019132587
"36","potD",1662.91488347306,-3.50819252094828,0.125201785424581,-28.0203074505,9.19275597525066e-173,6.02891579376856e-171,2891.66483696292,3226.95282519027,273.433751844198,259.608119894828
"37","znuA",3171.64181941611,-2.66855279311886,0.095365460255112,-27.9823825731059,2.66213711117227e-172,1.69873127553452e-170,5323.67545088361,5642.80858193527,854.142066404402,865.941178441138
"38","adhE",7209.08821639696,2.31864356349348,0.0829695574714758,27.9457144783568,7.43222691050733e-172,4.61775993044942e-170,2339.8387972425,2467.46468457385,11648.0071020759,12381.0422816956
"39","ilvE",2169.65247138908,-3.37422086875706,0.122119695521471,-27.6304395810077,4.79553321960771e-168,2.90314203371636e-166,3662.17302997866,4260.5262176545,407.443362896553,348.467275026615
"40","ilvD",2232.48133107228,-3.00082276208969,0.10914672143133,-27.4934759627906,2.10109049388723e-166,1.24016866401694e-164,3776.03233293408,4164.97995937677,481.893146814528,507.019885163725
"41","rpoA",15758.7772324392,-2.35650305087375,0.0860989476229891,-27.3697079457048,6.29354883816018e-165,3.62416312363321e-163,25183.3885790752,27568.9313118158,4916.39300345608,5366.39603540987
