	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2
appC	194	169	89	45
appB	41	36	25	16
appA	77	65	55	40
yccC	3151	2545	220	198
yccZ	1667	1369	31	32
ymcA	1520	1136	17	23
ymcB	357	297	8	7
ymcC	1125	691	85	78
yccM	47	48	39	33
torR	165	141	103	76
torC	42	35	12	11
torA	74	78	60	45
cbpA	310	311	309	206
agp	5207	4513	4509	3380
rutG	31	37	44	38
rutD	3	5	7	3
rutB	0	0	2	2
rutA	5	7	7	4
rutR	152	123	221	169
putP	7141	6119	4302	3745
efeO	2481	2200	97	67
efeB	1393	1175	90	65
phoH	1323	1098	8730	7438
ycdW	800	658	446	289
ycdX	957	890	558	358
csgG	105	76	95	67
csgD	45	42	97	60
ymdC	194	159	125	107
mdoC	89	61	68	42
mdoG	2598	2249	794	708
mdoH	1727	1574	502	403
mdtG	26	20	25	24
lpxL	140	105	117	97
yceA	972	753	61	65
solA	1084	1033	451	320
pyrC	444	465	49	44
grxB	433	465	109	104
mdtH	106	92	61	59
yceH	505	501	647	437
mviM	648	562	725	572
mviN	152	147	43	43
flgA	33	34	19	14
flgD	14	12	7	4
flgF	7	3	2	4
flgG	9	6	2	1
flgH	9	8	3	4
flgI	12	11	2	1
flgJ	13	8	6	2
flgK	51	65	61	44
flgL	92	71	96	89
rluC	960	808	148	118
plsX	2706	2278	257	186
fabH	3742	3417	562	453
fabD	4737	4609	632	425
fabG	8908	8562	3574	2488
fabF	6542	6277	3348	2749
pabC	401	262	138	102
yceG	308	240	99	64
tmk	244	223	72	53
holB	276	261	74	64
ycfH	465	353	83	88
ptsG	32078	28405	433	380
fhuE	312	254	194	186
ycfM	1044	966	252	178
ycfN	379	363	141	106
nagZ	926	903	545	446
ndh	263	262	119	90
ycfQ	247	213	472	410
ycfS	255	233	136	120
mfd	1383	1331	555	420
lolC	437	356	58	35
lolD	285	213	19	22
lolE	1138	1015	458	346
ycfX	1010	875	364	256
cobB	1073	960	232	200
potD	4800	4627	202	149
potC	468	435	33	43
potB	199	182	27	22
potA	336	316	64	52
pepT	651	528	684	535
ycfD	1099	915	523	452
phoQ	1480	1361	435	318
phoP	1329	1250	971	727
purB	878	835	88	63
hflD	176	177	61	60
trmU	841	702	102	78
ymfC	68	74	59	43
icd	84266	77839	38871	30130
ycgE	607	555	334	253
ycgF	373	332	107	89
ycgG	27	18	25	20
minD	5475	5239	1499	1120
minC	1498	1383	699	503
ycgM	1284	1156	537	405
umuC	82	74	95	74
nhaB	359	307	130	114
fadR	1097	842	1486	1158
ycgB	62	44	809	682
dadA	1053	1027	2981	2130
dadX	637	506	1038	804
cvrA	311	300	119	111
emtA	538	501	121	99
ycgR	80	54	22	11
treA	82	57	190	121
dhaH	636	588	238	190
dhaL	386	329	85	83
dhaK	692	665	192	140
dhaR	236	203	134	106
ychF	2367	2233	712	507
ychM	469	377	526	432
prsA	4219	4111	298	273
ispE	1113	1021	131	124
lolB	395	398	100	80
hemA	889	779	307	220
prfA	595	606	122	81
prmC	190	188	25	37
ychA	723	629	502	407
kdsA	1906	1879	786	565
chaA	1044	849	384	300
chaC	194	193	301	202
ychP	113	93	57	34
narL	303	226	93	62
narX	215	141	130	100
narK	26	15	40	25
narG	84	82	68	45
narH	74	82	50	51
narJ	27	16	22	23
narI	46	26	22	24
purU	1079	1046	369	244
rssA	433	387	312	242
rssB	290	244	256	174
galU	2175	2140	1042	739
tdk	407	341	146	114
adhE	3884	3538	8605	7106
ychE	66	68	68	72
oppA	3402	3119	943	658
oppB	508	457	70	68
oppC	658	620	79	66
oppD	815	810	141	93
oppF	841	699	263	205
cls	1048	869	1088	773
kch	234	211	176	113
tonB	733	631	605	514
yciC	769	729	699	553
ompW	6992	8263	2550	1605
trpA	1370	1271	146	143
trpB	2366	2125	208	171
trpD	1247	1106	81	85
trpE	511	482	29	34
yciV	495	472	374	385
yciO	372	381	258	221
rluB	686	692	149	94
yciK	888	834	483	361
sohB	1794	1558	952	777
topA	6384	5966	1336	1042
cysB	526	440	597	457
acnA	5041	4858	2457	1709
pgpB	349	300	225	167
yciM	1251	922	826	576
pyrF	758	723	49	32
deoT	424	352	210	204
gmr	488	414	404	331
rnb	2439	2403	208	155
fabI	4804	4613	2958	2432
sapF	195	154	44	33
sapD	267	242	85	76
sapC	105	85	45	32
sapB	125	104	85	46
sapA	247	225	170	140
puuP	389	301	68	44
puuA	2011	1424	161	136
puuD	2766	2023	300	293
puuB	256	225	4	6
puuE	293	203	25	16
pspF	190	161	141	99
pspA	700	595	1449	1098
ycjM	67	37	36	28
ycjN	28	23	9	3
ycjO	21	10	8	5
ycjP	11	12	6	3
ycjQ	26	25	8	6
ycjR	24	16	4	8
ycjS	38	28	15	11
ycjU	7	4	3	2
ompG	19	18	14	7
ycjW	274	229	55	54
ycjX	282	229	341	261
ycjF	312	277	237	177
tyrR	1121	986	867	645
ycjG	776	643	672	477
mpaA	225	187	141	114
ycjZ	216	166	111	69
mppA	2438	2044	1411	1074
ynaI	376	333	209	174
uspE	5007	4381	8920	6788
fnr	2988	2736	4029	3419
abgT	28	18	9	19
abgB	54	45	25	15
abgA	90	90	14	14
abgR	283	249	120	120
ydaM	93	58	163	107
ydaN	499	406	321	254
dbpA	137	95	47	27
ydaO	546	488	128	108
ompN	124	100	171	134
ldhA	685	615	503	355
feaR	2564	1735	1247	1054
feaB	406	328	407	367
maoC	190	144	23	18
paaA	231	171	14	14
paaC	159	134	20	10
paaJ	127	113	23	13
paaF	52	56	1	2
paaG	65	52	5	4
paaH	131	110	17	9
paaE	907	882	1322	968
paaK	1352	1145	806	602
paaX	558	418	226	169
ydbC	1310	1147	1458	1164
azoR	370	306	181	208
hrpA	806	770	227	183
ydcF	216	209	134	80
aldA	11735	10493	6358	5000
trg	190	145	149	115
ydcI	3027	2597	2213	1769
ydcJ	175	135	319	191
mdoD	2242	1858	623	430
ydcK	72	68	90	70
tehA	145	103	116	95
ydcL	926	846	429	332
ydcO	110	75	59	50
ydcP	1035	973	201	157
ydcR	240	209	57	80
ydcS	53	51	354	230
ydcT	12	9	58	67
ydcU	18	14	49	26
ydcV	13	23	37	24
ydcW	135	122	127	93
yncB	966	812	662	443
yncC	133	102	249	169
yncD	218	160	67	58
yncE	7371	6550	4186	3140
ansP	190	161	55	61
yncG	24	13	30	19
nhoA	125	135	96	61
narV	42	40	60	47
narW	20	13	18	20
narY	57	41	52	30
narZ	68	63	75	58
narU	9	13	43	44
yddG	108	108	25	26
fdnG	197	188	388	335
fdnH	62	64	97	85
fdnI	75	69	56	57
adhP	91	87	127	88
sfcA	1903	1868	615	476
ddpD	84	73	20	21
ddpC	50	60	23	16
ddpB	31	39	12	13
ddpA	124	99	44	39
dos	322	234	142	129
yddV	351	239	501	350
yddW	377	352	250	206
gadC	119	103	151	99
gadB	172	154	102	87
ydeM	274	240	87	72
ydeN	2786	2577	449	451
ydeO	6	6	13	5
ydeP	231	203	319	207
ydeQ	15	15	26	15
lsrK	552	462	689	568
lsrR	1077	936	587	481
lsrC	240	161	92	53
lsrD	175	127	44	34
lsrB	666	569	96	54
lsrF	751	693	112	73
tam	201	163	87	69
yneE	62	51	29	19
uxaB	275	239	181	134
yneF	253	205	187	187
yneH	227	206	18	15
yneI	143	110	53	41
ydeA	64	46	43	31
marC	95	83	93	60
eamA	721	574	336	265
ydeE	109	83	88	58
ydeH	656	527	1059	669
dcp	2441	2236	434	252
ydfG	1971	1654	644	470
ydfH	419	352	247	215
ydfT	70	41	55	38
ydfU	13	12	15	11
rspB	242	168	120	108
rspA	738	572	161	141
ynfC	370	299	359	250
ynfF	85	64	50	39
ynfG	19	23	8	10
ynfH	123	122	71	73
dmsD	150	127	85	76
clcB	33	24	16	14
ynfK	745	632	592	425
dgsA	4282	3311	668	471
ynfL	55	43	54	43
ynfM	56	48	53	40
ydgD	231	198	522	394
ydgG	90	102	174	109
pntB	13964	13573	2367	1663
pntA	18161	17493	2064	1433
ydgH	6688	5705	1749	1474
ydgI	178	149	61	49
folM	355	331	134	111
rstA	742	762	195	153
rstB	882	685	169	126
tus	281	240	233	153
fumC	4777	3900	4745	3693
fumA	26011	24513	20474	17513
manA	1017	988	344	300
ydgA	2036	1908	1166	885
uidC	46	28	91	54
uidB	63	43	99	73
uidA	273	234	393	251
hdhA	724	700	284	219
malI	137	144	166	118
malX	306	305	140	91
malY	601	557	214	189
add	428	351	515	390
ydgJ	1561	1313	948	741
rsxD	183	156	18	15
rsxG	146	107	9	16
rsxE	99	65	19	17
nth	108	84	29	7
ydgR	216	163	66	51
gst	1874	1653	1829	1560
pdxY	557	541	128	91
tyrS	4328	4031	1055	796
pdxH	718	696	249	226
anmK	848	753	491	362
ydhJ	29	39	14	8
ydhF	508	446	459	300
nemA	236	250	68	56
rnt	95	88	20	19
ydhO	721	623	135	109
ydhP	91	75	18	15
purR	2180	1977	250	209
ydhB	125	89	37	44
ydhC	56	45	16	20
cfa	416	323	954	856
ribC	985	892	623	468
mdtK	211	150	631	496
ydhQ	938	760	645	504
ydhS	35	30	122	90
ydhT	50	40	44	29
ydhU	98	68	78	59
ydhX	43	56	26	15
ydhV	108	69	58	37
ydhY	11	6	10	13
pykF	1771	1740	483	331
ynhG	343	281	852	657
sufS	550	380	212	175
sufC	337	223	185	125
sufB	621	462	462	339
ydiK	453	380	278	234
ydiM	36	18	65	59
ydiN	52	41	58	45
ydiB	82	77	46	35
aroD	421	368	127	129
ydiF	20	26	24	26
ydiO	38	21	12	19
ydiP	138	137	216	195
ydiQ	21	13	8	10
ydiR	32	30	16	13
ydiS	23	19	15	11
ydiD	142	82	76	56
pps	25294	23474	13037	10050
ydiA	275	223	196	199
aroH	164	157	35	29
ydiV	433	312	148	88
btuD	337	288	53	34
btuC	317	235	128	103
pheT	9569	8861	3366	2625
pheS	2910	2611	246	172
thrS	24342	21660	12880	10951
ydiY	48	43	35	32
pfkB	187	174	194	128
yniA	1406	1235	8811	6715
yniC	324	312	169	200
ydjN	2626	2410	366	290
katE	180	198	69	38
chbF	202	241	252	178
chbR	249	226	285	205
chbC	217	187	458	396
nadE	1256	1169	536	376
ydjQ	63	56	55	34
astE	69	73	120	107
astB	102	68	177	130
astA	85	68	223	167
astC	144	101	418	328
xthA	584	546	190	154
ydjX	92	66	84	60
ydjZ	47	50	17	17
ynjE	912	871	66	48
ynjF	62	53	42	33
gdhA	10066	10826	686	579
topB	1775	1512	314	211
selD	2674	2390	1536	1147
sppA	1109	943	538	416
ansA	393	347	66	62
pncA	582	481	258	227
ydjE	84	68	138	86
ydjF	525	400	364	293
ydjG	167	149	68	45
ydjH	69	88	36	18
ydjI	75	118	54	30
ydjJ	109	85	34	18
ydjK	78	86	25	18
ydjL	87	78	27	15
gapA	18990	17862	5452	4418
yeaD	297	281	71	59
yeaE	330	327	141	129
mipA	2640	2369	247	201
yeaG	327	286	3311	2441
yeaH	93	56	1074	828
yeaI	10	5	30	25
yeaJ	165	115	133	101
yeaM	93	57	62	51
yeaN	58	37	27	24
yeaP	815	623	381	310
yeaS	52	42	85	77
yeaT	236	182	103	81
yeaU	90	57	90	108
yeaV	444	353	359	315
yeaW	1665	1601	609	477
yeaX	1104	1051	379	258
rnd	420	363	94	49
fadD	5864	5214	6909	5383
yeaZ	471	399	36	33
yoaA	476	421	114	57
sdaA	205	151	627	505
adrB	69	61	55	44
yoaE	507	469	142	102
manX	44991	40214	1142	891
manY	33046	30451	848	646
rrmA	185	151	41	37
kdgR	2177	1910	1433	1121
yebQ	43	38	27	19
htpX	5256	4539	19217	15586
prc	5361	4981	952	736
yebS	200	137	136	125
yebT	439	358	97	102
yebU	231	199	62	54
pphA	73	54	61	49
yebZ	223	171	74	69
yobB	164	169	307	271
exoX	274	248	202	115
ptrB	194	185	140	116
yebE	471	439	936	744
purT	1003	819	28	26
eda	545	502	218	156
edd	305	288	95	86
zwf	2229	2050	791	640
yebK	1147	996	554	503
pykA	2861	2940	738	584
lpxM	580	527	214	210
yebA	3733	3229	1455	1002
znuA	8837	8091	631	497
znuC	744	653	182	141
znuB	609	555	53	47
ruvB	713	585	369	264
ruvA	443	389	339	276
yebB	21	15	38	24
yebC	2404	2336	472	305
aspS	4289	4011	887	766
yecE	106	94	30	31
yecO	174	137	96	63
yecP	334	289	121	94
torY	55	40	44	28
cutC	696	600	242	227
argS	2313	2034	402	308
flhA	159	149	78	65
flhB	11	12	6	5
cheZ	55	38	22	25
cheB	16	14	14	7
cheR	10	5	9	6
tap	24	19	16	7
tar	13	11	41	21
cheA	67	55	14	7
motB	18	20	9	3
motA	14	6	2	8
otsA	165	129	240	173
otsB	40	35	77	76
araH	407	384	895	738
araG	794	739	854	610
araF	1714	1451	1564	1205
tyrP	301	218	109	79
yecA	1809	1467	1696	1323
uvrC	728	599	205	135
uvrY	1238	968	581	441
sdiA	296	230	307	220
yecC	261	204	53	56
yecS	185	152	49	51
yedO	461	432	154	126
fliY	4945	4854	1294	912
fliA	7	9	6	3
fliD	25	18	19	14
amyA	257	222	319	297
yedE	6468	5953	312	198
fliF	7	4	6	2
fliG	7	10	8	7
fliH	9	3	5	2
fliI	6	4	4	4
fliM	14	16	6	5
fliP	4	12	5	4
fliR	45	25	110	108
rcsA	334	245	28	21
yedP	42	44	106	64
yedQ	280	232	206	147
yedI	425	387	210	141
yedA	44	30	19	10
dcm	729	593	152	119
yedJ	192	151	33	22
hchA	232	195	991	983
yedW	371	287	274	231
yedZ	77	63	70	59
yodA	4414	4222	77	65
yeeI	4103	3400	4862	4101
shiA	422	363	250	212
amn	414	402	263	225
yeeN	1432	1248	279	197
yeeO	152	99	191	159
cbl	1054	991	73	60
nac	53	54	72	51
erfK	501	385	273	207
cobS	280	241	223	149
yeeA	148	145	105	86
dacD	71	62	26	32
yeeE	2655	2125	84	56
yeeF	1691	1694	51	39
yeeY	175	130	332	265
yeeZ	692	622	884	787
hisG	1919	1789	203	171
hisD	1651	1630	178	152
hisC	1585	1448	142	130
hisB	2607	2498	292	241
hisA	2129	2085	172	110
hisF	2123	2086	143	108
ugd	752	654	329	218
gnd	4246	4073	1359	922
galF	4608	4046	1003	713
wcaL	32	35	14	11
wcaK	16	11	11	15
wzxC	11	9	1	4
wcaJ	6	16	5	5
cpsG	1249	1209	123	76
cpsB	743	742	115	80
fcl	22	26	8	4
gmd	33	20	8	7
wcaE	8	2	2	4
wcaD	17	13	6	3
wcaC	18	17	9	8
wcaA	11	7	5	6
wzc	31	27	22	23
wza	6	3	3	3
yegH	427	370	209	178
asmA	1601	1229	659	482
udk	365	313	38	37
yegL	18	12	3	2
mdtA	35	32	17	19
mdtB	105	79	19	20
mdtC	100	84	20	9
baeS	60	62	15	8
baeR	132	111	125	91
yegQ	241	243	68	55
yegS	51	41	71	48
gatD	34	28	63	31
gatZ	42	50	30	19
gatY	34	28	35	18
fbaB	1360	1181	576	401
yegT	130	101	41	34
yegU	116	91	23	24
yegV	89	82	34	22
yegW	194	146	98	58
yegX	109	86	12	18
thiD	1606	1374	118	80
thiM	1869	1531	92	85
rncA	63	61	74	45
yehA	28	28	27	25
yehC	0	0	1	0
mrp	2013	1975	1027	850
metG	2138	2146	514	451
yehL	24	10	7	9
yehP	37	37	8	3
yehT	793	636	268	170
yehU	1551	1260	992	774
mlrA	54	51	58	46
yehW	27	14	6	4
yehX	34	26	15	6
yehY	28	18	10	8
yehZ	44	27	48	40
bglX	2015	1940	415	289
dld	5144	4611	1631	1271
pbpG	443	427	183	151
yohF	35	27	52	42
dusC	291	217	37	35
yohK	32	24	42	22
cdd	444	393	367	300
sanA	131	87	82	59
yeiT	674	650	1590	1169
yeiA	790	649	1211	842
mglC	3127	2770	700	489
mglA	6085	5389	1773	1119
mglB	24056	21562	6956	5254
galS	968	742	649	418
yeiB	164	143	36	19
folE	800	835	182	147
frmC	612	514	259	240
cirA	1873	1567	492	341
lysP	1854	1686	121	125
yeiE	285	229	159	128
yeiH	260	206	333	270
nfo	308	273	99	80
yeiJ	131	113	105	102
rihB	64	56	35	34
yeiL	112	57	112	79
yeiC	53	37	33	13
fruA	1209	1032	575	437
fruK	557	463	190	162
fruB	489	468	140	100
setB	50	52	29	18
yeiQ	200	167	165	156
yeiR	182	165	10	14
yeiU	141	100	16	10
rtn	375	300	182	154
yejB	150	149	46	26
yejE	169	130	31	22
yejF	392	384	89	48
bcr	259	195	96	96
rsuA	274	251	97	50
yejH	45	40	28	22
yejK	1134	1066	384	338
yejM	870	674	126	111
narP	323	328	325	258
ccmH	307	322	123	95
ccmF	374	363	73	39
ccmC	139	129	33	29
ccmB	64	82	29	17
ccmA	146	141	111	111
napC	220	215	148	141
napH	128	115	51	29
napG	126	117	35	18
napA	684	736	198	170
mqo	128	116	20	24
yojI	703	603	64	44
alkB	28	24	34	20
ada	132	105	128	80
yojL	80	71	21	15
rcsB	2425	2217	1385	1056
rcsC	952	814	261	214
yfaP	17	15	8	13
yfaQ	59	48	26	15
yfaT	4	2	2	3
gyrA	8148	7428	964	715
ubiG	485	416	49	48
nrdA	1833	1639	99	92
nrdB	1635	1512	165	120
inaA	283	236	232	171
glpQ	3210	2701	1322	1021
glpT	1575	1240	496	376
glpA	21	22	20	14
glpB	18	12	11	11
glpC	46	31	31	35
yfaY	297	246	193	152
ais	143	146	47	18
yfbE	1415	1130	162	132
yfbF	259	247	38	26
yfbG	717	623	82	52
yfbH	326	303	26	20
arnT	406	335	60	60
menE	278	235	25	16
menC	368	370	55	37
menB	666	651	88	64
yfbB	168	146	21	17
menD	311	286	52	51
menF	353	326	70	58
elaC	171	135	65	53
nuoN	2747	2429	695	650
nuoM	2474	2212	439	351
nuoL	4454	3970	1091	852
nuoH	2765	2530	623	514
nuoG	9240	8690	2243	1628
nuoF	4013	3693	870	645
nuoC	5491	5075	2136	1564
nuoB	3580	3292	1959	1357
lrhA	3181	2811	6392	5384
yfbQ	1434	1392	905	759
yfbS	442	395	365	303
yfbT	1081	885	762	593
ackA	3601	3501	1404	1249
pta	5469	5214	815	543
yfcF	108	88	39	23
yfcG	24	19	42	42
yfcH	702	662	945	771
hisP	1140	1099	160	109
hisM	954	866	171	133
hisQ	2443	2162	430	287
hisJ	11776	10555	1233	942
purF	2409	2228	209	179
dedD	634	512	318	233
folC	943	868	395	309
