	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_chemostat1	K12_chemostat2
narH	2	6	109	60
narJ	4	2	47	20
narI	3	9	49	27
purU	39	36	2332	1315
rssA	190	191	1310	632
rssB	383	379	752	456
galU	314	425	2992	1858
tdk	8	8	733	416
adhE	2050	2003	9227	5943
ychE	3	5	175	92
oppA	755	770	90652	47682
oppB	57	65	11042	5701
oppC	73	87	10238	5214
oppD	77	76	10245	5249
oppF	95	87	10204	4882
cls	96	97	1923	987
kch	7	7	315	194
tonB	34	28	1204	610
yciC	102	130	723	427
ompW	41	42	1343	621
trpA	22	17	1647	978
trpB	43	47	3174	1993
trpD	14	14	1524	902
trpE	2	3	554	342
yciV	45	59	805	485
yciO	75	105	746	446
rluB	20	18	1315	802
yciK	15	21	885	496
sohB	99	117	2691	1559
topA	208	226	9134	5232
cysB	60	86	1396	808
acnA	1650	1837	8151	4597
pgpB	53	53	521	274
yciM	58	59	1498	759
pyrF	11	9	1146	697
deoT	16	16	581	338
gmr	641	659	768	403
rnb	31	36	4588	2642
fabI	255	295	8328	4924
sapF	34	30	176	96
sapD	90	96	330	209
sapC	58	59	146	88
sapB	107	103	183	121
sapA	196	223	378	250
puuP	21	24	336	207
puuA	162	152	1934	1138
puuD	424	384	1466	814
puuB	22	21	191	176
puuE	15	21	202	178
pspF	9	14	268	159
pspA	301	278	1867	874
ycjM	1	0	66	27
ycjN	0	0	17	11
ycjO	2	1	17	12
ycjP	1	1	16	13
ycjQ	1	3	35	21
ycjR	4	3	44	24
ycjS	0	3	50	26
ycjU	0	0	10	5
ompG	0	0	15	9
ycjW	1	1	181	100
ycjX	24	23	545	325
ycjF	20	21	446	284
tyrR	319	311	1817	1004
ycjG	183	213	1055	443
mpaA	60	55	349	221
ycjZ	8	6	261	190
mppA	138	137	1983	909
ynaI	11	15	482	305
uspE	4777	4877	5054	2629
fnr	574	635	3771	2501
abgT	3	0	68	35
abgB	13	16	102	60
abgA	5	1	85	47
abgR	8	11	418	165
ydaM	47	62	505	294
ydaN	150	173	724	405
dbpA	6	4	250	137
ydaO	45	51	1208	657
ompN	16	19	1771	1006
ldhA	110	113	971	654
feaR	60	77	2231	786
feaB	95	85	537	252
maoC	2	3	40	15
paaA	1	2	81	25
paaC	1	3	46	18
paaJ	1	3	54	26
paaF	1	0	24	18
paaG	0	0	47	25
paaH	2	2	95	31
paaE	114	108	1261	487
paaK	63	77	1338	525
paaX	100	89	873	384
ydbC	174	168	602	222
azoR	9	7	350	236
hrpA	130	147	2071	1177
ydcF	26	20	609	425
aldA	6317	6504	104345	37604
trg	172	161	14309	5394
ydcI	214	274	4475	2033
ydcJ	363	347	507	213
mdoD	39	50	2552	1219
ydcK	197	246	277	167
tehA	11	29	352	187
ydcL	764	814	2204	1259
ydcO	8	3	113	61
ydcP	24	24	1400	801
ydcR	13	18	567	361
ydcS	1197	1314	1170	341
ydcT	172	208	286	97
ydcU	48	58	127	61
ydcV	28	47	552	238
ydcW	107	121	2121	1069
yncB	83	76	973	493
yncC	28	33	223	122
yncD	10	13	462	266
yncE	134	135	6248	3315
ansP	11	11	168	109
yncG	38	29	107	52
nhoA	21	16	248	161
narV	7	4	58	31
narW	5	2	45	32
narY	9	9	127	69
narZ	18	24	184	112
narU	8	6	55	33
yddG	3	3	198	110
fdnG	64	67	223	142
fdnH	8	12	78	45
fdnI	16	17	53	35
adhP	104	101	1327	638
sfcA	50	57	4925	2638
ddpD	4	2	98	34
ddpC	3	4	101	38
ddpB	1	1	54	26
ddpA	13	20	223	82
dos	90	81	359	222
yddV	435	399	543	317
yddW	9	8	303	186
gadC	47	70	349	154
gadB	90	104	399	223
ydeM	1	1	73	29
ydeN	18	21	777	418
ydeO	2	3	14	10
ydeP	4	6	199	136
ydeQ	1	0	29	16
lsrK	86	111	404	161
lsrR	108	73	742	293
lsrC	49	69	95	34
lsrD	57	31	100	41
lsrB	60	57	377	147
lsrF	52	80	443	177
tam	86	83	333	166
yneE	24	24	155	108
uxaB	44	31	321	173
yneF	6	12	91	58
yneH	4	4	403	214
yneI	10	11	663	433
ydeA	3	12	126	92
marC	67	59	277	150
eamA	50	33	1234	670
ydeE	12	14	188	147
ydeH	43	41	441	211
dcp	39	53	4252	2282
ydfG	107	125	3189	1708
ydfH	12	6	536	374
ydfT	9	8	174	95
ydfU	3	2	16	11
rspB	12	8	172	71
rspA	6	3	241	89
ynfC	58	51	681	393
ynfF	10	9	162	119
ynfG	1	4	25	26
ynfH	6	14	208	121
dmsD	5	5	275	150
clcB	4	1	50	28
ynfK	122	115	358	180
dgsA	34	44	3096	1449
ynfL	17	16	120	55
ynfM	6	11	189	119
ydgD	615	609	587	351
ydgG	28	28	173	109
pntB	478	524	15536	9038
pntA	425	452	24866	14452
ydgH	68	81	4370	2395
ydgI	7	9	158	82
folM	21	14	305	170
rstA	15	12	1113	641
rstB	14	22	1227	655
tus	62	52	437	221
fumC	428	386	6701	3115
fumA	1156	1327	14668	6249
manA	54	48	1478	878
ydgA	1836	1959	5509	3174
uidC	7	6	62	39
uidB	3	3	88	32
uidA	24	34	409	170
hdhA	133	158	1931	1123
malI	157	361	179	91
malX	13	18	367	214
malY	11	12	502	261
add	27	14	425	240
ydgJ	80	75	2131	1139
rsxD	0	1	306	172
rsxG	3	2	232	130
rsxE	2	4	120	70
nth	0	2	142	69
ydgR	17	17	284	189
gst	178	168	1056	632
pdxY	16	15	625	337
tyrS	75	92	4906	2694
pdxH	6	10	1032	571
anmK	45	47	807	422
ydhJ	5	1	89	47
ydhF	206	223	1000	431
nemA	19	14	314	213
rnt	6	1	179	118
ydhO	11	17	427	224
ydhP	4	8	139	97
purR	21	29	2569	1483
ydhB	14	26	216	134
ydhC	8	7	107	62
cfa	195	201	2088	1357
ribC	38	45	1911	1158
mdtK	88	117	567	354
ydhQ	247	252	2017	1253
ydhS	271	264	462	251
ydhT	17	18	74	39
ydhU	13	9	99	45
ydhX	0	2	82	30
ydhV	8	6	101	40
ydhY	0	0	15	5
pykF	489	487	5406	3539
ynhG	4080	3925	1060	688
sufS	194	171	759	366
sufC	143	181	492	231
sufB	670	634	1443	688
ydiK	86	93	533	293
ydiM	2	2	22	15
ydiN	1	1	11	3
ydiB	2	4	96	63
aroD	9	9	455	272
ydiF	0	1	38	25
ydiO	0	1	45	23
ydiP	12	11	117	80
ydiQ	1	2	21	22
ydiR	11	4	50	36
ydiS	2	2	46	22
ydiD	5	6	135	83
pps	692	740	14977	7554
ydiA	18	12	314	195
aroH	9	13	455	328
ydiV	4	8	133	88
btuD	14	18	569	322
btuC	18	12	336	152
pheT	1814	2186	13102	7257
pheS	26	26	4018	2181
thrS	1167	1214	28963	15381
ydiY	4	5	175	96
pfkB	61	68	97	49
yniA	1924	2204	1418	628
yniC	7	8	171	108
ydjN	67	66	4261	2642
katE	38	46	2188	1240
chbF	7	8	287	158
chbR	13	20	212	136
chbC	12	11	188	93
nadE	40	40	2712	1537
ydjQ	7	4	301	134
astE	318	384	101	39
astB	504	647	161	57
astA	833	942	230	89
astC	1880	1870	470	145
xthA	33	25	1007	518
ydjX	8	9	141	61
ydjZ	10	12	103	55
ynjE	7	9	615	315
ynjF	8	8	110	49
gdhA	96	85	17165	10716
topB	26	33	1873	921
selD	150	146	3343	1639
sppA	40	52	1569	931
ansA	6	7	397	258
pncA	29	29	483	318
ydjE	9	8	68	39
ydjF	48	49	733	338
ydjG	4	5	156	107
ydjH	0	0	115	55
ydjI	0	2	149	70
ydjJ	0	1	115	42
ydjK	1	1	91	40
ydjL	3	1	118	58
gapA	605	639	43454	29979
yeaD	11	10	756	568
yeaE	34	29	521	284
mipA	82	90	2537	1727
yeaG	10811	10821	3066	1631
yeaH	3475	3538	632	347
yeaI	22	21	28	19
yeaJ	7	10	260	156
yeaM	16	18	157	118
yeaN	7	6	88	58
yeaP	11	15	1201	665
yeaS	9	7	118	46
yeaT	63	44	781	307
yeaU	21	18	167	79
yeaV	3	1	54	23
yeaW	1	2	53	39
yeaX	1	4	153	56
rnd	19	21	596	340
fadD	6990	8018	3679	1349
yeaZ	6	11	722	378
yoaA	6	6	667	358
sdaA	1052	1073	370	224
adrB	14	15	163	88
yoaE	21	23	703	414
manX	235	262	35423	17055
manY	143	190	22491	11391
rrmA	9	3	377	205
kdgR	454	429	3175	1539
yebQ	7	5	54	36
htpX	2004	1904	5139	3017
prc	109	103	7638	4207
yebS	28	23	293	176
yebT	30	40	840	488
yebU	4	6	234	122
pphA	41	56	121	72
yebZ	13	9	489	324
yobB	60	61	198	98
exoX	22	14	382	188
ptrB	133	134	600	369
yebE	110	124	547	264
purT	12	11	1382	777
eda	44	32	1182	665
edd	19	25	1075	559
zwf	107	102	5514	3029
yebK	79	75	1795	866
pykA	237	224	6154	3080
lpxM	23	18	649	393
yebA	59	70	4685	2558
znuA	77	86	18056	10266
znuC	16	11	742	489
znuB	20	22	599	334
ruvB	24	36	727	475
ruvA	34	37	697	392
yebB	2	3	34	20
yebC	51	62	4041	2194
aspS	101	124	5252	2954
yecE	9	16	242	189
yecO	10	12	345	216
yecP	5	8	437	285
torY	2	4	64	29
cutC	48	144	554	320
argS	69	80	2788	1581
flhA	25	23	2520	1409
flhB	11	11	1734	905
cheZ	57	68	8795	4788
cheB	39	43	7627	3938
cheR	34	40	4685	2568
tap	176	192	25606	12919
tar	276	290	40805	20355
cheA	164	198	29123	15549
motB	48	59	7610	4372
motA	83	96	11602	6062
otsA	345	392	1900	1080
otsB	239	258	1109	604
araH	210	213	336	178
araG	239	282	523	252
araF	336	333	975	409
tyrP	27	35	346	231
yecA	119	114	1731	1001
uvrC	41	33	1624	935
uvrY	45	55	1906	1065
sdiA	69	70	465	242
yecC	20	46	941	504
yecS	22	32	627	343
yedO	134	111	1928	1023
fliY	1271	1352	24543	11643
fliA	126	137	23220	11884
fliD	63	73	11105	6205
amyA	150	167	3578	1977
yedE	37	43	3569	1578
fliF	32	38	6236	3311
fliG	37	30	4752	2602
fliH	16	19	2550	1431
fliI	7	13	2029	1070
fliM	18	9	2849	1634
fliP	2	1	491	291
fliR	5	5	301	146
rcsA	8	2	374	214
yedP	448	455	491	274
yedQ	140	162	392	257
yedI	114	154	711	415
yedA	3	3	44	24
