	YJ016_ASW1	YJ016_ASW2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS02525	3297	1715	3295	1706
VV1_RS02535	2881	935	2840	886
VV1_RS02545	2198	1526	2198	1526
VV1_RS02555	11728	4102	11729	4101
VV1_RS02565	974	325	973	324
VV1_RS02570	456	391	449	388
VV1_RS02575	1089	430	1017	412
VV1_RS02590	158	42	178	49
VV1_RS02595	239	108	362	166
VV1_RS02600	294	149	287	144
VV1_RS02605	1217	990	1206	983
VV1_RS02610	517	245	428	201
VV1_RS02625	1796	818	1779	816
VV1_RS02630	898	470	893	467
VV1_RS02640	4983	1725	4934	1710
VV1_RS02645	3089	1769	3086	1768
VV1_RS02670	4673	2162	4651	2152
VV1_RS02680	7826	3476	7814	3472
VV1_RS02685	1807	653	1804	649
VV1_RS02690	200	98	200	97
VV1_RS02720	1197	410	1164	392
VV1_RS02730	63	63	62	63
VV1_RS02735	40	16	50	23
VV1_RS02740	138	75	172	86
VV1_RS02745	108	17	143	26
VV1_RS02760	391	100	391	99
VV1_RS02765	816	356	814	355
VV1_RS02790	65268	21260	65229	21250
VV1_RS02800	6163	2937	6163	2937
VV1_RS02815	360	192	468	248
MURF	943	290	933	291
VV1_RS02840	150	65	152	69
VV1_RS02855	8326	3302	8197	3242
VV1_RS02860	3748	2235	3745	2231
VV1_RS02890	8394	4573	8382	4566
VV1_RS02895	8202	3642	7965	3521
VV1_RS02915	3644	3286	3640	3272
VV1_RS02925	1033	382	961	352
VV1_RS02930	405	180	392	174
VV1_RS02935	1041	308	1022	301
VV1_RS02940	429	153	419	151
VV1_RS02950	1847	752	1840	749
NUDF	1014	317	1004	314
VV1_RS02970	3213	1566	3174	1537
VV1_RS02975	3226	1778	3205	1775
VV1_RS02980	16067	7076	15475	6883
VV1_RS02985	2769	1301	9972	5434
VV1_RS02990	2957	1230	2963	1233
VV1_RS02995	6395	1396	6415	1417
VV1_RS03000	696	140	696	140
VV1_RS03005	188	79	187	79
VV1_RS03035	3076	1587	2983	1560
VV1_RS03045	3517	989	3508	983
VV1_RS03065	19501	5103	19168	4968
VV1_RS03075	2880	1138	2871	1139
VV1_RS03080	602	172	639	176
VV1_RS03085	1079	309	1138	319
VV1_RS03090	8307	20552	8275	20332
VV1_RS03095	6527	6674	6632	6690
VV1_RS03105	4104	4164	4096	4154
VV1_RS03110	3445	3708	3437	3689
VV1_RS03115	13059	4358	11422	3318
VV1_RS03120	499	232	499	232
VV1_RS03130	3028	859	3025	863
VV1_RS03140	4249	3471	4229	3453
VV1_RS03145	1304	340	1293	334
VV1_RS03155	100	47	99	46
VV1_RS03165	306	104	270	97
VV1_RS03170	2703	1128	2698	1123
VV1_RS03175	3445	917	3445	912
VV1_RS03180	2362	701	2324	690
VV1_RS03190	1053	220	954	184
VV1_RS03200	2817	1406	2739	1367
VV1_RS03205	5462	1376	5519	1382
VV1_RS03260	1394	787	1398	792
VV1_RS03265	11993	9832	12085	9826
VV1_RS03275	2955	973	2794	895
VV1_RS03280	6398	2378	6218	2322
VV1_RS03290	359	92	358	92
VV1_RS03295	2829	717	2827	715
VV1_RS03310	6511	1855	6430	1826
VV1_RS03320	1448	541	1445	540
VV1_RS03325	4254	980	4236	977
VV1_RS03330	442	180	409	158
VV1_RS03335	5343	1327	5308	1314
VV1_RS03355	797	397	787	394
VV1_RS03360	86555	33827	86358	33721
VV1_RS03375	1232	1008	1468	1119
VV1_RS03385	2089	652	2069	643
VV1_RS03400	121	51	121	51
VV1_RS03415	22352	6265	21567	5939
VV1_RS03420	132547	17128	130924	16670
VV1_RS03425	8600	2852	8734	2897
VV1_RS03450	1288	510	1288	509
VV1_RS03455	6745	2525	6758	2533
VV1_RS03475	862	147	1012	174
VV1_RS03480	300	114	298	114
VV1_RS03485	607	327	603	325
VV1_RS03495	3328	3136	3037	2981
VV1_RS03500	1548	405	1521	402
VV1_RS03505	4761	1005	4764	1014
VV1_RS03515	10356	2000	10353	1989
VV1_RS03520	4079	978	3925	958
VV1_RS03540	646	382	864	472
VV1_RS03565	11954	3450	11952	3449
VV1_RS03775	2095	1379	8311	3063
VV1_RS03850	676	181	688	183
VV1_RS03915	3971	2066	3575	1797
VV1_RS03930	177	79	166	80
VV1_RS03945	2370	707	2361	701
VV1_RS03950	1233	492	991	429
VV1_RS03965	397	209	458	242
VV1_RS03990	8461	5535	8415	5510
VV1_RS03995	777	306	757	303
VV1_RS04020	645	236	627	218
VV1_RS04025	48	18	45	18
VV1_RS04045	5498	3066	7343	3811
VV1_RS04050	12636	6576	8689	4396
