	YJ016_ASW1	YJ016_ASW2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS09060	1407	622	1401	619
VV1_RS09095	3178	357	3164	356
VV1_RS09100	14203	6922	14106	6884
VV1_RS09105	362718	144936	364017	145553
VV1_RS09110	54910	30093	54841	30050
VV1_RS09135	3190	1058	3171	1056
VV1_RS09140	4435	3628	4424	3622
VV1_RS09145	3265	1162	3217	1144
VV1_RS09235	15701	3846	15649	3759
VV1_RS09250	30142	12085	24676	9797
VV1_RS09255	42965	16441	42574	16346
VV1_RS09260	7917	2018	7709	1971
VV1_RS09265	11868	4606	11852	4588
VV1_RS09270	34239	10048	34200	10025
VV1_RS09285	999	442	999	445
VV1_RS09290	1932	371	1926	370
VV1_RS09295	781	183	782	183
VV1_RS09310	1528	386	1525	382
VV1_RS09325	883	243	869	239
VV1_RS09330	622	385	609	377
VV1_RS09335	530	191	470	163
VV1_RS09340	40779	7462	40553	7418
VV1_RS09345	2171	825	2165	825
VV1_RS09365	76482	29028	76232	28949
VV1_RS09380	2235	1007	2232	1006
VV1_RS09385	2744	1392	2744	1391
VV1_RS09390	80	22	80	22
VV1_RS09410	2286	784	2282	780
VV1_RS09420	1869	440	1848	437
VV1_RS09435	1227	332	1364	436
VV1_RS09440	365	150	365	151
VV1_RS09455	300	171	298	169
VV1_RS09460	2556	1466	2507	1437
VV1_RS09465	136254	46963	137628	47428
VV1_RS09500	172	51	153	48
VV1_RS09505	2585	1452	2577	1449
VV1_RS09510	762	333	726	328
VV1_RS09515	446	167	446	171
VV1_RS09545	59	20	61	28
VV1_RS09565	70	17	70	17
VV1_RS09695	204	94	209	102
VV1_RS09705	8292	2347	8142	2309
VV1_RS09720	327	89	310	89
VV1_RS09725	18432	6089	18082	5986
VV1_RS09740	14952	4110	14347	3974
VV1_RS09745	316	207	314	207
VV1_RS09750	8920	4196	8821	4129
VV1_RS09760	685	317	787	378
VV1_RS09775	3536	1580	3491	1558
VV1_RS09785	510	254	490	234
VV1_RS09795	851	483	835	482
VV1_RS09800	4158	1854	4140	1849
VV1_RS09810	388	281	406	315
VV1_RS09815	245	192	239	187
VV1_RS09820	234	117	236	120
VV1_RS09830	622	736	641	741
VV1_RS09835	424	213	424	213
VV1_RS09850	166	80	164	80
VV1_RS09855	3854	1400	3787	1364
VV1_RS09860	496819	236004	480533	228618
VV1_RS09865	734277	210575	732067	209714
VV1_RS09870	966927	417875	967050	417849
VV1_RS09880	1808	428	1795	428
VV1_RS09890	18307	6142	18188	6105
VV1_RS09895	1643	604	1581	562
VV1_RS09900	6704	2077	6703	2064
VV1_RS09905	4551	1279	4363	1255
VV1_RS09915	16234	6136	17112	6547
VV1_RS09920	24943	8824	22798	8256
VV1_RS09925	3923	2308	3928	2307
VV1_RS09930	1534	1150	1506	1139
VV1_RS09940	552	177	546	174
VV1_RS09945	6944	4332	6933	4328
VV1_RS09960	135	89	135	89
VV1_RS09975	964	395	963	395
VV1_RS09980	2173	1160	2171	1160
VV1_RS09985	4908	1905	4896	1898
VV1_RS10010	14191	3894	8935	2688
VV1_RS10025	797	410	787	397
VV1_RS10050	2321	868	2581	951
VV1_RS10060	369	113	452	135
VV1_RS10070	1049	240	1052	240
VV1_RS10080	2047	427	2048	427
VV1_RS10085	1454	328	1455	327
VV1_RS10090	923	931	923	924
VV1_RS10095	694	413	693	412
VV1_RS10100	988	458	987	458
VV1_RS10110	657	357	643	342
VV1_RS10125	698	175	605	159
VV1_RS10130	853	296	845	294
VV1_RS10135	1372	713	1365	709
VV1_RS10140	241	110	249	118
VV1_RS10145	132	116	1929	1165
VV1_RS10150	687	447	671	425
VV1_RS10165	960	882	957	879
VV1_RS10180	3476	915	3423	897
VV1_RS10185	1104	225	1101	224
VV1_RS10205	918	401	917	403
VV1_RS10215	724	376	725	377
VV1_RS10230	1979	973	2062	997
VV1_RS10235	1233	460	1227	448
VV1_RS10240	99	47	102	47
VV1_RS10255	148	61	147	60
VV1_RS10265	32824	16109	32621	15882
VV1_RS10360	380	282	306	217
VV1_RS10365	291	93	278	94
VV1_RS10370	2399	1389	2068	950
VV1_RS10375	76	26	73	27
VV1_RS10380	213	115	224	122
VV1_RS10390	316	171	287	146
VV1_RS10395	3294	1643	3231	1550
VV1_RS10400	346	148	412	386
VV1_RS10405	1536	1063	1441	1011
VV1_RS10410	420	157	423	156
VV1_RS10415	33710	15348	33391	15090
VV1_RS10420	6841	2100	6910	2069
VV1_RS10425	40	13	36	14
VV1_RS10435	759	229	747	226
VV1_RS10445	1255	459	1173	444
VV1_RS10450	1484	546	1483	546
VV1_RS10460	2271	1129	2176	1098
VV1_RS10465	730	324	699	314
VV1_RS10470	463	138	463	137
VV1_RS10480	911	240	894	236
VV1_RS10485	47	49	47	49
VV1_RS10490	107	35	106	34
VV1_RS10505	1590	606	1536	578
VV1_RS10520	1806	872	1802	859
VV1_RS10530	401	160	386	148
VV1_RS10535	536	429	535	429
VV1_RS10540	1138	409	1137	409
VV1_RS10550	384	139	372	129
VV1_RS10555	276	123	273	121
VV1_RS10560	186	57	154	49
VV1_RS10570	53428	11563	64228	13473
VV1_RS10575	1234	653	1193	631
VV1_RS10580	2083	707	2066	698
VV1_RS10610	2031	726	2027	723
VV1_RS10625	640	260	637	257
VV1_RS10630	790	226	790	226
VV1_RS10635	2391	1338	2358	1307
VV1_RS10640	5884	2378	5869	2366
VV1_RS10650	60638	17777	57216	16555
VV1_RS10665	4060	1875	4043	1858
VV1_RS10680	442	238	442	238
VV1_RS10685	552	348	552	348
VV1_RS10705	82	47	78	48
VV1_RS10710	79	32	101	45
VV1_RS10720	163	56	163	56
VV1_RS10725	2867	2472	2830	2423
VV1_RS10730	824	352	820	349
VV1_RS10735	15553	4479	15002	4335
VV1_RS10745	17128	8334	16985	8261
VV1_RS10750	23089	6793	23077	6777
VV1_RS10755	965	715	962	712
VV1_RS10760	13854	3966	13752	3904
VV1_RS10765	99	49	99	49
VV1_RS10770	5575	1600	6171	1736
VV1_RS10775	232	88	221	81
VV1_RS10780	2527	1257	2517	1255
VV1_RS10785	207	171	206	171
VV1_RS10790	1837	1224	1838	1208
VV1_RS10800	4542	977	4469	907
VV1_RS10825	205	103	205	103
VV1_RS10830	358	71	353	71
VV1_RS10835	283	131	277	131
VV1_RS10850	328	161	328	161
VV1_RS10870	181	70	183	73
VV1_RS10875	68	23	64	23
VV1_RS10885	337	141	333	141
VV1_RS10895	13383	5980	13249	5905
VV1_RS10900	35432	15687	34452	15273
VV1_RS10910	1593	352	1588	355
VV1_RS10920	85	22	80	22
VV1_RS10925	132	65	127	65
VV1_RS10930	84	39	84	39
VV1_RS10935	208	73	349	84
VV1_RS10955	293	181	319	196
VV1_RS10980	20	20	19	20
VV1_RS10985	115	26	116	26
VV1_RS10995	62	49	61	49
VV1_RS11000	69	21	69	21
VV1_RS11005	39	33	39	33
VV1_RS11010	33	11	36	11
VV1_RS11015	20	6	20	6
VV1_RS11030	130	36	126	36
VV1_RS11040	136	27	135	27
VV1_RS11045	4270	3779	4278	3781
VV1_RS11070	4860	1631	4849	1621
VV1_RS11100	247	119	243	110
VV1_RS11105	449	99	445	105
VV1_RS11115	4844	376	4822	370
VV1_RS11130	457	152	400	131
VV1_RS11140	51	15	51	15
VV1_RS11145	414	130	460	139
VV1_RS11155	112	47	112	45
VV1_RS11160	1660	879	1657	876
VV1_RS11165	18571	5121	18553	5109
VV1_RS11180	537	135	536	135
VV1_RS11185	164	28	155	22
VV1_RS11190	111	43	110	43
VV1_RS11200	2838	1200	2823	1196
VV1_RS11205	776	359	775	357
VV1_RS11215	748	148	659	117
VV1_RS11225	1140	634	1140	634
VV1_RS11230	176	106	177	103
VV1_RS11235	65	21	65	21
VV1_RS11240	22666	5055	22631	5046
VV1_RS11245	3481	1497	3479	1497
VV1_RS11255	2257	833	2258	831
VV1_RS11260	308	272	305	266
VV1_RS11270	22761	12621	20977	11365
VV1_RS11275	10939	6976	10813	6898
VV1_RS11285	1576	627	1564	624
VV1_RS11290	231	137	229	137
VV1_RS11295	1002	357	995	351
THRS	3889	1261	3875	1256
VV1_RS11320	1372	396	1382	399
VV1_RS11675	575	233	613	243
VV1_RS11900	1421	645	1590	754
VV1_RS12160	230	54	228	64
VV1_RS12210	236	105	247	102
VV1_RS12215	2775	1456	2760	1441
VV1_RS12225	29942	11489	29874	11446
VV1_RS12230	830	222	775	197
VV1_RS12235	858	258	857	257
VV1_RS12255	127	41	129	42
VV1_RS12265	948	435	917	420
VV1_RS12275	428	151	420	147
VV1_RS12285	340	245	356	256
VV1_RS12290	166	71	157	62
VV1_RS12295	2738	788	2736	787
VV1_RS12300	480	342	497	356
VV1_RS12305	504	263	485	244
VV1_RS12310	516	131	491	127
VV1_RS12320	357	128	345	125
VV1_RS12330	1488	349	1460	340
VV1_RS12345	1233	318	1120	290
VV1_RS12350	747	173	741	173
VV1_RS12360	2129	421	2082	416
VV1_RS12365	351	78	349	80
VV1_RS12370	422	112	415	112
VV1_RS12395	171	39	167	38
VV1_RS12400	1237	1234	1223	1213
POTD	345	101	1367	299
VV1_RS12430	4920	1370	4921	1371
VV1_RS12435	5763	3000	5728	2984
VV1_RS12440	1967	808	1957	805
VV1_RS12445	1170	461	1152	454
VV1_RS12450	47874	18765	43469	17581
VV1_RS12455	17985	9774	17976	9772
VV1_RS12460	240	90	240	90
VV1_RS12480	1806	581	1805	581
VV1_RS12490	4930	1494	4929	1497
VV1_RS12495	3384	1074	3377	1074
VV1_RS12505	2248	1034	2233	1027
VV1_RS12510	2310	881	2307	877
VV1_RS12515	22524	5511	22491	5501
VV1_RS12535	239	139	239	136
VV1_RS12555	4929	3090	5188	3224
VV1_RS12575	505	158	514	161
VV1_RS12590	20353	6662	20645	6696
VV1_RS12595	16529	4395	16290	4330
VV1_RS12600	27384	4058	27145	3991
VV1_RS12610	10704	2512	10659	2504
VV1_RS12615	970	428	984	441
VV1_RS12620	957	372	930	364
VV1_RS12630	2206	427	2105	404
VV1_RS12635	541	291	538	286
VV1_RS12645	124	57	124	57
VV1_RS12660	190	72	191	72
VV1_RS12670	49	26	44	25
VV1_RS12675	374	121	371	120
VV1_RS12680	98	51	100	51
VV1_RS12685	4407	2682	4395	2667
VV1_RS12690	26986	7514	26904	7465
VV1_RS12695	46090	12228	45974	12202
VV1_RS12710	5054	1349	4862	1304
VV1_RS12720	2539	688	2495	679
VV1_RS12725	587	150	566	144
VV1_RS12730	287	116	285	114
VV1_RS12735	137	38	146	38
VV1_RS12750	99	78	99	77
VV1_RS12780	2140	855	1845	737
VV1_RS12785	1203	546	1159	521
VV1_RS12790	3213	1424	2852	1342
VV1_RS12795	1123	839	1105	828
VV1_RS12800	1667	769	1668	767
VV1_RS12815	223	76	166	71
VV1_RS12820	70	45	70	43
VV1_RS12825	125	70	121	70
VV1_RS12830	640	357	636	356
VV1_RS12835	6506	3496	8650	4321
VV1_RS12845	347	111	347	111
VV1_RS12855	338	213	338	213
VV1_RS12865	103	37	175	45
VV1_RS12880	1439	506	1430	506
VV1_RS12885	160909	44687	138851	39695
VV1_RS12890	4454	1089	4609	1154
VV1_RS12895	5185	949	5185	951
VV1_RS12900	36358	7470	36266	7435
VV1_RS12925	6337	3069	6246	3060
VV1_RS12945	13300	6624	13589	6711
VV1_RS12950	14715	7915	14411	7696
VV1_RS12960	221	105	220	104
VV1_RS12965	211	71	207	71
VV1_RS12970	313	59	313	59
VV1_RS12975	82	72	80	72
VV1_RS12980	136	42	137	41
VV1_RS12985	165	109	165	108
VV1_RS12990	687	439	685	437
VV1_RS13025	15254	5209	14894	5090
VV1_RS13035	6880	2385	6853	2378
VV1_RS13045	636	148	681	150
VV1_RS13055	149	40	144	37
VV1_RS13070	74	14	74	14
VV1_RS13080	1692	647	1690	648
VV1_RS13095	6206	2510	6171	2469
VV1_RS13100	4237	2965	4157	2876
VV1_RS13105	276	78	276	77
VV1_RS13110	15	10	15	10
VV1_RS13115	43	25	35	25
VV1_RS13125	71	14	72	14
VV1_RS13130	4422	1317	4402	1305
VV1_RS13150	567	454	568	453
VV1_RS13165	16915	5533	16886	5521
VV1_RS13170	1651	655	1644	652
VV1_RS13180	3623	814	3598	811
VV1_RS13190	3439	660	3408	658
VV1_RS13195	13770	3423	15760	3745
VV1_RS13200	17462	4028	17421	4000
VV1_RS13205	158	64	136	42
VV1_RS13215	316	152	354	161
VV1_RS13220	389	440	427	537
VV1_RS13245	1039	809	1036	805
VV1_RS13250	182	136	178	135
VV1_RS13265	67	30	65	26
VV1_RS13270	237	107	216	98
VV1_RS13275	1156	378	1151	373
VV1_RS13280	2541	1695	2537	1685
VV1_RS13285	780	663	780	663
VV1_RS13305	5517	3196	5269	3108
VV1_RS13320	177	47	176	47
VV1_RS13340	1552	877	1552	870
VV1_RS13350	2895	694	2886	692
VV1_RS13355	524	183	522	179
VV1_RS13360	386	277	612	512
VV1_RS13365	4333	1347	4315	1331
VV1_RS13370	352	182	350	182
VV1_RS13380	6143	679	6134	677
VV1_RS13385	2145	1149	2160	1140
VV1_RS13390	178	42	174	42
VV1_RS13395	219	94	215	94
VV1_RS13400	489	224	524	237
VV1_RS13405	5304	5869	5323	5895
VV1_RS13430	2082	1205	2075	1200
VV1_RS13435	344	231	344	231
VV1_RS13445	472	200	460	197
VV1_RS13450	9060	4337	9062	4332
VV1_RS13455	22510	2761	22502	2760
VV1_RS13465	719	429	717	429
VV1_RS13470	1394	389	1395	389
VV1_RS13475	15620	5165	14582	4841
VV1_RS13480	1456	476	1443	475
VV1_RS13490	71	49	71	49
VV1_RS13495	423	195	424	194
VV1_RS13500	83	23	83	23
VV1_RS13505	1479	1139	1471	1132
VV1_RS13510	750	315	737	314
VV1_RS13515	36	20	34	19
VV1_RS13520	304	61	311	70
VV1_RS13525	251	73	251	73
VV1_RS13530	92	28	111	36
VV1_RS13540	429	253	453	266
VV1_RS13545	228	215	219	201
VV1_RS13555	290	133	290	132
VV1_RS13560	475	151	475	150
VV1_RS13565	2204	879	2200	874
VV1_RS13585	20467	5179	22155	5591
VV1_RS13590	1418	462	1551	495
VV1_RS13595	1975	433	1644	328
VV1_RS13600	646	171	607	159
VV1_RS13605	172	82	170	82
VV1_RS13610	146	50	141	48
VV1_RS13615	63	34	62	33
VV1_RS13620	26	10	19	7
VV1_RS13625	187	95	187	94
VV1_RS13630	2660	1134	2652	1130
VV1_RS13635	20858	10068	20226	9574
VV1_RS13645	820	418	781	404
VV1_RS13655	12487	2241	12398	2223
VV1_RS13665	22173	5654	22059	5445
VV1_RS13680	3962	1726	3961	1722
VV1_RS13685	685	286	669	276
VV1_RS13690	5130	1836	4264	1683
VV1_RS13695	2265	654	2244	650
VV1_RS13700	270	152	655	267
VV1_RS13705	2255	584	1848	456
VV1_RS13710	1033	393	1101	443
VV1_RS13725	756	270	771	269
VV1_RS13745	4056	2684	3982	2619
VV1_RS13755	5580	987	5564	985
VV1_RS13760	3669	796	3447	722
VV1_RS13770	371	182	317	160
VV1_RS13775	192	55	192	55
VV1_RS13780	1064	406	1062	403
VV1_RS13795	1075	663	917	630
VV1_RS13825	136	63	136	63
VV1_RS13830	745	214	740	214
VV1_RS13840	815	274	766	252
VV1_RS13845	321	126	253	109
VV1_RS13850	771	515	768	511
VV1_RS13860	531	318	528	317
VV1_RS13865	946	446	945	442
VV1_RS13880	693	171	757	191
VV1_RS13890	1647	615	1560	590
VV1_RS13905	1557	545	1526	540
VV1_RS13910	5017	1890	4982	1880
VV1_RS13930	325253	122524	316842	119430
VV1_RS13935	73925	28819	73914	28939
VV1_RS13955	838	244	834	242
VV1_RS13965	180	40	180	40
VV1_RS13975	468	189	423	189
VV1_RS13985	2096	1055	2091	1050
VV1_RS13990	232	112	229	110
VV1_RS14010	6410	2493	6409	2493
VV1_RS14025	24765	11413	21598	10391
VV1_RS14030	151	132	129	132
VV1_RS14045	37925	7524	35997	7331
VV1_RS14050	3989	669	4775	703
VV1_RS14060	30046	21195	27478	20099
VV1_RS14065	225	91	220	91
VV1_RS14070	371	164	362	165
VV1_RS14075	386	131	392	131
VV1_RS14085	2550	1114	2871	1259
VV1_RS14110	4191	2072	4388	2189
VV1_RS14115	906	541	1006	620
VV1_RS14120	1372	705	1363	701
VV1_RS14125	388	169	389	169
VV1_RS14130	3474	2605	3464	2587
VV1_RS14155	2217	868	2215	871
VV1_RS14160	453	206	449	206
VV1_RS14165	447	140	421	137
VV1_RS14170	750	417	741	411
VV1_RS14180	14563	3017	14525	3000
VV1_RS14185	3765	2125	3700	2068
VV1_RS14190	43442	10424	43421	10424
VV1_RS14195	27877	14573	31012	15798
VV1_RS14205	983	517	981	516
VV1_RS14215	36236	5903	35939	5782
VV1_RS14220	152	64	152	63
VV1_RS14235	438	203	438	203
VV1_RS14240	399	264	396	247
VV1_RS14245	836	157	834	155
VV1_RS14260	669	188	669	188
VV1_RS14265	708	193	707	193
VV1_RS14270	520	313	520	311
VV1_RS14290	347	139	382	136
VV1_RS14295	1267	338	1257	335
VV1_RS14300	309	120	309	120
VV1_RS14310	168	81	168	81
VV1_RS14320	10455	2490	10453	2488
VV1_RS14325	1691	553	1676	547
VV1_RS14335	413	220	413	220
VV1_RS14355	471	246	472	240
VV1_RS14360	1366	612	1352	607
VV1_RS14365	920	413	826	322
VV1_RS14385	73	34	73	34
VV1_RS14390	3068	975	3027	955
VV1_RS14400	332	97	287	89
VV1_RS14405	2012	518	1978	482
VV1_RS14420	1728	861	1724	856
VV1_RS14425	1353	773	1353	773
VV1_RS14435	3710	3185	1997	1841
VV1_RS14440	953	246	954	246
VV1_RS14445	3736	778	3701	759
VV1_RS14495	301	144	301	144
VV1_RS14510	1411	325	1411	322
VV1_RS14515	277	50	276	54
VV1_RS14520	3344	1178	3353	1181
VV1_RS14525	2962	688	2932	675
VV1_RS14535	2185	1711	2191	1708
VV1_RS14555	4022	3391	3864	3300
VV1_RS14565	127	20	123	18
VV1_RS14595	5044	998	4691	871
VV1_RS14600	351	171	367	172
VV1_RS14610	821	438	821	438
VV1_RS14620	17133	7200	16119	6869
VV1_RS14650	4794	1741	4204	1503
VV1_RS14660	5009	2384	5209	2443
VV1_RS14665	3307	1588	3082	1509
VV1_RS14700	222	171	230	170
VV1_RS14705	145	161	144	161
VV1_RS14710	292	192	291	190
VV1_RS14725	8967	4543	8392	4266
VV1_RS14730	196	38	197	38
VV1_RS14735	1716	557	1710	554
VV1_RS14740	709	450	706	442
VV1_RS14760	48829	17849	48750	17701
VV1_RS14765	9776	3342	9764	3342
VV1_RS14770	201	93	195	89
VV1_RS14775	104	57	105	57
VV1_RS14785	1312	784	1300	776
VV1_RS14790	291	108	290	108
VV1_RS14795	2761	1153	2706	1130
VV1_RS14800	5882	1731	5841	1722
VV1_RS14805	2455	651	2321	638
VV1_RS14815	1443	547	1502	550
VV1_RS14825	23	6	23	6
VV1_RS14845	2673	1558	2658	1541
VV1_RS14850	10009	4812	9975	4784
VV1_RS14855	39	15	38	15
FADH	3441	2475	3292	2410
VV1_RS14875	2203	1433	2168	1410
VV1_RS14890	2904	748	2906	746
VV1_RS14900	5095	1349	5121	1351
VV1_RS14905	326	154	308	152
VV1_RS14910	379	186	381	187
VV1_RS14925	349	231	349	231
VV1_RS14935	29280	9039	27901	8469
VV1_RS14950	6799	1991	6774	1989
VV1_RS14965	1558	384	1610	407
VV1_RS14980	726	269	711	265
VV1_RS14985	1170	840	1167	838
VV1_RS15005	1547	701	1537	695
VV1_RS15015	1091	412	1084	411
VV1_RS15020	108	32	107	30
VV1_RS15035	1722	644	1716	645
VV1_RS15040	1065	340	1013	330
VV1_RS15055	429	173	428	173
VV1_RS15060	2560	802	2557	801
