"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"55","pnp",4661.49303340709,-2.25881674095711,0.0897958420888674,-25.1550259835155,1.24512832487631e-139,5.34273244856016e-138,7435.16702902572,7992.22423743598,1559.42464064716,1659.15622651949
"56","argG",1454.82741795132,-3.14031482400192,0.125184545180966,-25.0854833514976,7.16298582257129e-139,3.01868688236933e-137,2461.90957669711,2767.58453656493,290.740187239301,299.075371303943
"57","dcuA",4454.52496477463,2.33538694212829,0.0935877945119103,24.9539692040834,1.93371778047596e-137,8.0062701086373e-136,1461.37257445348,1477.90237344187,6912.38272914873,7966.44218205443
"58","fdoG",6853.17068358457,2.32658923780219,0.0933407520295983,24.9257605838062,3.91216565745804e-137,1.59184671579327e-135,2201.18140493598,2344.93843252776,10584.8903574346,12281.6725394399
"59","cysN",1351.55199226259,-3.14157418680734,0.12647639151052,-24.8392142540375,3.38197894839391e-136,1.35279157935756e-134,2313.59467989394,2546.74854972879,282.393578993196,263.471160434426
"60","malK",1023.02074540002,-5.87516556921105,0.239315592417318,-24.5498653467007,4.33934315909041e-133,1.70680830924223e-131,1963.99528028646,2062.2683693775,31.9953316100666,33.8240003260412
"61","ygeV",4237.52419986445,2.09979732251042,0.0855970058785618,24.5312006063558,6.86560202051905e-133,2.6562001259713e-131,1642.05778603513,1558.08282404699,6696.76201612437,7053.19417325132
"62","sstT",4068.16772294079,2.07799612466128,0.0847485824517734,24.5195384340944,9.14325784546099e-133,3.48033685730451e-131,1562.01482585564,1548.56988922943,6399.06632201331,6763.01985466476
"63","ilvA",1146.04361087914,-3.23048163723361,0.132332487729593,-24.4118560200784,1.27987023929792e-131,4.79443454721124e-130,2005.78241390957,2140.41033395029,222.576219896115,215.405475760578
"64","nlpD",59668.2896503505,1.99753687344654,0.0819976793128001,24.3608952129786,4.44415983076515e-131,1.63878393759465e-129,23669.1741660174,24064.3276116983,89841.5000596926,101098.156763994
"65","dnaJ",3228.04569625517,2.15699053537331,0.089733617741007,24.037708382592,1.12238545493469e-127,4.07512257483981e-126,1136.4923243132,1224.45061008839,5155.42169334377,5395.8181572753
"66","hisJ",4372.61898499741,-2.05435294365024,0.0859655203490162,-23.8974060217359,3.25896517071222e-126,1.16532693983043e-124,6930.77866965937,7172.07335709376,1712.44579182574,1675.17812141078
"67","dadA",2148.63850567762,2.46250491401209,0.103493388583362,23.7938379225895,3.86823564780196e-125,1.36254270579293e-123,619.744390213257,697.841718402206,3826.91988083883,3450.0480332562
"68","dppA",6441.53937166716,-2.01031434068508,0.0848723268519121,-23.6863347012123,4.98713491626545e-124,1.73082917682154e-122,10004.7814712585,10642.9355748138,2487.28925733909,2631.15118325731
"69","rrmJ",4014.76020511615,2.24342550889976,0.0949732426777685,23.6216585392519,2.30908369434711e-123,7.89773553428866e-122,1387.2151260519,1405.87586696608,6148.66807463019,7117.28175281645
"70","rpsB",7697.73473287997,-2.26161235688157,0.0960267133837948,-23.5519083928497,1.20008683891445e-122,4.04600705691158e-121,12250.6927657065,13233.1718265657,2430.25410099071,2876.82023825697
"71","cysJ",817.458416087568,-5.22337786117063,0.226553140625231,-23.0558616259099,1.28466038275972e-117,4.27013873706047e-116,1495.50854276532,1693.98189286923,50.0796494766259,30.2635792390895
"72","cysH",771.232652527392,-4.64583786600467,0.201694748648336,-23.0340050851046,2.12787070145832e-117,6.97468729922449e-116,1393.68918900759,1575.07020764977,55.6440549740288,60.5271584781789
"73","purM",924.625555161647,-3.26716335292803,0.14224602060059,-22.9683989691482,9.65024155786929e-117,3.11980412007829e-115,1642.64633721292,1710.2897811279,171.105469045139,174.460633260633
"74","yeeE",805.323769651592,-3.77737727236435,0.165258740459055,-22.8573524273001,1.23495750424582e-115,3.93851312164882e-114,1562.60337703343,1443.92760623631,116.852515445461,97.9115798911718
"75","nhaA",1082.89144625966,2.62204567372149,0.114739879224095,22.8520867500693,1.39321170428016e-115,4.38397282946822e-114,299.572549495297,303.054923473597,1777.82755642022,1951.11075564953
"76","speA",2562.22314808396,-2.38470994123405,0.104678833555388,-22.7812047597212,7.04272871493511e-115,2.18695260095353e-113,4016.86178841926,4589.99104947118,824.923114989977,817.116639455415
"77","lipA",2567.82005952162,2.07971337714597,0.0913577806067386,22.7644910300346,1.03123896334813e-114,3.16068045909297e-113,1001.12555342142,959.44742588502,4045.3227966119,4265.38446216814
"78","pntA",6950.15668095351,-2.10630660775011,0.0929618121774176,-22.6577619176595,1.16975650661484e-113,3.5392632764244e-112,10688.6779398509,11886.4120545373,2759.94512671183,2465.59160271405
"79","efeO",801.183438893819,-3.54184239339413,0.156789175654351,-22.5898400103989,5.45448355123902e-113,1.62944065581318e-111,1460.1954720979,1494.88975704465,132.154630563318,117.493895869406
"80","glyA",6457.98860399554,-1.8478539960988,0.082272764103312,-22.4600937653973,1.01972732752591e-111,3.00819561620145e-110,9844.10699972169,10378.6118859545,2794.7226610706,2814.51286923532
"81","yqfA",612.742776913048,3.18218713277743,0.141987350481345,22.4117650057532,3.02218931971172e-111,8.80539110434527e-110,120.064440269235,121.629666595905,1151.8319379624,1057.44506282466
"82","mntH",935.009801712853,2.67651026670895,0.120873957335692,22.1429853518879,1.21889969597058e-108,3.50805278352507e-107,244.837289960793,259.56722145048,1695.75257533353,1539.88212010661
"83","yidC",1448.89748667408,-2.5270729002281,0.114862798718912,-22.0007951087127,2.82974582441687e-107,8.04602427183593e-106,2383.0437188732,2560.33845661102,440.979135669178,411.228635542921
"84","carA",679.607802635843,-5.00171443995677,0.227503562770627,-21.9852136777286,3.98913711488907e-107,1.1207575703736e-105,1329.53711062844,1309.38752810229,40.3419398561709,39.1646319564687
"85","yccA",4671.46246946518,1.82478184301126,0.0830583558427914,21.9698767751329,5.59200221011324e-107,1.55260296657262e-105,2106.42466531173,2001.1137884075,7197.55851089063,7380.75291325088
"86","leuC",1107.15319051506,-2.79534956531293,0.129128373793749,-21.6478337269067,6.37049882069682e-104,1.7481833973075e-102,1895.72334366278,1975.29296533127,253.180450131831,304.41600293437
"87","atpB",5889.49852763414,-1.88919215725396,0.0872913044196002,-21.6423866021386,7.16947179506091e-104,1.9448222340625e-102,9010.71853197053,9550.30706148297,2609.70617828195,2387.26233880112
"88","gudP",357.716949873701,4.6364393494803,0.21469165280935,21.595806305509,1.96681657583946e-103,5.27464445338763e-102,23.5420471116147,30.5772904850042,646.862139073085,729.886322825099
"89","actP",2929.16844629579,-1.95746398988725,0.0908149184801264,-21.5544320541961,4.8113620723527e-103,1.27582185289352e-101,4624.83515507671,4697.35131384075,1208.86709431078,1185.62022195492
"90","fdoH",972.105291168037,2.45819096615197,0.115470988784916,21.2883858709373,1.45451902644377e-100,3.81407211378588e-99,296.629793606345,299.657446753041,1595.59327638028,1696.54064793249
"91","rplA",6060.94398397123,-2.00694627199099,0.0943152228343002,-21.279134074856,1.77184446886306e-100,4.59511312804046e-99,9003.06736665926,10420.7405972894,2446.94731748292,2373.02065445331
"92","secD",2676.2589482378,-2.06234225821684,0.0971517485819283,-21.2280508412842,5.25992248762688e-100,1.34928446421733e-98,4155.75986637779,4487.38725251039,1061.4103486296,1000.47832543343
"93","prsA",1544.26211666604,-2.54942706952934,0.120144732910956,-21.2196324196652,6.2913925988759e-100,1.59652543369324e-98,2483.09741909756,2793.40535964116,414.548209556515,485.997478368907
"94","hchA",695.222459892461,3.20555763362329,0.152068591394372,21.0796825579193,1.22200357340028e-98,3.06800897151558e-97,136.543873247365,132.501592101685,1094.79678161402,1417.04759260678
"95","malF",597.30627211426,-4.42923400648347,0.210732549787362,-21.0182717902515,4.46393260754206e-98,1.10893483724203e-96,1129.42971017972,1155.14208498905,45.9063453535738,58.7469479347031
"96","cysA",657.870119277765,-3.96050330377298,0.189020399777151,-20.9527823898493,1.76982611801609e-97,4.35082254012288e-96,1141.78928491331,1333.84936049029,79.2927783379911,76.5490533694616
"97","gyrA",3104.75301057712,-1.92945946776062,0.0921072473956616,-20.9479657933139,1.95818822705187e-97,4.76425176890971e-96,4795.51499663592,5047.29141605802,1322.93740700754,1253.268222607
"98","ftsH",13579.3111894677,1.68008455489528,0.0806147594663096,20.8409051396776,1.84320735718974e-96,4.4387442479263e-95,6335.75342891331,6568.68149152301,19825.9767872465,21586.8330501882
"99","yeiT",1247.78054265586,2.30539639705583,0.110828172560394,20.8015375855769,4.19154692411026e-96,9.99197044535376e-95,396.683493830708,441.671973672282,2146.46942062316,2006.29728249728
"100","pspA",1160.57006806544,2.22402532173089,0.107480441383599,20.692372427029,4.0574998603641e-95,9.57569967045928e-94,411.985824453258,404.299729746166,1933.6309103475,1892.36380771483
"101","cysP",754.302618427715,-3.28151336709313,0.158789467170393,-20.6658125728945,7.03627640566898e-95,1.64412003142364e-93,1375.44410249609,1366.46513700763,161.367759424684,113.933474782454
"102","gntT",676.159128661621,-3.43884756150863,0.167134447572797,-20.5753368706999,4.56547355681166e-94,1.05632525432113e-92,1187.10772560317,1290.36165846718,104.332603076304,122.834527499834
"103","dkgA",537.777526828216,2.97771484554347,0.145177654677239,20.5108344818186,1.72312655913722e-93,3.94813464035324e-92,124.772849691558,115.514208498905,945.94893455849,964.874114563911
"104","artJ",730.971270803869,-3.18367333900803,0.155799366579783,-20.4344434056329,8.26294540594864e-93,1.87505299596527e-91,1255.37966222685,1381.41403457808,144.674542932475,142.416843478068
"105","eno",5385.41044017019,-1.74778186170428,0.0855670931369868,-20.4258646359086,9.84993263727173e-93,2.21388962132965e-91,8080.21911988396,8527.66656859561,2542.93331231312,2390.82275988807
"106","cysD",652.502625732954,-3.50967508420691,0.172449024566903,-20.3519567189276,4.46107210238923e-92,9.93219826569678e-91,1155.91451318028,1248.23294713228,116.852515445461,89.0105271737925
"107","malT",6194.3008675258,-1.63172127360035,0.0803006468008332,-20.3201510648782,8.53134598538371e-92,1.88168004911267e-90,9435.65248233518,9302.29126088238,3007.56117134626,3031.69855553937
"108","dusB",1518.28758949923,-2.23488500906,0.110487725558899,-20.2274505856184,5.61310226640992e-91,1.22656679154883e-89,2478.97756085303,2530.44066147012,499.405393391909,564.326742281845
"109","yaeT",5189.1125126503,-1.713324518876,0.0849308446205655,-20.1731717908894,1.68479016441432e-90,3.6478025578145e-89,7700.01505903138,8212.38072892801,2437.20960786246,2406.84465477935
"110","ybhC",650.604392878105,-3.32129029525659,0.165061053069325,-20.1215867310726,4.77547150300657e-90,1.02455570428141e-88,1140.61218255773,1227.84808680895,118.243616819811,115.71368532593
"111","galF",1683.01361893116,-2.09699961401485,0.104499437960244,-20.0670898805468,1.4314451852341e-89,3.04343300644367e-88,2712.04382725802,2749.23816227393,656.59984869354,614.172637499169
"112","thrC",1796.73190678205,-2.43345640945753,0.121370487431907,-20.0498198610497,2.02577271745416e-89,4.2685925117784e-88,2745.00269321428,3322.05273735968,534.182927750677,585.689268803555
"113","bax",6243.32204228924,-1.60377892661735,0.080201652227129,-19.9968315125915,5.86843195059717e-89,1.22561941623091e-87,9352.66676626674,9444.98528314573,3111.89377442256,3063.74234532194
"114","leuB",1054.74300137069,-2.47179000081609,0.123753112555914,-19.973558238378,9.35459022172014e-89,1.93656429151399e-87,1749.76265157076,1826.48348497092,311.606707854561,331.119161086508
"115","adk",1413.559534338,-2.34291958697647,0.117382660880998,-19.959673510483,1.23516559061699e-88,2.53477460335312e-87,2221.19214498085,2504.6198383939,454.890149412686,473.536004564576
"116","yeeF",568.498572046008,-4.03651428423331,0.202378266316503,-19.9453941260694,1.64349826702906e-88,3.34366888809361e-87,995.240041643512,1151.06511292438,65.3817645944839,62.3073690216548
"117","aspA",23223.9102495032,1.55349900538996,0.0780570304764093,19.9021022950581,3.90213822095388e-88,7.87097965935996e-87,12198.900262061,11384.2649952391,33896.967188804,35415.5085519086
"118","argA",999.369856231835,-2.63108847963341,0.13266910008396,-19.8319614587596,1.57765986777187e-87,3.15531973554375e-86,1622.04704599025,1821.72701756214,267.091463875338,286.613897499612
"119","ynhG",680.216586742707,2.55856451225167,0.129414851216487,19.770254249813,5.37046452733407e-87,1.06506691466457e-85,201.873053982096,190.938191695248,1172.69845857766,1155.35664271583
"120","sdaA",498.620918645256,2.97121953882139,0.151931441594926,19.5563176892848,3.6446652812084e-85,7.16784171970986e-84,120.652991447025,102.603796960792,872.220561717902,899.006324455305
"121","hisF",751.494895358223,-2.95895218544836,0.151942568950617,-19.4741487252993,1.81923233196287e-84,3.54825479622509e-83,1249.49415044895,1417.42728781597,175.278773168191,163.779369999778
"122","pheS",1030.98981902887,-2.43973463755015,0.125347951714061,-19.4636976846305,2.23093133027938e-84,4.31557208152405e-83,1712.68392736997,1774.16234347435,338.037633967225,299.075371303943
"123","fabB",11589.0508332588,1.52979496484868,0.0786851357889552,19.4419816336317,3.40746465980456e-84,6.53789967247054e-83,5780.1611170792,6133.80447129184,16889.3617859921,17552.8759586719
"124","yccZ",502.85870486522,-4.23749491384317,0.218306937350587,-19.4107203612958,6.26426814515932e-84,1.19223167924e-82,981.114813376543,930.229126088238,43.1241426048723,56.9667373912272
"125","fbp",1932.41847595992,2.18884415470321,0.112899815596859,19.3874909638391,9.84223152992735e-84,1.85821331285028e-82,652.114704991728,733.8549716401,2886.53535177775,3457.1688754301
"126","yccC",1060.59110048646,-2.44328452874036,0.126485830629734,-19.3166658793005,3.88977181676295e-83,7.28560435520679e-82,1854.52476121745,1729.31565076301,306.042302357159,352.481687608218
"127","tyrB",911.175692021468,-2.49285781901376,0.129127788224334,-19.3053552089261,4.84212455885197e-83,8.99796374715799e-82,1554.95221172215,1541.77493578832,268.482565249689,279.493055325709
"128","yqeB",678.930341322837,2.52904943427172,0.131044555136328,19.2991569290361,5.45926291978939e-83,1.00655160083617e-81,197.753195737564,201.810117201028,1208.86709431078,1107.29095804198
"129","cfa",784.770714107673,2.51483831240717,0.130371717413194,19.289753654443,6.54845810457878e-83,1.19801249045007e-81,244.837289960793,219.476996147919,1250.6001355413,1424.16843478068
"130","yrbL",3533.15136518313,1.74185459582222,0.0907213406302559,19.2000535234739,3.69710858376972e-82,6.71167404438196e-81,1560.24917232227,1687.86643477223,5230.54116755871,5653.9486860793
"131","yqjA",737.810121375739,2.55817654421332,0.133409866851433,19.1753174228271,5.95042011742777e-82,1.07198408222363e-80,219.529589315807,205.887089265695,1165.7429517059,1360.08085521555
"132","trmD",6636.2257821605,-1.68819767792424,0.0881169670191969,-19.1585994733166,8.20514676094079e-82,1.46698078453184e-80,9641.64539456181,10622.5507144904,3035.38319883327,3245.32382075648
"133","mdtK",494.090517237767,2.935304925251,0.15349596675434,19.1230101175802,1.62455634513693e-81,2.8826714094159e-80,124.184298513768,101.924301616681,870.829460343551,879.42400847707
"134","fnr",3827.24436653221,1.6895930739272,0.0886933815227476,19.0498213611785,6.59267791887156e-81,1.16109849914454e-79,1758.59091923762,1859.09926148825,5604.74743725905,6086.53984814393
"135","mukB",2223.94353751962,-1.86555388024066,0.0981675086967991,-19.0037814446593,1.58688573205683e-80,2.77411135381787e-79,3370.04404402765,3614.23573532749,962.642151050699,948.852219672628
"136","accC",2876.9949873329,-1.93276494253185,0.101853996431751,-18.975838064704,2.70168688248991e-80,4.68822135490896e-79,4233.44862184612,4891.00748691244,1190.78277644422,1192.74106412882
"137","purC",1370.62124935966,-2.07414582443917,0.10942230644673,-18.9554204420734,3.98357662459349e-80,6.86221958689098e-79,2207.65546789167,2224.66775662008,516.098609884117,534.063163042755
"138","lepA",1322.407049095,-2.13538219249836,0.113014739830612,-18.894722898083,1.26047664109444e-79,2.15559773404556e-78,2102.89335824498,2210.39835439375,506.360900263662,469.975583477625
"139","gltB",878.553605150599,-2.8072413829874,0.149299706116696,-18.8027254440353,7.17338977965424e-79,1.21792804891971e-77,1382.50671662957,1695.34088355745,215.620713024362,220.746107391005
"140","yhgF",527.185307811104,-3.46554224634861,0.184494453568754,-18.7839914930404,1.02107740740508e-78,1.72124477248285e-77,938.739128575637,998.85815584347,94.594893455849,76.5490533694616
"141","nrdA",614.877565505385,-3.03358463991826,0.161691163079037,-18.7615982354917,1.55648264906961e-78,2.6051766324853e-77,1078.81430888974,1113.69286899826,121.025819568513,145.97726456502
"142","trxB",1596.89963882588,-2.07443549555788,0.110680225602043,-18.7426027031842,2.22474431451847e-78,3.69746238187576e-77,2439.54463194108,2726.13532057415,614.866807463019,607.051795325265
"143","nusA",2080.2718937392,-2.00185136665519,0.106863784549106,-18.7327388329141,2.67778888265495e-78,4.41928794619978e-77,3144.04039175615,3521.14487318426,870.829460343551,785.07284967285
"144","cof",445.062066295682,2.95863719333201,0.15818199197372,18.704007683906,4.5920110239746e-78,7.52579584484727e-77,95.93384197983,105.321778337237,751.194742149389,827.797902716271
"145","argD",591.928422379195,-3.04253337872192,0.163928308959436,-18.5601461885073,6.75206762140032e-77,1.0989572128624e-75,1027.02180524419,1087.87204592204,133.545731937669,119.274106412882
"146","araH",753.321102634389,2.32161542714212,0.125658294474593,18.4756242064987,3.24452885480801e-76,5.24458088859376e-75,239.54032936068,260.926212138702,1218.60480393123,1294.21306510694
"147","thiM",602.96875513754,-2.97421782979594,0.16206767938032,-18.351702456456,3.19929099468037e-75,5.13627669894263e-74,1100.0021512902,1040.30737183425,123.808022317214,147.757475108496
"148","yeeI",4689.58826812491,1.56771128700675,0.0856581792730889,18.3019450134318,7.98467584615742e-75,1.27323209438726e-73,2414.82548247388,2310.28416997809,6746.84166560099,7286.40175444666
"149","yahN",285.855052425668,4.27956853532308,0.234588969422237,18.2428378702678,2.35887223406733e-74,3.73620031704623e-73,27.6619053561473,26.5003184203369,459.063453535738,630.194532390451
