	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
ibrB	47	38	39	38
ibrA	22	14	21	10
ybdO	24	12	15	10
dsbG	182	187	94	78
ahpF	2669	2552	712	542
ybdR	75	52	68	56
rna	199	171	334	283
citT	37	24	21	31
citG	8	6	0	1
citF	4	3	2	4
citE	7	7	5	5
citC	13	10	11	14
citA	167	174	72	47
citB	59	64	35	22
dcuC	49	37	21	17
lipA	1701	1412	2908	2396
ybeF	105	89	89	75
lipB	112	116	57	61
dacA	1078	936	266	239
rlpA	969	883	135	108
mrdB	480	390	58	34
mrdA	555	534	72	49
phpB	62	71	16	12
nadD	152	117	52	45
holA	497	418	73	60
leuS	6364	5826	2662	1931
ybeQ	186	167	157	146
ybeU	15	9	6	7
hscC	227	179	54	52
rihA	2423	2137	550	381
gltL	2822	2592	391	257
gltK	2036	1731	329	296
gltJ	2500	2328	397	276
gltI	30500	26909	8571	6698
ybeX	1574	1355	1068	822
ybeZ	1188	1059	1058	836
miaB	696	574	95	65
asnB	983	979	306	220
nagD	426	391	115	76
nagC	546	452	343	277
nagA	999	856	432	358
nagB	717	623	355	317
nagE	5721	5140	2950	2388
glnS	2770	2556	1076	887
ybfM	281	190	195	181
ybfF	248	219	91	87
pgm	8374	7844	3259	2317
potE	151	125	221	192
kdpE	57	39	46	40
kdpD	205	175	144	111
kdpB	74	96	14	8
ybgH	251	240	49	39
ybgI	1049	1005	463	317
ybgJ	781	697	282	215
ybgK	957	870	316	218
nei	166	140	50	33
abrB	20	23	19	15
gltA	13613	13498	8031	6031
sdhA	23844	22192	10256	7600
sdhB	11231	10027	4591	3495
sucA	39832	37801	19916	14335
sucB	28326	25864	8983	6136
sucC	46950	44087	11851	8420
sucD	37599	34805	11281	8803
mngR	168	123	104	92
mngA	24	33	7	13
cydA	12265	11184	4758	3368
cydB	7694	7219	3586	2671
tolQ	1022	891	155	83
tolA	1935	1734	352	257
tolB	9056	8126	2033	1455
ybgF	3364	3014	657	528
nadA	928	839	162	90
pnuC	585	564	173	124
zitB	200	192	207	169
aroG	2604	2485	1038	840
gpmA	7614	7320	3270	2270
galM	3530	3329	886	752
galK	1099	1193	283	213
galT	500	479	127	114
galE	376	392	222	178
modF	1250	1117	328	246
modE	336	309	179	172
modA	629	466	96	88
modB	274	240	101	44
modC	533	415	93	64
ybhA	271	225	67	44
pgl	560	477	172	109
ybhD	45	37	40	38
ybhH	18	9	22	15
ybhI	914	805	58	37
ybhJ	102	85	21	33
ybhC	1938	1807	85	65
bioB	1312	1154	965	621
bioC	326	252	37	27
bioD	366	292	32	22
uvrB	944	829	1095	934
ybhK	540	456	208	137
moaA	950	700	673	508
ybhL	615	554	1948	1778
ybhN	24	10	14	16
ybhO	26	12	31	15
ybhP	29	19	34	26
ybhR	114	78	77	62
ybhS	136	104	55	57
ybhF	382	261	119	70
ybhG	246	241	110	65
ybiH	77	58	49	28
rhlE	37	25	16	23
dinG	186	179	222	166
ybiB	269	238	259	182
ybiC	2114	2055	860	627
ybiX	85	98	71	52
fiu	84	62	73	41
ybiN	148	156	44	31
ybiO	65	47	48	42
glnQ	2476	2320	898	781
glnP	2172	2091	1231	1058
glnH	14207	12784	9478	7805
rhtA	82	50	28	21
ybiR	308	282	208	148
ybiS	1049	983	393	339
ybiT	1836	1668	379	292
ybiU	71	59	31	25
ybiV	153	135	70	41
ybiW	95	98	64	41
ybiY	22	16	5	3
fsaA	49	43	37	32
moeB	250	196	107	76
moeA	449	364	295	224
iaaA	1476	1289	390	272
yliA	1290	1151	224	161
yliB	1576	1446	242	180
yliC	506	437	56	45
yliD	352	280	28	25
yliE	180	149	20	20
yliF	58	50	44	25
yliG	323	276	50	83
yliI	40	36	69	61
yliJ	1277	1144	210	154
dacC	1052	945	1013	755
deoR	474	383	239	226
cmr	158	148	126	133
ybjI	223	202	68	50
ybjJ	88	87	53	53
ybjL	356	340	537	456
nfsA	458	383	146	114
rimK	394	349	83	86
potF	1608	1499	371	306
potG	727	605	89	80
potH	340	263	68	37
potI	315	221	96	78
rumB	117	130	24	9
artJ	2133	2033	104	80
artM	786	697	81	57
artQ	904	820	85	66
artI	2171	1876	432	313
artP	1015	898	192	153
ybjR	307	248	302	233
ybjS	290	257	94	73
ybjT	614	583	102	74
ltaE	919	800	105	92
poxB	52	48	91	74
hcr	23	27	35	31
hcp	21	16	17	16
ybjE	61	72	25	28
aqpZ	89	59	178	132
ybjD	632	549	1043	768
ybjX	1461	1208	2044	1798
macA	467	396	347	249
macB	505	446	514	391
clpA	13342	11653	27649	22768
aat	73	45	28	32
cydC	390	361	107	66
cydD	417	355	119	121
trxB	4145	4012	442	341
lolA	896	787	654	481
ycaJ	591	548	146	112
serS	5071	4538	3918	3105
dmsA	74	99	61	37
dmsB	35	33	34	20
dmsC	115	118	95	62
ycaC	94	73	95	81
ycaD	169	148	146	107
ycaM	59	38	29	26
ycaN	118	89	128	119
pflA	357	395	613	598
pflB	19681	17258	13894	10372
focA	2107	1744	1848	1240
ycaO	418	432	57	56
ycaP	644	465	533	469
serC	5372	5303	1270	985
aroA	1782	1764	191	115
ycaL	80	72	22	18
cmk	2078	1847	304	267
rpsA	55787	53439	9146	7932
msbA	1660	1495	309	205
lpxK	341	320	61	40
kdsB	976	874	388	274
ycbJ	259	265	311	234
smtA	775	641	234	161
mukF	1457	1356	277	200
mukE	894	742	163	105
mukB	5726	5319	692	533
ycbB	513	432	873	648
ycbL	2414	1974	1197	869
aspC	7375	6954	1900	1596
ompF	85427	73426	16540	12556
asnS	3005	2842	1313	1160
pncB	952	889	151	125
pepN	7058	6535	4191	3147
ssuC	14	13	11	7
ssuA	24	28	9	11
ycbR	20	16	15	14
ycbT	85	52	29	20
ycbF	44	36	22	11
pyrD	319	287	30	20
ycbX	555	449	230	135
ycbY	1081	902	129	111
uup	1369	1161	140	132
pqiA	270	216	123	80
pqiB	635	575	248	208
ycbZ	973	812	301	252
yccR	413	377	250	245
yccS	355	341	215	150
helD	770	694	522	367
yccT	16	14	20	25
yccW	426	382	221	168
yccA	3579	2945	5174	4146
hyaA	5	4	6	5
hyaB	10	15	6	7
hyaC	14	13	10	5
hyaF	17	11	12	9
appC	194	169	89	46
appB	41	36	23	12
appA	77	65	55	40
yccC	3151	2545	220	198
yccZ	1667	1369	31	32
ymcA	1520	1136	16	22
ymcB	357	297	8	7
ymcC	1125	691	82	78
yccM	47	48	39	32
torR	165	141	96	70
torC	42	35	12	11
torA	74	78	58	41
cbpA	310	311	304	205
agp	5207	4513	4420	3310
rutG	31	37	37	31
rutD	3	5	7	3
rutB	0	0	1	0
rutA	5	7	7	4
rutR	152	123	209	161
putP	7141	6119	3967	3458
efeO	2481	2200	95	66
efeB	1393	1175	88	63
phoH	1323	1098	8730	7435
ycdW	800	658	446	288
ycdX	957	890	555	357
csgG	105	76	86	57
csgD	45	42	96	59
ymdC	194	159	125	106
mdoC	89	61	60	37
mdoG	2598	2249	756	683
mdoH	1727	1574	501	401
mdtG	26	20	22	23
lpxL	140	105	115	97
yceA	972	753	59	58
solA	1084	1033	430	305
pyrC	444	465	54	50
grxB	433	465	109	104
mdtH	106	92	59	53
yceH	505	501	634	423
mviM	648	562	704	559
mviN	152	147	43	43
flgA	33	34	19	14
flgD	14	12	7	4
flgF	7	3	1	3
flgG	9	6	2	1
flgH	9	8	3	4
flgI	12	11	2	1
flgJ	13	8	6	2
flgK	51	65	61	44
flgL	92	71	86	77
rluC	960	808	148	118
plsX	2706	2278	257	185
fabH	3742	3417	562	453
fabD	4737	4609	631	423
fabG	8908	8562	3573	2487
fabF	6542	6277	3172	2591
pabC	401	262	138	102
yceG	308	240	94	55
tmk	244	223	72	52
holB	276	261	68	64
ycfH	465	353	83	88
ptsG	32078	28405	433	380
fhuE	312	254	190	182
ycfM	1044	966	248	175
ycfN	379	363	141	106
nagZ	926	903	536	434
ndh	263	262	119	89
ycfQ	247	213	471	409
ycfS	255	233	136	120
mfd	1383	1331	526	405
lolC	437	356	58	35
lolD	285	213	18	17
lolE	1138	1015	451	341
ycfX	1010	875	373	266
cobB	1073	960	175	148
potD	4800	4627	167	125
potC	468	435	33	42
potB	199	182	27	21
potA	336	316	58	45
pepT	651	528	646	521
ycfD	1099	915	510	443
phoQ	1480	1361	434	318
phoP	1329	1250	898	675
purB	878	835	85	62
hflD	176	177	61	60
trmU	841	702	102	78
ymfC	68	74	52	39
icd	84266	77839	35209	27191
ycgE	607	555	330	251
ycgF	373	332	107	89
ycgG	27	18	25	20
minD	5475	5239	1499	1120
minC	1498	1383	687	501
ycgM	1284	1156	495	362
umuC	82	74	95	74
nhaB	359	307	130	114
fadR	1097	842	1484	1154
ycgB	62	44	791	669
dadA	1053	1027	2751	1938
dadX	637	506	1005	776
cvrA	311	300	104	94
emtA	538	501	116	93
ycgR	80	54	22	11
treA	82	57	190	121
dhaH	636	588	237	188
dhaL	386	329	85	83
dhaK	692	665	190	140
dhaR	236	203	125	105
ychF	2367	2233	712	507
ychM	469	377	526	431
prsA	4219	4111	298	273
ispE	1113	1021	130	124
lolB	395	398	100	80
hemA	889	779	295	210
prfA	595	606	121	74
prmC	190	188	25	36
ychA	723	629	501	407
kdsA	1906	1879	785	564
chaA	1044	849	372	293
chaC	194	193	246	178
ychP	113	93	102	54
narL	303	226	93	61
narX	215	141	133	103
narK	26	15	40	25
narG	84	82	67	45
narH	74	82	50	49
narJ	27	16	19	22
narI	46	26	22	23
purU	1079	1046	351	239
rssA	433	387	287	216
rssB	290	244	250	164
galU	2175	2140	1040	739
tdk	407	341	146	114
adhE	3884	3538	8589	7087
ychE	66	68	66	71
oppA	3402	3119	942	657
oppB	508	457	70	67
oppC	658	620	79	65
oppD	815	810	128	87
oppF	841	699	243	181
cls	1048	869	1048	743
kch	234	211	172	113
tonB	733	631	580	498
yciC	769	729	683	540
ompW	6992	8263	2474	1543
trpA	1370	1271	144	141
trpB	2366	2125	206	171
trpD	1247	1106	74	77
trpE	511	482	26	30
yciV	495	472	374	385
yciO	372	381	223	205
rluB	686	692	130	79
yciK	888	834	468	352
sohB	1794	1558	942	760
topA	6384	5966	1335	1040
cysB	526	440	568	434
acnA	5041	4858	2359	1625
pgpB	349	300	225	167
yciM	1251	922	819	573
pyrF	758	723	48	32
deoT	424	352	192	183
gmr	488	414	402	330
rnb	2439	2403	206	155
fabI	4804	4613	2929	2402
sapF	195	154	44	33
sapD	267	242	85	75
sapC	105	85	45	31
sapB	125	104	83	43
sapA	247	225	170	140
puuP	389	301	68	43
puuA	2011	1424	143	120
puuD	2766	2023	300	293
puuB	256	225	3	5
puuE	293	203	23	16
pspF	190	161	141	99
pspA	700	595	1390	1063
ycjM	67	37	36	28
ycjN	28	23	9	3
ycjO	21	10	8	5
ycjP	11	12	6	3
ycjQ	26	25	7	5
ycjR	24	16	4	7
ycjS	38	28	15	11
ycjU	7	4	3	2
ompG	19	18	14	6
ycjW	274	229	42	42
ycjX	282	229	228	176
ycjF	312	277	218	167
tyrR	1121	986	861	644
ycjG	776	643	647	452
mpaA	225	187	136	109
ycjZ	216	166	111	69
mppA	2438	2044	1391	1063
ynaI	376	333	205	173
uspE	5007	4381	8899	6764
fnr	2988	2736	4029	3419
abgT	28	18	8	19
abgB	54	45	26	18
abgA	90	90	14	13
abgR	283	249	117	114
ydaM	93	58	158	104
ydaN	499	406	319	250
dbpA	137	95	45	27
ydaO	546	488	122	103
ompN	124	100	198	164
ldhA	685	615	478	337
feaR	2564	1735	1246	1053
feaB	406	328	400	362
maoC	190	144	23	17
paaA	231	171	14	14
paaC	159	134	20	10
paaJ	127	113	21	12
paaF	52	56	1	1
paaG	65	52	5	4
paaH	131	110	17	9
paaE	907	882	1310	957
paaK	1352	1145	766	572
paaX	558	418	202	146
ydbC	1310	1147	1306	1043
azoR	370	306	170	192
hrpA	806	770	202	167
ydcF	216	209	130	75
aldA	11735	10493	6295	4965
trg	190	145	144	109
ydcI	3027	2597	2202	1756
ydcJ	175	135	319	191
