	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_batch1	K12_batch2
xthA	974	1415	977	1422
ydjX	76	107	86	112
ydjZ	51	93	54	98
ynjE	260	379	290	446
ynjF	57	96	57	96
gdhA	21606	32742	23864	36228
topB	1366	2082	1488	2269
selD	2173	3248	2405	3602
sppA	1310	1899	1482	2160
ansA	415	503	425	515
pncA	412	546	433	583
ydjE	40	41	41	43
ydjF	364	544	364	544
ydjG	85	131	85	131
ydjH	39	85	39	85
ydjI	52	63	52	63
ydjJ	45	49	45	49
ydjK	17	34	17	34
ydjL	46	51	48	56
gapA	72505	99243	72681	99485
yeaD	1084	1313	1135	1379
yeaE	348	485	351	495
mipA	3204	4209	3217	4223
yeaG	1069	1471	1109	1539
yeaH	247	292	251	298
yeaI	24	25	24	25
yeaJ	230	274	233	280
yeaM	148	176	159	190
yeaN	69	104	71	105
yeaP	1332	1579	1337	1574
yeaS	52	69	52	72
yeaT	199	289	204	298
yeaU	94	144	97	149
yeaV	14	21	14	24
yeaW	23	28	23	28
yeaX	64	95	65	97
rnd	472	592	473	595
fadD	467	656	486	693
yeaZ	733	963	811	1077
yoaA	474	636	503	683
sdaA	265	373	265	373
adrB	103	150	103	151
yoaE	441	678	441	679
manX	7480	10389	7484	10399
manY	5049	7622	5202	7860
rrmA	426	519	456	555
kdgR	2086	2982	2102	2993
yebQ	27	32	28	33
htpX	3464	5479	3495	5526
prc	6568	9691	6818	10036
yebS	230	290	236	295
yebT	560	808	620	906
yebU	235	323	245	332
pphA	75	117	75	118
yebZ	1191	1540	1208	1558
yobB	127	197	127	197
exoX	215	312	215	312
ptrB	415	615	420	627
yebE	254	337	254	340
