"","Gene","IAI1","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_batch1","K12_IAI1ref_batch2","K12_batch1","K12_batch2"
"1","aaeA","aaeA",1457,180.020152158574,-0.00885852739822929,0.0623741349728401,-0.142022448921923,0.88706227374444,0.999915178638161,191.085071679752,172.792304289214,188.482072992319,167.721159673013
"2","aaeB","aaeB",1456,83.2774871970841,-0.00921072797920644,0.050923610324587,-0.180873428268288,0.856466925997026,0.999915178638161,92.4997799214085,77.3696884877076,88.4236885642977,74.8167918149225
"3","aaeR","aaeR",1458,184.89901359372,-0.0038496238854636,0.0631239790536822,-0.0609851270971018,0.951371053864345,0.999915178638161,187.433764577591,183.96792595966,187.318603405947,180.875760431681
"4","aas","aas",1292,1046.6051534841,-0.0100757052146435,0.0671861032677103,-0.149967102192186,0.88079057033398,0.999915178638161,1064.96457146358,1040.19247855696,1049.44956690785,1031.813997008
"5","aat","aat",459,135.708430195734,-0.0142822166043351,0.0573960082687124,-0.248836409275531,0.803487326193746,0.999915178638161,154.572000658143,122.931838374913,147.760637469287,117.569244280592
"6","abgA","abgA",2060,43.6816871916613,-0.00303376188135486,0.0406771048378171,-0.0745815586790337,0.940547647294194,NA,40.1643781237695,48.1411395034625,39.5579659366595,46.8632652027536
"7","abgB","abgB",2059,50.9297395239074,0.0148457383315283,0.0431092016054244,0.344375163043154,0.730564164879353,NA,52.335401797639,44.7024866817866,58.1734793186169,48.5075902975871
"8","abgR","abgR",678,118.401577147101,0.00201021331934471,0.0568459583710946,0.0353624668656633,0.971790713083129,0.999915178638161,113.190520166987,122.931838374913,111.693080291745,125.79086975476
"9","abgT","abgT",2058,48.9227481858542,0.0292917619894086,0.0427471628228441,0.68523289161439,0.49319697139117,NA,47.4669923280912,41.2638338601107,53.5196009731276,53.4405655820875
"10","abrB","abrB",354,76.9963894858219,0.0183340746810564,0.0503201999307658,0.36434820820032,0.715598005168652,0.999915178638161,73.0261420432172,74.7906988714507,77.9524622869467,82.216254741673
"11","accA","accA",165,3836.51259361205,0.0262563206246836,0.0617255387393349,0.425372077116464,0.670565458023603,0.999915178638161,3671.99784240644,3904.59027901298,3769.64145984638,3999.82079318239
"12","accC","accC",1465,9374.82503622587,0.0305830158984944,0.0606131072392156,0.504561097285369,0.613867139488375,0.999915178638161,8866.59074641396,9614.4732894058,9130.90931385011,9887.3267952336
