	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_HS1	YJ016_CMCP6ref_HS2
VV1_RS08910	2836	2807	2782	2758
VV1_RS08920	1420	1313	1421	1318
VV1_RS08925	3487	2627	3475	2619
VV1_RS08930	1445	1453	1445	1451
VV1_RS08935	2320	2124	2317	2118
VV1_RS08940	287	146	416	236
VV1_RS08970	2220	2157	2110	2064
VV1_RS08980	5187	5120	5182	5113
VV1_RS08990	579	695	578	684
VV1_RS08995	2064	2151	2056	2133
VV1_RS09015	4708	3137	5540	3524
VV1_RS09025	1400	1117	1303	1006
VV1_RS09045	10031	6856	9993	6817
VV1_RS09055	377	878	362	859
VV1_RS09060	2310	4797	2302	4793
VV1_RS09095	2635	4348	2630	4334
VV1_RS09100	5560	4197	5507	4174
VV1_RS09105	132478	105904	132817	106039
VV1_RS09110	65580	35070	65485	35034
VV1_RS09135	8791	3899	8709	3869
VV1_RS09140	1824	1337	1822	1335
VV1_RS09145	1302	1753	1276	1728
VV1_RS09235	11849	12016	11813	11942
VV1_RS09250	17380	9523	13040	7503
VV1_RS09255	24945	18043	24667	17917
VV1_RS09260	3523	3079	3431	2989
VV1_RS09265	5126	5220	5135	5218
VV1_RS09270	12191	10290	12179	10276
VV1_RS09285	2490	1255	2495	1253
VV1_RS09290	880	666	874	668
VV1_RS09295	494	355	494	355
VV1_RS09310	1018	978	1017	973
VV1_RS09325	689	477	675	468
VV1_RS09330	1533	1678	1517	1653
VV1_RS09335	572	553	522	492
VV1_RS09340	1074	358	1059	357
VV1_RS09345	5093	1897	5083	1887
VV1_RS09365	18666	8330	18646	8346
VV1_RS09380	3222	3518	3215	3508
VV1_RS09385	4679	8618	4679	8612
VV1_RS09390	195	39	195	39
VV1_RS09410	2548	2178	2539	2169
VV1_RS09420	1930	1437	1892	1410
VV1_RS09435	10638	1509	11107	1572
VV1_RS09440	1377	1487	1378	1487
VV1_RS09455	1774	1357	1755	1345
VV1_RS09460	16075	40563	15954	40463
VV1_RS09465	3488	3569	3497	3597
VV1_RS09500	140	139	124	130
VV1_RS09505	1304	1029	1304	1027
VV1_RS09510	541	185	516	175
VV1_RS09515	288	256	292	258
VV1_RS09545	170	107	186	131
VV1_RS09565	326	491	326	491
VV1_RS09695	839	317	846	318
VV1_RS09705	4415	15413	4360	15211
VV1_RS09720	153	146	152	144
VV1_RS09725	824	214	811	208
VV1_RS09740	21011	9285	20308	8984
VV1_RS09745	64903	4272	64795	4267
VV1_RS09750	13941	4263	13795	4228
VV1_RS09760	1944	3749	2077	4038
VV1_RS09775	4491	7485	4433	7361
VV1_RS09785	1903	3768	1851	3640
VV1_RS09795	1034	1278	1020	1265
VV1_RS09800	2468	3828	2456	3805
VV1_RS09810	684	714	743	750
VV1_RS09815	749	775	743	772
VV1_RS09820	830	742	848	745
VV1_RS09830	1125	1189	1178	1223
VV1_RS09835	1675	1519	1675	1524
VV1_RS09850	869	587	865	583
VV1_RS09855	267	180	261	178
VV1_RS09860	3135	4012	3012	3923
VV1_RS09865	7058	6961	7045	6945
VV1_RS09870	13473	10646	13469	10646
VV1_RS09880	240	154	238	149
VV1_RS09890	151	417	151	418
VV1_RS09895	397	215	374	209
VV1_RS09900	43384	384523	43361	384238
VV1_RS09905	7415	32620	7264	32019
VV1_RS09915	384	3233	400	3382
VV1_RS09920	944	17139	817	16614
VV1_RS09925	121	2284	121	2283
VV1_RS09930	93	541	93	538
VV1_RS09940	3985	1872	3952	1861
VV1_RS09945	1754	6820	1751	6810
VV1_RS09960	229	113	228	113
VV1_RS09975	1821	1434	1826	1430
VV1_RS09980	1232	970	1232	969
VV1_RS09985	11055	17087	11036	17059
VV1_RS10010	1264	1063	765	726
VV1_RS10025	3552	4303	3529	4264
VV1_RS10050	960	1031	1063	1182
VV1_RS10060	77	87	84	87
VV1_RS10070	1144	948	1140	948
VV1_RS10080	1361	1386	1363	1386
VV1_RS10085	3709	1293	3708	1294
VV1_RS10090	863	733	858	725
VV1_RS10095	1531	1397	1527	1398
VV1_RS10100	2033	2403	2031	2393
VV1_RS10110	425	585	425	585
VV1_RS10125	3154	1363	2641	1092
VV1_RS10130	2703	908	2696	905
VV1_RS10135	1243	863	1241	863
VV1_RS10140	279	296	305	332
VV1_RS10145	115	163	1081	790
VV1_RS10150	746	610	740	601
VV1_RS10165	574	410	570	408
VV1_RS10180	14989	7326	14826	7239
VV1_RS10185	3881	4029	3871	4016
VV1_RS10205	4913	2731	4897	2724
VV1_RS10215	2225	2034	2225	2036
VV1_RS10230	4288	3326	4326	3306
VV1_RS10235	5191	4461	5175	4449
VV1_RS10240	219	140	218	140
VV1_RS10255	142	115	139	106
VV1_RS10265	5745	6755	5726	6723
VV1_RS10360	803	901	634	675
VV1_RS10365	654	469	625	440
VV1_RS10370	4470	4392	4104	4122
VV1_RS10375	146	111	132	111
VV1_RS10380	10344	568	10323	577
VV1_RS10390	329	263	274	203
VV1_RS10395	1797	1779	1764	1752
VV1_RS10400	316	292	321	309
VV1_RS10405	2208	904	2129	894
VV1_RS10410	1087	451	1089	460
VV1_RS10415	50079	4873	49666	4837
VV1_RS10420	3515	787	3490	750
VV1_RS10425	57	25	60	30
VV1_RS10435	349	288	335	271
VV1_RS10445	3747	20795	3512	19585
VV1_RS10450	9133	28993	9129	28989
VV1_RS10460	544	3176	531	3034
VV1_RS10465	174	578	161	551
VV1_RS10470	335	586	336	583
VV1_RS10480	904	468	902	467
VV1_RS10485	245	72	244	72
VV1_RS10490	638	302	623	293
VV1_RS10505	2263	3152	2232	3133
VV1_RS10520	286	185	284	185
VV1_RS10530	124	134	121	131
VV1_RS10535	637	588	637	585
VV1_RS10540	559	757	558	756
VV1_RS10550	585	377	565	373
VV1_RS10555	863	565	858	563
VV1_RS10560	98	100	59	93
VV1_RS10570	21214	1130	27223	1361
VV1_RS10575	3759	22593	3716	22434
VV1_RS10580	203	142	201	138
VV1_RS10610	3020	156	3003	146
VV1_RS10625	3175	3138	3179	3136
VV1_RS10630	1424	189	1417	188
VV1_RS10635	4845	276	4712	269
VV1_RS10640	508	353	507	351
VV1_RS10650	734	1326	707	1290
VV1_RS10665	23276	6681	23204	6669
VV1_RS10680	3081	3918	3082	3920
VV1_RS10685	3261	2341	3258	2339
VV1_RS10705	1850	2940	1829	2865
VV1_RS10710	4169	3968	4901	4621
VV1_RS10720	458	780	457	780
VV1_RS10725	13883	5002	13656	4880
VV1_RS10730	849	495	847	491
VV1_RS10735	4262	1845	4094	1817
VV1_RS10745	3732	5707	3719	5677
VV1_RS10750	1915	5196	1910	5188
VV1_RS10755	619	461	619	460
VV1_RS10760	847	450	841	449
VV1_RS10765	66	50	66	48
VV1_RS10770	4990	828	5197	870
VV1_RS10775	93	152	90	110
VV1_RS10780	228	225	228	219
VV1_RS10785	491	66	490	65
VV1_RS10790	7915	1116	7922	1113
VV1_RS10800	2880	2117	2581	1971
VV1_RS10825	1180	6798	1176	6781
VV1_RS10830	69	79	68	79
VV1_RS10835	962	181	962	179
VV1_RS10850	585	788	578	787
VV1_RS10870	259	174	263	175
VV1_RS10875	125	110	124	110
VV1_RS10885	356	342	355	341
VV1_RS10895	1478	680	1473	679
VV1_RS10900	3434	1644	3324	1585
VV1_RS10910	1931	1051	1925	1045
VV1_RS10920	1910	352	1844	341
VV1_RS10925	7645	665	7505	645
VV1_RS10930	6851	241	6857	241
VV1_RS10935	734	542	755	559
VV1_RS10955	1513	809	1718	941
VV1_RS10980	485	535	482	530
VV1_RS10985	189	237	208	263
VV1_RS10995	341	580	334	558
VV1_RS11000	192	337	192	334
VV1_RS11005	41	105	41	105
VV1_RS11010	54	72	61	77
VV1_RS11015	37	38	37	38
VV1_RS11030	268	97	268	97
VV1_RS11040	164	124	164	124
VV1_RS11045	4181	2161	4206	2157
VV1_RS11070	76	83	76	83
VV1_RS11100	1286	658	1270	650
VV1_RS11105	4207	2257	4214	2267
VV1_RS11115	156	101	158	109
VV1_RS11130	1526	1888	1484	1808
VV1_RS11140	26	72	26	76
VV1_RS11145	3438	1716	3992	1931
VV1_RS11155	103	55	98	55
VV1_RS11160	343	200	341	198
VV1_RS11165	9947	1414	9922	1413
VV1_RS11180	2301	3116	2289	3107
VV1_RS11185	1843	908	1817	891
VV1_RS11190	1839	1964	1837	1963
VV1_RS11200	25484	4091	25516	4092
VV1_RS11205	567	719	567	719
VV1_RS11215	2268	497	2044	451
VV1_RS11225	639	584	639	584
VV1_RS11230	461	558	454	553
VV1_RS11235	238	141	238	141
VV1_RS11240	4032	2213	4033	2210
VV1_RS11245	4954	26641	4854	26075
VV1_RS11255	16224	6037	16225	6034
VV1_RS11260	123	45	123	45
VV1_RS11270	545	102	503	97
VV1_RS11275	363	213	356	212
VV1_RS11285	750	189	745	188
VV1_RS11290	1056	720	1054	720
VV1_RS11295	1368	749	1359	741
THRS	11831	16740	11815	16708
VV1_RS11320	417	365	424	370
VV1_RS11675	1350	1172	1464	1225
VV1_RS11900	2490	1210	2851	1376
VV1_RS12160	296	284	244	251
VV1_RS12210	532	1093	673	1173
VV1_RS12215	1164	1153	1163	1161
VV1_RS12225	23095	1295	23061	1298
VV1_RS12230	2141	484	1988	463
VV1_RS12235	1791	517	1789	514
VV1_RS12255	278	472	296	478
VV1_RS12265	12483	920	12026	896
VV1_RS12275	2671	692	2660	684
VV1_RS12285	2540	579	2666	601
VV1_RS12290	971	255	909	249
VV1_RS12295	6551	4517	6555	4517
VV1_RS12300	9116	3938	9410	4022
VV1_RS12305	4604	2083	4423	1983
VV1_RS12310	441	367	428	355
VV1_RS12320	759	300	746	298
VV1_RS12330	3313	8707	3239	8571
VV1_RS12345	6777	1342	6362	1279
VV1_RS12350	1805	530	1799	531
VV1_RS12360	5100	2192	4998	2158
VV1_RS12365	827	363	826	363
VV1_RS12370	1341	525	1334	517
VV1_RS12395	225	1400	223	1385
VV1_RS12400	2532	1992	2507	1968
POTD	1689	1104	2627	2114
VV1_RS12430	283	157	283	157
VV1_RS12435	1195	227	1187	223
VV1_RS12440	375	175	374	174
VV1_RS12445	457	206	456	205
VV1_RS12450	27609	10041	24514	9087
VV1_RS12455	28722	10315	28715	10315
VV1_RS12460	196	159	199	162
VV1_RS12480	6564	5397	6558	5393
VV1_RS12490	15875	10494	15872	10490
VV1_RS12495	8331	7387	8328	7395
VV1_RS12505	3382	2381	3371	2365
VV1_RS12510	3376	1086	3373	1084
VV1_RS12515	1864	1337	1858	1332
VV1_RS12535	1184	503	1183	504
VV1_RS12555	3365	1608	3488	1634
VV1_RS12575	3149	1109	3107	1101
VV1_RS12590	532	442	547	468
VV1_RS12595	7064	9149	6987	9045
VV1_RS12600	7086	4666	7029	4581
VV1_RS12610	4469	1444	4457	1443
VV1_RS12615	581	508	585	514
VV1_RS12620	2181	862	2151	853
VV1_RS12630	2962	2276	2815	2087
VV1_RS12635	1147	952	1141	949
VV1_RS12645	638	641	624	627
VV1_RS12660	688	286	687	286
VV1_RS12670	29	95	28	95
VV1_RS12675	140	261	139	261
VV1_RS12680	47	74	47	73
VV1_RS12685	129	134	128	134
VV1_RS12690	723	739	723	736
VV1_RS12695	2334	1508	2318	1504
VV1_RS12710	179	179	177	179
VV1_RS12720	59	67	58	67
VV1_RS12725	28	59	28	59
VV1_RS12730	174	106	172	105
VV1_RS12735	117	76	128	86
VV1_RS12750	262	438	262	435
VV1_RS12780	4004	2079	3558	1785
VV1_RS12785	1653	891	1597	872
VV1_RS12790	3619	1326	3511	1318
VV1_RS12795	923	685	918	683
VV1_RS12800	1082	648	1081	648
VV1_RS12815	2606	2646	1832	1917
VV1_RS12820	670	503	665	502
VV1_RS12825	479	402	463	391
VV1_RS12830	2470	1210	2463	1206
VV1_RS12835	14575	12285	20923	15353
VV1_RS12845	478	1146	478	1145
VV1_RS12855	1802	2197	1802	2196
VV1_RS12865	957	97	964	97
VV1_RS12880	1260	964	1260	961
VV1_RS12885	8362	25263	7746	22799
VV1_RS12890	528	1702	545	1735
VV1_RS12895	826	2141	828	2125
VV1_RS12900	3642	8361	3632	8351
VV1_RS12925	11407	9691	11334	9633
VV1_RS12945	13181	11560	13627	11767
VV1_RS12950	29029	18104	28620	17873
VV1_RS12960	743	146	742	143
VV1_RS12965	418	204	417	202
VV1_RS12970	288	235	288	235
VV1_RS12975	425	357	418	346
VV1_RS12980	1170	157	1180	158
VV1_RS12985	475	317	477	319
VV1_RS12990	501	346	498	345
VV1_RS13025	1202	651	1168	644
VV1_RS13035	940	277	937	277
VV1_RS13045	41	304	44	325
VV1_RS13055	157	182	156	177
VV1_RS13070	58	326	54	325
VV1_RS13080	2096	1334	2093	1332
VV1_RS13095	1122	3206	1092	3162
VV1_RS13100	4470	943	4402	900
VV1_RS13105	28	22	28	22
VV1_RS13110	16	15	16	15
VV1_RS13115	88	56	84	51
VV1_RS13125	35	28	35	29
VV1_RS13130	5357	1279	5350	1273
VV1_RS13150	346	332	341	331
VV1_RS13165	2414	1413	2412	1411
VV1_RS13170	2422	1849	2415	1841
VV1_RS13180	155	263	159	263
VV1_RS13190	698	300	692	297
VV1_RS13195	5002	816	5394	876
VV1_RS13200	2197	215	2207	214
VV1_RS13205	210	310	175	266
VV1_RS13215	188	487	206	488
VV1_RS13220	201	38	216	41
VV1_RS13245	10329	468	10303	465
VV1_RS13250	567	913	560	910
VV1_RS13265	220	110	215	110
VV1_RS13270	487	194	462	184
VV1_RS13275	5752	2274	5683	2249
VV1_RS13280	4900	7297	4879	7245
VV1_RS13285	937	1354	939	1354
VV1_RS13305	5075	187	4870	180
VV1_RS13320	79	122	80	121
VV1_RS13340	3684	3594	3676	3589
VV1_RS13350	3345	2972	3336	2961
VV1_RS13355	1121	701	1117	696
VV1_RS13360	121	34	223	85
VV1_RS13365	1747	1106	1745	1103
VV1_RS13370	722	382	722	382
VV1_RS13380	292	209	292	211
VV1_RS13385	9195	8075	9172	8101
VV1_RS13390	341	190	338	188
VV1_RS13395	319	286	316	292
VV1_RS13400	1629	10374	1693	10659
VV1_RS13405	5905	7011	5926	7021
VV1_RS13430	2292	1997	2285	1993
VV1_RS13435	423	1005	424	1005
VV1_RS13445	1495	675	1466	668
VV1_RS13450	34934	7887	34938	7886
VV1_RS13455	25235	2695	25237	2697
VV1_RS13465	1201	759	1198	759
VV1_RS13470	2067	3552	2067	3551
VV1_RS13475	27146	2804	25485	2605
VV1_RS13480	5594	196	5592	193
VV1_RS13490	322	143	322	143
VV1_RS13495	1340	671	1333	672
VV1_RS13500	170	97	171	96
VV1_RS13505	2240	2858	2210	2825
VV1_RS13510	274	293	272	289
VV1_RS13515	121	214	113	200
VV1_RS13520	339	949	374	1045
VV1_RS13525	372	153	371	153
VV1_RS13530	526	250	582	298
VV1_RS13540	7612	5949	7318	6377
VV1_RS13545	2941	1639	2722	1430
VV1_RS13555	536	204	536	204
VV1_RS13560	396	316	396	316
VV1_RS13565	2393	1336	2370	1335
VV1_RS13585	1894	1216	2052	1338
VV1_RS13590	160	184	165	186
VV1_RS13595	214	148	189	125
VV1_RS13600	49	44	39	40
VV1_RS13605	461	1059	461	1060
VV1_RS13610	202	158	190	156
VV1_RS13615	486	266	482	265
VV1_RS13620	29	13	25	12
VV1_RS13625	133	214	132	213
VV1_RS13630	2314	2671	2310	2671
VV1_RS13635	3188	17374	3162	17221
VV1_RS13645	1836	5202	1823	5173
VV1_RS13655	3990	4304	3969	4273
VV1_RS13665	4659	4490	4709	4502
VV1_RS13680	16042	5715	16029	5705
VV1_RS13685	736	1565	721	1541
VV1_RS13690	6231	1277	5665	1245
VV1_RS13695	989	239	983	239
VV1_RS13700	220	91	450	196
VV1_RS13705	701	326	528	235
VV1_RS13710	272	150	296	162
VV1_RS13725	1244	863	1247	858
VV1_RS13745	927	255	925	255
VV1_RS13755	6355	4508	6342	4497
VV1_RS13760	4348	2342	4012	2165
VV1_RS13770	1892	213	1892	219
VV1_RS13775	209	174	209	176
VV1_RS13780	996	2835	991	2825
VV1_RS13795	1161	134	1027	119
VV1_RS13825	329	329	329	329
VV1_RS13830	1950	442	1942	441
VV1_RS13840	1240	1974	1141	1804
VV1_RS13845	634	1290	537	1077
VV1_RS13850	1893	4432	1888	4405
VV1_RS13860	1617	3846	1612	3840
VV1_RS13865	3465	6506	3443	6456
VV1_RS13880	587	276	639	307
VV1_RS13890	1602	2082	1489	1938
VV1_RS13905	6826	2581	6738	2532
VV1_RS13910	1779	1252	1779	1251
VV1_RS13930	1901	1418	1857	1390
VV1_RS13935	347	269	343	265
VV1_RS13955	10167	971	10067	958
VV1_RS13965	810	8488	807	8484
VV1_RS13975	629	240	623	240
VV1_RS13985	10977	12294	10954	12257
VV1_RS13990	421	332	416	330
VV1_RS14010	9157	7168	9143	7169
VV1_RS14025	6117	2492	5087	2195
VV1_RS14030	119	178	114	165
VV1_RS14045	722	254	687	248
VV1_RS14050	608	276	606	277
VV1_RS14060	933	1126	835	1032
VV1_RS14065	345	341	338	338
VV1_RS14070	717	588	711	583
VV1_RS14075	949	391	1009	414
VV1_RS14085	2250	1477	2504	1572
VV1_RS14110	2071	6045	2167	6323
VV1_RS14115	1375	1140	1475	1329
VV1_RS14120	476	1022	473	1022
VV1_RS14125	2124	723	2124	722
VV1_RS14130	14712	7095	14629	7064
VV1_RS14155	4262	2223	4266	2218
VV1_RS14160	556	411	556	411
VV1_RS14165	718	296	688	294
VV1_RS14170	799	403	793	399
VV1_RS14180	13532	3861	13497	3853
VV1_RS14185	21748	2678	21701	2599
VV1_RS14190	26698	3234	26699	3242
VV1_RS14195	13063	2516	13292	2599
VV1_RS14205	720	2850	718	2835
VV1_RS14215	142611	84554	142027	84204
VV1_RS14220	346	415	346	414
VV1_RS14235	1090	923	1091	923
VV1_RS14240	1030	817	1020	799
VV1_RS14245	852	851	851	849
VV1_RS14260	714	483	712	482
VV1_RS14265	714	301	714	299
VV1_RS14270	651	224	652	224
VV1_RS14290	2826	534	2865	541
VV1_RS14295	6959	3418	6911	3395
VV1_RS14300	204	289	204	289
VV1_RS14310	342	372	342	372
VV1_RS14320	2187	1451	2187	1452
VV1_RS14325	2925	5752	2893	5699
VV1_RS14335	8411	661312	8433	661538
VV1_RS14355	3831	480	3829	480
VV1_RS14360	14136	809	14021	804
VV1_RS14365	6691	424	5600	388
VV1_RS14385	530	172	528	172
VV1_RS14390	5636	4226	5544	4183
VV1_RS14400	711	220	697	211
VV1_RS14405	402	593	404	569
VV1_RS14420	4319	2639	4297	2631
VV1_RS14425	2177	4289	2179	4290
VV1_RS14435	402	468	268	396
VV1_RS14440	1048	1257	1049	1258
VV1_RS14445	2419	1786	2179	1704
VV1_RS14495	623	535	623	532
VV1_RS14510	2514	975	2500	974
VV1_RS14515	667	5947	666	5946
VV1_RS14520	1425	1254	1444	1265
VV1_RS14525	1403	869	1363	854
VV1_RS14535	1634	3900	1639	3935
VV1_RS14555	3861	7221	3739	7006
VV1_RS14565	1179	3385	1174	3379
VV1_RS14595	10702	2694	10142	2583
VV1_RS14600	324	451	325	450
VV1_RS14610	1031	638	1032	638
VV1_RS14620	6380	5926	6054	5813
VV1_RS14650	6452	1843	5869	1618
VV1_RS14660	54719	15765	55341	16157
VV1_RS14665	6008	6272	5697	6249
VV1_RS14700	820	379	819	384
VV1_RS14705	493	229	493	226
VV1_RS14710	620	442	621	441
VV1_RS14725	10987	10014	10402	9516
VV1_RS14730	184	268	184	267
VV1_RS14735	141	204	140	203
VV1_RS14740	962	1125	957	1121
VV1_RS14760	4362	177	4354	171
VV1_RS14765	125187	637806	125141	637632
VV1_RS14770	418	178	406	167
VV1_RS14775	260	230	260	232
VV1_RS14785	7120	23755	7082	23627
VV1_RS14790	237	157	233	157
VV1_RS14795	1539	520	1516	514
VV1_RS14800	5823	1373	5802	1364
VV1_RS14805	2911	2772	2831	2663
VV1_RS14815	1513	845	1540	862
VV1_RS14825	629	247	621	246
VV1_RS14845	1533	882	1513	879
VV1_RS14850	3160	2041	3146	2040
VV1_RS14855	121	84	120	82
FADH	4584	1261	4417	1219
VV1_RS14875	2335	3880	2315	3862
VV1_RS14890	1906	771	1904	770
VV1_RS14900	22791	72953	22827	73230
VV1_RS14905	715	7249	688	7089
VV1_RS14910	761	593	766	604
VV1_RS14925	13402	2333	13385	2331
VV1_RS14935	46135	7271	43874	6923
VV1_RS14950	1313	1039	1308	1035
VV1_RS14965	10231	664	11058	722
VV1_RS14980	813	1004	808	997
VV1_RS14985	584	1335	583	1341
VV1_RS15005	3532	3954	3504	3919
VV1_RS15015	1180	1063	1177	1052
VV1_RS15020	394	206	392	204
VV1_RS15035	1621	2985	1628	2997
VV1_RS15040	2758	6332	2655	6053
VV1_RS15055	1881	413	1882	413
VV1_RS15060	743	3572	740	3573
