	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_HS1	YJ016_CMCP6ref_HS2
VV1_RS02480	975	1453	986	1498
VV1_RS02500	71	85	61	67
VV1_RS02505	1277	1753	1274	1746
VV1_RS02515	1190	741	1188	739
VV1_RS02520	1149	679	1148	680
VV1_RS02525	8930	6173	8930	6170
VV1_RS02535	606	1023	593	992
VV1_RS02545	1314	4279	1314	4281
VV1_RS02555	31815	29499	31811	29501
VV1_RS02565	2458	3869	2461	3859
VV1_RS02570	1976	1321	1968	1320
VV1_RS02575	2364	1350	2166	1268
VV1_RS02590	70	109	71	114
VV1_RS02595	342	298	389	350
VV1_RS02600	686	490	664	472
VV1_RS02605	5944	3257	5902	3239
VV1_RS02610	620	340	601	310
VV1_RS02625	1301	33305	1294	33039
VV1_RS02630	1180	3528	1181	3502
VV1_RS02640	3972	19517	3956	19290
VV1_RS02645	6513	26761	6509	26751
VV1_RS02670	29747	21337	29690	21305
VV1_RS02680	13515	7621	13499	7615
VV1_RS02685	679	1004	679	1001
VV1_RS02690	1153	1931	1129	1908
VV1_RS02720	1257	519	1235	503
VV1_RS02730	369	91	378	92
VV1_RS02735	128	58	206	68
VV1_RS02740	278	92	321	119
VV1_RS02745	48	53	54	64
VV1_RS02760	905	960	903	960
VV1_RS02765	2496	3054	2483	3044
VV1_RS02790	37292	39663	37280	39652
VV1_RS02800	7204	6796	7204	6797
VV1_RS02815	620	373	790	456
MURF	933	890	927	892
VV1_RS02840	424	329	433	344
VV1_RS02855	7041	5128	6908	5059
VV1_RS02860	4254	5531	4252	5536
VV1_RS02890	12161	7064	12150	7060
VV1_RS02895	9448	5612	9242	5488
VV1_RS02915	2167	1422	2160	1421
VV1_RS02925	27582	3014	26385	2911
VV1_RS02930	483	797	469	772
VV1_RS02935	1900	1697	1884	1690
VV1_RS02940	1311	919	1259	907
VV1_RS02950	1472	1390	1464	1387
NUDF	2313	3241	2310	3223
VV1_RS02970	10398	7225	10316	7162
VV1_RS02975	8260	10088	8241	10051
VV1_RS02980	42452	10385	41045	9988
VV1_RS02985	704	775	3921	1545
VV1_RS02990	8084	8950	8076	8928
VV1_RS02995	8281	1352	8300	1369
VV1_RS03000	1111	361	1111	361
VV1_RS03005	791	477	790	474
VV1_RS03035	1089	1517	1068	1466
VV1_RS03045	1397	445	1335	425
VV1_RS03065	22517	7265	22210	7193
VV1_RS03075	4926	5278	4920	5247
VV1_RS03080	347	126	346	123
VV1_RS03085	2416	1567	2408	1559
VV1_RS03090	8082	605	8059	597
VV1_RS03095	5738	924	5847	934
VV1_RS03105	2750	20580	2749	20535
VV1_RS03110	688	6884	689	6885
VV1_RS03115	10627	16851	10110	15867
VV1_RS03120	1038	406	1038	404
VV1_RS03130	3665	1694	3666	1692
VV1_RS03140	28635	12502	28566	12462
VV1_RS03145	3693	3029	3659	3007
VV1_RS03155	72	65	72	63
VV1_RS03165	399	992	358	951
VV1_RS03170	3957	6464	3954	6457
VV1_RS03175	4573	7612	4566	7600
VV1_RS03180	2512	5428	2485	5355
VV1_RS03190	530	490	457	440
VV1_RS03200	4662	5120	4493	5027
VV1_RS03205	1262	1518	1268	1533
VV1_RS03260	1673	2934	1669	2933
VV1_RS03265	4995	1449	4990	1456
VV1_RS03275	3395	3710	3079	3408
VV1_RS03280	1115	2773	1104	2754
VV1_RS03290	269	228	269	227
VV1_RS03295	2693	2272	2692	2268
VV1_RS03310	3848	2611	3789	2593
VV1_RS03320	1282	697	1286	696
VV1_RS03325	2108	1120	2098	1119
VV1_RS03330	450	203	435	184
VV1_RS03335	1826	1185	1822	1180
VV1_RS03355	4186	1357	4161	1336
VV1_RS03360	17652	9580	17637	9557
VV1_RS03375	391	219	446	248
VV1_RS03385	1300	2048	1294	2031
VV1_RS03400	101	80	101	80
VV1_RS03415	1724	1578	1677	1546
VV1_RS03420	8298	5777	8103	5640
VV1_RS03425	2143	1034	2164	1054
VV1_RS03450	2409	1169	2409	1169
VV1_RS03455	908	1099	909	1100
VV1_RS03475	108	80	133	126
VV1_RS03480	77	69	77	69
VV1_RS03485	181	332	177	324
VV1_RS03495	7369	3784	6816	3447
VV1_RS03500	236	546	233	533
VV1_RS03505	508	1198	507	1199
VV1_RS03515	318	2744	317	2767
VV1_RS03520	126	118	119	117
VV1_RS03540	152	142	182	160
VV1_RS03565	6354	11318	6359	11324
VV1_RS03775	1983	3517	2006	5337
VV1_RS03850	584	631	579	624
VV1_RS03915	5973	6185	5676	5774
VV1_RS03930	299	215	278	213
VV1_RS03945	2132	1212	2122	1211
VV1_RS03950	4316	2810	3439	2311
VV1_RS03965	965	864	1060	931
VV1_RS03990	29403	1685	29248	1671
VV1_RS03995	985	1750	981	1743
VV1_RS04020	684	1257	664	1223
VV1_RS04025	53	79	56	82
VV1_RS04045	1096	4005	1441	5430
VV1_RS04050	1569	6734	984	4823
VV1_RS04055	416	1594	358	1404
VV1_RS04060	248	534	246	531
VV1_RS04070	50	361	44	320
VV1_RS04075	80	749	79	745
VV1_RS04090	140	283	135	282
VV1_RS04095	409	711	409	707
VV1_RS04110	1785	1715	1737	1715
VV1_RS04115	34	30	33	30
VV1_RS04120	4314	3315	4179	3249
VV1_RS04125	197	81	197	80
VV1_RS04155	475	454	627	596
VV1_RS04175	2137	2093	1989	1937
VV1_RS04180	479	368	475	366
VV1_RS04190	504	489	506	488
VV1_RS04195	1008	699	1002	685
VV1_RS04200	671	375	667	372
VV1_RS04210	1894	806	1893	813
VV1_RS04220	215	316	243	335
VV1_RS04225	528	602	517	591
VV1_RS04235	2032	1483	2237	1588
VV1_RS04250	245382	3850	243537	3841
VV1_RS04260	1475	1624	1462	1617
VV1_RS04275	1876	1700	1877	1698
VV1_RS04285	540	1267	538	1259
GLNG	1083	24431	1188	25129
VV1_RS04310	875	4501	999	4948
VV1_RS04315	1399	506	1381	498
VV1_RS04330	1534	676	1526	675
VV1_RS04335	7398	2735	7403	2738
VV1_RS04345	3814	5632	3794	5594
VV1_RS04350	5736	2268	5733	2269
VV1_RS04355	860	649	885	652
VV1_RS04360	1181	758	1198	761
VV1_RS04380	1292	1184	1285	1176
VV1_RS04395	349	608	352	611
VV1_RS04400	1511	1604	1505	1596
VV1_RS04495	284	1518	284	1519
VV1_RS04510	9816	6865	9816	6870
VV1_RS04515	5984	4957	5967	4956
VV1_RS04520	114	73	114	73
VV1_RS04530	293	236	293	237
VV1_RS04535	486	356	457	357
VV1_RS04540	346	498	346	495
VV1_RS04545	70	48	69	40
VV1_RS04560	168	115	190	154
VV1_RS04565	44	12	44	12
VV1_RS04580	64	83	58	76
VV1_RS04585	97	88	104	102
VV1_RS04590	2029	2444	2028	2439
VV1_RS04610	40	86	40	86
VV1_RS04620	911	786	909	786
VV1_RS04680	329	346	499	485
VV1_RS04685	371	446	366	439
VV1_RS04700	1716	3482	1717	3471
VV1_RS04705	1635	1222	1582	1151
VV1_RS04770	2618	2481	2598	2445
VV1_RS04780	378	161	419	196
VV1_RS04785	256	220	230	195
VV1_RS04790	229	161	225	160
VV1_RS04805	1455	2010	1422	1972
VV1_RS04830	7530	7823	7527	7824
