"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_K12ref_chemostat1","IAI1_K12ref_chemostat2"
"34","adhP","adhP",829,83.9999902325846,-0.0164284653091305,0.0438364997182773,-0.374766813379508,0.707833897501003,0.999807467026667,83.6011974764201,90.8510809045194,76.6510011661342,84.8966813832648
"35","adiA","adiA",2239,32.9081520506967,0.00108560579557522,0.0307490097074749,0.0353053905118549,0.971836225005234,0.999807467026667,33.0730011994629,32.372224230346,33.5348130101837,32.6525697627942
"36","adiC","adiC",2237,14.3745888369817,0.00182455819299028,0.0211499525626934,0.0862677203450865,0.931253598220571,0.999807467026667,15.6178061219686,12.5311835730372,16.2883377478035,13.0610279051177
"37","adiY","adiY",2238,12.4977568446422,0.0016107073709011,0.0199316755028399,0.0808114385903786,0.935591911144581,0.999807467026667,11.9430282109172,12.5311835730372,12.4557876894968,13.0610279051177
"38","adk","adk",286,3728.89661009231,0.0356191475359127,0.0588767913406887,0.604977729336567,0.545193794419355,0.999807467026667,3467.15295907703,3849.16188751792,3602.59705480831,3996.674538966
"39","adrB","yoaD",1011,64.6266825399888,0.00584031521904359,0.0401820589466963,0.145346340434946,0.884437428780716,0.999807467026667,63.3899189656372,63.7001831629389,66.1114885057907,65.3051395255883
"40","aegA","aegA",1348,99.8809400494558,0.00399222899693181,0.0462681684713656,0.0862845694746383,0.93124020450168,0.999807467026667,93.7068367318115,104.42652977531,95.8137514576677,105.576642233034
"41","aer","aer",1662,140.189567283714,-0.0166984619886362,0.0498046842297473,-0.335278945080885,0.737414674887157,0.999807467026667,159.852839130737,128.444631623631,149.469452273962,122.991346106525
"42","aes","aes",288,248.596925406428,0.00704692786003781,0.0573676316018781,0.122838047576067,0.902235344790631,0.999807467026667,256.315759295837,237.048222589953,261.571541479433,239.45217826049
"43","agaC","agaC",1698,15.3769679075282,0.00194845050797733,0.021835250101142,0.0892341740512248,0.928895806733814,0.999807467026667,16.5365005997314,13.5754488707903,17.2464752623802,14.1494468972108
"44","agaD","agaD",1699,25.2943644100334,0.000170614407806519,0.0272604333410559,0.00625868289296645,0.995006326150055,0.999807467026667,27.5608343328857,22.9738365505681,27.7859879227236,22.8567988339559
"45","agaI","agaI",1700,14.6427450840847,-0.0125915173516354,0.0208084217252873,-0.605116405168475,0.545101654642753,0.999807467026667,13.7804171664429,19.8410406573088,8.6232376311901,16.3262848813971
"46","agaR","agaR",1694,480.62723895064,0.0181107030925776,0.0613618738446529,0.29514586106721,0.767882457215803,0.999807467026667,485.070684258789,462.609526904622,499.189645094449,475.639099544702
"47","agaS","agaS",1696,19.9411872079696,-0.000508120525216677,0.0246967076298995,-0.0205744236369998,0.983585143127841,0.999807467026667,20.2112785107829,19.8410406573088,20.1208878061102,19.5915418576765
"48","agp","agp",593,4799.58473569676,0.0224298422391524,0.0550662897131531,0.407324378598815,0.683769759892128,0.999807467026667,4783.6421457112,4712.76928875973,4884.5850493119,4817.34245900423
"49","ahpF","ahpF",354,2591.47988049042,0.0238593965660655,0.0589280809166306,0.404890099845963,0.685558295893524,0.999807467026667,2451.99556114907,2664.9650398659,2517.02725079293,2731.93167015378
"50","aidB","aidB",2280,122.622867754459,-0.00197760150497147,0.0494157300393413,-0.0400196759897515,0.968077439686384,0.999807467026667,124.942448975749,121.134774539359,123.599739380391,120.814508122338
"51","ais","ais",1235,134.706937772177,-0.0318725666177302,0.0499592819413395,-0.637970871061635,0.523492641919979,0.999807467026667,131.373310320089,152.462733471952,117.850914292931,137.140793003735
"52","alaS","alaS",1451,11324.9075407869,0.0252682389046381,0.0558893422303098,0.452111939348156,0.651188342946007,0.999807467026667,10756.0749456475,11615.3629069077,11017.6232801172,11910.5690304752
"53","aldA","aldA",797,11044.1885407602,0.0345455900968298,0.0530783850833068,0.650841016406402,0.515149120028833,0.999807467026667,10780.8796965471,10957.4757693232,11129.7253693227,11308.6733278477
"54","aldB","aldB",1934,366.015789786704,0.015296476195404,0.0591104991913064,0.258777652103701,0.79580680171576,0.999807467026667,393.201236482503,327.899303494472,403.375893636781,339.586725533059
"55","alkB","alkB",1216,25.1176154413843,-0.00153390995462087,0.0272992877792026,-0.0561886437121429,0.955191527876067,0.999807467026667,25.72344537736,25.0623671460743,26.827850408147,22.8567988339559
"56","allB","allB",312,118.150121200818,-0.0147769783975748,0.047829793416701,-0.308949241508014,0.757360138504961,0.999807467026667,110.243337331543,132.621692814643,103.478851574281,126.256603082804
"57","allC","allC",316,147.838151228919,-0.0108019055699086,0.0502500281777997,-0.214963174382474,0.829796029947574,0.999807467026667,166.283700475077,134.710223410149,161.925239963458,128.43344106699
"58","allD","allD",317,67.3832469493989,0.0020390462372298,0.0407890889359211,0.0499899921872023,0.960130363429456,0.999807467026667,66.1460023989258,67.8772443539513,68.0277635349441,67.4819775097746
"59","allR","allR",307,785.13849523843,0.0229454490558789,0.0617415909412903,0.371636828692956,0.710163264621231,0.999807467026667,821.312863119995,723.675851342896,848.909837914936,746.655428575893
"60","alr","alr",2209,277.93872143165,0.00282294546038915,0.0586071068299962,0.0481672891408506,0.961582919399165,0.999807467026667,276.52703780662,277.774569202324,278.818016741813,278.635261975843
"61","alx","alx",1671,31.5150355479174,0.00764975754773622,0.0295093822323817,0.25923136877267,0.795456729348328,0.999807467026667,24.8047508995972,35.5050201236053,28.7441254373003,37.0062457311667
"62","amiA","amiA",1330,337.605210987163,-0.00262146321674146,0.0589594843928417,-0.0444621123087659,0.964536052091133,0.999807467026667,364.721707671855,312.235324028176,362.175980509984,311.287831738638
"63","amiB","amiB",2268,470.999356324862,-0.013794002124099,0.0613239701378805,-0.22493654753736,0.822028636923669,0.999807467026667,467.615489181295,484.539098157437,455.115319423922,476.727518536795
"64","amiC","amiC",1521,485.076994441617,-0.041815353096019,0.061315953564857,-0.681965306986358,0.495260888346942,0.999807467026667,514.4689075472,487.671894050696,488.650132434106,449.517043734466
"65","amn","amn",1098,404.526339692728,0.0126885821737845,0.0604910558688099,0.209759641182373,0.833855273920442,0.999807467026667,380.339513793823,419.794649696745,388.045693403554,429.92550187679
"66","ampE","ampE",110,537.467943751959,0.0281207584138736,0.0616123147972567,0.456414574041059,0.648091887551,0.999807467026667,535.598880535746,516.911322387783,558.594170998203,538.767401086104
"67","ampG","ampG",265,175.22802590221,-0.00545366735445772,0.0538553354120073,-0.101265126523412,0.919339998852514,0.999807467026667,182.820201074809,170.215243533755,179.171715225839,168.704943774436
"68","ampH","ampH",231,255.012496252495,-0.00248998929838063,0.0577741633965527,-0.0430986647316681,0.965622883701741,0.999807467026667,261.827926162414,249.57940616299,261.571541479433,247.071111205142
"69","amtB","amtB",276,78.8548892358215,-0.0132793418291111,0.0430052604307501,-0.308784127711409,0.757485743779071,0.999807467026667,84.5198919541829,78.3198973314823,78.5672761952875,74.0124914623334
"70","amyA","amyA",1076,233.322403200939,-0.00242736522372374,0.0570651552349949,-0.0425367321569148,0.966070830210645,0.999807467026667,236.104480785054,231.826896101188,235.701828585863,229.656407331652
"71","anmK","anmK",910,765.488764678356,-0.0345528702900213,0.0616149151685864,-0.56078743589081,0.574942452769038,0.999807467026667,779.052917142903,786.331769208082,744.472848826078,752.097523536359
"72","ansA","ansA",979,366.404411370274,0.014626346843836,0.060399127344215,0.242161559064925,0.808654980075547,0.999807467026667,361.046929760803,362.360058320325,368.882943112021,373.327714287946
"73","ansB","ansB",1604,147.605575667834,0.0129361599995222,0.0507486773944159,0.254906347587803,0.798795433519944,0.999807467026667,131.373310320089,157.684059960718,137.013664584465,164.351267806064
"74","ansP","ansP",817,173.694679301081,0.0100244432665661,0.0538538706470544,0.186141555771617,0.852333754550326,0.999807467026667,174.551950774943,168.126712938249,180.129852740415,171.970200750716
"75","apaH","apaH",69,234.46734701682,-0.0264468482663724,0.0556803029047312,-0.474976731208214,0.634803558548803,0.999807467026667,262.746620640177,221.384243123657,249.115753789936,204.62277051351
"76","aphA","aphA",2211,930.618345297974,0.0110582996094488,0.0612320309803836,0.180596649047807,0.856684186306528,0.999807467026667,930.637505973775,917.909196724972,938.974764285144,934.951914208006
"77","appA","appA",582,70.7851355625374,0.00780911805184026,0.0414859140067326,0.188235410471442,0.850692115065749,0.999807467026667,70.73947478774,67.8772443539513,73.7765886224042,70.747234486054
"78","appB","cbdB",581,36.5595236633125,-0.00597247274076395,0.0320331912597038,-0.186446385948347,0.852094719368412,0.999807467026667,37.6664735882772,37.5935507191115,38.3255005830671,32.6525697627942
"79","appC","cbdA",580,181.132262874471,0.0158709786232847,0.0544095983717965,0.291694463811949,0.770520242475957,0.999807467026667,178.226728685994,176.480835320273,185.878677827875,183.94280966374
"80","aqpZ","aqpZ",513,70.4840158315634,-0.0059876757338085,0.0402072168589308,-0.148920422789187,0.881616425853416,0.999807467026667,81.7638085208943,61.6116525674327,77.6091386807109,60.9514635572158
"81","araA","araA",78,150.13549933614,-0.0173695332305899,0.0521190064749061,-0.333266775508332,0.738932916534411,0.999807467026667,152.503283308634,155.595529365211,146.595039730232,145.848144940481
"82","araC","araC",79,1220.00602210357,0.0137205805486278,0.0611761765020129,0.224279798659473,0.822539594177423,0.999807467026667,1267.79837931274,1151.82462342167,1292.52750716394,1167.87357851594
"83","araD","araD",77,28.8294586672027,0.00210680401249508,0.0289206792841667,0.0728476669511875,0.941927338950052,0.999807467026667,26.6421398551229,30.2836936348398,26.827850408147,31.564150770701
"84","araE","araE",1538,345.709934976743,-0.00875299259820344,0.0600871241486202,-0.145671684611726,0.884180575293384,0.999807467026667,349.103901549886,347.740344151781,342.055092703874,343.940401501432
"85","araF","araF",1064,1577.85373485921,0.0379373682066841,0.0596211033984959,0.636307717304694,0.524575875899548,0.999807467026667,1574.64233488554,1515.22894703974,1642.24769998443,1579.29595752714
"86","araG","araG",1063,744.868765699192,-0.0114934257808813,0.061700219734711,-0.186278522674619,0.852226349106309,0.999807467026667,729.443415343709,771.712055039539,718.603135932508,759.716456481011
"87","araH","araH",1062,389.935493381937,0.00725254602160665,0.0604730475573228,0.119930222050276,0.904538423520418,0.999807467026667,373.908652449483,400.997874337189,375.589905714058,409.24554102702
"88","araJ","araJ",241,99.9963433142889,-0.0386826753740753,0.046150392449735,-0.83818735487909,0.401925487779748,0.999807467026667,116.674198675883,99.2052032865442,94.8556139430911,89.2503573516373
"89","arcA","arcA",2358,4242.36701160917,0.0150102216553382,0.0559455304702596,0.268300640447365,0.788467913282546,0.999807467026667,4296.73407249689,4125.89219142249,4342.2792160615,4204.56256645579
"90","arcB","arcB",1737,1470.77180029389,0.0321508526766173,0.0597909827815999,0.537720759567636,0.590769845033747,0.999807467026667,1423.97644053243,1465.1042127476,1474.57363493351,1519.43291296202
"91","argA","argA",1522,2646.93246655974,-0.0130313358744034,0.0595445392055242,-0.218850226205032,0.826766720243383,0.999807467026667,2531.92198071444,2799.67526327605,2488.28312535563,2767.84949689285
"92","argB","argB",2155,899.410908697146,0.0288004133865216,0.0616916119543498,0.466844883350319,0.64061086115367,0.999807467026667,804.776362520263,956.547012741837,839.32846276917,996.991796757315
"93","argC","argC",2154,1147.75326848669,0.0348147201550408,0.0605977579610288,0.574521588363558,0.565614896022479,0.999807467026667,1125.4007352595,1123.62946038233,1170.8440428127,1171.13883549222
"94","argD","argD",1791,1646.52078258768,0.0100460149644694,0.0594751695012228,0.168911077491976,0.865866585821034,0.999807467026667,1603.12186369619,1671.86874170271,1624.04308720747,1687.04943774436
"95","argE","argE",2153,766.211947502711,0.0142848800456429,0.0616817104380835,0.231590206305679,0.816856314970102,0.999807467026667,736.792971165812,781.110442719316,750.221673913538,796.722702212177
"96","argG","argG",1715,3992.73216110161,-0.0264232919170566,0.0584767717299464,-0.451859621100202,0.651370115145491,0.999807467026667,3842.89900048203,4253.29255774836,3753.98278211142,4120.75430406462
"97","argH","argH",2156,1668.87563692629,0.0256462744692671,0.0595801761505565,0.430449792636734,0.666868481442431,0.999807467026667,1602.20316921842,1688.57698646676,1650.87093761562,1733.85145440437
"98","argI","argI",34,736.302626119222,-0.155000915957468,0.0617193934440703,-2.51138106368346,0.0120259802635068,0.83439080710625,788.239861920532,837.500768797984,638.119584708067,681.350289050305
"99","argK","argK",1580,13.2228171402338,0.00156428296917662,0.019696191037552,0.0794205827001891,0.936698097723243,0.999807467026667,9.18694477762858,16.7082447640495,9.58137514576677,17.4147038734902
"100","argO","argO",1585,109.856497486966,-0.088078841291139,0.0478769626420225,-1.83969150152041,0.065813541954837,0.999807467026667,128.6172268868,127.400366325878,91.981201399361,91.4271953358236
"101","argP","argP",1578,479.794017099764,0.026342257515492,0.0614145524529324,0.428925335500581,0.667977561880084,0.999807467026667,472.208961570109,467.830853393387,491.524544977836,487.611708457726
"102","argS","argS",1049,2131.48437935822,0.00637564900926047,0.0581084684965233,0.109719790836372,0.912631604360118,0.999807467026667,2124.94032706549,2124.0356156298,2149.10244519549,2127.85912954209
"103","arnT","arnT",1240,367.096770359794,0.017467962203196,0.0602586721025631,0.289882959476184,0.771905778533055,0.999807467026667,372.98995797172,349.828874747287,384.213143345248,361.355105374922
"104","aroA","aroA",539,1768.21666400413,0.0275346495433294,0.0607456611794915,0.453277633475252,0.650348836358574,0.999807467026667,1637.11355937341,1842.08398523646,1691.11271322784,1902.55639817881
"105","aroB","aroB",1810,3124.40317172328,0.0409956028905346,0.0571851452504356,0.716892520094147,0.473440417659154,0.999807467026667,2991.26921959586,3128.61883206828,3116.82133491793,3260.90330031104
"106","aroC","aroC",1282,1113.02038561958,-0.122239834156178,0.060890009833104,-2.00755155880629,0.0446909665401148,0.999807467026667,1219.10757199131,1168.53286818572,1058.74195360723,1005.69914869406
"107","aroD","aroD",939,377.196676166345,-0.0256188869782171,0.0605442315449454,-0.42314331728199,0.672190699626696,0.999807467026667,386.770375138163,384.28962957314,369.841080626597,367.885619327481
"108","aroE","aroE",1769,434.973353773441,-0.00266227552418695,0.0611291313915759,-0.043551666179144,0.96526177991149,0.999807467026667,436.379876937357,435.458629163041,435.952569132388,432.102339860976
"109","aroF","aroF",1432,1944.69240566332,0.0370447509032159,0.0593208746942707,0.624480860980861,0.532311835690442,0.999807467026667,1843.81981687006,1967.39582096683,1919.14944169708,2048.40454311929
"110","aroG","aroG",425,2510.9214614203,0.0128197960745899,0.0590388146432657,0.217141826983687,0.828097818291797,0.999807467026667,2392.28042009448,2594.99926491645,2420.25536182069,2636.15079884958
"111","aroH","aroH",949,156.325322670402,-0.0042790293048996,0.0523633063150286,-0.0817180886011297,0.934870893843905,0.999807467026667,150.665894353109,163.949651747236,148.511314759385,162.174429821878
"112","aroM","aroM",238,79.2676171966863,0.00189060126799538,0.0430656521184402,0.0439004444376182,0.964983761033986,0.999807467026667,75.3329471765543,82.4969585224947,77.6091386807109,81.6314244069854
"113","aroP","aroP",111,4868.89660261923,0.0409101930558345,0.0560721447360311,0.729599219869795,0.465635199221763,0.999807467026667,4647.6753630023,4895.51571586652,4838.59444861222,5093.80088299589
"114","arsB","arsB",1877,49.1380409342238,0.00559594977007566,0.0358336049615446,0.156164856315211,0.875903077419679,0.999807467026667,52.3655852324829,43.8591425056301,54.6138383308706,45.7135976679118
"115","artI","artI",503,1999.96987666986,0.0221372246248389,0.0584254205550243,0.378897137830447,0.704764249700685,0.999807467026667,1994.48571122316,1959.04169858481,2036.04221847544,2010.30987839603
"116","artJ","artJ",500,1917.33066111503,-0.116911722972202,0.0597627654944054,-1.95626360334926,0.0504341093961557,0.999807467026667,1959.57532106818,2122.99135033205,1717.94056363598,1868.81540942392
"117","artM","artM",501,729.23834574549,0.00894784108980239,0.0616731771447259,0.145084808405522,0.884643912511243,0.999807467026667,722.093859521606,727.852912533909,737.765886224042,729.240724702403
"118","artP","artP",504,955.033741126637,0.0342370510428603,0.0611609357374545,0.559786252941415,0.575625241491332,0.999807467026667,932.4748949293,937.750237382281,972.509577295328,977.400254899638
"119","artQ","artQ",502,861.364309687213,0.0330783377138325,0.0614430352842132,0.538357806720063,0.590330049828597,0.999807467026667,830.499807897623,856.29754415754,866.156313177316,892.503573516374
"120","ascF","ascF",1461,37.465979659825,-3.79476566890423e-05,0.0319049124853152,-0.00118939855128919,0.999050997483039,0.999807467026667,32.1543067217,42.814877207877,33.5348130101837,41.3599216995393
"121","ascG","ascG",1460,385.753045695331,0.0176885829599945,0.0606305585170148,0.291743691508805,0.770482600679292,0.999807467026667,384.932986182637,374.891241893362,395.710793520168,387.477161185157
"122","asd","asd",1837,4577.62594315317,0.0391497592861918,0.0585168372646562,0.669034095419883,0.503473728701349,0.999807467026667,4248.96195965322,4717.99061524849,4430.42786740256,4913.12333030843
"123","asmA","asmA",1129,1374.5616917029,-0.00295305591134276,0.0614087028748184,-0.0480885570464264,0.961645665809972,0.999807467026667,1470.82985889834,1283.40205093856,1464.03412227316,1279.98073470153
"124","asnA","asnA",2020,693.457267050899,-0.0607934871795107,0.0617176802262261,-0.985025473359859,0.324611558605794,0.999807467026667,722.093859521606,721.58732074739,671.654397718251,658.493490216349
"125","asnB","asnB",387,898.164594129382,-0.105984544940259,0.0617343767084213,-1.71678326713876,0.086018779380445,0.999807467026667,903.076671640889,1022.33572650028,778.007661836262,889.238316540094
"126","asnS","asnS",555,2879.56451663692,0.0102021487523726,0.0582990793023381,0.174996738790066,0.861082196113763,0.999807467026667,2760.67690567739,2967.8019762143,2790.09644244728,2999.68274220869
"127","aspA","aspA",2255,18641.1708035157,0.0410427152684583,0.0559344661144439,0.73376431598513,0.46309239229791,0.999807467026667,19041.7804405908,17495.6207985554,19826.7395891352,18200.5423857815
"128","aspC","aspC",553,7115.55618736684,0.0279295820857304,0.0560212501694218,0.498553352545054,0.618094074402399,0.999807467026667,6775.37177350108,7261.82088057504,6970.45041854533,7454.58167684591
"129","aspS","aspS",1044,4034.41472386435,-0.0148784056929967,0.0569591739042836,-0.261211753492052,0.793929214713196,0.999807467026667,3940.2806151249,4188.54810928767,3880.45693403554,4128.37323700927
"130","astA","astA",969,75.8662080165778,0.00683874004410524,0.042322927150199,0.161584760426314,0.871632859010913,0.999807467026667,78.0890306098429,71.0100402472106,81.4416887390176,72.9240724702403
"131","astB","astB",968,82.8846064694442,0.00246491370824348,0.0423487523464143,0.0582051081004795,0.953585251946872,0.999807467026667,93.7068367318115,71.0100402472106,93.8974764285144,72.9240724702403
"132","astC","astC",970,121.416230042841,0.0110456046373282,0.0477666062195958,0.231241143374278,0.817127468247548,0.999807467026667,132.292004797852,105.470795073063,137.971802099042,109.930318201407
"133","astE","astE",967,71.2968401575508,0.00757567996109579,0.0409850307925448,0.18484016760758,0.853354401471375,0.999807467026667,63.3899189656372,76.2313667359761,66.1114885057907,79.4545864227991
"134","atpA","atpA",2016,38392.4645960594,0.0447151826088208,0.0539651363696889,0.828593896298137,0.407334242996035,0.999807467026667,36445.5286273303,38738.0654854489,38010.2733407714,40375.9909306871
"135","atpB","atpB",2017,14671.1542046068,0.0441433312589333,0.0536069509289928,0.823462825136336,0.410244849014781,0.999807467026667,14065.2124545494,14677.1487599198,14657.587697994,15284.6679059639
"136","atpD","atpD",2014,25003.4896417509,0.0323763468165759,0.0541573060683857,0.597820481980649,0.549959722566002,0.999807467026667,23887.8938107898,25361.0270212317,24613.5946119603,26151.4431230218
"137","atpG","atpG",2015,14893.1032868307,0.0447709264214515,0.0539040173953034,0.830567526964184,0.406217985752413,0.999807467026667,14227.8213771134,14937.1708190603,14838.675688249,15568.7452629003
"138","avtA","avtA",1923,1110.84282258866,-0.00422426884959008,0.0607108654647762,-0.0695801125095302,0.944527866487944,0.999807467026667,1117.13248495963,1110.05401151154,1111.43951690895,1104.74527697454
"139","azoR","azoR",794,327.96173120316,-0.00558208005274044,0.0595205352952084,-0.0937841036720282,0.925280659455603,0.999807467026667,339.916956772257,319.545181112448,341.096955189297,311.287831738638
"140","bacA","bacA",1651,435.024226669237,-0.0248215047113004,0.0611054826344244,-0.406207489756688,0.684590151355612,0.999807467026667,451.997683059326,435.458629163041,429.245606530351,423.394987924231
"141","baeR","baeR",1136,118.863924274503,0.00125247547647828,0.0489669372871354,0.025577982734226,0.97959394755697,0.999807467026667,121.267671064697,115.913448050594,120.725326836661,117.549251146059
"142","baeS","baeS",1135,59.1299595016607,-0.00424752048939582,0.0385575529130791,-0.11016053064807,0.912282063688747,0.999807467026667,55.1216686657715,64.744448460692,54.6138383308706,62.0398825493089
"143","barA","barA",1500,556.63428743529,0.0164779655616366,0.0616732330868092,0.267181802167607,0.789329186770507,0.999807467026667,555.810159046529,544.062220129363,567.217408629393,559.447361935873
"144","basR","basR",2235,364.901083268721,-0.0169396368559401,0.0601190680998663,-0.281768121019458,0.778121316632813,0.999807467026667,385.8516806604,355.050201236053,373.673630684904,345.028820493525
"145","basS","basS",2234,356.708336157128,-0.0381758316718282,0.0598967836747067,-0.637360294321599,0.523890185246789,0.999807467026667,380.339513793823,358.182997129312,365.050393053714,323.260440651662
"146","bax","bax",1922,14463.9005275165,-0.0141941388493303,0.0524996672590444,-0.270366263071601,0.786878492086579,0.999807467026667,14598.9739461296,14515.287638768,14412.3044942624,14329.0360309062
