	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
sfmH	10	8	10	8
fimZ	6	7	6	7
envY	36	38	36	40
ybcH	27	33	26	31
nfrB	69	63	66	60
cusR	82	80	81	77
cusC	7	7	127	130
cusB	13	15	13	15
cusA	63	63	60	61
pheP	402	349	382	335
ybdG	498	468	493	462
nfnB	730	735	712	719
ybdK	22	17	20	16
fepA	2257	2096	1907	1717
fepC	178	133	147	114
fepG	118	83	111	76
fepD	78	64	75	61
ybdA	140	112	139	111
fepB	197	190	176	161
entC	280	205	256	188
entE	421	364	402	350
entB	533	515	531	512
entA	353	344	329	312
cstA	55920	48127	49377	42578
ybdH	1630	1336	1138	937
ybdL	178	148	177	145
ibrB	47	38	45	36
ibrA	22	14	22	14
ybdO	24	12	23	11
dsbG	182	187	182	187
ahpF	2669	2552	2627	2510
ybdR	75	52	74	51
rna	199	171	196	168
citT	37	24	37	24
citG	8	6	8	5
citF	4	3	4	2
citE	7	7	7	7
citC	13	10	12	10
citA	167	174	163	172
citB	59	64	52	59
dcuC	49	37	49	35
lipA	1701	1412	1701	1412
ybeF	105	89	105	89
lipB	112	116	110	116
dacA	1078	936	1069	927
rlpA	969	883	905	811
mrdB	480	390	473	376
mrdA	555	534	530	512
phpB	62	71	62	71
nadD	152	117	152	117
holA	497	418	495	415
leuS	6364	5826	6278	5742
ybeQ	186	167	185	166
ybeU	15	9	15	9
hscC	227	179	218	167
rihA	2423	2137	2222	1944
gltL	2822	2592	2433	2253
gltK	2036	1731	1842	1582
gltJ	2500	2328	2303	2115
gltI	30500	26909	30565	27185
ybeX	1574	1355	1569	1348
ybeZ	1188	1059	1148	1019
miaB	696	574	658	537
asnB	983	979	812	817
nagD	426	391	337	311
nagC	546	452	543	447
nagA	999	856	992	854
nagB	717	623	637	565
nagE	5721	5140	5443	4901
glnS	2770	2556	2467	2276
ybfM	281	190	275	184
ybfF	248	219	243	208
pgm	8374	7844	7561	7131
potE	151	125	135	113
kdpE	57	39	49	35
kdpD	205	175	181	159
kdpB	74	96	68	85
ybgH	251	240	231	223
ybgI	1049	1005	1015	972
ybgJ	781	697	779	695
ybgK	957	870	831	782
nei	166	140	156	135
abrB	20	23	16	21
gltA	13613	13498	13016	12972
sdhA	23844	22192	21655	20105
sdhB	11231	10027	11130	9928
sucA	39832	37801	38937	36997
sucB	28326	25864	28161	25693
sucC	46950	44087	46738	43893
sucD	37599	34805	35277	32683
mngR	168	123	169	127
mngA	24	33	24	33
cydA	12265	11184	12264	11181
cydB	7694	7219	7161	6737
tolQ	1022	891	952	849
tolA	1935	1734	1935	1734
tolB	9056	8126	9051	8122
ybgF	3364	3014	3348	3006
nadA	928	839	898	816
pnuC	585	564	585	564
zitB	200	192	200	192
aroG	2604	2485	2526	2422
gpmA	7614	7320	7270	6975
galM	3530	3329	3134	2944
galK	1099	1193	1028	1127
galT	500	479	452	437
galE	376	392	362	378
modF	1250	1117	1218	1090
modE	336	309	336	308
modA	629	466	472	340
modB	274	240	270	239
modC	533	415	485	374
ybhA	271	225	266	219
pgl	560	477	528	456
ybhD	45	37	32	30
ybhH	18	9	15	8
ybhI	914	805	270	220
ybhJ	102	85	99	83
ybhC	1938	1807	1840	1722
bioB	1312	1154	1270	1113
bioC	326	252	262	210
bioD	366	292	333	268
uvrB	944	829	903	791
ybhK	540	456	540	456
moaA	950	700	945	699
ybhL	615	554	605	549
ybhN	24	10	20	10
ybhO	26	12	26	12
ybhP	29	19	29	18
ybhR	114	78	112	76
ybhS	136	104	136	104
ybhF	382	261	342	226
ybhG	246	241	236	236
ybiH	77	58	72	52
rhlE	37	25	34	26
dinG	186	179	169	165
ybiB	269	238	268	236
ybiC	2114	2055	2097	2038
ybiX	85	98	85	98
fiu	84	62	79	54
ybiN	148	156	132	148
ybiO	65	47	56	41
glnQ	2476	2320	2398	2258
glnP	2172	2091	2163	2083
glnH	14207	12784	14197	12773
rhtA	82	50	82	50
ybiR	308	282	305	280
ybiS	1049	983	1005	936
ybiT	1836	1668	1773	1615
ybiU	71	59	69	59
ybiV	153	135	149	132
ybiW	95	98	82	90
ybiY	22	16	22	15
fsaA	49	43	47	42
moeB	250	196	203	167
moeA	449	364	412	341
iaaA	1476	1289	1441	1261
yliA	1290	1151	1279	1138
yliB	1576	1446	1461	1345
yliC	506	437	498	429
yliD	352	280	327	263
yliE	180	149	172	143
yliF	58	50	57	47
yliG	323	276	323	276
yliI	40	36	40	35
yliJ	1277	1144	1273	1141
dacC	1052	945	1020	923
deoR	474	383	473	383
cmr	158	148	155	146
ybjI	223	202	208	187
ybjJ	88	87	88	87
ybjL	356	340	352	333
nfsA	458	383	457	383
rimK	394	349	379	337
potF	1608	1499	1460	1374
potG	727	605	543	428
potH	340	263	317	256
potI	315	221	272	200
rumB	117	130	96	103
artJ	2133	2033	1793	1717
artM	786	697	770	670
artQ	904	820	904	820
artI	2171	1876	2125	1847
artP	1015	898	1015	898
ybjR	307	248	305	243
ybjS	290	257	290	257
ybjT	614	583	567	537
ltaE	919	800	779	654
poxB	52	48	43	41
hcr	23	27	23	27
hcp	21	16	21	15
ybjE	61	72	61	72
aqpZ	89	59	81	56
ybjD	632	549	556	495
ybjX	1461	1208	1459	1206
macA	467	396	460	396
macB	505	446	462	404
clpA	13342	11653	13129	11457
aat	73	45	73	45
cydC	390	361	373	341
cydD	417	355	407	346
trxB	4145	4012	3904	3760
lolA	896	787	896	785
ycaJ	591	548	556	516
serS	5071	4538	4672	4247
dmsA	74	99	74	96
dmsB	35	33	33	32
dmsC	115	118	104	104
ycaC	94	73	94	75
ycaD	169	148	166	138
ycaM	59	38	58	37
ycaN	118	89	117	89
pflA	357	395	357	394
pflB	19681	17258	19560	17170
focA	2107	1744	1968	1642
ycaO	418	432	403	414
ycaP	644	465	634	459
serC	5372	5303	5210	5126
aroA	1782	1764	1765	1748
ycaL	80	72	57	55
cmk	2078	1847	2063	1830
rpsA	55787	53439	55666	53343
msbA	1660	1495	1604	1435
lpxK	341	320	341	320
kdsB	976	874	918	837
ycbJ	259	265	259	265
smtA	775	641	739	599
mukF	1457	1356	1406	1317
mukE	894	742	876	724
mukB	5726	5319	5403	5000
ycbB	513	432	513	432
ycbL	2414	1974	2405	1970
aspC	7375	6954	7275	6849
ompF	85427	73426	85382	73409
asnS	3005	2842	2912	2756
pncB	952	889	919	860
pepN	7058	6535	6121	5694
ssuC	14	13	13	12
ssuA	24	28	23	25
ycbR	20	16	20	16
ycbT	85	52	72	42
ycbF	44	36	41	36
pyrD	319	287	319	287
ycbX	555	449	554	447
ycbY	1081	902	1043	869
uup	1369	1161	1365	1153
pqiA	270	216	270	216
pqiB	635	575	610	546
ycbZ	973	812	966	805
yccR	413	377	413	377
yccS	355	341	353	339
helD	770	694	768	693
yccT	16	14	16	14
yccW	426	382	495	466
yccA	3579	2945	3451	2842
hyaA	5	4	4	4
hyaB	10	15	10	15
hyaC	14	13	14	13
hyaF	17	11	17	11
appC	194	169	194	169
appB	41	36	40	30
appA	77	65	77	65
yccC	3151	2545	3151	2540
yccZ	1667	1369	1667	1369
ymcA	1520	1136	1431	1052
ymcB	357	297	354	296
ymcC	1125	691	1114	683
yccM	47	48	46	47
torR	165	141	157	136
torC	42	35	41	34
torA	74	78	74	75
cbpA	310	311	302	306
agp	5207	4513	5098	4426
rutG	31	37	29	32
rutD	3	5	3	5
rutB	0	0	0	0
rutA	5	7	4	7
rutR	152	123	145	120
putP	7141	6119	6456	5586
efeO	2481	2200	2407	2127
efeB	1393	1175	1346	1144
phoH	1323	1098	1322	1098
ycdW	800	658	800	657
ycdX	957	890	953	888
csgG	105	76	87	58
csgD	45	42	44	40
ymdC	194	159	193	159
mdoC	89	61	82	57
mdoG	2598	2249	2492	2130
mdoH	1727	1574	1718	1570
mdtG	26	20	26	20
lpxL	140	105	137	102
yceA	972	753	909	712
solA	1084	1033	1030	977
pyrC	444	465	450	472
grxB	433	465	433	464
mdtH	106	92	100	88
yceH	505	501	489	485
mviM	648	562	624	542
mviN	152	147	152	147
flgA	33	34	33	34
flgD	14	12	14	12
flgF	7	3	4	2
flgG	9	6	8	6
flgH	9	8	9	8
flgI	12	11	11	11
flgJ	13	8	13	8
flgK	51	65	51	61
flgL	92	71	82	66
rluC	960	808	960	808
plsX	2706	2278	2694	2270
fabH	3742	3417	3733	3399
fabD	4737	4609	4717	4581
fabG	8908	8562	8894	8560
fabF	6542	6277	6225	5937
pabC	401	262	399	262
yceG	308	240	291	221
tmk	244	223	238	222
holB	276	261	257	252
ycfH	465	353	464	349
ptsG	32078	28405	32058	28394
fhuE	312	254	307	244
ycfM	1044	966	1016	948
ycfN	379	363	379	362
nagZ	926	903	901	879
ndh	263	262	255	253
ycfQ	247	213	246	213
ycfS	255	233	251	231
mfd	1383	1331	1306	1249
lolC	437	356	436	355
lolD	285	213	254	191
lolE	1138	1015	1129	1005
ycfX	1010	875	1057	924
cobB	1073	960	835	739
potD	4800	4627	3877	3698
potC	468	435	468	433
potB	199	182	194	177
potA	336	316	330	303
pepT	651	528	600	511
ycfD	1099	915	1058	892
phoQ	1480	1361	1475	1358
phoP	1329	1250	1258	1173
purB	878	835	815	762
hflD	176	177	175	177
trmU	841	702	841	702
ymfC	68	74	60	68
icd	84266	77839	77740	71596
ycgE	607	555	595	543
ycgF	373	332	373	332
ycgG	27	18	27	17
minD	5475	5239	5472	5236
minC	1498	1383	1468	1364
ycgM	1284	1156	1185	1050
umuC	82	74	82	74
nhaB	359	307	359	307
fadR	1097	842	1092	838
