"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_chemostat1","K12_IAI1ref_chemostat2","K12_batch1","K12_batch2"
"36","adk","adk",334,6248.27219871501,-0.591240885554556,0.101269506365694,-5.83829137489351,5.2738866831083e-09,3.65540349442985e-08,5087.11501435618,4867.40042673768,7777.46785123279,7261.10550253338
"37","aegA","aegA",2117,94.9458409018689,0.0736223585135821,0.287212481086399,0.256334119725929,0.797692853396431,0.871599036427891,107.123794863743,87.6464528875459,79.6506611903641,105.362454665823
"38","aer","aer",66,4688.73009106431,1.59707986872973,0.12409367800273,12.8699535257113,6.64421179473233e-38,2.3305076219402e-36,7864.74223078378,6260.67679850177,2396.85608082056,2232.64525415113
"39","aes","aes",820,91.4691139510769,0.991696039588572,0.322866054172887,3.07154012251019,0.00212957541475032,0.00601215498188658,162.79442841498,83.1130156692245,57.6419258614477,62.3270858586556
"40","agaC","agaC",2349,10.0143277577019,-0.101541028667816,0.610893510228139,-0.166217232574455,0.867985998455123,NA,8.43494447746008,10.5780201760831,13.6244552036149,7.41989117364948
"41","agaD","agaD",1396,16.464059229131,0.807631229182463,0.544145630328439,1.48421890054504,0.137750857179599,0.228433548976198,20.2438667459042,24.1783318310471,7.3362451096388,14.097793229934
"42","agaI","agaI",1560,15.3513906390654,-0.629053870286012,0.553661600214347,-1.13617030699344,0.255885294938527,0.379727216527365,14.3394056116821,7.55572869720223,20.9607003132537,18.5497279341237
"43","agaR","agaR",1963,1117.37225331327,0.0561317959684886,0.123634507348192,0.454013989883945,0.64981875758725,0.766342549064943,1174.98776571019,1101.62524405209,1126.63764183739,1066.23836165343
"44","agaS","agaS",1633,23.5969434000723,0.48459897138152,0.478673428350452,1.01237909330269,0.311356830633462,0.441390730506102,30.3658001188563,25.6894775704876,22.0087353289164,16.3237605820289
"45","agp","agp",16,2407.06770519838,2.90144202480236,0.14773617396972,19.6393472691194,7.13088200690539e-86,1.03174949037412e-83,4943.72095823936,3572.34852803721,533.449822972307,578.751511544659
"46","ahpF","ahpF",782,3509.15241644827,-0.333428939140022,0.102612379227642,-3.24940267100055,0.00115647645754919,0.00342358439798768,3099.84209546658,3106.91564028956,3843.14440243507,3986.70752760186
"47","aidB","aidB",1465,210.336726889612,0.269339569151773,0.201995547157372,1.3333935967506,0.182402672630771,0.28823357483975,222.682534204946,238.76102683159,185.502197772295,194.401148749616
"48","ais","ais",1996,17.4139511570981,-0.212362903069752,0.524790800386823,-0.404662015632171,0.685725966559951,0.795318443179503,15.1829000594281,16.6226031338449,17.8165952662657,20.0337061688536
"49","alaS","alaS",363,15789.3121415996,-0.514572586006171,0.0938010777457956,-5.48578543415761,4.11636296991623e-08,2.62517362957468e-07,12932.4568728418,13047.2323143288,18566.9883374801,18610.5710417476
"50","aldA","aldA",95,38752.6503952268,3.40490690427867,0.30642522793056,11.1117055448524,1.10037468550481e-28,2.68143936520383e-27,87088.2712464321,56128.4862000365,6263.05725360021,5530.78688083832
"51","aldB","aldB",25,497.122971267961,4.10788361266093,0.229679873522346,17.8852572045729,1.53642574527874e-71,1.42273024012811e-69,1165.70932678498,722.327663452533,49.2576457361462,51.1972490981814
"52","alkB","alkB",2155,27.9373354738598,0.0974225177293929,0.464247997013263,0.209850162749565,0.83378462041447,0.895689743043851,30.3658001188563,27.200623309928,35.6331905325313,18.5497279341237
"53","allB","allB",520,89.751318407261,1.27826308706671,0.288707050364516,4.42754371759469,9.5312258639864e-06,4.24322843752472e-05,127.367661609647,129.958533591878,53.449785798797,48.2292926287216
"54","allC","allC",1556,144.502036266278,0.265473328670257,0.233039145903223,1.13917911791739,0.254628453421257,0.378833463798335,153.515989489774,163.203739859568,129.956341942173,131.332073773596
"55","allD","allD",1552,17.741628668517,0.603097413057457,0.523930886593618,1.15110108697456,0.249690650885478,0.372444495360748,20.2438667459042,24.1783318310471,14.6724902192776,11.8718258778392
"56","allR","allR",1620,1410.62498064988,-0.120280558246969,0.116508538688519,-1.03237547737625,0.301896255238048,0.431413475849433,1337.78219412517,1366.07574845416,1436.85600647354,1501.78597354665
"57","alr","alr",877,511.243053633382,-0.422866946141312,0.150085078860703,-2.81751490122335,0.0048396868876799,0.0127752282154834,424.277707216242,448.810284613813,570.131048520501,601.753174182973
"58","alx","alx",1991,76.7028555502801,0.127370949522472,0.307270245870755,0.414524189159686,0.678490255736809,0.788902532411207,70.8535336106647,90.6687443664268,68.1222760180745,77.1668682059546
"59","amiA","amiA",891,755.918042166752,-0.379793445038222,0.137244109767858,-2.76728411645954,0.00565254691290123,0.014686471496483,626.716374675284,687.571311445403,822.707487295208,886.676995251113
"60","amiB","amiB",1597,742.875378290682,-0.151224607229324,0.140045100661876,-1.07982790197309,0.28021882375529,0.407453117869641,660.456152585125,749.528286762461,748.297001183157,813.220072631983
"61","amiC","amiC",939,1011.10717782224,0.360669513292161,0.139119002031503,2.5925251620946,0.00952742116280499,0.0235000180785624,1180.04873239667,1097.09180683376,792.31447184099,974.973700217541
"62","amn","amn",2301,746.875312808744,0.00367235960580086,0.156795190165827,0.0234213792012175,0.98131415154622,0.986453994413982,695.039424942711,800.907241903437,841.572117577136,649.982466811694
"63","ampE","ampE",1922,389.534378791853,0.0883342632597499,0.166121268411933,0.531745658483091,0.594902164230891,0.716544490215668,396.442390440624,408.00934964892,350.043695231337,403.642079846532
"64","ampG","ampG",1056,375.463399564448,-0.386123264229386,0.169494483387627,-2.27808750179991,0.0227213647505157,0.0498105676112157,315.466923457007,333.963208416339,456.943266828931,395.480199555517
"65","ampH","ampH",995,410.364405785278,0.393478486452499,0.159473122340246,2.4673655389589,0.0136111330155126,0.0316681134984037,474.887374081003,457.877159050455,363.668150434952,345.024939574701
"66","amtB","amtB",410,225.837438790451,-1.0260197553038,0.200600796706453,-5.11473419921267,3.14183055052325e-07,1.77398481084423e-06,145.081045012313,149.603428204604,295.545874416877,313.119407528008
"67","amyA","amyA",199,2190.23523088653,0.87127517211618,0.111300998152506,7.82809845894055,4.9530399460665e-15,5.76195350509746e-14,2860.28967230671,2810.73107535923,1611.87785408921,1478.04232179098
"68","anmK","anmK",1295,556.46407883929,0.247377669197784,0.146003778967667,1.69432374248728,0.0902037813439391,0.161153326331474,622.498902436554,586.324546902893,494.672527392787,522.360338624923
"69","ansA","ansA",1481,383.949923080021,-0.224234127643068,0.171834602452342,-1.30494163831327,0.191912721420482,0.299985111470908,328.962834620943,379.297580599552,445.414881656641,382.124395442948
"70","ansB","ansB",1576,100.449424464862,0.299986128715061,0.270755867707321,1.10795799646099,0.26787995652271,0.393491179790655,113.871750445711,108.802493239712,84.8908362686775,94.2326179053484
"71","ansP","ansP",685,203.431453269585,-0.755284853694894,0.209653942341142,-3.60253112944529,0.000315133647641183,0.00106387207086335,138.333089430345,163.203739859568,259.912683884346,252.276299904082
"72","apaH","apaH",1921,348.13982059486,0.0937861421957542,0.175800111673007,0.533481698636227,0.593700176489243,0.715468978955023,367.76357921726,352.096957289624,303.930154542179,368.768591330379
"73","aphA","aphA",72,516.631643356042,2.45962572794747,0.200439749129351,12.2711475075744,1.29406227463488e-34,4.1607696746941e-33,1076.29891532391,681.526728487641,155.109182318077,153.591747294544
"74","appA","appA",1453,95.513809534208,0.372227534610216,0.275333458408537,1.35191537113484,0.176402389700293,0.280667719694968,107.967289311489,108.802493239712,80.6986962060268,84.586759379604
"75","aqpZ","aqpZ",1042,87.016042195708,0.662160191539888,0.287381232932382,2.30411772120028,0.0212160362272758,0.0470451378028194,106.280300415997,108.802493239712,69.1703110337372,63.8110640933855
"76","araA","araA",644,63.3627653823971,1.25305056700357,0.332262362376545,3.77126845797696,0.000162419822533841,0.000583853865164352,89.4104114610769,92.1798901058672,37.7292605638567,34.1314993987876
"77","araC","araC",162,708.369510468799,1.40014943041298,0.158117045716286,8.85514540238315,8.35747950783341e-19,1.19429413954533e-17,1170.77029347146,890.064840530423,379.388675669892,393.254232203422
"78","araD","araD",1328,12.2844408084012,0.950421214314251,0.585784324426127,1.62247635295694,0.104701392332875,0.182517863893529,21.0873611936502,13.600311654964,6.28821009397611,8.16188029101443
"79","araE","araE",1621,165.593419795011,0.23466018317443,0.227490262836641,1.03151748232379,0.302298214286464,0.431721385609601,199.064689668058,158.670302641247,148.820972224101,155.817714646639
"80","araF","araF",44,398.263422127479,3.18116655271011,0.207535075054363,15.3283320994141,4.94522019287477e-53,2.60186016966025e-51,822.407086552358,618.058607431142,88.0349413156656,64.5530532107504
"81","araG","araG",212,259.235768204184,1.51037824900062,0.199405591933828,7.57440267523609,3.60783742844924e-14,3.93969039946225e-13,415.842762738782,356.630394507945,120.524026801209,143.9458887688
"82","araH","araH",528,208.05260893701,0.928972490002579,0.211746097949504,4.38720004287454,1.14819179256049e-05,5.03421212079078e-05,280.040156651675,267.472795880959,159.301322380728,125.396160834676
"83","araJ","araJ",1693,119.505007690718,-0.229820258386168,0.254592785168563,-0.902697451673683,0.366686489308053,0.501109340465255,107.967289311489,111.824784718593,119.475991785546,138.751964947245
"84","arcA","arcA",338,5187.08574462074,0.596485405390174,0.102883395905855,5.79768387443194,6.72370426763433e-09,4.60514064484422e-08,6369.22657493011,6129.20711917045,4290.65535412303,3959.25393025936
"85","arcB","arcB",718,1683.78710351659,0.41987530084146,0.120668631908219,3.47957289480846,0.000502213723168427,0.00161925455311268,2027.7606523814,1826.9751989835,1514.41059763258,1366.00196506887
"86","argA","argA",250,3978.12521330931,-0.84709580677312,0.123370311824422,-6.86628569099096,6.58950457897403e-12,6.10188124012995e-11,3159.73020125655,2500.94619877394,5050.48074047848,5201.34371272828
"87","argB","argB",339,2335.59502963084,-0.791577241444833,0.136917959955715,-5.781398157706,7.40823235706627e-09,5.05901413174289e-08,1948.47217429328,1453.72220134171,2888.38450316636,3051.80123972203
"88","argC","argC",243,2756.96008092087,-0.85501292962543,0.123052612157829,-6.9483525350017,3.69576536855552e-12,3.52086289226585e-11,2163.56325846851,1743.86218331427,3563.31905325313,3557.09582864756
"89","argD","argD",154,4955.89167785241,-1.06070948469989,0.115874467920465,-9.15395344406631,5.48872295761938e-20,8.25090496551225e-19,3457.48374131089,2937.66731747223,6377.29307030744,7051.1225823191
"90","argE","argE",231,1999.93091907658,-0.797445848898905,0.11050497160363,-7.21637983636846,5.33897974259422e-13,5.3505359758033e-12,1472.74130576453,1441.63303542619,2494.32333727719,2591.0259978384
"91","argG","argG",84,12000.6334156703,-1.26533922322403,0.106849591325768,-11.8422467276099,2.36043669260558e-32,6.50525112307372e-31,7522.2834849989,6519.08271994609,16547.4248622981,17413.742595438
"92","argH","argH",265,4104.62652920119,-0.877352755351377,0.130444953972124,-6.72584663979311,1.74574359336833e-11,1.52505525231988e-10,3212.87035146455,2547.79171669659,4916.33225847366,5741.51179016997
"93","argI","argI",405,3545.29144325285,-0.660641827787028,0.128538395054768,-5.13964584282804,2.75256777052292e-07,1.57338133055816e-06,3081.28521761617,2393.65485127367,4188.99595760375,4517.2297465178
"94","argK","argK",1895,22.8442327774641,0.274255780844751,0.48111305572661,0.570044353567896,0.568647615726422,0.694941682578881,23.6178445368882,27.200623309928,22.0087353289164,18.5497279341237
"95","argO","argO",594,186.987357271764,-0.916371054504831,0.22790158808815,-4.02090684050165,5.7974530370046e-05,0.000225944508092014,145.924539460059,107.291347500272,266.200893978322,228.532648148404
"96","argP","argP",2029,686.933263440138,-0.0504383567970458,0.135935454880792,-0.371046367860964,0.710602996267813,0.810766848871359,675.639052644553,673.970999790439,696.943285415686,701.179715909876
"97","argS","argS",320,2887.92199946015,-0.628032494334339,0.104501924851581,-6.00976963081111,1.85787133158713e-09,1.34405379144506e-08,2245.38221989987,2286.3635037734,3478.42821698445,3541.5140571829
"98","arnT","arnT",1202,67.2693975505265,0.614534918465009,0.322280469944351,1.90683263733332,0.0565422635180837,0.10889795344789,86.8799281178389,77.0684327114628,57.6419258614477,47.4873035113567
"99","aroA","aroA",112,6865.89506664141,-1.15847216313976,0.111452802026281,-10.3942847741647,2.63254519277196e-25,5.44137689398848e-24,3908.753270855,4560.63784163127,9853.62521726057,9140.56393681879
"100","aroB","aroB",822,4851.65793208504,-0.305113962771793,0.0996610452207821,-3.06151678517785,0.00220218644431685,0.00620202143381205,4271.45588338579,4404.9898304689,5395.2842606315,5334.90175385397
"101","aroC","aroC",485,2208.42778589052,-0.510080782445068,0.109667046232648,-4.65117644696095,3.30046782156821e-06,1.57537793957328e-05,1762.90339578916,1878.35415412447,2573.97399846756,2618.4795951809
"102","aroD","aroD",1209,419.378247922229,-0.30180146166187,0.159293967590348,-1.89461952782798,0.0581428257931135,0.111240199761205,364.389601426276,386.853309296754,450.655056734955,475.615024230931
"103","aroE","aroE",656,878.377305200734,-0.482665489546915,0.129713944621732,-3.72099924148056,0.000198436034495656,0.00070027350588025,733.840169539027,728.372246410295,1058.51536581931,992.7814390343
"104","aroF","aroF",127,4333.18535025771,-1.045482502058,0.105512045833969,-9.90865539374668,3.81749036594922e-23,6.95865369856098e-22,2876.31606681389,2760.8632659577,6106.90003626647,5588.66203199279
"105","aroG","aroG",116,7301.18927455947,-1.32184545310563,0.129046126791572,-10.2432012953059,1.2696440594812e-24,2.53381551525775e-23,3608.46924745742,4692.10752096259,11043.1449600377,9861.03536978015
"106","aroH","aroH",461,551.42062120031,-0.764820313668616,0.159993981804664,-4.78030676555311,1.75027917792194e-06,8.78936289997676e-06,360.172129187546,456.366013311015,722.09612579159,667.048216511088
"107","aroM","aroM",1005,285.61863379546,0.449614253792585,0.184278588437824,2.43986161172645,0.0146928892728232,0.0338448145936175,350.893690262339,309.784876585291,229.519668430128,252.276299904082
"108","aroP","aroP",1155,6020.07128252193,-0.196718882954769,0.0983938846204146,-1.99929989260688,0.0455759157919064,0.0912701081818887,5513.07971046791,5704.57516638768,6383.58128040142,6479.04897283072
"109","arsB","arsB",1905,61.6906378460165,0.185572952071803,0.33488561118881,0.554138326257249,0.579484182338011,0.704543451325135,58.2011168944746,74.0461412325819,61.8340659240984,52.6812273329113
"110","artI","artI",1026,1733.25433535201,0.280534611182005,0.11944955020784,2.34856146962362,0.0188460881703462,0.0425230936787052,2004.14280784452,1799.77457567357,1494.49793233499,1634.60202555498
"111","artJ","artJ",180,4353.2797190001,-1.01474398051327,0.120412684309172,-8.42721833115027,3.53979025125358e-17,4.55256357314002e-16,3138.6428400629,2597.65952609813,6151.96554193996,5524.8509678994
"112","artM","artM",1466,675.994228279092,-0.18965284326706,0.142419056481459,-1.33165355783515,0.182974056900656,0.28893925083562,669.734591510331,590.857984121214,696.943285415686,746.441052069137
"113","artP","artP",2020,925.807813801191,0.0498306146140512,0.130991839950042,0.380410067016813,0.703641042947116,0.805204653693808,941.339803684545,941.443795671398,964.192214409671,856.25544143915
"114","artQ","artQ",1606,559.400906676063,0.159532282972693,0.149468573176682,1.06732993820792,0.285822873604496,0.411848130168104,607.316002377126,574.23538098737,493.624492377125,562.42775096263
"115","ascF","ascF",1264,82.5897584466226,0.517657909316663,0.292446148707259,1.77009651727314,0.0767110636366972,0.140495342024489,97.845355938537,98.224473063629,66.0262059867492,68.2629987975752
"116","ascG","ascG",1721,703.725133547678,0.119886988699895,0.137699898397715,0.870639630783381,0.383950950373317,0.516588858199744,766.736453001122,698.149331621486,677.030620118095,672.984129450008
"117","asd","asd",142,15137.1788951966,-0.911336534465239,0.0958470060931143,-9.5082420579719,1.93911624675328e-21,3.16130571213651e-20,10579.9508580782,10393.6603958714,19276.5080430838,20298.5962837529
"118","asmA","asmA",1120,1607.24727102057,0.250027880658458,0.119410589424095,2.09385015068025,0.0362733310699888,0.0749756798455571,1856.53127948896,1635.05969007456,1480.87347713137,1456.52463738739
"119","asnA","asnA",463,526.806388047201,-0.711077890505028,0.149191012581151,-4.76622470886605,1.87709904426457e-06,9.38549522132284e-06,390.537929306402,406.49820390948,637.205289522913,672.984129450008
"120","asnB","asnB",217,2651.36147134366,-0.790870075474796,0.105443225860908,-7.5004351300675,6.36063295599353e-14,6.78565220881338e-13,1947.62867984553,1928.22196352601,3368.38454033987,3361.21070166321
"121","asnS","asnS",558,7108.10141015982,-0.423719977975776,0.100970666747171,-4.19646607897288,2.71112044894217e-05,0.000112477488159518,5869.87786186447,6265.21023572009,7915.80847330026,8381.50906975445
"122","aspA","aspA",20,3824.435908903,2.66824056003016,0.142364854349118,18.742270149674,2.2386936436554e-78,2.59128789253112e-76,7720.50468021921,5533.81569783091,1023.93021030244,1019.49304725944
"123","aspC","aspC",2224,6245.79605037192,0.0141543835935627,0.108891522600794,0.129986093090589,0.896577429442047,0.933262926779828,5876.62581744644,6679.26416832677,6457.99176651347,5969.302449201
"124","aspS","aspS",1118,4566.26789071742,-0.212292400778755,0.100622455978089,-2.10979148456665,0.0348763202693785,0.0722170674629797,4208.19379980484,4250.85296504597,4796.85626668811,5009.16853133076
"125","astA","astA",237,97.3144408442931,2.17017536737413,0.306120220572359,7.08929113965916,1.34800673699077e-12,1.31672388022517e-11,189.786250742852,132.980825070759,34.5851555168686,31.9055320466928
"126","astB","astB",414,69.3344221881766,1.77781395992535,0.350612073468784,5.07060108437375,3.96561216344249e-07,2.21506844429887e-06,133.272122743869,86.1353071481054,23.0567703445791,34.8734885161525
"127","astC","astC",174,182.462854020553,2.33114747974762,0.274431366435688,8.49446442665991,1.98847682772432e-17,2.64558842309298e-16,396.442390440624,219.116132218865,53.449785798797,60.8431076239257
"128","astE","astE",630,47.9175085695367,1.46964882729963,0.383335378044791,3.83384605614958,0.000126155110961988,0.000463569971233336,85.1929392223468,58.9346838381774,23.0567703445791,24.4856408730433
"129","atpA","atpA",1379,35624.165131458,0.147377645245996,0.0956520274227301,1.54076865087937,0.123373101738904,0.207112930040292,37926.8843484515,36976.2250983683,32665.1553681746,34928.3957108375
"130","atpB","atpB",1247,18008.2990325517,0.184729591272539,0.102834452804923,1.79637841437219,0.072434354445477,0.134471155205517,20185.6656290097,18142.815747722,17452.9271158307,16251.7876376444
"131","atpD","atpD",1619,20191.8129315082,0.102862112355111,0.0995320775907319,1.03345689997622,0.301390130377039,0.430956239544685,21521.7608342394,20308.2875923402,18644.5429286392,20292.660370814
"132","atpG","atpG",1524,14928.5857350653,0.124598466927728,0.103100395431332,1.20851589760113,0.22684888454257,0.344735723537101,16357.8878251383,14791.0944976431,14842.2718918149,13723.0887256647
"133","avtA","avtA",987,1388.62035100219,-0.314060244483372,0.126578097157219,-2.48115789016237,0.0130956351384705,0.0307404879411587,1195.23163245609,1278.42929556662,1656.94335976271,1423.87711622333
"134","azoR","azoR",1067,336.192680603292,-0.403614808968478,0.179871872925638,-2.24390174185454,0.0248387240608247,0.0538909523906365,256.422312114787,323.385188240256,383.580815732543,381.382406325583
"135","bacA","bacA",593,757.765235002117,-0.547608833848959,0.135945308948257,-4.02815542577779,5.62161764645762e-05,0.000219461127344846,641.899274734712,584.813401163453,888.733693281957,915.614570828345
"136","baeR","baeR",1746,192.603836973227,0.182085881887256,0.225546123302662,0.807311068889061,0.419487288435318,0.556193054254159,172.916361787932,238.76102683159,191.790407866271,166.947551407113
"137","baeS","baeS",1714,86.8154034509896,0.262343621356508,0.300012473963658,0.874442378646854,0.381877387073042,0.515178409716837,88.5669170133309,102.75791028195,63.9301359554238,92.0066505532535
"138","barA","barA",1383,737.142575568537,-0.204866034724821,0.134289638772467,-1.52555354677762,0.127121088463868,0.212787649887097,669.734591510331,699.660477360927,798.602681934966,780.572551467925
"139","basR","basR",1319,132.519475974857,0.419471801286191,0.255424959558351,1.64225063208971,0.100538073548167,0.176456133634576,175.44684513117,128.447387852438,103.755466550606,122.428204365216
"140","basS","basS",1419,182.644876414946,0.316751170168729,0.220170348280486,1.43866407371625,0.150245722907974,0.245115467605328,188.942756295106,217.604986479424,177.117917646994,146.91384523826
"141","bax","bax",37,6967.21210133416,1.88027687776626,0.115879638583684,16.2261196250485,3.29651250769726e-59,2.0625476906268e-57,11940.5074022925,10017.3851067507,3090.65526118926,2820.30063510417
"142","bcr","bcr",1833,379.64932641393,-0.110496655950806,0.164268127622867,-0.672660348357342,0.501163399062908,0.6329477735028,373.668040351482,355.119248768505,407.685621092785,382.124395442948
"143","bcsA","bcsA",672,116.478860157278,0.936815567429163,0.257547052563342,3.63745404230072,0.000275346302484409,0.000948551622397928,161.950933967234,146.581136725723,76.506556143376,80.8768137927793
"144","bcsB","bcsB",1906,65.1630775037212,-0.181839105513999,0.32930732003119,-0.552186648923494,0.580820480656361,0.705456145183356,51.4531613125065,71.023849753701,69.1703110337372,69.0049879149401
"145","bcsC","bcsC",2072,368.884904863976,0.0527638951152208,0.168431477000423,0.313266237729949,0.754078398488421,0.842515199083347,400.659862679354,349.074665810743,368.908325513265,356.89676545254
