	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_batch1	K12_batch2
ybdA	240	105	242	395
fepB	246	127	242	319
entC	498	236	621	906
entE	702	313	782	1270
entB	689	281	676	1051
entA	396	162	443	633
cstA	29040	10771	1814	2653
ybdH	1419	613	631	956
ybdL	577	336	427	641
ibrB	90	49	70	89
ibrA	36	17	35	32
ybdO	28	15	20	32
dsbG	350	185	308	347
ahpF	3675	2056	3667	5373
ybdR	280	116	105	155
rna	411	257	484	585
citT	34	27	35	50
citG	19	12	15	16
citF	8	4	5	6
citE	16	11	9	12
citC	19	12	27	31
citA	320	182	211	312
citB	112	76	109	165
dcuC	57	28	45	60
lipA	2844	1554	1572	2400
ybeF	126	76	96	105
lipB	434	257	685	743
dacA	1648	1116	2046	2855
rlpA	1793	981	1707	2318
mrdB	946	476	890	1142
mrdA	1078	619	1360	1717
phpB	101	53	64	120
nadD	251	170	227	292
holA	875	531	827	989
leuS	9824	5486	9928	14017
ybeQ	200	136	102	151
ybeU	18	8	18	15
hscC	148	63	77	113
rihA	2283	968	541	654
gltL	1001	469	577	832
gltK	539	270	313	431
gltJ	485	212	251	418
gltI	6517	3440	3044	4216
ybeX	3631	2056	2843	3910
ybeZ	3173	1880	2700	3928
miaB	1605	901	1941	2938
asnB	2309	1276	3214	4530
nagD	775	426	781	1019
nagC	998	556	850	1055
nagA	1177	622	794	1142
nagB	683	390	451	594
nagE	3628	1716	1190	1765
glnS	4329	2640	4965	7319
ybfM	136	51	25	36
ybfF	291	178	234	337
pgm	5196	2754	4722	6912
potE	142	63	104	125
kdpE	77	36	51	80
kdpD	422	194	273	406
kdpB	102	50	46	84
ybgH	233	88	405	567
ybgI	2385	1291	2212	3079
ybgJ	1296	661	1102	1558
ybgK	1222	650	1209	1674
nei	181	93	241	361
abrB	40	30	67	100
gltA	21271	12704	10494	13211
sdhA	16627	8013	6657	9406
sdhB	9374	4450	3629	4830
sucA	24015	12875	12401	18181
sucB	13309	7508	7042	11045
sucC	25450	14183	10310	15054
sucD	17357	10584	8095	12225
mngR	335	189	305	393
mngA	19	16	16	21
cydA	5124	2736	3558	6420
cydB	3894	1954	2452	3882
tolQ	1204	657	1447	2111
tolA	2391	1163	2473	3469
tolB	9226	5218	9312	13620
ybgF	5282	3027	5962	8379
nadA	3915	2060	3538	4871
pnuC	1618	877	1392	2080
zitB	442	224	338	509
aroG	4278	3105	10537	13290
gpmA	14990	7768	15188	22630
galM	2484	1400	1971	3051
galK	2681	1364	1411	1996
galT	689	341	363	468
galE	842	489	571	750
modF	1680	948	1660	2219
modE	461	266	468	579
modA	2339	1249	1200	1577
modB	1220	629	504	710
modC	1739	984	834	1182
ybhA	514	272	511	675
pgl	993	564	741	1052
ybhD	49	29	32	51
ybhH	9	5	3	6
ybhI	2162	1139	999	1006
ybhJ	114	64	101	119
ybhC	2222	1294	2811	4127
bioB	1978	1143	1683	2312
bioC	369	220	390	608
bioD	456	293	457	679
uvrB	1472	859	1044	1609
ybhK	837	428	491	726
moaA	1579	940	1405	1933
ybhL	931	617	627	838
ybhN	67	51	36	56
ybhO	177	127	90	117
ybhP	212	124	95	145
ybhR	141	76	63	68
ybhS	107	56	73	93
ybhF	327	174	264	358
ybhG	374	227	252	326
ybiH	122	87	109	146
rhlE	76	41	262	376
dinG	320	168	235	362
ybiB	807	450	716	906
ybiC	4713	2780	5256	7057
ybiX	152	89	113	154
fiu	530	267	931	1118
ybiN	256	163	328	473
ybiO	178	98	83	156
glnQ	2851	1449	1059	1808
glnP	2759	1413	960	1467
glnH	12055	6062	3935	4937
rhtA	101	47	78	104
ybiR	419	242	340	455
ybiS	1550	1080	2072	2669
ybiT	2564	1465	2545	3528
ybiU	160	104	289	427
ybiV	374	278	674	774
ybiW	120	50	82	102
ybiY	30	11	20	25
fsaA	102	71	106	143
moeB	363	194	412	585
moeA	638	358	590	929
iaaA	4241	1795	2493	3671
yliA	2773	1264	2086	2977
yliB	2185	1194	1645	2399
yliC	691	347	496	732
yliD	424	227	403	534
yliE	285	195	936	1286
yliF	132	68	365	480
yliG	513	362	729	964
yliI	182	109	85	122
yliJ	2221	1341	1756	2456
dacC	2852	1479	1664	2521
deoR	613	343	575	788
cmr	217	142	266	340
ybjI	426	255	481	670
ybjJ	172	117	191	283
ybjL	526	343	568	840
nfsA	702	413	758	1041
rimK	466	245	466	735
potF	2075	1129	1400	2120
potG	442	295	520	811
potH	291	160	238	384
potI	212	115	146	289
rumB	201	97	324	438
artJ	3721	1719	5870	7446
artM	794	391	665	1006
artQ	720	380	471	758
artI	2376	1191	1426	2203
artP	1116	623	920	1154
ybjR	541	310	326	547
ybjS	351	176	257	329
ybjT	672	387	521	750
ltaE	1037	583	821	1259
poxB	1053	698	637	835
hcr	31	17	19	29
hcp	27	15	28	46
ybjE	63	54	83	94
aqpZ	126	72	66	86
ybjD	878	514	787	1130
ybjX	2699	1845	2801	3614
macA	726	352	488	674
macB	684	358	419	685
clpA	20687	11466	14584	21891
aat	131	97	127	143
cydC	748	497	766	1131
cydD	843	483	928	1244
trxB	4292	2465	5607	8278
lolA	1244	719	1260	1590
ycaJ	509	297	511	675
serS	3131	1931	3187	4917
dmsA	124	83	135	252
dmsB	36	29	33	64
dmsC	89	49	60	103
ycaC	643	390	216	254
ycaD	196	117	343	488
ycaM	109	68	38	45
ycaN	93	77	91	148
pflA	414	279	429	547
pflB	33555	18230	22310	33451
focA	2237	1198	1642	2326
ycaO	1000	605	1635	2061
ycaP	330	163	206	225
serC	8182	5409	15605	22902
aroA	4634	3018	9402	12319
ycaL	101	58	79	103
cmk	6778	3891	7922	9224
rpsA	90025	49709	93139	132026
msbA	2318	1456	2258	3114
lpxK	380	203	324	526
kdsB	1169	689	1508	2305
ycbJ	347	152	175	252
smtA	1321	596	1001	1344
mukF	1997	1070	1507	2123
mukE	1197	680	1027	1255
mukB	6580	3510	5609	8273
ycbB	1010	561	791	1209
ycbL	3081	1539	1920	2862
aspC	6967	4420	6162	8045
ompF	605520	266441	241435	312515
asnS	6959	4146	7553	11296
pncB	2221	1534	2300	3230
pepN	4896	2577	3094	4004
ssuC	21	7	14	19
ssuA	25	20	12	23
ycbR	20	7	17	17
ycbT	106	42	74	114
ycbF	98	57	73	107
pyrD	532	371	957	1291
ycbX	828	493	619	808
ycbY	1578	840	1448	2158
uup	2623	1413	2378	3333
pqiA	463	262	437	658
pqiB	1004	491	944	1308
ycbZ	1994	1116	1591	2208
yccR	456	252	300	337
yccS	651	396	701	979
helD	1742	998	1459	2155
yccT	50	25	25	24
yccW	643	413	884	1216
yccA	4502	3052	4108	5564
hyaA	19	12	15	17
hyaB	26	18	22	31
hyaC	20	7	15	30
hyaF	28	12	28	28
appC	121	69	82	131
appB	63	41	53	73
appA	128	72	77	114
yccC	417	222	326	495
yccZ	81	42	77	115
ymcA	86	43	69	100
ymcB	14	4	12	15
ymcC	25	14	17	29
yccM	49	22	33	62
torR	234	99	155	243
torC	52	25	28	39
torA	146	85	80	120
cbpA	639	405	649	994
agp	5861	2364	509	780
rutG	105	48	67	107
rutD	7	1	8	11
rutB	5	4	4	7
rutA	12	4	6	12
rutR	287	175	231	367
putP	4551	1589	1346	2074
efeO	1014	481	1308	1919
efeB	601	273	652	1002
phoH	2008	1016	1257	1597
ycdW	1690	932	1375	2071
ycdX	1606	800	1562	2041
csgG	134	106	242	363
csgD	252	142	402	546
ymdC	603	368	396	554
mdoC	236	128	201	258
mdoG	3323	1948	3011	3822
mdoH	2579	1531	2299	3343
mdtG	58	42	40	64
lpxL	171	131	152	194
yceA	1894	1097	2811	3579
solA	949	579	1128	1459
pyrC	1034	578	1297	1596
grxB	836	450	586	728
mdtH	28	22	18	32
yceH	894	508	785	1113
mviM	784	421	588	973
mviN	393	210	334	426
flgA	6301	3458	4095	5330
flgD	15466	8506	8892	11956
flgF	7402	4084	5532	7855
flgG	10538	5573	6519	8987
flgH	4009	2191	2265	3066
flgI	3944	2159	2478	3432
flgJ	2785	1553	1914	2519
flgK	28519	14721	13374	17317
flgL	23088	11937	13802	18309
rluC	1524	822	2057	2850
plsX	4118	2193	3753	5408
fabH	5352	2829	5493	7779
fabD	7825	4200	7955	11224
fabG	15874	8325	13468	18270
fabF	7441	4197	8084	13271
pabC	478	271	385	538
yceG	399	207	332	423
tmk	319	168	257	384
holB	321	175	308	452
ycfH	705	385	525	672
ptsG	40435	19849	18444	27338
fhuE	458	221	323	495
ycfM	1026	576	854	1256
ycfN	621	288	531	772
nagZ	1572	869	1513	2002
ndh	867	541	1816	2707
ycfQ	1001	555	423	563
ycfS	519	271	338	411
mfd	2562	1532	2551	3579
lolC	716	390	691	875
lolD	341	220	386	516
lolE	1561	775	1077	1478
ycfX	1098	515	731	1044
cobB	1079	526	932	1312
potD	6188	3130	5448	7821
potC	1228	655	1097	1352
potB	393	272	513	663
potA	787	549	882	1099
pepT	1873	1081	1275	1923
ycfD	1528	821	1220	1799
phoQ	1834	1015	1389	1803
phoP	2066	1269	1757	2369
purB	873	603	1267	1599
hflD	345	171	302	376
trmU	1369	788	1180	1555
ymfC	127	92	151	198
icd	98903	53722	69772	99814
ycgE	1160	587	845	1083
ycgF	494	280	306	295
ycgG	45	26	30	45
minD	4920	2645	4003	5884
minC	1766	880	1551	2023
ycgM	889	515	809	1317
umuC	129	71	104	130
nhaB	387	234	281	385
fadR	1019	482	731	980
ycgB	977	605	404	506
dadA	1918	792	380	652
dadX	1165	495	257	405
cvrA	1018	562	928	1192
emtA	1060	587	873	1319
ycgR	6145	3542	3366	3842
treA	429	242	99	104
dhaH	855	481	1040	1551
dhaL	547	293	591	817
dhaK	1036	519	888	1161
dhaR	415	263	361	526
ychF	3343	2041	4559	6428
ychM	259	141	141	232
prsA	3539	2182	2953	3700
ispE	1284	747	972	1331
lolB	819	513	726	960
hemA	967	575	973	1317
prfA	796	502	999	1271
prmC	250	121	274	343
ychA	1412	746	1348	1922
kdsA	3647	2089	3567	5170
chaA	963	657	1202	1586
chaC	533	276	363	536
ychP	243	147	322	437
narL	372	256	355	533
narX	382	266	353	533
narK	42	13	17	37
narG	199	84	124	187
narH	113	60	63	142
narJ	38	18	20	47
narI	49	27	18	54
purU	2249	1267	4670	6088
rssA	1407	697	783	1000
rssB	729	444	534	688
galU	2985	1854	3680	5678
tdk	733	416	956	1173
adhE	9195	5921	8731	11950
ychE	175	92	138	159
oppA	90292	47486	42043	58259
oppB	10993	5665	5576	7788
oppC	10226	5207	5705	7731
oppD	9702	4971	5577	8451
oppF	9521	4529	5545	8179
cls	1791	926	1383	1989
kch	294	183	362	554
tonB	1150	581	1124	1552
yciC	713	418	626	869
ompW	1282	592	443	825
trpA	1615	952	2004	2985
trpB	3109	1956	3725	5483
trpD	1377	816	1909	2682
trpE	428	273	833	1084
yciV	804	485	842	1046
yciO	704	406	672	868
rluB	1107	666	1425	2196
yciK	862	482	558	724
sohB	2552	1488	2838	4037
topA	9104	5220	8171	11701
cysB	1311	773	1449	1925
acnA	7717	4352	3051	4144
pgpB	521	274	389	544
yciM	1480	752	1076	1510
pyrF	1143	697	1558	2431
deoT	527	307	372	402
gmr	765	403	486	588
rnb	4516	2603	6609	9053
fabI	8263	4883	9584	14235
sapF	175	96	148	182
sapD	329	208	313	389
sapC	138	86	129	173
sapB	178	120	147	208
sapA	378	250	289	412
puuP	325	205	99	142
puuA	1758	1033	683	924
puuD	1449	799	477	662
puuB	174	146	55	99
puuE	182	161	82	106
pspF	268	159	200	261
pspA	1829	849	1447	1929
ycjM	66	27	20	25
ycjN	17	11	10	11
ycjO	16	12	6	7
ycjP	15	13	12	9
ycjQ	27	16	15	35
ycjR	36	20	16	30
ycjS	49	24	49	58
ycjU	9	5	1	9
ompG	14	9	5	6
ycjW	141	78	178	205
ycjX	342	196	462	753
ycjF	414	263	397	574
tyrR	1806	1000	1341	2122
ycjG	1036	431	381	471
mpaA	353	218	195	241
ycjZ	253	182	280	389
mppA	1940	891	798	1135
ynaI	438	274	403	499
uspE	5041	2616	3015	4183
fnr	3771	2501	3109	4444
abgT	57	25	46	65
abgB	86	50	50	59
abgA	83	46	34	57
abgR	398	156	96	153
ydaM	485	282	229	328
ydaN	717	393	487	752
dbpA	238	128	200	287
ydaO	1131	601	1397	2058
ompN	1479	861	1567	2481
ldhA	947	637	836	1276
feaR	2227	784	166	221
feaB	527	247	206	290
maoC	40	15	20	32
paaA	79	25	12	23
paaC	45	17	15	24
paaJ	51	25	17	36
paaF	20	16	9	33
paaG	44	25	19	20
paaH	92	30	39	56
paaE	1244	484	147	185
paaK	1293	493	122	170
paaX	750	329	398	554
ydbC	509	186	108	173
azoR	304	214	366	514
hrpA	1783	1007	2234	3219
ydcF	598	420	482	579
aldA	103247	37143	5976	7454
trg	13881	5214	1403	1839
ydcI	4433	2014	893	1038
ydcJ	507	213	75	114
mdoD	2476	1179	1625	2291
ydcK	267	160	176	230
tehA	351	185	224	306
ydcL	2133	1218	1092	1470
ydcO	111	58	40	70
ydcP	1359	779	1347	2079
ydcR	557	354	439	623
ydcS	1152	331	56	96
ydcT	285	96	25	24
ydcU	127	61	23	42
ydcV	534	228	66	105
ydcW	2020	1029	291	477
yncB	805	404	351	517
yncC	221	122	111	160
yncD	460	263	519	665
yncE	5903	3116	6407	8709
ansP	164	108	248	340
yncG	94	49	50	76
nhoA	236	156	178	255
narV	54	30	31	37
narW	45	32	31	21
narY	119	63	41	65
narZ	184	111	73	131
narU	55	33	22	21
yddG	137	84	160	266
fdnG	234	144	124	173
fdnH	78	45	31	47
fdnI	46	34	40	63
adhP	1209	589	382	560
sfcA	4661	2505	3401	4678
ddpD	95	33	24	40
ddpC	93	34	25	26
ddpB	52	26	7	15
ddpA	222	82	32	40
dos	345	210	179	217
yddV	499	302	270	346
yddW	298	182	257	348
gadC	345	151	263	399
gadB	400	225	375	618
ydeM	72	29	13	20
ydeN	772	417	78	96
ydeO	14	9	21	27
ydeP	184	124	139	219
ydeQ	28	16	16	28
lsrK	387	156	83	168
lsrR	707	283	229	314
lsrC	91	33	6	28
lsrD	100	40	28	18
lsrB	363	143	57	57
lsrF	410	168	81	125
tam	317	160	136	165
yneE	153	106	139	208
uxaB	302	162	88	104
yneF	89	55	96	116
yneH	394	207	420	602
yneI	597	385	587	774
ydeA	125	91	256	340
marC	272	146	208	266
eamA	1172	641	869	1172
ydeE	185	143	150	194
ydeH	441	209	253	403
dcp	4052	2182	3664	4978
ydfG	3155	1694	2413	3728
ydfH	533	372	568	786
ydfT	174	95	159	193
ydfU	16	11	10	22
rspB	163	68	84	109
rspA	241	89	65	76
ynfC	681	393	445	613
ynfF	162	117	184	267
ynfG	26	28	37	32
ynfH	206	120	196	301
dmsD	275	150	343	470
clcB	50	28	31	67
ynfK	358	180	209	315
dgsA	3043	1437	828	1116
ynfL	115	51	77	107
ynfM	181	112	154	169
ydgD	541	325	315	511
ydgG	166	106	179	273
pntB	15124	8779	25474	38427
pntA	23843	13809	42379	61030
ydgH	4361	2391	3530	4700
ydgI	138	75	100	139
folM	297	166	238	309
rstA	1113	640	892	1075
rstB	1208	652	845	1136
tus	436	219	197	260
fumC	6108	2823	1974	2515
fumA	14053	5978	2396	3340
manA	1367	809	1211	1759
ydgA	4873	2829	4754	6473
uidC	62	38	11	19
uidB	81	31	10	11
uidA	384	163	50	63
hdhA	1865	1074	1289	1955
malI	175	89	80	158
malX	366	213	176	258
malY	467	239	382	505
add	425	240	193	310
ydgJ	2129	1137	1478	2029
rsxD	299	168	230	331
rsxG	228	130	161	252
rsxE	120	70	105	149
nth	141	69	118	140
ydgR	266	173	200	319
gst	1052	629	704	908
pdxY	624	336	669	1075
tyrS	4895	2689	5469	8055
pdxH	951	522	1149	1566
anmK	738	388	472	704
ydhJ	81	44	73	114
ydhF	995	429	494	714
nemA	303	208	306	412
rnt	176	118	134	180
ydhO	427	223	297	312
ydhP	139	97	271	370
purR	2500	1455	2504	3496
ydhB	212	131	157	220
ydhC	101	60	101	131
cfa	1982	1297	1610	2166
ribC	1832	1112	2229	3092
mdtK	560	352	404	592
ydhQ	1893	1171	1548	2222
ydhS	456	238	207	288
ydhT	74	39	57	55
ydhU	99	45	58	89
ydhX	80	30	48	70
ydhV	95	36	35	48
ydhY	15	5	7	10
pykF	5394	3532	8919	12056
ynhG	1046	674	786	1046
sufS	620	294	511	630
sufC	459	220	304	423
sufB	1395	664	930	1190
ydiK	528	292	411	596
ydiM	22	15	11	14
ydiN	11	3	9	10
ydiB	91	59	84	110
aroD	432	256	430	641
ydiF	36	21	27	28
ydiO	44	23	27	42
ydiP	117	80	101	126
ydiQ	21	22	17	20
ydiR	47	36	27	38
ydiS	43	21	40	44
ydiD	130	78	78	103
pps	14266	7191	6263	9489
ydiA	311	194	241	276
aroH	427	302	689	899
ydiV	118	78	183	244
btuD	552	318	405	561
btuC	325	148	224	359
pheT	12650	6979	12702	18312
pheS	3892	2114	5056	6757
thrS	32243	17185	25147	32844
ydiY	170	95	330	354
pfkB	94	49	107	112
yniA	1370	603	418	640
yniC	163	105	174	217
ydjN	4100	2556	8661	13446
katE	1954	1113	561	727
chbF	284	158	191	265
chbR	211	135	168	208
chbC	187	92	69	90
nadE	2581	1443	3006	4255
ydjQ	289	130	158	216
astE	101	39	22	33
astB	158	57	22	47
astA	225	88	33	43
astC	470	145	51	82
xthA	1003	518	977	1422
ydjX	124	52	86	112
ydjZ	98	52	54	98
ynjE	546	271	290	446
ynjF	110	49	57	96
gdhA	15576	9742	23864	36228
topB	1722	861	1488	2269
selD	2977	1475	2405	3602
sppA	1367	817	1482	2160
ansA	390	251	425	515
pncA	461	293	433	583
ydjE	68	38	41	43
ydjF	733	338	364	544
ydjG	156	107	85	131
ydjH	115	55	39	85
ydjI	149	70	52	63
ydjJ	114	42	45	49
ydjK	88	40	17	34
ydjL	116	58	48	56
gapA	43365	29905	72681	99485
yeaD	719	547	1135	1379
yeaE	507	280	351	495
mipA	2521	1720	3217	4223
yeaG	2946	1579	1109	1539
yeaH	618	339	251	298
yeaI	28	19	24	25
yeaJ	250	148	233	280
yeaM	145	111	159	190
yeaN	84	57	71	105
yeaP	1200	666	1337	1574
yeaS	115	44	52	72
yeaT	767	300	204	298
yeaU	160	73	97	149
yeaV	50	22	14	24
yeaW	53	39	23	28
yeaX	151	56	65	97
rnd	594	340	473	595
fadD	3506	1285	486	693
yeaZ	650	348	811	1077
yoaA	606	328	503	683
sdaA	367	224	265	373
adrB	161	88	103	151
yoaE	703	414	441	679
manX	35394	17045	7484	10399
manY	21810	11038	5202	7860
rrmA	354	190	456	555
kdgR	3164	1533	2102	2993
yebQ	53	36	28	33
htpX	5094	2988	3495	5526
prc	7374	4053	6818	10036
yebS	283	174	236	295
yebT	731	431	620	906
yebU	224	119	245	332
pphA	120	71	75	118
yebZ	483	322	1208	1558
yobB	198	98	127	197
exoX	382	188	215	312
ptrB	584	352	420	627
yebE	541	260	254	340
purT	1334	753	1725	2664
eda	1172	662	1312	2152
edd	1074	558	1358	1685
zwf	5368	2939	7329	9929
yebK	1778	860	635	809
pykA	6043	3028	2993	4126
lpxM	639	387	733	980
yebA	4610	2530	4992	6944
znuA	17829	10124	27900	39283
znuC	697	467	830	1048
znuB	578	324	621	866
ruvB	637	402	538	842
ruvA	695	391	419	609
yebB	33	20	13	25
yebC	3881	2116	3772	5296
aspS	4989	2813	4577	6751
yecE	239	188	160	225
yecO	329	205	441	590
yecP	288	199	552	784
torY	56	21	44	43
cutC	554	319	404	692
argS	2662	1513	3319	4773
flhA	2515	1405	1499	2235
flhB	1734	905	909	1329
cheZ	8795	4788	4530	7035
cheB	7382	3799	4259	5290
cheR	4673	2559	2204	3132
tap	25532	12883	10187	14033
tar	40772	20329	16618	22064
cheA	27799	14853	14148	20066
motB	7119	4137	3502	4511
motA	11594	6060	4248	5905
otsA	1900	1080	828	1090
otsB	1100	598	366	554
araH	332	177	152	169
araG	493	236	115	194
araF	975	409	84	87
tyrP	346	230	328	459
yecA	1731	1001	1441	1890
uvrC	1623	934	1678	2427
uvrY	1906	1065	1943	2591
sdiA	419	213	346	478
yecC	915	486	577	854
yecS	588	311	381	573
yedO	1853	966	1151	1627
fliY	22490	10645	14583	20634
fliA	21829	11173	9821	12939
fliD	10334	5771	5223	5758
amyA	3391	1860	1538	1992
yedE	3418	1522	691	905
fliF	5819	3105	3687	4903
fliG	4437	2411	2742	3950
fliH	2338	1310	1459	2275
fliI	1939	1021	1177	1644
fliM	2708	1531	2189	2928
fliP	437	256	348	506
fliR	251	126	215	264
rcsA	369	211	531	713
yedP	418	230	194	240
yedQ	407	261	291	370
yedI	694	401	541	737
yedA	39	24	36	40
dcm	1016	534	913	1324
yedJ	323	188	354	509
hchA	401	258	309	350
yedW	442	243	411	583
yedZ	93	50	78	84
yodA	10333	6120	25725	34581
yeeI	4478	1983	697	913
shiA	1113	613	1054	1539
amn	824	530	803	876
yeeN	2534	1461	3693	4980
yeeO	172	89	110	147
cbl	964	465	804	1080
nac	75	47	108	121
erfK	603	367	418	552
cobS	576	335	513	692
yeeA	433	287	260	391
dacD	300	151	287	360
yeeE	8326	3474	3830	5203
yeeF	2728	1708	5410	8007
yeeY	213	122	128	241
yeeZ	1091	625	931	1338
hisG	968	604	1559	1987
hisD	621	381	1119	1466
hisC	647	394	861	1262
hisB	1244	727	1741	2315
hisA	1077	605	1259	1907
hisF	787	422	1097	1593
ugd	246	117	323	409
gnd	12552	7394	30300	44212
galF	2841	1608	8064	11472
wcaL	26	15	17	45
wcaK	30	14	34	31
wzxC	19	12	24	31
wcaJ	21	10	26	27
cpsG	26	14	35	67
cpsB	46	21	58	64
fcl	23	11	70	58
gmd	38	29	87	126
wcaE	8	7	18	22
wcaD	19	19	37	42
wcaC	46	22	31	67
wcaA	13	10	16	26
wzc	34	16	47	64
wza	7	5	30	20
yegH	463	256	500	706
asmA	2201	1082	1413	1963
udk	399	254	434	539
yegL	26	7	24	34
mdtA	74	58	85	100
mdtB	197	110	144	211
mdtC	200	100	144	216
baeS	105	68	61	124
baeR	205	158	183	225
yegQ	526	347	659	830
yegS	298	181	154	189
