	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2	IAI1_K12ref_batch1	IAI1_K12ref_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
mraW	1384	945	1224	1032	1073	916	1521	2319	1736	921	71	99	1538	2350	1753	934	72	100	1365	932	1215	1023	1064	908
ftsI	1107	803	1102	858	620	515	1458	2017	1676	905	42	59	1499	2070	1720	930	42	60	1079	790	1081	844	609	505
murE	1888	1208	1364	1164	533	329	1634	2655	1778	1001	40	39	1677	2747	1855	1032	41	39	1814	1158	1316	1109	509	311
murF	1392	953	1043	823	333	256	1500	2169	1492	785	27	23	1504	2176	1498	788	27	23	1382	949	1035	819	332	256
mraY	1063	734	948	818	447	289	861	1272	852	462	32	22	893	1317	895	483	32	22	1029	710	922	793	428	281
murD	1637	1142	1451	1295	540	380	1049	1629	1260	652	14	23	1555	2427	1820	971	24	38	1138	759	991	893	378	263
ftsW	1354	1051	1367	1084	460	334	1338	1946	1498	776	25	34	1385	2004	1527	805	25	34	1327	1031	1337	1063	450	327
murG	1078	726	957	890	310	217	1115	1567	1291	663	24	18	1141	1610	1333	687	24	20	1021	698	919	864	294	206
murC	1757	1199	1494	1327	374	276	1620	2362	1772	909	25	29	1692	2468	1865	946	25	30	1683	1137	1432	1264	357	263
ddlB	1198	863	1459	1257	727	505	1594	2287	1999	1048	110	123	1666	2380	2058	1084	111	124	1170	837	1425	1226	714	495
ftsQ	1193	905	1356	1156	768	507	1709	2340	2129	1101	172	162	1752	2438	2203	1144	175	166	1166	883	1324	1118	741	494
ftsA	2939	2166	3017	2681	1343	952	4693	6407	5612	2861	187	223	4768	6535	5713	2915	193	229	2869	2121	2947	2606	1307	930
ftsZ	6742	4875	6873	6163	2924	2249	10342	15339	13743	7141	380	406	10342	15339	13743	7141	380	406	6742	4875	6873	6163	2924	2249
lpxC	7305	5220	9956	8076	20011	17616	11024	16851	15278	8214	4486	5390	11045	16883	15302	8233	4494	5402	7299	5209	9944	8062	19995	17602
secA	5050	3546	5438	5031	3531	2597	6647	9318	6515	3610	199	215	6836	9599	6711	3733	201	219	4925	3442	5277	4891	3434	2533
yacF	334	249	298	255	228	147	604	853	507	350	28	21	561	798	476	324	25	21	311	233	278	238	215	137
coaE	371	222	353	359	316	213	488	624	473	267	32	39	490	629	474	269	32	39	369	222	353	356	314	212
guaC	1930	1171	908	844	176	163	1684	2230	1243	891	13	17	1748	2307	1298	924	15	19	1834	1122	880	812	169	154
hofC	43	39	50	40	10	16	63	95	101	52	5	5	67	101	106	58	5	5	39	36	49	38	9	15
hofB	35	31	58	50	29	26	89	81	97	59	3	3	89	81	98	59	3	3	34	31	58	50	29	26
nadC	190	122	156	164	98	93	357	426	316	236	11	14	357	426	316	236	11	14	190	122	156	164	98	93
ampE	294	216	583	495	294	196	334	544	470	270	53	37	334	544	470	270	53	37	294	216	583	495	294	196
aroP	5176	3644	5059	4688	854	668	6075	8716	6536	3775	151	146	6091	8732	6551	3777	151	146	5169	3630	5050	4680	854	667
pdhR	666	472	522	434	431	362	601	887	687	372	31	32	640	970	712	390	35	34	722	505	564	446	454	400
aceE	24203	17878	19329	17814	6025	4554	25260	37653	28498	14729	430	494	26955	40157	30260	15805	452	517	24921	18278	19838	18290	6144	4678
aceF	13275	9644	10550	9699	5038	3665	13236	21612	15785	8339	339	419	13847	22670	16526	8721	357	434	12699	9192	10083	9245	4843	3515
lpd	21510	15182	40564	37410	18556	14522	24100	34286	40622	22191	603	696	24384	34750	41154	22474	613	703	21236	14960	40008	36938	18370	14370
acnB	13397	7948	51359	46513	20053	17003	12049	17121	31498	17992	554	722	12501	17826	32808	18695	576	752	12930	7631	49369	44640	19096	16125
speD	2722	1998	918	985	241	199	3430	4384	2429	1546	49	61	3438	4389	2432	1549	49	61	2715	1990	917	980	241	199
speE	3324	2378	1317	1319	419	325	3764	4937	3044	1801	32	38	3764	4937	3044	1801	32	38	3324	2378	1317	1319	419	325
cueO	395	308	350	299	117	69	498	800	503	291	18	19	568	899	553	319	21	20	371	279	339	276	116	66
gcd	483	286	140	102	96	75	925	1254	653	513	108	105	982	1327	710	551	114	108	446	269	129	96	88	70
can	3720	2504	2397	2106	633	515	7850	10466	6390	3880	42	41	7860	10483	6403	3882	42	42	3710	2501	2392	2103	632	512
yadG	403	306	460	427	137	102	775	1088	1007	559	26	29	854	1201	1102	623	27	33	369	280	418	396	123	94
yadH	294	223	326	320	306	253	450	708	614	349	35	32	483	761	652	375	36	36	273	208	313	297	290	231
yadD	202	184	529	404	175	188	368	482	632	316	9	17	396	529	690	348	12	18	185	169	488	378	166	176
panC	1640	1135	1359	1278	584	551	2395	3785	2659	1531	44	56	2649	4100	2904	1665	46	59	1475	1018	1231	1142	525	499
yadL	21	20	46	48	59	54	10	24	25	17	0	3	19	40	49	30	4	4	11	12	27	24	26	31
ecpD	3	9	3	6	6	3	7	9	8	4	0	0	9	9	9	6	0	0	2	9	3	5	6	2
pcnB	2068	1417	1401	1277	108	104	1829	2508	1796	1124	16	20	1859	2560	1829	1148	16	20	2012	1366	1361	1249	105	101
yadB	221	162	273	216	57	48	234	321	431	274	13	7	236	323	436	277	13	7	221	162	275	217	57	48
sfsA	569	397	1647	1403	5147	4692	1660	2021	3096	1506	1564	1589	1660	2021	3096	1506	1564	1589	569	397	1647	1402	5147	4692
mrcB	1524	1019	1877	1679	459	361	1408	2102	1752	891	34	48	1539	2297	1926	972	36	52	1348	916	1684	1522	411	327
fhuA	8264	5069	7427	6129	5334	4166	5448	8223	5835	2918	283	335	5491	8279	5884	2938	286	339	8204	5040	7371	6090	5264	4116
fhuC	770	465	609	470	160	114	400	687	398	217	16	16	420	725	417	231	16	17	740	443	579	450	148	111
fhuD	423	291	268	176	24	19	248	438	256	127	0	2	282	507	283	148	1	2	372	263	240	164	23	15
hemL	3072	2222	1906	1718	706	583	1817	2809	1988	1252	193	244	2194	3327	2374	1479	223	296	2713	1972	1682	1493	614	510
clcA	506	353	651	567	345	244	804	1045	926	486	122	138	821	1082	954	494	128	141	494	343	631	549	338	239
yadS	165	140	191	187	54	66	175	266	254	112	6	7	183	282	262	119	6	7	154	134	184	174	52	64
btuF	228	177	227	179	31	20	212	320	238	138	2	3	213	322	239	138	2	3	226	177	225	179	31	20
pfs	1218	859	1091	1009	1527	1175	1858	2568	1807	1049	121	104	1858	2568	1807	1049	121	104	1218	859	1091	1009	1527	1175
dgt	476	298	639	572	237	195	898	1250	1046	630	11	21	899	1253	1050	631	11	21	476	297	639	571	236	195
degP	2492	2133	5958	5536	1649	1232	3616	5883	5285	2992	202	205	3942	6474	5758	3284	228	214	2259	1923	5407	4984	1495	1093
cdaR	211	122	591	493	820	730	142	221	822	348	39	56	156	232	877	379	42	57	194	109	566	475	782	696
dapD	11706	7523	4065	4168	1063	829	12589	18876	7961	4364	90	105	13366	19986	8433	4652	96	108	11160	7130	3863	3969	1006	786
glnD	571	342	484	429	286	250	851	1108	858	539	29	23	922	1215	942	570	30	25	502	313	432	392	265	234
map	1552	1034	1286	1091	1095	882	3842	5040	2896	1893	120	125	4040	5359	2989	1936	125	126	1429	936	1170	1001	1011	812
rpsB	32406	24349	20815	19475	1747	1617	35160	51786	36676	19303	438	576	35188	51824	36719	19323	438	577	32373	24329	20795	19461	1747	1616
tsf	20441	15345	12513	12785	828	706	22824	34954	21758	11708	166	218	22872	35019	21794	11724	166	218	20424	15332	12504	12771	828	706
pyrH	2583	2044	1701	1753	322	264	4097	5841	3752	1968	58	75	4249	6133	3921	2072	58	77	2499	1977	1654	1697	303	253
dxr	675	451	619	514	284	236	732	980	775	390	40	63	736	981	776	391	40	63	673	451	619	514	284	236
ispU	2338	1714	2978	2516	383	296	3155	4146	4412	2199	44	45	3156	4146	4412	2201	44	45	2337	1712	2978	2516	383	295
cdsA	1124	759	1216	1005	269	216	1171	1668	1429	853	69	73	1343	1995	1712	992	83	86	1359	959	1529	1242	326	249
yaeL	3532	2657	4575	4034	881	616	5180	6835	6936	3499	141	150	5186	6847	6949	3504	142	150	3527	2652	4570	4033	879	613
yaeT	10457	7571	13083	12086	1754	1354	14187	19860	18813	9871	202	253	14267	19987	18922	9932	202	253	10431	7538	13029	12043	1752	1352
lpxD	4944	3536	4387	4059	1128	765	7131	10439	7168	4247	144	177	7145	10452	7188	4251	144	177	4944	3533	4386	4057	1128	764
lpxA	3099	2327	2564	2419	626	501	2998	4840	3355	1931	102	121	2998	4840	3355	1931	102	121	3099	2327	2564	2419	626	501
lpxB	1306	909	1377	1148	163	104	1348	2032	1697	919	12	27	1385	2085	1747	946	12	27	1278	885	1337	1124	161	103
dnaE	2631	1795	2143	1935	303	247	3074	4185	3127	1783	61	45	3167	4313	3223	1855	62	47	2568	1754	2084	1904	298	239
accA	3811	2583	3429	3271	673	537	3017	4542	3174	1722	63	73	3240	4865	3406	1851	69	76	3585	2437	3246	3106	628	508
ldcC	190	115	209	171	191	135	382	569	605	410	120	129	399	587	637	423	124	136	179	115	198	166	177	126
nlpE	249	156	320	317	164	106	298	394	451	222	43	41	391	515	592	275	46	42	213	136	277	276	139	89
proS	4696	3265	3524	3307	487	403	6598	10064	5958	3542	144	145	6693	10197	6045	3606	145	146	4683	3264	3521	3296	487	400
yaeB	105	73	59	54	20	18	107	141	97	71	9	13	107	141	98	72	9	13	105	73	59	53	20	18
metQ	9968	7020	11363	10305	1978	1296	7857	11688	10197	5341	75	59	9594	13983	12369	6376	85	69	8672	6158	9945	9005	1705	1087
metI	2125	1584	2168	1948	716	383	2006	2951	2267	1182	28	26	2289	3293	2535	1342	29	27	2029	1490	2088	1878	672	365
metN	2781	2152	2330	2032	801	494	2262	3605	2311	1314	14	25	2318	3706	2377	1359	14	26	2717	2120	2288	1995	789	483
dkgB	168	161	337	264	154	129	418	554	586	304	9	13	418	554	586	304	9	13	168	161	337	264	154	129
yafC	217	156	294	274	309	219	340	496	432	263	46	38	340	498	433	264	47	40	217	156	294	274	309	219
yafD	612	471	852	757	1021	812	797	1152	1140	595	238	198	799	1166	1154	599	239	197	593	456	824	731	1006	799
mltD	8918	6809	11777	10698	647	489	11560	15731	16779	9376	111	146	11825	16086	17179	9601	115	148	8646	6591	11423	10396	627	472
