	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2	IAI1_K12ref_batch1	IAI1_K12ref_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
ycbJ	80	66	259	265	311	234	175	252	347	152	104	135	175	252	347	152	104	135	80	66	259	265	311	234
smtA	549	426	775	641	247	168	942	1254	1321	596	11	13	1001	1344	1419	641	12	15	531	410	739	599	234	161
mukF	1113	789	1457	1356	281	208	1549	2181	1997	1070	17	20	1507	2123	1948	1043	16	18	1081	761	1406	1317	277	200
mukE	664	531	894	742	166	106	998	1215	1197	680	7	10	1027	1255	1228	703	7	10	645	527	876	724	163	105
mukB	4496	3148	5726	5319	737	572	5220	7749	6580	3510	55	58	5609	8273	7031	3760	55	62	4217	2977	5403	5000	692	533
ycbB	559	360	513	432	876	650	787	1204	1010	561	2484	2524	791	1209	1014	565	2488	2530	558	360	513	432	873	648
ycbL	1247	895	2414	1974	1197	871	1918	2853	3081	1539	48	41	1920	2862	3089	1542	48	41	1243	890	2405	1970	1197	869
aspC	6452	3976	7375	6954	1928	1612	6074	7927	6967	4420	83	96	6162	8045	7070	4479	83	97	6337	3907	7275	6849	1900	1596
ompF	25326	18016	85427	73426	16544	12561	241382	312413	605520	266441	1730	1878	241435	312515	605735	266540	1732	1878	25321	18006	85382	73409	16540	12556
asnS	4933	3386	3005	2842	1349	1197	7257	10880	6959	4146	164	213	7553	11296	7270	4297	169	219	4808	3285	2912	2756	1313	1160
pncB	1338	812	952	889	156	132	2225	3109	2221	1534	43	29	2300	3230	2315	1591	47	31	1289	788	919	860	151	125
pepN	2360	1523	7058	6535	4762	3546	2753	3549	4896	2577	321	339	3094	4004	5590	2962	375	375	2060	1333	6121	5694	4191	3147
ssuC	13	8	14	13	11	7	14	18	21	7	1	0	14	19	21	8	1	0	13	8	13	12	11	7
ssuA	15	16	24	28	9	11	12	21	25	20	3	0	12	23	30	21	3	0	12	16	23	25	9	11
ycbR	19	8	20	16	15	14	17	17	20	7	2	8	17	17	21	7	2	8	19	8	20	16	15	14
ycbT	64	36	85	52	36	28	60	94	106	42	4	10	74	114	126	53	5	12	55	28	72	42	29	20
ycbF	30	24	44	36	22	12	72	100	98	57	4	2	73	107	100	59	4	2	28	22	41	36	22	11
pyrD	811	523	319	287	30	20	957	1291	532	371	3	4	957	1291	532	371	3	4	811	523	319	287	30	20
ycbX	475	252	555	449	230	135	618	807	828	493	6	7	619	808	829	497	6	7	472	252	554	447	230	135
ycbY	1224	883	1081	902	136	116	1395	2091	1578	840	26	27	1448	2158	1634	862	26	28	1188	854	1043	869	129	111
uup	1396	970	1369	1161	140	133	2361	3320	2623	1413	109	113	2378	3333	2638	1419	109	113	1388	968	1365	1153	140	132
pqiA	317	229	270	216	123	80	437	657	463	262	55	64	437	658	463	262	55	64	317	229	270	216	123	80
pqiB	714	567	635	575	254	213	1003	1371	1004	491	72	90	944	1308	964	464	70	88	691	550	610	546	248	208
ycbZ	1034	748	973	812	303	252	1586	2203	1994	1116	504	552	1591	2208	1998	1119	504	552	1030	743	966	805	301	252
yccR	144	105	413	377	250	245	300	337	456	252	52	56	300	337	456	252	52	56	144	105	413	377	250	245
yccS	411	326	355	341	215	150	696	973	651	396	29	30	701	979	656	399	29	30	410	322	353	339	215	150
helD	820	608	770	694	523	367	1456	2149	1742	998	130	139	1459	2155	1745	1001	130	140	820	607	768	693	522	367
yccT	12	6	16	14	20	25	25	24	50	25	15	13	25	24	50	25	15	13	12	6	16	14	20	25
yccW	587	424	426	382	192	146	668	939	643	413	315	321	884	1216	841	529	318	326	671	492	495	466	221	168
yccA	2525	1723	3579	2945	5348	4274	3760	5116	4502	3052	445	416	4108	5564	4964	3346	458	434	2452	1661	3451	2842	5174	4146
hyaA	7	2	5	4	7	5	15	17	19	12	9	8	15	17	20	12	10	8	7	2	4	4	6	5
hyaB	9	4	10	15	7	7	22	30	26	18	8	9	22	31	26	18	8	9	9	4	10	15	6	7
hyaC	6	8	14	13	10	5	15	30	20	7	5	3	15	30	20	7	5	3	6	8	14	13	10	5
hyaF	12	8	17	11	12	9	28	28	28	12	3	0	28	28	28	12	3	0	12	8	17	11	12	9
appC	78	72	194	169	89	45	82	130	121	69	11	16	82	131	121	69	11	16	80	72	194	169	89	46
appB	33	24	41	36	25	16	52	75	63	41	3	3	53	73	63	40	2	3	30	22	40	30	23	12
appA	62	43	77	65	55	40	77	114	128	72	6	7	77	114	128	72	6	7	62	43	77	65	55	40
yccC	7462	5813	3151	2545	220	198	326	495	417	222	39	60	326	495	417	222	39	60	7458	5812	3151	2540	220	198
yccZ	3544	2552	1667	1369	31	32	77	115	81	42	6	3	77	115	81	42	6	3	3544	2552	1667	1369	31	32
ymcA	2988	2143	1520	1136	17	23	66	91	86	43	0	1	69	100	91	45	0	1	2794	1997	1431	1052	16	22
ymcB	705	472	357	297	8	7	11	15	14	4	0	0	12	15	14	4	0	0	702	467	354	296	8	7
ymcC	1470	1103	1125	691	85	78	17	29	25	14	4	3	17	29	25	14	4	3	1448	1081	1114	683	82	78
yccM	56	30	47	48	39	33	35	60	49	22	2	3	33	62	47	21	2	3	55	30	46	47	39	32
torR	102	71	165	141	103	76	147	229	234	99	5	8	155	243	250	106	6	10	95	68	157	136	96	70
torC	15	13	42	35	12	11	28	37	52	25	3	4	28	39	52	25	3	4	15	10	41	34	12	11
torA	31	30	74	78	60	45	79	113	146	85	6	13	80	120	151	88	6	14	31	28	74	75	58	41
cbpA	264	227	310	311	309	206	632	977	639	405	156	150	649	994	647	412	162	154	260	225	302	306	304	205
agp	269	212	5207	4513	4509	3380	503	759	5861	2364	3300	3320	509	780	5974	2414	3369	3394	264	204	5098	4426	4420	3310
rutG	34	14	31	37	44	38	61	88	105	48	17	9	67	107	118	54	21	10	33	14	29	32	37	31
rutD	4	4	3	5	7	3	8	11	7	1	0	1	8	11	7	1	0	1	4	4	3	5	7	3
rutB	0	2	0	0	2	2	4	7	5	4	1	1	4	7	7	5	1	1	0	2	0	0	1	0
rutA	2	4	5	7	7	4	6	12	12	4	5	0	6	12	12	4	5	0	2	4	4	7	7	4
rutR	123	87	152	123	221	169	229	357	287	175	39	35	231	367	294	176	39	37	117	84	145	120	209	161
putP	2727	1796	7141	6119	4302	3745	1249	1889	4551	1589	1197	1275	1346	2074	4979	1729	1338	1445	2496	1633	6456	5586	3967	3458
efeO	3026	1636	2481	2200	97	67	1277	1863	1014	481	2	7	1308	1919	1044	492	2	7	2960	1596	2407	2127	95	66
efeB	1599	904	1393	1175	90	65	636	978	601	273	5	10	652	1002	615	283	5	10	1547	878	1346	1144	88	63
phoH	361	243	1323	1098	8730	7438	1256	1596	2008	1016	2120	2518	1257	1597	2008	1017	2120	2519	361	243	1322	1098	8730	7435
ycdW	788	523	800	658	446	289	1375	2067	1690	932	25	27	1375	2071	1691	932	25	27	788	522	800	657	446	288
ycdX	937	667	957	890	558	358	1557	2026	1606	800	25	35	1562	2041	1613	803	25	35	936	661	953	888	555	357
csgG	47	39	105	76	95	67	209	318	134	106	4	12	242	363	159	122	7	13	38	32	87	58	86	57
csgD	25	22	45	42	97	60	389	527	252	142	16	11	402	546	260	147	16	11	25	21	44	40	96	59
ymdC	101	77	194	159	125	107	396	552	603	368	78	83	396	554	605	369	78	83	101	77	193	159	125	106
mdoC	72	54	89	61	68	42	191	245	236	128	13	9	201	258	257	134	13	12	68	51	82	57	60	37
mdoG	2007	1350	2598	2249	794	708	2834	3624	3323	1948	79	95	3011	3822	3496	2045	82	97	1913	1289	2492	2130	756	683
mdoH	1694	1138	1727	1574	502	403	2287	3327	2579	1531	74	75	2299	3343	2592	1539	74	75	1685	1133	1718	1570	501	401
mdtG	20	11	26	20	25	24	39	63	58	42	3	6	40	64	61	43	3	6	20	11	26	20	22	23
lpxL	114	71	140	105	117	97	147	192	171	131	26	29	152	194	175	133	27	31	113	71	137	102	115	97
yceA	1678	1103	972	753	61	65	2694	3444	1894	1097	14	8	2811	3579	1979	1141	15	8	1585	1027	909	712	59	58
solA	1233	739	1084	1033	451	320	1032	1337	949	579	19	18	1128	1459	1027	632	19	18	1153	706	1030	977	430	305
pyrC	648	344	444	465	49	44	1122	1350	1034	578	7	6	1297	1596	1226	678	7	11	643	362	450	472	54	50
grxB	316	171	433	465	109	104	585	727	836	450	63	75	586	728	838	450	63	75	315	171	433	464	109	104
mdtH	41	23	106	92	61	59	17	31	28	22	3	2	18	32	29	22	3	2	39	23	100	88	59	53
yceH	460	323	505	501	647	437	755	1052	894	508	181	159	785	1113	939	530	196	174	448	314	489	485	634	423
mviM	542	387	648	562	725	572	576	938	784	421	196	182	588	973	798	432	201	185	523	378	624	542	704	559
mviN	265	196	152	147	43	43	332	423	393	210	3	15	334	426	402	212	3	15	264	194	152	147	43	43
flgA	21	11	33	34	19	14	4079	5309	6301	3458	44	45	4095	5330	6326	3474	44	45	21	11	33	34	19	14
flgD	11	4	14	12	7	4	8881	11933	15466	8506	76	90	8892	11956	15489	8531	76	90	11	4	14	12	7	4
flgF	6	4	7	3	2	4	4302	6224	7402	4084	40	53	5532	7855	9522	5293	52	72	7	3	4	2	1	3
flgG	11	5	9	6	2	1	6481	8925	10538	5573	47	44	6519	8987	10614	5603	47	45	11	5	8	6	2	1
flgH	3	5	9	8	3	4	2265	3066	4009	2191	11	20	2265	3066	4009	2191	11	20	3	5	9	8	3	4
flgI	9	7	12	11	2	1	2333	3293	3944	2159	12	19	2478	3432	4120	2283	12	20	8	7	11	11	2	1
flgJ	8	4	13	8	6	2	1875	2482	2785	1553	11	11	1914	2519	2834	1579	11	12	8	4	13	8	6	2
flgK	43	33	51	65	61	44	12702	16519	28519	14721	181	213	13374	17317	29946	15519	194	219	40	30	51	61	61	44
flgL	40	30	92	71	96	89	11333	15132	23088	11937	159	157	13802	18309	27821	14532	185	182	38	25	82	66	86	77
rluC	1035	820	960	808	148	118	2057	2850	1524	822	18	28	2057	2850	1524	822	18	28	1035	820	960	808	148	118
plsX	2944	2198	2706	2278	257	186	3736	5380	4118	2193	92	97	3753	5408	4133	2202	92	97	2942	2198	2694	2270	257	185
fabH	4207	3027	3742	3417	562	453	5473	7749	5352	2829	173	167	5493	7779	5366	2836	173	168	4185	3016	3733	3399	562	453
fabD	4953	3258	4737	4609	632	425	7894	11107	7825	4200	120	161	7955	11224	7908	4227	120	162	4922	3242	4717	4581	631	423
fabG	7863	5253	8908	8562	3574	2488	13466	18259	15874	8325	765	892	13468	18270	15880	8337	765	892	7860	5249	8894	8560	3573	2487
fabF	8161	5678	6542	6277	3348	2749	7740	12700	7441	4197	280	387	8084	13271	7768	4357	286	400	7722	5349	6225	5937	3172	2591
pabC	331	254	401	262	138	102	380	535	478	271	12	9	385	538	479	271	12	9	328	254	399	262	138	102
yceG	328	245	308	240	99	64	314	394	399	207	13	11	332	423	424	223	13	12	301	223	291	221	94	55
tmk	299	188	244	223	72	53	249	375	319	168	14	9	257	384	325	169	14	9	295	183	238	222	72	52
holB	319	192	276	261	74	64	294	432	321	175	9	4	308	452	332	184	9	4	307	176	257	252	68	64
ycfH	443	300	465	353	83	88	524	671	705	385	293	263	525	672	706	386	293	263	442	299	464	349	83	88
ptsG	12883	9249	32078	28405	433	380	18429	27324	40435	19849	368	455	18444	27338	40464	19861	368	455	12878	9247	32058	28394	433	380
fhuE	325	127	312	254	194	186	315	482	458	221	9	19	323	495	463	224	9	19	318	127	307	244	190	182
ycfM	823	574	1044	966	252	178	845	1238	1026	576	37	52	854	1256	1032	586	38	52	808	560	1016	948	248	175
ycfN	411	256	379	363	141	106	527	767	621	288	24	22	531	772	625	290	24	22	409	255	379	362	141	106
nagZ	921	643	926	903	545	446	1433	1919	1572	869	127	115	1513	2002	1629	895	127	117	894	631	901	879	536	434
ndh	959	651	263	262	119	90	1791	2657	867	541	40	33	1816	2707	882	549	40	33	945	636	255	253	119	89
ycfQ	116	69	247	213	472	410	423	562	1001	555	60	59	423	563	1002	556	60	59	116	69	246	213	471	409
ycfS	155	113	255	233	136	120	335	409	519	271	18	11	338	411	522	273	18	11	154	112	251	231	136	120
mfd	1646	996	1383	1331	555	420	2404	3382	2562	1532	30	35	2551	3579	2734	1622	30	38	1565	938	1306	1249	526	405
lolC	485	268	437	356	58	35	690	874	716	390	5	7	691	875	717	390	5	7	485	268	436	355	58	35
lolD	395	232	285	213	19	22	332	455	341	220	3	6	386	516	389	256	5	7	350	208	254	191	18	17
lolE	803	597	1138	1015	458	346	1063	1457	1561	775	167	173	1077	1478	1589	787	169	177	796	591	1129	1005	451	341
ycfX	584	414	1010	875	364	256	674	957	1098	515	119	130	731	1044	1169	553	121	133	625	430	1057	924	373	266
cobB	760	526	1073	960	232	200	864	1218	1079	526	45	46	932	1312	1158	579	41	46	597	397	835	739	175	148
potD	4785	3519	4800	4627	202	149	4251	6115	6188	3130	55	61	5448	7821	7904	3979	75	69	3868	2894	3877	3698	167	125
potC	573	402	468	435	33	43	1092	1341	1228	655	13	15	1097	1352	1233	658	13	15	571	399	468	433	33	42
potB	373	243	199	182	27	22	486	631	393	272	12	6	513	663	404	283	12	7	368	235	194	177	27	21
potA	728	420	336	316	64	52	973	1201	787	549	15	17	882	1099	697	493	11	14	720	415	330	303	58	45
pepT	363	307	651	528	684	535	1195	1778	1873	1081	253	293	1275	1923	2025	1193	273	309	351	294	600	511	646	521
ycfD	1081	780	1099	915	523	452	1172	1737	1528	821	204	211	1220	1799	1589	852	212	215	1053	749	1058	892	510	443
phoQ	1704	1327	1480	1361	435	318	1382	1793	1834	1015	45	61	1389	1803	1839	1022	45	61	1699	1315	1475	1358	434	318
phoP	1371	1090	1329	1250	971	727	1633	2201	2066	1269	115	126	1757	2369	2218	1375	126	139	1304	1008	1258	1173	898	675
purB	1521	848	878	835	88	63	1180	1483	873	603	12	18	1267	1599	935	641	14	20	1428	783	815	762	85	62
hflD	274	138	176	177	61	60	297	372	345	171	8	8	302	376	350	172	8	8	274	138	175	177	61	60
trmU	1009	674	841	702	102	78	1180	1554	1369	788	14	18	1180	1555	1370	788	14	18	1009	674	841	702	102	78
ymfC	100	71	68	74	59	43	138	185	127	92	4	3	151	198	137	98	4	4	90	68	60	68	52	39
icd	39514	27458	84266	77839	38871	30130	62906	89591	98903	53722	1196	1314	69772	99814	109539	59606	1315	1435	36582	25320	77740	71596	35209	27191
ycgE	497	328	607	555	334	253	855	1084	1160	587	71	55	845	1083	1146	582	71	55	493	325	595	543	330	251
ycgF	192	119	373	332	107	89	306	295	494	280	20	18	306	295	494	280	20	18	192	119	373	332	107	89
ycgG	13	10	27	18	25	20	30	45	45	26	16	8	30	45	46	28	16	8	13	10	27	17	25	20
minD	3298	2523	5475	5239	1499	1120	4001	5877	4920	2645	89	100	4003	5884	4925	2647	89	100	3295	2523	5472	5236	1499	1120
minC	1154	745	1498	1383	699	503	1499	1968	1766	880	47	63	1551	2023	1817	903	47	63	1131	719	1468	1364	687	501
ycgM	975	677	1284	1156	537	405	747	1223	889	515	32	47	809	1317	976	560	35	47	894	617	1185	1050	495	362
umuC	68	51	82	74	95	74	103	129	129	71	16	18	104	130	131	71	16	18	67	51	82	74	95	74
nhaB	360	226	359	307	130	114	281	383	387	234	9	7	281	385	387	234	9	7	360	225	359	307	130	114
fadR	497	360	1097	842	1486	1158	725	976	1019	482	125	105	731	980	1020	485	125	106	495	359	1092	838	1484	1154
ycgB	31	29	62	44	809	682	396	496	977	605	5086	5825	404	506	999	625	5175	5946	32	28	60	43	791	669
dadA	244	163	1053	1027	2981	2130	326	603	1918	792	1526	1729	380	652	2135	869	1674	1897	219	143	967	934	2751	1938
dadX	133	93	637	506	1038	804	242	383	1165	495	408	492	257	405	1220	521	431	509	127	89	616	489	1005	776
cvrA	360	275	311	300	119	111	860	1091	1018	562	20	27	928	1192	1111	616	23	28	311	244	283	270	104	94
emtA	553	409	538	501	121	99	842	1269	1060	587	113	103	873	1319	1108	610	114	103	538	395	526	491	116	93
ycgR	92	54	80	54	22	11	3347	3823	6145	3542	26	39	3366	3842	6182	3563	26	39	92	54	79	53	22	11
treA	30	24	82	57	190	121	99	104	429	242	162	164	99	104	430	242	162	164	30	24	82	57	190	121
dhaH	1048	733	636	588	238	190	1032	1540	855	481	40	43	1040	1551	865	486	40	43	1040	728	624	579	237	188
dhaL	474	322	386	329	85	83	583	814	547	293	16	15	591	817	553	294	17	15	471	318	385	326	85	83
dhaK	871	562	692	665	192	140	885	1149	1036	519	50	35	888	1161	1051	523	51	35	857	555	679	655	190	140
dhaR	268	161	236	203	134	106	349	511	415	263	15	11	361	526	424	267	15	11	260	158	231	195	125	105
ychF	3004	2322	2367	2233	712	507	4550	6411	3343	2041	56	58	4559	6428	3352	2046	57	58	3001	2319	2365	2230	712	507
ychM	215	138	469	377	526	432	138	230	259	141	286	382	141	232	261	143	286	382	211	138	463	374	526	431
prsA	3780	2211	4219	4111	298	273	2951	3699	3539	2182	31	37	2953	3700	3540	2183	31	37	3779	2211	4218	4107	298	273
ispE	1008	568	1113	1021	131	124	968	1326	1284	747	20	17	972	1331	1287	749	20	17	1007	567	1113	1020	130	124
lolB	440	291	395	398	100	80	726	960	819	513	17	16	726	960	819	513	17	16	440	291	395	398	100	80
hemA	824	636	889	779	307	220	949	1284	967	575	20	31	973	1317	990	590	20	32	794	605	850	752	295	210
prfA	717	594	595	606	122	81	963	1210	796	502	9	11	999	1271	831	527	10	13	692	568	575	576	121	74
prmC	289	206	190	188	25	37	274	343	250	121	1	7	274	343	250	121	1	7	289	206	190	188	25	36
ychA	654	533	723	629	502	407	1345	1921	1412	746	32	34	1348	1922	1413	746	32	34	653	532	723	628	501	407
kdsA	2216	1715	1906	1879	786	565	3563	5165	3647	2089	88	91	3567	5170	3650	2092	88	91	2214	1712	1901	1876	785	564
chaA	1646	1167	1044	849	384	300	1174	1535	963	657	24	26	1202	1586	987	670	24	27	1569	1131	1002	819	372	293
chaC	320	249	194	193	301	202	385	581	533	276	124	109	363	536	501	244	106	105	277	206	157	165	246	178
ychP	146	106	113	93	57	34	256	360	243	147	10	15	322	437	299	179	14	20	156	118	137	124	102	54
narL	355	232	303	226	93	62	353	525	372	256	5	2	355	533	374	257	5	2	354	230	301	226	93	61
narX	272	185	215	141	130	100	351	524	382	266	37	40	353	533	390	272	39	41	275	187	217	140	133	103
narK	14	11	26	15	40	25	16	37	42	13	35	28	17	37	43	13	35	29	14	11	26	15	40	25
narG	63	48	84	82	68	45	124	187	199	84	17	15	124	187	198	84	17	15	63	48	84	82	67	45
narH	56	33	74	82	50	51	63	141	113	60	2	6	63	142	109	60	2	6	52	31	71	82	50	49
narJ	16	17	27	16	22	23	14	36	38	18	4	2	20	47	47	20	5	2	12	15	22	15	19	22
narI	20	13	46	26	22	24	17	54	49	27	3	9	18	54	49	27	3	9	20	13	46	26	22	23
purU	2111	1607	1079	1046	369	244	4480	5865	2249	1267	39	36	4670	6088	2332	1315	39	37	2045	1560	1048	1007	351	239
rssA	321	243	433	387	312	242	878	1099	1407	697	190	191	783	1000	1310	632	170	175	299	229	410	365	287	216
rssB	232	172	290	244	256	174	521	662	729	444	383	379	534	688	752	456	393	391	223	169	279	235	250	164
galU	2097	1583	2175	2140	1042	739	3668	5654	2985	1854	314	425	3680	5678	2992	1858	314	427	2092	1581	2168	2139	1040	739
tdk	514	415	407	341	146	114	956	1173	733	416	8	8	956	1173	733	416	8	8	514	415	407	341	146	114
adhE	8423	5824	3884	3538	8605	7106	8711	11904	9195	5921	2050	2003	8731	11950	9227	5943	2055	2009	8410	5815	3877	3526	8589	7087
ychE	75	61	66	68	68	72	137	157	175	92	3	5	138	159	175	92	3	5	73	58	64	68	66	71
oppA	1658	1115	3402	3119	943	658	41857	58053	90292	47486	755	770	42043	58259	90652	47682	757	773	1651	1111	3392	3115	942	657
oppB	321	223	508	457	70	68	5548	7740	10993	5665	57	65	5576	7788	11042	5701	58	66	319	220	505	456	70	67
oppC	422	311	658	620	79	66	5702	7723	10226	5207	73	87	5705	7731	10238	5214	73	87	422	310	657	620	79	65
oppD	559	383	815	810	141	93	5282	8015	9702	4971	77	76	5577	8451	10245	5249	83	84	506	352	755	748	128	87
oppF	610	393	841	699	263	205	5165	7653	9521	4529	95	87	5545	8179	10204	4882	100	92	562	358	774	639	243	181
cls	952	665	1048	869	1088	773	1298	1860	1791	926	96	97	1383	1989	1923	987	101	100	900	629	988	825	1048	743
kch	342	245	234	211	176	113	346	532	294	183	7	7	362	554	315	194	7	7	326	241	231	203	172	113
tonB	731	377	733	631	605	514	1056	1501	1150	581	34	28	1124	1552	1204	610	35	29	713	372	719	611	580	498
yciC	574	443	769	729	699	553	613	842	713	418	102	130	626	869	723	427	108	132	561	435	759	711	683	540
ompW	525	927	6992	8263	2550	1605	423	791	1282	592	41	42	443	825	1343	621	41	44	504	890	6751	7959	2474	1543
trpA	2496	1633	1370	1271	146	143	1950	2915	1615	952	22	17	2004	2985	1647	978	23	17	2457	1585	1337	1240	144	141
trpB	4600	2742	2366	2125	208	171	3661	5418	3109	1956	43	47	3725	5483	3174	1993	47	47	4535	2709	2340	2107	206	171
trpD	2482	1274	1247	1106	81	85	1726	2442	1377	816	14	14	1909	2682	1524	902	16	15	2242	1170	1123	999	74	77
trpE	1305	743	511	482	29	34	611	825	428	273	2	3	833	1084	554	342	5	6	1114	636	432	415	26	30
yciV	418	317	495	472	374	385	840	1045	804	485	45	59	842	1046	805	485	45	59	418	317	495	472	374	385
yciO	356	234	372	381	258	221	626	799	704	406	75	105	672	868	746	446	84	113	318	209	337	337	223	205
rluB	1206	860	686	692	149	94	1160	1828	1107	666	20	18	1425	2196	1315	802	23	24	1009	715	580	572	130	79
yciK	626	439	888	834	483	361	543	708	862	482	15	21	558	724	885	496	15	21	600	427	861	809	468	352
sohB	1637	1123	1794	1558	952	777	2705	3858	2552	1488	99	117	2838	4037	2691	1559	103	120	1602	1097	1758	1526	942	760
topA	5958	4136	6384	5966	1336	1042	8147	11663	9104	5220	208	226	8171	11701	9134	5232	208	226	5948	4131	6362	5958	1335	1040
cysB	568	434	526	440	597	457	1379	1838	1311	773	60	86	1449	1925	1396	808	61	87	530	411	505	423	568	434
acnA	1476	1105	5041	4858	2457	1709	2875	3926	7717	4352	1650	1837	3051	4144	8151	4597	1720	1940	1380	1040	4780	4635	2359	1625
pgpB	225	154	349	300	225	167	389	544	521	274	53	53	389	544	521	274	53	53	225	154	349	300	225	167
yciM	814	612	1251	922	826	576	1068	1499	1480	752	58	59	1076	1510	1498	759	58	61	805	605	1234	917	819	573
pyrF	1329	959	758	723	49	32	1551	2419	1143	697	11	9	1558	2431	1146	697	11	9	1324	957	756	720	48	32
deoT	314	201	424	352	210	204	341	370	527	307	16	16	372	402	581	338	18	18	275	179	386	319	192	183
gmr	644	481	488	414	404	331	485	583	765	403	641	659	486	588	768	403	641	662	641	480	488	411	402	330
rnb	5397	3536	2439	2403	208	155	6505	8918	4516	2603	31	36	6609	9053	4588	2642	31	37	5296	3470	2397	2365	206	155
fabI	6623	4837	4804	4613	2958	2432	9524	14117	8263	4883	255	295	9584	14235	8328	4924	260	299	6530	4758	4734	4544	2929	2402
sapF	188	133	195	154	44	33	146	180	175	96	34	30	148	182	176	96	35	31	185	131	190	152	44	33
sapD	301	196	267	242	85	76	313	389	329	208	90	96	313	389	330	209	90	96	301	196	267	241	85	75
sapC	107	71	105	85	45	32	122	164	138	86	58	59	129	173	146	88	61	62	103	71	100	79	45	31
sapB	122	93	125	104	85	46	143	204	178	120	107	103	147	208	183	121	107	108	117	88	121	99	83	43
sapA	276	186	247	225	170	140	289	412	378	250	196	223	289	412	378	250	196	223	276	186	247	225	170	140
puuP	47	31	389	301	68	44	98	140	325	205	21	24	99	142	336	207	21	26	46	31	383	297	68	43
puuA	134	66	2011	1424	161	136	630	830	1758	1033	162	152	683	924	1934	1138	177	174	124	59	1818	1292	143	120
puuD	180	108	2766	2023	300	293	473	652	1449	799	424	384	477	662	1466	814	429	389	179	108	2730	2001	300	293
puuB	14	6	256	225	4	6	50	87	174	146	22	21	55	99	191	176	28	29	13	6	240	203	3	5
puuE	20	12	293	203	25	16	77	102	182	161	15	21	82	106	202	178	18	24	19	11	262	180	23	16
pspF	137	82	190	161	141	99	200	261	268	159	9	14	200	261	268	159	9	14	138	82	189	161	141	99
pspA	524	425	700	595	1449	1098	1421	1884	1829	849	301	278	1447	1929	1867	874	310	284	509	415	677	583	1390	1063
ycjM	9	7	67	37	36	28	20	25	66	27	1	0	20	25	66	27	1	0	9	7	67	37	36	28
ycjN	2	4	28	23	9	3	10	11	17	11	0	0	10	11	17	11	0	0	2	4	28	21	9	3
ycjO	3	4	21	10	8	5	6	7	16	12	2	1	6	7	17	12	2	1	2	3	19	10	8	5
ycjP	3	3	11	12	6	3	12	9	15	13	1	1	12	9	16	13	1	1	3	3	10	12	6	3
ycjQ	13	13	26	25	8	6	13	29	27	16	1	3	15	35	35	21	1	3	12	10	22	21	7	5
ycjR	8	8	24	16	4	8	15	27	36	20	4	3	16	30	44	24	4	3	7	7	22	16	4	7
ycjS	18	10	38	28	15	11	48	57	49	24	0	3	49	58	50	26	0	3	17	9	36	27	15	11
ycjU	2	1	7	4	3	2	1	8	9	5	0	0	1	9	10	5	0	0	2	0	7	3	3	2
ompG	6	11	19	18	14	7	4	5	14	9	0	0	5	6	15	9	0	0	5	11	18	14	14	6
ycjW	161	100	274	229	55	54	137	158	141	78	1	1	178	205	181	100	1	1	125	76	192	186	42	42
ycjX	243	160	282	229	341	261	282	490	342	196	24	23	462	753	545	325	30	37	173	109	192	162	228	176
ycjF	245	151	312	277	237	177	368	537	414	263	20	21	397	574	446	284	20	26	226	142	283	257	218	167
tyrR	957	723	1121	986	867	645	1333	2109	1806	1000	319	311	1341	2122	1817	1004	319	312	949	720	1112	981	861	644
ycjG	172	119	776	643	672	477	371	448	1036	431	183	213	381	471	1055	443	194	219	163	111	748	612	647	452
mpaA	111	68	225	187	141	114	196	245	353	218	60	55	195	241	349	221	59	51	108	64	219	176	136	109
ycjZ	159	123	216	166	111	69	269	376	253	182	8	6	280	389	261	190	8	6	154	121	212	162	111	69
mppA	959	777	2438	2044	1411	1074	782	1116	1940	891	138	137	798	1135	1983	909	138	140	951	768	2407	2022	1391	1063
ynaI	220	171	376	333	209	174	366	453	438	274	11	15	403	499	482	305	11	15	218	165	370	322	205	173
uspE	1375	1043	5007	4381	8920	6788	3005	4170	5041	2616	4777	4877	3015	4183	5054	2629	4784	4884	1369	1041	4993	4367	8899	6764
fnr	2207	1453	2988	2736	4029	3419	3109	4444	3771	2501	574	635	3109	4444	3771	2501	574	635	2207	1453	2988	2736	4029	3419
abgT	17	10	28	18	9	19	39	48	57	25	3	0	46	65	68	35	5	4	17	10	34	20	8	19
abgB	19	11	54	45	25	15	43	52	86	50	13	16	50	59	102	60	19	19	21	12	51	49	26	18
abgA	28	20	90	90	14	14	33	56	83	46	5	1	34	57	85	47	5	1	28	20	90	90	14	13
abgR	91	67	283	249	120	120	93	143	398	156	8	11	96	153	418	165	9	11	89	63	272	244	117	114
ydaM	55	45	93	58	163	107	226	318	485	282	47	62	229	328	505	294	52	64	54	45	89	57	158	104
ydaN	391	264	499	406	321	254	480	745	717	393	150	173	487	752	724	405	152	175	391	263	492	402	319	250
