	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2	CMCP6_YJ016_HS1	CMCP6_YJ016_HS2	CMCP6_YJ016_ASW1	CMCP6_YJ016_ASW2	YJ016_CMCP6_HS1	YJ016_CMCP6_HS2	YJ016_CMCP6_ASW1	YJ016_CMCP6_ASW2
VV1_RS00890	5083	3998	388	370	4824	3760	924	326	4716	3705	916	322	5022	3894	380	357
VV1_RS00925	144	5417	14006	6213	1764	152	7930	4589	1768	151	8012	4647	144	5397	13994	6175
VV1_RS00930	132	5794	6798	4705	3438	105	7455	2003	3382	100	7357	1955	130	5714	6701	4653
VV1_RS00935	894	1899	19160	7742	2506	909	23754	3687	2497	909	23697	3678	895	1892	19132	7696
VV1_RS00945	7736	32701	779	740	17275	2046	870	464	17380	2080	920	476	7630	32001	745	722
VV1_RS00950	14051	5915	4750	2429	4666	5487	2235	1143	4596	5404	2160	1100	13901	5836	4731	2384
VV1_RS00975	3358	3764	1769	1722	2886	2603	2439	1290	2891	2603	2439	1291	3353	3762	1769	1717
VV1_RS00985	11194	3570	1386	622	4052	4456	1146	587	4003	4403	1127	579	11162	3572	1388	620
VV1_RS00995	34710	8862	12430	6528	32107	40790	13913	4492	32063	40725	13885	4480	34674	8845	12418	6515
VV1_RS01005	2403	4876	26935	26789	11250	13471	37003	17067	11223	13424	36842	16969	2400	4849	26835	26646
VV1_RS01020	19228	6325	31180	18632	44482	33105	43244	13092	44477	33097	43238	13091	19257	6324	31174	18640
VV1_RS01080	2619	5913	9696	7806	4881	4611	18577	3600	4635	4399	17621	3475	2485	5554	9083	7268
VV1_RS01085	20632	17648	36862	28498	20416	18267	63816	18429	20418	18274	63834	18437	20640	17646	36890	28525
VV1_RS01110	3945	1172	6917	4263	6599	6102	6501	1990	6813	6224	6890	2423	3667	1058	5158	4181
VV1_RS01115	8109	2845	7748	4750	6337	4492	6533	5113	6358	4480	6311	4449	8367	2683	9576	4710
VV1_RS01155	770	811	2141	1354	2050	845	4361	875	1976	789	4252	827	734	791	2129	1316
VV1_RS01180	266	302	1392	702	278	206	2880	326	278	206	2861	324	265	301	1390	698
VV1_RS01195	4310	3469	2966	2761	3974	5823	5023	1003	3960	5822	5011	1002	4319	3467	2967	2768
VV1_RS01200	2324	2376	3751	2686	4731	3029	5390	1532	4733	3036	5393	1532	2319	2365	3749	2680
VV1_RS01210	302	617	697	756	1409	530	1342	389	1409	530	1342	389	303	616	697	756
VV1_RS01235	1179	2451	147	79	1991	641	156	57	1991	645	167	62	1174	2437	142	79
UBIF	457	314	229	142	419	318	287	88	380	305	277	80	446	342	265	130
VV1_RS01330	2247	2687	1809	1308	2598	1158	1856	576	2593	1153	1862	584	2233	2673	1762	1297
VV1_RS01335	2482	1981	2207	1381	2555	1521	2228	674	2547	1515	2211	665	2477	1978	2202	1374
VV1_RS01345	2491	3181	1880	1610	2949	2870	2187	546	2713	2601	2035	500	2885	3416	2080	1667
VV1_RS01390	291	427	256	252	379	252	238	94	379	252	237	93	292	427	256	252
VV1_RS01395	465	739	408	222	585	461	701	173	580	461	693	171	465	733	408	219
VV1_RS01400	2073	2746	1030	1342	2668	1910	1154	634	2659	1906	1154	631	2071	2740	1029	1327
VV1_RS01415	3200	3415	684	577	2699	2505	920	219	2694	2506	917	219	3194	3409	684	576
VV1_RS01435	346	1868	637	500	2002	272	619	331	1999	273	611	330	344	1850	632	487
VV1_RS01440	304	3824	776	771	4444	378	852	269	4419	376	840	258	313	3797	775	788
VV1_RS01460	550	1235	620	279	333	353	221	56	334	353	220	56	547	1229	617	278
VV1_RS01470	666	363	198	161	228	341	281	79	201	304	243	70	550	305	172	140
VV1_RS01485	1681	1153	483	331	776	908	399	164	771	905	398	162	1673	1150	484	331
VV1_RS01490	3643	5589	5553	6362	5300	5132	10709	2439	5302	5156	10742	2438	3621	5557	5533	6348
VV1_RS01495	12720	25439	187897	132619	9970	5696	117199	54166	9798	5617	113877	52053	12061	25094	186611	125333
VV1_RS01505	20	32	28	9	64	44	52	14	64	44	52	14	20	32	27	9
VV1_RS01510	3248	2768	409	254	5572	2280	348	132	5574	2282	348	133	3238	2767	407	254
VV1_RS01520	1646	1965	277	263	3748	1533	310	172	3720	1529	307	171	1638	1954	273	263
VV1_RS01525	1879	2040	259	269	3374	1332	209	109	3373	1327	210	112	1874	2036	258	269
VV1_RS01530	1762	1686	902	523	1268	598	768	305	1225	580	731	293	1672	1566	821	477
VV1_RS01540	2177	3009	4501	4482	4455	3076	5934	2173	4465	3077	5948	2175	2171	3007	4498	4463
VV1_RS01550	1520	6570	6016	4354	3473	427	3380	1351	3449	427	3348	1332	1521	6537	6038	4312
VV1_RS01555	1236	5775	3936	2147	4040	912	2641	1237	3993	908	2613	1212	1224	5707	3905	2121
VV1_RS01565	210	253	111	119	318	256	142	64	315	251	141	62	208	246	111	115
VV1_RS01580	5134	6675	2606	1999	13162	5461	9313	2475	12806	5217	8595	2320	5680	6852	3245	2107
VV1_RS01585	764	804	554	618	785	950	1513	230	778	951	1517	233	742	754	532	564
VV1_RS01625	577	220	80	47	162	274	59	26	267	430	98	42	339	79	43	20
VV1_RS01630	6166	5362	877	660	4787	1990	790	518	4785	1989	790	518	6164	5359	877	658
VV1_RS01640	16641	5729	12940	8017	4343	9910	18637	4608	4342	9898	18627	4604	16631	5712	12931	8014
VV1_RS01655	12253	3727	606	547	6014	6810	1346	366	5939	6697	1322	364	11961	3653	596	540
VV1_RS01660	1033	3262	409	516	3020	1289	582	255	2852	1256	589	263	990	3031	377	494
VV1_RS01670	543	442	722	1080	1909	1203	599	165	1914	1209	597	165	539	445	723	1077
VV1_RS01675	1004	2365	461	574	1272	890	1444	398	1011	711	1198	310	865	1927	403	363
VV1_RS01685	1076	2213	576	357	3414	1077	1222	309	3449	1063	1280	338	1094	2221	637	382
VV1_RS01715	17437	111994	806	538	63625	7785	464	209	61736	7619	458	199	16930	108871	776	527
VV1_RS01730	255	223	182	163	380	213	396	169	375	213	389	165	254	216	181	160
VV1_RS01745	205	246	535	291	177	76	349	70	173	79	372	70	198	235	531	290
VV1_RS01760	5645	8319	24714	13589	22561	3804	10481	4755	29392	4877	14792	5758	3869	5840	16288	9187
VV1_RS01955	5335	2949	4113	6118	2526	2474	3455	2015	2526	2473	3450	2009	5339	2951	4133	6116
VV1_RS01975	79	67	131	67	47	44	64	34	43	40	62	34	74	65	126	66
VV1_RS01985	133	101	153	173	98	49	92	53	93	48	83	50	134	107	156	174
VV1_RS01990	51	86	87	86	33	67	62	20	39	68	75	24	47	73	80	56
VV1_RS01995	1309	559	324	377	1156	758	697	292	1156	762	704	289	1299	544	321	376
VV1_RS02000	117	226	48	40	150	106	63	23	193	144	79	31	113	185	27	26
VV1_RS02005	500	284	351	270	229	280	1216	276	229	280	1208	275	499	283	351	263
VV1_RS02010	437	708	9467	10456	1314	882	38035	8463	1313	882	37960	8434	437	706	9448	10422
VV1_RS02015	2023	1523	761	650	1223	535	1075	441	1207	527	1031	432	2012	1494	764	646
VV1_RS02020	6502	297	4633	2239	382	10237	1631	449	374	10084	1617	442	6466	292	4571	2214
VV1_RS02025	672	617	80343	96985	1329	2074	244937	119125	1329	2074	244928	119114	672	615	80333	96961
VV1_RS02035	719	355	880	804	261	386	2148	625	261	386	2147	625	719	355	879	804
VV1_RS02045	1614	2775	781	433	2274	760	864	245	2265	751	857	246	1605	2755	764	425
VV1_RS02060	1047	3723	8810	5122	3233	1214	6920	3986	3131	1090	6840	3977	1038	3689	8797	5096
VV1_RS02065	414	338	633	650	403	379	1105	487	399	378	1093	477	403	328	630	641
VV1_RS02075	4836	2997	1495	1297	2282	1953	742	382	2255	1935	730	376	4770	2886	1472	1260
VV1_RS02080	1462	1723	600	688	3332	2646	938	422	3331	2648	938	422	1472	1723	601	690
VV1_RS02095	11642	10534	7204	6667	9927	6252	6226	2515	9924	6244	6210	2513	11631	10521	7198	6658
VV1_RS02100	214	323	104	90	455	281	186	60	455	280	186	59	206	320	102	89
VV1_RS02110	6314	3316	2309	3481	3682	5290	2520	928	3681	5289	2520	928	6312	3308	2307	3471
VV1_RS02145	1953	926	11409	9071	1301	1721	11570	4177	1204	1558	10733	3598	1755	890	11056	8525
VV1_RS02155	840	1213	296	185	1359	730	1335	217	1313	730	1289	233	691	994	244	167
VV1_RS02160	158	428	322	48	434	213	318	409	408	240	324	425	166	472	327	86
VV1_RS02190	371	653	979	590	517	285	1097	474	516	284	1093	471	370	646	973	589
VV1_RS02200	4968	4468	3233	2471	4261	6500	3399	4082	4094	6033	3206	3469	6670	4672	3507	2512
VV1_RS02205	15374	4552	2254	2549	7318	17771	2562	4836	7689	18173	2738	5113	16041	4700	1982	2178
VV1_RS02210	2050	2117	1110	812	3805	2527	1154	557	3552	2303	1038	513	1830	1832	1006	699
