	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2	CMCP6_YJ016_HS1	CMCP6_YJ016_HS2	CMCP6_YJ016_ASW1	CMCP6_YJ016_ASW2	YJ016_CMCP6_HS1	YJ016_CMCP6_HS2	YJ016_CMCP6_ASW1	YJ016_CMCP6_ASW2
VV1_RS03480	91	86	226	164	77	69	300	114	77	69	298	114	91	86	228	164
VV1_RS03485	381	174	421	704	181	332	607	327	177	324	603	325	366	172	408	682
VV1_RS03495	16012	11229	6433	2530	7369	3784	3328	3136	6816	3447	3037	2981	15826	10947	6372	2426
VV1_RS03500	1199	266	789	1039	236	546	1548	405	233	533	1521	402	1197	266	787	1036
VV1_RS03505	594	598	2098	1954	508	1198	4761	1005	507	1199	4764	1014	594	600	2104	1963
VV1_RS03515	1073	358	6796	4035	318	2744	10356	2000	317	2767	10353	1989	1062	358	6791	4021
VV1_RS03520	145	141	2288	1988	126	118	4079	978	119	117	3925	958	141	131	2242	1873
VV1_RS03540	367	227	1592	1019	152	142	646	382	182	160	864	472	328	161	1386	815
VV1_RS03565	13245	5991	10524	4660	6354	11318	11954	3450	6359	11324	11952	3449	13235	5993	10518	4658
VV1_RS03775	3524	2392	7765	5477	1983	3517	2095	1379	2006	5337	8311	3063	1243	1005	1734	1075
VV1_RS03850	401	390	197	155	584	631	676	181	579	624	688	183	405	380	197	151
VV1_RS03915	12303	13473	21571	13348	5973	6185	3971	2066	5676	5774	3575	1797	12033	13079	21149	12895
VV1_RS03930	813	427	251	255	299	215	177	79	278	213	166	80	799	405	238	256
VV1_RS03945	2264	1657	1318	751	2132	1212	2370	707	2122	1211	2361	701	2248	1644	1313	746
VV1_RS03950	3789	2283	1458	1359	4316	2810	1233	492	3439	2311	991	429	2965	1807	1164	951
VV1_RS03965	2930	1013	716	661	965	864	397	209	1060	931	458	242	2887	947	663	624
VV1_RS03990	3696	38557	17399	7305	29403	1685	8461	5535	29248	1671	8415	5510	3690	38421	17342	7266
VV1_RS03995	2926	1060	392	458	985	1750	777	306	981	1743	757	303	2936	1058	397	465
VV1_RS04020	2031	566	469	555	684	1257	645	236	664	1223	627	218	2000	556	461	539
VV1_RS04025	29	40	9	3	53	79	48	18	56	82	45	18	30	40	13	3
VV1_RS04045	4041	798	2300	3895	1096	4005	5498	3066	1441	5430	7343	3811	2868	591	1460	2733
VV1_RS04050	6235	1982	6471	7269	1569	6734	12636	6576	984	4823	8689	4396	4397	1301	4491	4761
VV1_RS04055	2697	688	1279	1593	416	1594	2557	575	358	1404	2355	507	2487	611	1176	1465
VV1_RS04060	851	286	988	971	248	534	2862	853	246	531	2844	849	848	284	981	962
VV1_RS04070	94	38	55	313	50	361	442	673	44	320	416	558	97	39	56	314
VV1_RS04075	235	60	178	829	80	749	588	932	79	745	585	918	234	60	178	818
VV1_RS04090	219	98	156	422	140	283	428	657	135	282	426	657	219	98	156	422
VV1_RS04095	701	393	231	349	409	711	544	558	409	707	544	551	691	393	229	348
VV1_RS04110	2346	1984	997	689	1785	1715	1158	455	1737	1715	1178	472	2254	1882	935	652
VV1_RS04115	18	25	18	14	34	30	29	13	33	30	27	13	18	23	17	14
VV1_RS04120	3258	2897	1055	1491	4314	3315	1203	741	4179	3249	1170	718	3210	2828	1037	1453
VV1_RS04125	87	296	117	142	197	81	202	67	197	80	198	68	87	296	115	139
VV1_RS04155	624	393	175	247	475	454	194	53	627	596	298	102	465	269	106	163
VV1_RS04175	3302	1746	17198	15751	2137	2093	25689	6920	1989	1937	23584	6408	3103	1590	15953	14153
VV1_RS04180	721	551	474	365	479	368	361	186	475	366	355	184	716	539	464	354
VV1_RS04190	623	448	454	565	504	489	488	187	506	488	485	185	616	433	454	564
VV1_RS04195	629	1122	1273	1538	1008	699	543	539	1002	685	538	532	620	1110	1252	1528
VV1_RS04200	468	656	1114	1026	671	375	267	324	667	372	264	321	466	650	1113	1024
VV1_RS04210	586	1237	892	845	1894	806	396	470	1893	813	423	485	575	1038	811	705
VV1_RS04220	860	742	315	241	215	316	197	189	243	335	193	196	830	679	302	227
VV1_RS04225	1553	1470	869	832	528	602	332	298	517	591	328	293	1544	1452	865	833
VV1_RS04235	2952	2265	1342	3134	2032	1483	975	710	2237	1588	1136	958	2818	2024	1122	3030
VV1_RS04250	7726	290278	25248	18114	245382	3850	29454	18103	243537	3841	29204	18023	7718	288240	25184	17950
VV1_RS04260	1844	1600	1446	1317	1475	1624	1700	354	1462	1617	1685	352	1838	1592	1439	1293
VV1_RS04275	6528	2583	10855	7831	1876	1700	7469	6745	1877	1698	7469	6733	6522	2570	10829	7801
VV1_RS04285	1923	487	661	517	540	1267	778	207	538	1259	776	207	1920	486	658	499
GLNG	24263	564	3758	3244	1083	24431	3480	2250	1188	25129	8632	3101	23892	508	2975	2627
VV1_RS04310	3959	651	15062	15251	875	4501	28873	12922	999	4948	33222	14235	3727	599	14357	13934
VV1_RS04315	595	1804	1016	642	1399	506	418	163	1381	498	414	150	593	1795	1009	632
VV1_RS04330	735	1483	3171	2451	1534	676	3788	955	1526	675	3745	946	733	1480	3164	2438
VV1_RS04335	2449	5901	3115	5712	7398	2735	4229	1992	7403	2738	4229	1992	2449	5899	3113	5703
VV1_RS04345	6647	2712	1198	1159	3814	5632	2530	1124	3794	5594	2488	1091	6680	2740	1250	1188
VV1_RS04350	4457	3965	388	501	5736	2268	421	197	5733	2269	424	197	4458	3956	386	501
VV1_RS04355	451	448	405	385	860	649	1099	557	885	652	1098	574	429	430	384	371
VV1_RS04360	929	1501	598	902	1181	758	917	380	1198	761	923	394	927	1494	596	897
VV1_RS04380	4220	1803	1677	1246	1292	1184	1223	486	1285	1176	1216	486	4211	1790	1670	1243
VV1_RS04395	1353	492	3071	2413	349	608	6989	1424	352	611	7048	1431	1349	470	3057	2373
VV1_RS04400	2005	1430	30279	16990	1511	1604	55327	9986	1505	1596	55146	9944	2001	1426	30217	16908
VV1_RS04495	1531	514	6812	10783	284	1518	5788	4768	284	1519	5789	4759	1527	515	6812	10766
VV1_RS04510	5505	7154	7273	8905	9816	6865	6044	4108	9816	6870	6056	4125	5448	7112	7218	8830
VV1_RS04515	4898	3497	2599	6813	5984	4957	2335	1666	5967	4956	2333	1650	4892	3485	2589	6773
VV1_RS04520	118	201	194	111	114	73	137	75	114	73	137	74	118	201	194	110
VV1_RS04530	187	282	2216	1500	293	236	2809	381	293	237	2803	378	180	282	2200	1486
VV1_RS04535	154	341	161	128	486	356	334	114	457	357	326	110	144	318	152	125
VV1_RS04540	579	341	104	179	346	498	329	85	346	495	326	85	579	341	104	176
VV1_RS04545	50	132	100	51	70	48	97	30	69	40	88	25	35	121	86	30
VV1_RS04560	58	71	167	168	168	115	136	34	190	154	266	66	47	54	66	69
VV1_RS04565	17	20	27	28	44	12	41	8	44	12	41	8	17	20	27	28
VV1_RS04580	40	83	70	70	64	83	82	74	58	76	79	72	53	83	75	91
VV1_RS04585	307	96	72	93	97	88	53	45	104	102	55	45	286	91	64	60
VV1_RS04590	5011	1614	538	414	2029	2444	624	398	2028	2439	620	394	5002	1611	537	414
VV1_RS04610	22	104	20	20	40	86	25	5	40	86	24	5	22	104	20	20
VV1_RS04620	1241	1756	824	938	911	786	1076	571	909	786	1073	571	1232	1753	822	935
VV1_RS04680	468	586	483	409	329	346	295	229	499	485	341	227	391	467	460	357
VV1_RS04685	308	372	341	223	371	446	320	209	366	439	318	206	291	365	335	221
VV1_RS04700	10370	1319	1259	1109	1716	3482	1115	585	1717	3471	1116	585	10355	1317	1259	1108
VV1_RS04705	3569	2171	656	903	1635	1222	460	317	1582	1151	451	308	3548	2151	658	895
VV1_RS04770	3144	1649	751	707	2618	2481	1115	436	2598	2445	1114	424	3092	1624	743	692
VV1_RS04780	182	365	1378	1071	378	161	1575	515	419	196	1915	558	142	328	1229	983
VV1_RS04785	237	190	673	437	256	220	1228	380	230	195	1110	355	214	183	592	403
VV1_RS04790	95	236	350	213	229	161	514	155	225	160	509	151	90	234	334	208
VV1_RS04805	2209	1870	743	463	1455	2010	761	343	1422	1972	736	329	2160	1839	725	462
VV1_RS04830	4840	11927	947	803	7530	7823	2009	595	7527	7824	2008	595	4838	11924	947	804
VV1_RS04835	8788	10346	1368	976	12575	10474	2496	927	12574	10470	2492	927	8780	10326	1366	975
VV1_RS04845	6874	13881	7749	5955	8857	5814	5735	3799	8850	5815	5733	3800	6873	13876	7749	5952
VV1_RS04865	38050	24115	14050	6403	19799	14504	8487	7434	19270	14224	8214	7386	38198	24636	14183	6540
VV1_RS04870	5334	7585	3965	2392	5007	4794	2902	1378	4995	4784	2895	1372	5320	7531	3955	2384
VV1_RS04875	13068	22472	9030	6405	19682	15820	9519	3143	19682	15826	9520	3145	13068	22475	9031	6406
VV1_RS04890	200	334	248	183	255	274	480	189	270	257	578	216	167	297	153	150
VV1_RS04895	1550	2557	29393	17189	2340	675	22116	9438	2329	663	21902	9371	1543	2549	29323	17063
VV1_RS04900	482	446	3765	2555	170	112	814	369	167	112	804	364	479	445	3748	2511
VV1_RS04905	263	221	146	166	291	226	355	73	291	226	355	73	263	222	146	165
VV1_RS04910	947	1941	329	258	1087	2017	447	213	1060	1988	442	205	922	1893	325	258
VV1_RS04915	8601	10194	2050	1441	4838	9598	2103	1010	4795	9557	2094	996	8524	10090	2029	1411
VV1_RS04920	4016	6317	1314	1118	3098	4969	1248	560	3034	4907	1238	541	3979	6176	1292	1088
VV1_RS04930	3599	5382	625	829	2521	4768	1131	612	2489	4725	1118	588	3551	5263	616	814
VV1_RS04945	1478	488	515	324	403	211	496	188	378	205	486	178	1466	470	492	305
VV1_RS04950	807	939	1278	1065	1244	559	1201	280	1227	540	1176	274	782	886	1247	1013
VV1_RS04955	829	812	1116	592	628	635	619	430	623	630	613	428	824	810	1117	592
VV1_RS04960	667	4494	1308	1252	4522	621	1829	799	4488	580	1789	762	673	4500	1331	1274
VV1_RS04970	6532	28656	15407	9826	51956	6432	12195	6339	51451	6367	12066	6263	6504	28459	15369	9681
VV1_RS04975	2846	3643	1126	1068	2730	3093	1451	664	2490	2789	1344	516	2429	3313	1066	930
VV1_RS04980	427	476	179	324	970	552	384	197	851	492	354	180	415	488	180	333
VV1_RS04990	970	1144	479	414	796	416	1216	5060	794	415	1212	5057	957	1131	478	412
VV1_RS05005	430	388	220	178	409	184	451	239	409	184	455	239	428	388	216	178
VV1_RS05010	748	1405	1533	2391	2429	3018	8130	1120	2420	3012	8092	1096	741	1388	1520	2368
VV1_RS05025	6112	2035	362	470	2817	2028	491	152	2606	1859	434	130	5798	1892	337	437
VV1_RS05040	3424	2197	591	909	1805	1395	727	239	1777	1382	717	235	3408	2159	578	897
VV1_RS05105	523	502	162	235	232	205	191	141	230	205	179	136	509	499	160	230
VV1_RS05110	75180	8021	2126	2873	7117	16386	2202	1172	7127	16383	2207	1171	75063	7995	2121	2871
VV1_RS05120	7557	8691	2845	6795	14452	8164	6118	1452	14174	8010	5971	1421	7535	8619	2823	6769
VV1_RS05125	5983	5045	2361	2939	8990	4979	4192	1217	8891	4900	4108	1180	5759	4844	2263	2804
VV1_RS05135	1583	979	573	460	1142	779	557	553	1099	725	528	542	1479	903	548	419
VV1_RS05170	34856	2989	6000	7148	3959	21707	12934	3287	4101	21934	13918	3787	33086	2827	5358	6501
VV1_RS05175	30284	2321	7091	5413	2403	34127	18511	4236	2394	33996	18396	4221	30243	2318	7076	5379
VV1_RS05180	2846	497	943	1090	508	5156	2411	522	509	5152	2410	522	2845	497	942	1090
VV1_RS05185	3831	824	1460	1675	657	5200	3168	873	649	5147	3144	863	3721	812	1428	1653
VV1_RS05200	51	124	75	70	106	87	50	53	107	87	50	53	51	124	74	70
VV1_RS05220	280	498	353	402	431	363	1747	650	429	363	1748	650	280	498	355	402
VV1_RS05225	170	245	2392	2154	663	383	18598	4527	636	361	17321	4306	169	231	2268	2067
VV1_RS05230	497	510	2459	1686	416	271	3542	535	422	275	3566	543	492	502	2443	1664
VV1_RS05235	417	566	1138	834	572	330	1536	433	628	344	1462	434	378	503	1131	784
VV1_RS05240	120	882	345	180	3411	236	589	92	3327	230	574	85	114	853	337	170
VV1_RS05250	325	1448	423	320	11252	445	922	164	11152	444	921	161	327	1446	427	326
VV1_RS05255	233	430	98	46	4796	341	243	66	4475	315	231	64	245	508	116	61
VV1_RS05275	4052	18958	3583	2780	10877	3268	6461	1496	10746	3231	6376	1478	4033	18805	3578	2775
VV1_RS05280	1767	1412	2084	2187	1256	1610	1964	1158	1202	1555	1880	1142	1564	1262	1801	1948
VV1_RS05285	6275	4294	7999	7731	2088	4158	15560	3704	2040	4086	15332	3645	6194	4246	7930	7595
VV1_RS05295	1261	1818	2427	1574	2403	1124	3171	960	2383	1118	3158	951	1250	1802	2411	1557
VV1_RS05300	127	280	394	237	4828	3719	2989	1799	4756	3652	2921	1694	123	275	391	228
VV1_RS05310	563	10618	6597	7514	6441	710	10225	3890	6247	702	9898	3724	566	10433	6493	7383
VV1_RS05330	96	144	427	284	118	75	433	171	107	60	368	154	95	148	448	288
VV1_RS05335	1160	2725	355	461	2927	1764	616	357	2891	1751	596	348	1157	2685	355	456
VV1_RS05340	1501	2371	537	496	1989	971	542	324	1805	868	509	284	1156	2095	465	382
VV1_RS05370	15908	7462	1664	2675	6007	10511	2033	929	6007	10504	2032	930	15919	7459	1659	2674
VV1_RS05380	679	670	387	275	509	1046	258	210	479	975	238	175	571	600	328	229
VV1_RS05390	114	189	238	119	191	174	564	255	171	143	469	240	94	160	188	93
VV1_RS05400	250	1021	296	199	863	323	444	178	856	322	441	175	249	1020	295	192
VV1_RS05415	5733	11142	909	861	17222	3431	672	330	17200	3431	671	329	5732	11136	909	862
VV1_RS05420	906	1508	880	930	1334	778	854	324	1332	777	852	324	906	1507	879	928
VV1_RS05430	328	669	910	819	1150	702	1416	428	1149	703	1413	425	328	668	909	816
VV1_RS05440	2791	2023	181	211	1617	1025	145	74	1617	1021	145	74	2787	2010	181	209
VV1_RS05450	337	945	233	242	1333	788	374	205	1316	765	361	204	334	937	226	228
VV1_RS05470	127	607	253	304	503	125	415	186	503	125	417	186	124	607	250	303
VV1_RS05495	2362	2484	1074	971	2295	2428	847	443	2202	2285	778	428	2419	2584	1100	1000
VV1_RS05500	325	282	81	115	235	479	155	58	236	479	155	58	326	282	81	115
VV1_RS05505	2246	1673	825	571	1749	1739	827	321	1743	1725	819	318	2228	1659	820	563
VV1_RS05510	9931	8600	1567	1161	9909	8563	1894	683	9925	8573	1890	681	9825	8542	1552	1141
VV1_RS05520	739	716	781	982	664	674	747	480	664	667	747	480	738	712	777	976
VV1_RS05540	2288	956	235	224	775	925	165	47	699	844	142	37	2253	937	231	220
VV1_RS05545	6875	3422	12634	14183	5688	4107	13020	6186	5690	4108	13021	6185	6873	3419	12629	14174
VV1_RS05550	11956	5604	586	766	6150	11575	831	334	6130	11543	827	333	11799	5586	583	760
VV1_RS05555	1792	1821	7681	6987	1734	1348	3397	2864	1688	1335	3430	2850	1743	1731	7436	6688
VV1_RS05560	1504	2208	1156	1060	2643	985	896	539	2642	985	896	538	1502	2207	1153	1057
VV1_RS05570	1323	1129	2907	2227	814	589	4046	983	794	571	3901	961	1292	1090	2838	2166
VV1_RS05580	51	75	34	31	389	161	293	104	368	150	266	91	43	71	61	54
VV1_RS05585	240	798	104	92	533	259	192	62	532	258	192	62	240	798	105	91
VV1_RS05655	1235	2235	958	1093	3589	2061	1251	596	3586	2059	1250	596	1234	2232	958	1091
VV1_RS05660	1191	1217	527	595	1361	1043	712	383	1358	1041	709	378	1189	1214	524	590
VV1_RS05725	25810	9056	11330	6996	10808	18320	18343	3080	10916	18615	18682	3126	25483	8856	11241	6921
VV1_RS05745	318	228	127	101	250	430	215	84	250	430	215	83	318	227	127	101
VV1_RS05760	730	679	819	822	423	750	864	459	445	773	881	464	722	653	790	785
VV1_RS05770	995	17280	353	550	10154	640	986	299	10152	640	984	298	993	17265	353	550
VV1_RS05780	1293	4613	1993	3628	5831	2084	3092	2580	5813	2064	3069	2565	1293	4620	1994	3619
VV1_RS05785	2052	536	348	345	1057	2094	888	214	1044	2064	877	207	2040	533	343	334
VV1_RS05800	309	271	1719	2109	255	288	1338	681	249	283	1327	662	300	263	1707	2071
VV1_RS05810	1113	1257	674	588	1695	972	976	219	1694	972	976	219	1113	1257	674	588
VV1_RS05820	599	404	540	350	420	624	997	289	417	615	989	287	601	403	539	345
VV1_RS05835	480	546	4582	2901	237	377	4742	3369	235	370	4582	3292	473	540	4500	2829
VV1_RS05840	69	67	498	239	115	51	426	319	110	50	443	319	69	67	522	242
VV1_RS05845	101	128	1754	1089	92	79	2002	1144	91	79	1986	1138	99	123	1731	1058
VV1_RS05850	91	852	159	115	2579	74	226	52	2574	74	211	46	91	849	153	114
VV1_RS05855	1584	2563	2402	2414	1676	1718	3413	918	1676	1707	3407	915	1582	2553	2396	2402
VV1_RS05875	246	261	31641	9005	157	157	15126	18146	158	157	15057	18059	244	261	31501	8950
VV1_RS05885	35	74	276	250	60	55	369	226	59	54	364	224	34	74	273	247
VV1_RS05890	646	2453	4722	4174	1668	344	4539	2456	1660	342	4487	2428	634	2394	4670	4077
VV1_RS05900	184	15155	460	291	15791	501	752	238	14703	468	646	200	175	13823	415	259
VV1_RS05930	2788	9159	6718	3819	14864	2345	5403	3036	14856	2343	5405	3028	2780	9158	6717	3817
VV1_RS05950	67	142	52	56	61	73	140	23	67	74	148	25	64	133	45	40
VV1_RS05975	608	244	198	333	185	416	259	83	184	415	259	82	605	244	198	328
VV1_RS05985	2601	934	1583	1731	1995	4212	979	727	1827	3925	874	671	2199	755	1269	1293
VV1_RS06000	1999	15849	2025	891	15850	5244	3100	563	15910	5246	3093	566	2122	15860	2076	890
VV1_RS06005	33062	106812	20621	11150	106842	30009	18855	6557	104513	29050	18378	6323	30205	101684	19604	10682
VV1_RS06010	308	384	403	447	470	363	726	113	515	386	951	149	276	368	351	334
VV1_RS06020	1406	2937	3056	3591	1961	1085	5751	1453	1959	1084	5747	1453	1400	2924	3054	3582
VV1_RS06025	5620	2027	382	269	4168	4429	340	360	4043	4290	329	340	5341	1884	369	252
VV1_RS06030	1705	4382	3794	2929	751	418	567	167	766	421	579	168	1733	4278	3725	2847
VV1_RS06035	878	1461	877	901	1091	713	394	320	1141	783	429	333	672	1216	771	793
VV1_RS06060	68197	14215	4772	4751	18399	50205	7845	2484	19029	50444	8247	2761	67192	13663	4376	4536
VV1_RS06065	250	898	285	208	906	465	421	319	889	460	417	319	245	870	278	210
VV1_RS06070	650	6140	1135	828	3705	827	1006	650	3668	804	987	640	647	6079	1119	813
VV1_RS06080	3108	3597	5349	4654	4013	2753	4842	2685	4006	2756	4837	2684	3101	3594	5351	4655
VV1_RS06135	247	485	364	335	619	274	619	215	619	281	632	226	235	469	352	331
VV1_RS06145	2202	3051	1064	1355	3662	1563	1530	643	3656	1560	1529	642	2196	3049	1063	1352
VV1_RS06165	5864	7524	4654	4698	6907	6134	6791	1961	6881	6100	6776	1948	5835	7469	4622	4667
VV1_RS06170	6855	9049	11252	8166	7892	6884	19070	3619	7862	6839	18984	3589	6829	9012	11218	8140
VV1_RS06175	8122	7101	8810	5587	10479	9819	17242	3957	10470	9796	17202	3941	8113	7086	8804	5580
VV1_RS06185	8618	4435	1800	1315	4415	7054	2223	793	4413	7038	2221	791	8609	4428	1796	1302
VV1_RS06190	4893	5620	15255	9088	6709	5657	12316	7380	6663	5613	12204	7352	4894	5637	15295	9076
VV1_RS06195	734	447	528	629	317	109	400	185	314	104	393	179	730	439	517	611
VV1_RS06205	236	1009	198	238	1467	359	372	154	1436	341	351	142	233	991	200	235
VV1_RS06210	12983	13064	40984	26971	21085	12823	36813	12908	21011	12766	36550	12840	12889	12964	40796	26643
VV1_RS06215	1093	1448	3531	2995	2091	881	3614	1576	2083	870	3580	1555	1082	1439	3503	2959
VV1_RS06220	176	287	281	196	475	263	250	119	464	257	242	114	168	283	274	195
VV1_RS06225	8565	1790	693	504	2075	4568	1028	469	2074	4562	1026	468	8555	1789	690	503
VV1_RS06230	384	806	338	113	804	380	341	117	786	366	325	116	403	913	345	119
VV1_RS06250	5489	709	38057	25622	1216	5485	33032	25144	1214	5476	33011	25111	5515	707	38074	25563
VV1_RS06260	3625	758	62893	21798	618	3103	23891	30300	592	2928	22915	29784	3712	775	64283	22334
VV1_RS06265	38225	10855	2376	2882	8364	14605	2090	1004	8355	14600	2090	1004	38207	10842	2375	2880
VV1_RS06270	1125	1092	1727	1799	755	1179	1840	998	749	1144	1776	959	1080	1051	1688	1756
VV1_RS06280	242	805	4433	2434	809	220	3251	1853	801	220	3207	1807	237	786	4353	2344
VV1_RS06290	948	2152	5747	4016	1831	807	10248	2528	1822	806	10246	2524	947	2152	5744	4015
VV1_RS06300	1447	1760	3064	4397	2382	2784	4732	2328	2337	2706	4632	2289	1420	1674	3036	4222
VV1_RS06315	2525	1437	251	395	3522	2061	453	189	3471	2023	446	186	2520	1413	251	394
VV1_RS06325	519	1453	937	665	819	206	744	268	833	205	749	272	518	1436	923	663
VV1_RS06330	5082	5314	5989	5558	6014	3977	5384	2713	6007	3985	5380	2709	5079	5313	5989	5540
VV1_RS06335	8917	2714	1748	1829	2521	4653	2834	1301	2520	4653	2831	1297	8881	2702	1743	1820
VV1_RS06385	4799	995	675	519	1528	2908	1604	512	1502	2843	1554	503	4704	971	654	508
VV1_RS06410	575	899	1301	1459	2098	760	1493	1426	2099	769	1507	1459	562	892	1282	1453
VV1_RS06430	646	516	857	1032	300	444	970	337	283	411	912	308	607	477	777	954
VV1_RS06450	2793	12135	4667	2792	12583	1470	6488	3091	12550	1461	6466	3087	2784	12082	4660	2782
VV1_RS06465	2341	2088	912	1185	1542	1708	998	431	1537	1697	997	425	2327	2074	903	1179
VV1_RS06475	3308	1298	609	917	786	1607	722	362	687	1388	607	289	2814	1042	487	703
VV1_RS06490	346	2286	9205	5034	2785	352	11988	3505	2782	352	11980	3499	346	2281	9189	5029
VV1_RS06495	57569	2577	769	937	4318	62330	2113	1158	4310	62185	2109	1154	57445	2567	766	936
VV1_RS06500	9048	1748	1020	1189	2116	7218	1504	693	2112	7184	1492	685	9000	1740	1017	1170
VV1_RS06510	8584	408	211	216	661	11158	137	61	689	11563	103	55	8053	365	204	168
VV1_RS06515	18401	912	646	607	2674	38057	617	307	2378	34572	561	274	18427	925	650	607
VV1_RS06520	21463	1317	1162	870	3170	32121	441	206	3132	31651	431	202	21265	1294	1144	845
VV1_RS06530	2606	2627	4354	4257	3414	1960	5902	1596	3319	1929	5764	1546	2670	2744	4563	4490
VV1_RS06535	7332	5369	6792	8480	5941	7496	4233	2884	5921	7471	4223	2868	7309	5336	6775	8424
VV1_RS06540	283	411	537	589	533	312	630	410	533	321	639	410	279	408	528	587
VV1_RS06560	719	967	459	419	1073	699	620	263	1067	691	613	260	691	953	457	396
VV1_RS06575	10121	4983	7166	6229	5379	5434	10781	3766	5378	5432	10773	3765	10118	4978	7161	6222
VV1_RS06580	276	820	1031	821	595	477	1473	295	593	476	1470	296	274	816	1029	815
VV1_RS06585	138	725	111	131	1870	286	331	141	1866	285	331	139	131	708	102	131
VV1_RS06610	336	468	441	749	775	477	831	283	790	482	854	297	319	447	425	714
VV1_RS06615	5732	7841	2691	3298	8494	4914	2519	1175	8477	4894	2507	1159	5743	7844	2702	3296
VV1_RS06625	614	1161	524	937	1864	1457	1070	268	1865	1457	1070	269	614	1161	523	937
VV1_RS06650	436	333	405	298	294	192	566	222	294	188	566	220	435	331	404	298
VV1_RS06660	795	1362	636	517	1331	698	895	299	1333	699	900	299	795	1354	629	510
CYSJ	577	469	3027	2029	634	522	5186	1376	635	522	5106	1347	579	473	3054	2037
VV1_RS06675	1656	1198	3373	2318	1428	1433	6051	1230	1352	1349	5760	1198	1480	1083	3097	2144
VV1_RS06680	4460	2434	7011	5531	1022	1304	6523	1900	986	1272	6289	1721	5105	2652	7835	5671
VV1_RS06715	3728	6890	73545	100163	5631	3300	90897	24982	5608	3288	90394	24768	3716	6810	73198	99532
VV1_RS06720	910	1190	20263	15528	765	901	36342	10049	739	881	35711	9855	899	1137	19774	15117
VV1_RS06725	1591	1778	7030	6163	1173	1251	13936	4642	1256	1365	14132	4692	1673	1809	7102	6283
VV1_RS06735	1637	1453	424	182	510	796	395	119	509	796	391	119	1632	1449	419	181
VV1_RS06740	5965	4908	1808	4704	9559	5446	1935	1364	9534	5420	1929	1361	5962	4897	1803	4698
VV1_RS06745	1018	869	2343	3648	561	732	3133	2511	550	725	3116	2484	1014	860	2336	3643
VV1_RS06755	7178	4398	6515	5377	4076	5327	24921	2717	4068	5329	24928	2718	7171	4391	6511	5368
VV1_RS06760	704	670	2250	1242	501	364	2885	2188	501	364	2882	2187	704	670	2249	1239
VV1_RS06770	2039	7770	14095	11464	5547	2448	18034	4335	6298	2770	21574	5145	1811	6417	11417	9742
VV1_RS06780	280	1661	4665	2766	1620	744	7891	2473	1620	743	7890	2462	280	1655	4650	2763
VV1_RS06790	1391	5449	16999	11654	4344	2652	26765	9438	4328	2629	26483	9328	1351	5258	16547	11273
VV1_RS06795	761	2597	20894	13149	2717	1619	26246	7640	2718	1625	26517	7826	740	2540	20410	12969
VV1_RS06800	840	2066	10003	7268	1918	1485	16089	4167	1906	1479	15950	4106	838	2049	9992	7176
VV1_RS06805	1722	2879	8348	5950	2836	2575	15176	4148	2796	2529	14895	4076	1709	2832	8234	5836
VV1_RS06810	487	1898	6283	5135	1528	852	8218	2320	1524	850	8186	2307	479	1873	6241	5107
VV1_RS06855	4761	3871	1668	2130	4463	2627	2272	866	4436	2608	2258	853	4748	3859	1668	2124
VV1_RS06860	179	217	101	104	252	277	166	55	252	277	166	55	178	217	101	104
VV1_RS06875	935	2478	2073	1535	2360	910	2657	946	2325	904	2622	941	938	2522	2096	1559
VV1_RS06880	1628	2075	5043	3862	1539	1338	6722	1391	1555	1356	6764	1400	1588	2054	4847	3712
VV1_RS06885	1239	1921	3115	2501	1375	1265	4055	756	1369	1248	4026	752	1250	1924	3134	2536
TLDD	4984	3599	22760	10451	5320	3844	12357	7758	5246	3792	12266	7741	4943	3499	22701	10336
VV1_RS06895	20228	17955	392110	189585	13898	15227	298938	116410	13231	14797	289633	114779	20177	17864	391168	188648
VV1_RS06905	560	337	278	269	231	411	402	87	230	407	399	88	559	335	277	268
VV1_RS06930	2913	125	182	119	182	4904	207	66	175	4817	206	64	2884	123	182	119
VV1_RS06935	255	801	8170	6169	620	159	6128	2913	619	158	6054	2894	255	795	8151	6145
VV1_RS06945	241	393	347	347	521	221	361	222	519	221	361	222	241	393	347	347
VV1_RS06960	838	5000	358	271	1954	568	542	231	1956	567	545	229	814	4992	358	270
VV1_RS06965	1035	3824	333	393	2100	910	627	320	2073	904	615	317	1032	3788	329	386
VV1_RS06980	3577	2753	1949	1865	3446	3598	3894	848	3451	3605	3898	849	3560	2738	1935	1864
VV1_RS06985	4703	2371	979	1298	1986	2877	1036	466	1982	2857	1026	462	4665	2342	973	1280
VV1_RS06990	1773	918	763	642	1437	1963	1065	518	1435	1964	1067	514	1760	904	760	638
VV1_RS07005	848	2969	328	362	5565	687	466	329	5560	684	467	327	862	2983	329	364
VV1_RS07015	515	3564	80	93	6109	476	104	22	6237	500	104	27	509	3379	79	93
VV1_RS07025	3548	9396	462	662	12698	2054	460	205	12712	2057	462	207	3542	9325	462	661
VV1_RS07030	1430	3299	431	396	4051	1215	732	306	3975	1197	731	301	1437	3334	434	395
VV1_RS07035	2407	6170	1230	2259	7767	2547	1598	815	7618	2510	1580	798	2156	5917	1209	2074
