"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_starvation1","IAI1_starvation2"
"72","ansA","ansA",986,164.002352582517,-1.58304533891768,0.25466420930413,-6.21620660101139,5.09317354140184e-10,1.21957228511661e-09,254.114312367749,237.79969701351,74.6011875728222,89.4942133759874
"73","ansB","ansB",1170,85.4457164389726,1.53625703894693,0.321431899510582,4.77941685715096,1.75804353548265e-06,3.54764169852525e-06,43.5438847279775,43.4886605433268,127.726275692862,127.024044791724
"74","ansP","ansP",801,184.874337687459,-1.97377826010705,0.256987574558164,-7.68044238520302,1.58540138650033e-14,4.6730744987856e-14,288.559474913761,300.719461203855,62.1676563106852,88.050758321536
"75","apaH","apaH",927,123.980182862794,-1.93311191227024,0.29275054576877,-6.60327347022989,4.02176654188138e-11,1.02431400273807e-10,203.421431639656,190.609873870751,54.2554091438707,47.6340167968965
"76","aphA","aphA",453,243.97498151093,3.07466662415425,0.239298811055803,12.8486498139653,8.75245423984527e-38,4.56170959387962e-37,43.5438847279775,60.143892240771,410.306531650522,461.905617424451
"77","appA","appA",1879,49.9969243810494,0.575808282561904,0.402649928230072,1.43004690226317,0.15270355814851,0.191874987114758,40.2943410915612,39.7874979438947,62.1676563106852,57.7382021780564
"78","appB","cbdB",2197,23.751817515982,0.233880419291665,0.569850439713125,0.410424214833291,0.681494786171043,0.732366495288955,21.4469880003471,22.2069755965924,28.258025595766,23.0952808712226
"79","appC","cbdA",1907,70.7169640222777,0.50590068515846,0.376187827133514,1.344808759532,0.178687000774535,0.221227062836222,50.6928807280932,66.6209267897772,100.598571120927,64.9554774503134
"80","aqpZ","aqpZ",938,131.615699720786,1.81774604138778,0.277271540167685,6.55583346306823,5.53319546326657e-11,1.39273715232115e-10,64.9908727283246,49.9656950923329,207.979068384838,203.527162677649
"81","araA","araA",712,105.227175053409,2.9850244618692,0.341827815664488,8.73253821098943,2.49020083580413e-18,8.25753395131118e-18,27.2961665458963,18.5058129971603,209.109389408668,165.997331261912
"82","araC","araC",395,671.471869309984,2.11067763682633,0.148645925019331,14.1993642715186,9.24472520444663e-46,5.5257711918224e-45,245.015590185784,259.081381960244,1034.24373680504,1147.54676828887
"83","araD","araD",1415,16.3884718539125,2.67794486515467,0.77396382261684,3.46003881176294,0.000540097535104566,0.0009011180639141,1.94972618184974,6.47703454900611,28.258025595766,28.8691010890282
"84","araE","araE",1847,276.152739498072,0.327221018690956,0.206054421536293,1.58803201722765,0.112279099382758,0.143525150862313,226.818145821853,262.782544559677,275.798329814676,339.211937796081
"85","araF","araF",102,886.71571024,6.41286854693732,0.234039881697804,27.4007511045391,2.68658404490343e-165,6.21865189217353e-164,22.0968967276304,17.5805223473023,1767.82208127112,1739.36334061395
"86","araG","araG",169,477.395204746405,4.81921210508867,0.220155763762723,21.8900110663588,3.23435553584646e-106,4.51852865096656e-105,35.0950712732953,28.6840101455985,965.294154351366,880.50758321536
"87","araH","araH",149,529.027723475413,5.70534112293958,0.247937414956488,23.0112148420231,3.5995142043288e-117,5.70365975598678e-116,18.8473530912141,20.3563942968764,1011.63731632842,1065.26983018514
"88","araJ","araJ",2168,85.3061102734777,0.156928341880105,0.321025681811323,0.488834229693612,0.624959062214573,0.68039660860817,72.7897774557235,88.8279023863695,91.5560029302818,88.050758321536
"89","arcA","arcA",48,8519.65158009807,3.34351897768748,0.0992304621061238,33.6944815807841,6.96320148532597e-249,3.42502473059471e-247,1452.54600547805,1600.75282425437,15246.9002904515,15778.4072002084
"90","arcB","arcB",313,1310.28854811333,1.9047944876547,0.118281112848235,16.1039615014336,2.39281675023947e-58,1.80493301831162e-57,538.774334917811,565.352587063248,2078.66036282455,2058.36690764771
"91","argA","argA",36,2699.28512805172,-4.39356970581814,0.124351741533056,-35.3317907063667,1.90911381171671e-273,1.25206047485088e-271,5181.07237390204,5127.03549086327,240.758378075926,248.274269365642
"92","argB","argB",128,902.226709456351,-4.88384394044078,0.201252572423642,-24.2672373407489,4.3494462661989e-130,8.02268955819969e-129,1798.94735712002,1695.13247053989,70.0799034774997,44.7471066879937
"93","argC","argC",95,1310.27515741169,-5.03820714468534,0.180911367165348,-27.8490358213951,1.10648992377742e-170,2.74991864214578e-169,2554.14129822316,2536.22167126082,91.5560029302818,59.1816572325078
"94","argD","argD",72,1502.61184059573,-4.77776955294298,0.158214618730981,-30.1980284202866,2.51405446747399e-200,8.24400360792512e-199,2946.68616950224,2854.52165481198,109.641139311572,99.5983987571473
"95","argE","argE",252,774.808702671552,-2.77327071005886,0.154414887959496,-17.9598660900256,4.01775862021339e-72,3.76425718346183e-71,1416.80102547748,1288.00458460236,196.675858146531,197.753342459843
"96","argG","argG",13,5370.47068569699,-5.29806383983522,0.119885925464112,-44.1925423632918,0,0,10180.1703041648,10771.3084549972,263.364798552539,267.039185073511
"97","argH","argH",64,1941.68045218529,-5.01536587633412,0.160451035311635,-31.257921562133,1.74245431705593e-214,6.42802287901414e-213,3858.50811388063,3679.88091448533,134.508201835846,93.8245785393416
"98","argI","argI",207,535.019312890558,-4.15364747514588,0.208188833305904,-19.9513461370077,1.45906709105088e-88,1.66418231979282e-87,1006.05870983446,1021.52087744325,57.6463722153626,54.8512920691536
"99","argK","argK",2275,9.82724831980285,0.183458475416855,0.87276239179023,0.210204377666344,0.833508163010786,0.865016603458666,6.49908727283246,12.0287784481542,13.5638522859677,7.21727527225705
"100","argO","argO",2295,75.0403903071705,-0.0547451446869637,0.336023092471314,-0.162920781081846,0.870580808497354,0.896275003661714,80.5886821831225,72.1726706889253,72.3405455251609,75.0596628314733
"101","argP","argP",1359,461.708641447926,0.586748956788106,0.157517529412368,3.72497562002795,0.000195334099258734,0.000339355267365615,367.198430915034,371.041550593064,573.072759082134,535.521825201473
"102","argS","argS",284,1221.65474185681,-2.14534099470022,0.126320347718098,-16.9833366789637,1.09102988974416e-64,9.07014637213369e-64,1939.97755094049,2047.66820813579,454.389051579917,444.584156771034
"103","arnT","arnT",2010,86.1545439539131,-0.304295854925712,0.322328516647791,-0.944055022156842,0.345141531943687,0.405412515880122,94.8866741833539,95.3049369353757,67.8192614298384,86.6073032670846
"104","aroA","aroA",77,1945.99326987262,-4.25796468777443,0.143049798382714,-29.7656112480683,1.0891863491043e-194,3.33969996134448e-193,3719.42764624202,3682.6567864349,215.891315551652,165.997331261912
"105","aroB","aroB",267,1765.29654508919,-2.11394456826322,0.120706334480276,-17.5131203955883,1.13782367573755e-68,1.00614295820838e-67,2728.31683713507,3010.89577463798,678.192614298384,643.780954285329
"106","aroC","aroC",469,673.750477221122,-1.92930020344335,0.153951520342102,-12.5318684684384,4.99713269498702e-36,2.51561413493909e-35,1132.14100292741,1003.01506444609,276.928650838507,282.917190672476
"107","aroD","aroD",1755,195.627709872886,-0.464124383787007,0.241933633538957,-1.91839545828287,0.0550608865083846,0.0740733635591431,248.2651338222,204.489233618622,143.550770026491,186.205702024232
"108","aroE","aroE",1070,302.300407104752,-1.15718480390266,0.203538473961696,-5.68533693595657,1.30555003311357e-08,2.88075105437489e-08,398.39404982463,438.5877680327,209.109389408668,163.110421153009
"109","aroF","aroF",73,2040.26125949046,-3.78405271961393,0.125381534647218,-30.1803031065221,4.29561644429551e-200,1.38930827739475e-198,3857.20829642606,3753.90416647397,281.449934933829,268.482640127962
"110","aroG","aroG",173,3426.54100930313,-2.18067594419439,0.101257841624383,-21.5358722762789,7.18295761820336e-103,9.80286874946714e-102,5654.20592736424,5576.72674669426,1215.09510061794,1260.13626253608
"111","aroH","aroH",611,167.091295389348,-2.83528314935536,0.28257274730435,-10.0338166946495,1.08249508264189e-23,4.18293108038872e-23,309.356554186825,277.587194957405,39.5612358340724,41.8601965790909
"112","aroM","aroM",1432,72.8454095533613,-1.21679671492856,0.358620993492575,-3.39298796503321,0.000691346756027991,0.00114030434316009,93.5868567287874,111.034877982962,46.3431619770562,40.4167415246395
"113","aroP","aroP",288,2166.3022078064,-1.80184734070747,0.107102662239014,-16.8235532435824,1.64019520189192e-63,1.34461835821765e-62,3363.92757241808,3371.75912808261,965.294154351366,964.227976373542
"114","arsB","arsB",2164,32.080876742694,0.254554725886571,0.506317954408918,0.502756664404171,0.615135365092155,0.671134286960526,28.5959840004628,29.6093007954565,28.258025595766,41.8601965790909
"115","artI","artI",767,764.985764947864,-1.15754676035391,0.143205133332804,-8.08313733882572,6.31214692222441e-16,1.94302201869255e-15,1002.80916619805,1112.19936112934,491.689645366328,453.244887097743
"116","artJ","artJ",87,1356.21073628227,-4.27442908846106,0.150148909725833,-28.4679329091769,2.9233923542642e-178,7.93348200967561e-177,2554.79120695044,2604.69317935031,131.117238764354,134.241320063981
"117","artM","artM",520,288.471266880301,-2.45729754077749,0.214196054353599,-11.4721886366821,1.81997124995465e-30,8.2633694637364e-30,474.433370916769,503.358113522761,93.8166449779431,82.2769381037303
"118","artP","artP",735,408.829897670162,-1.44893072571671,0.170866235652702,-8.47991248933327,2.25363381504109e-17,7.23922372423404e-17,608.964477464401,588.484853309698,217.021636575483,220.848623331066
"119","artQ","artQ",592,275.865759223166,-2.24231908952913,0.21637478329393,-10.3631257551999,3.64840576974945e-25,1.45504831459096e-24,426.340125097809,485.777591175458,96.0772870256044,95.268033593793
"120","ascF","ascF",857,57.0995270451415,3.15687252912183,0.438510872834641,7.19907469731603,6.06225355218543e-13,1.67012609529869e-12,10.3985396365319,12.0287784481542,100.598571120927,105.372218974953
"121","ascG","ascG",1343,168.338366112929,-0.912670726227142,0.239663351676177,-3.80813637063837,0.000140018053938451,0.00024615236436983,219.669149821737,220.219174666208,110.771460335403,122.69367962837
"122","asd","asd",168,4409.92543285802,-2.33976886829335,0.10621104457843,-22.0294309088128,1.50451576670202e-107,2.11438197927588e-106,7759.26029503467,6973.91562797987,1455.85347869386,1450.67232972367
"123","asmA","asmA",2351,721.048242524953,-0.00269566404657705,0.138144332227376,-0.0195133886646915,0.984431556467205,0.988198513953687,742.195766557467,701.370312592376,744.881554704391,695.745336245579
"124","asnA","asnA",232,729.639400543052,-3.35427336781947,0.178284179043016,-18.8141953247022,5.77790461563547e-79,5.88001413686006e-78,1444.74710075066,1213.98133261372,119.814028526048,140.015140281787
"125","asnB","asnB",438,935.935166012644,-1.84486082875272,0.140041491738655,-13.1736730725177,1.24395317964342e-39,6.70541885191351e-39,1551.33213202511,1378.68306828844,418.218778817337,395.506684919686
"126","asnS","asnS",723,2397.91316335834,-0.9631536959829,0.112327346062744,-8.57452552511035,9.94961179766238e-18,3.24910559533622e-17,3205.99975168825,3133.03414041924,1524.80306114753,1727.81570017834
"127","aspA","aspA",25,14428.6207498236,5.33686711391443,0.106468498120592,50.1262552597445,0,0,645.359366192263,746.709554435419,27583.2239445391,28739.1901341276
"128","aspC","aspC",865,3094.56880349703,-0.805100991385753,0.113113150540935,-7.11766039170127,1.097744423771e-12,2.99627119598074e-12,4193.2111084315,3678.95562383547,2179.25893394547,2326.84954777567
"129","aspS","aspS",336,2258.75195748963,-1.71600628624557,0.110879550996496,-15.4763098409354,5.01421905955117e-54,3.52338428559533e-53,3463.36360769242,3463.36290241855,1002.59474813778,1105.68657170978
"130","astA","astA",478,126.617307758541,5.09902150729366,0.414511525937217,12.3012779819926,8.91523025222404e-35,4.40352690910062e-34,7.79890472739895,5.5517438991481,252.061588314233,241.056994093385
"131","astB","astB",554,100.960624718207,4.52912611647555,0.411195749622645,11.01452561373,3.2524538376983e-28,1.38610893696854e-27,7.79890472739895,8.32761584872214,200.066821218023,187.649157078683
"132","astC","astC",310,240.813659742456,5.74635988046954,0.355758369169117,16.1524236067596,1.0918602846021e-58,8.3157488127276e-58,7.1489960001157,10.1781971484382,472.474187961207,473.453257860062
"133","astE","astE",685,76.2727884619933,4.27418662120014,0.468443322781727,9.12423427410389,7.22451567564948e-20,2.49008489200123e-19,3.89945236369948,11.1034877982962,135.638522859677,154.449690826301
"134","atpA","atpA",27,14945.9754273623,-3.37865349697087,0.0917049626162251,-36.8426462492565,3.83549515755597e-297,3.35392743221839e-295,27034.2533288012,27515.3680548278,2682.25178955011,2552.02853627009
"135","atpB","atpB",178,5515.94622488614,-2.1469445699957,0.100788420758158,-21.3015002501855,1.09943032847453e-100,1.45828932894852e-99,8843.95796087041,9162.22801489407,2120.48224070628,1937.11668307379
"136","atpD","atpD",60,9874.54924829927,-2.95244043042799,0.0916762132845447,-32.2050870629244,1.4979868655992e-227,5.89457831613284e-226,17684.6663781044,17300.1592803953,2257.25108458979,2256.12025010755
"137","atpG","atpG",57,5831.04510620732,-3.393853682328,0.103518408388343,-32.7850257279476,9.62567996029919e-236,3.98705796250287e-234,10835.2783012663,10464.1119592443,965.294154351366,1059.49600996733
"138","avtA","avtA",780,678.083478797035,-1.13588785845075,0.142631955303951,-7.9637683997962,1.66877469606703e-15,5.05125263771059e-15,937.818293469724,926.215940507874,408.045889602861,440.25379160768
"139","azoR","azoR",2158,241.824145882121,0.121137801888173,0.233931950356342,0.517833505443129,0.604574439068981,0.661617434347108,220.968967276304,241.500859612942,204.588105313346,300.238651325893
"140","bacA","bacA",1479,353.269652909287,-0.619880483764816,0.196782790882317,-3.15007466346753,0.00163228741667623,0.00260630308321112,372.3977007333,484.8523005256,275.798329814676,280.030280563573
"141","baeR","baeR",1725,113.858455963443,0.57252813323322,0.277876407211674,2.0603697124855,0.0393632100760787,0.0538762544867372,94.8866741833539,87.9026117365115,141.29012797883,131.354409955078
"142","baeS","baeS",1494,31.0592859294514,-1.6864373930672,0.546906328914795,-3.08359458266561,0.00204516088499218,0.00323201127809005,44.843702182544,50.8909857421909,16.9548153574596,11.5476404356113
"143","barA","barA",1219,290.738320449893,-0.886455523492261,0.199005584061668,-4.45442537540839,8.41181797378623e-06,1.62922905956598e-05,345.751442914687,409.903757887101,202.327463265684,204.9706177321
