	IAI1_batch1	IAI1_batch2	IAI1_starvation1	IAI1_starvation2
clpP	1845	1336	915	686
clpX	5310	3766	5600	4565
lon	7562	5168	3583	2628
ppiD	6413	4667	2736	2008
queC	477	371	166	133
ybaE	70	48	459	394
cof	141	62	463	411
mdlA	217	115	81	54
mdlB	166	103	38	30
amtB	131	120	77	56
tesB	147	123	125	93
ylaB	138	108	130	106
acrB	8391	5750	1861	1318
acrA	4291	3151	710	513
acrR	368	276	191	154
kefA	1331	1065	376	271
dnaX	1146	754	134	96
recR	802	574	53	35
htpG	3901	2838	8461	6993
adk	4242	3369	328	266
hemH	256	177	84	69
aes	70	46	265	221
gsk	921	663	53	40
ybaL	795	525	235	216
fsr	112	88	60	67
ushA	993	695	472	365
ybaP	188	122	77	46
copA	624	448	563	416
ybaS	166	161	19	17
ybaT	132	108	28	18
ybbK	256	225	863	655
ybbL	191	138	141	116
ybbM	197	141	107	77
ybbN	999	597	584	470
ybbO	214	117	75	61
tesA	212	114	208	185
ybbA	126	80	148	127
ybbP	282	179	219	163
ybbB	91	53	28	19
ybbS	14	9	14	19
allR	1110	752	1329	1199
gcl	36	16	15	22
hyi	12	6	13	12
glxR	12	18	10	4
ybbW	6	6	68	45
allB	46	38	458	279
ybbY	22	9	16	17
glxK	57	57	109	77
ylbA	118	86	172	156
allC	49	38	99	66
allD	16	17	25	22
ylbE	11	13	20	23
ylbF	10	6	15	12
ybcF	39	18	8	6
purK	1930	1281	22	19
lpxH	340	296	35	15
cysS	1580	1169	154	118
folD	781	534	329	293
sfmC	10	8	70	46
sfmH	5	12	11	6
fimZ	1	1	13	10
envY	47	32	31	22
ybcH	29	15	51	41
nfrB	61	38	69	49
cusR	94	75	13	9
cusC	7	6	2	3
cusB	11	4	12	2
cusA	42	28	36	20
pheP	854	699	152	113
ybdG	643	537	295	241
nfnB	968	658	270	195
ybdK	18	8	75	73
fepA	8388	2866	402	279
fepC	266	102	54	28
fepG	158	55	69	40
fepD	100	51	85	56
ybdA	381	147	78	47
fepB	365	141	96	73
entC	1002	296	77	59
entE	1613	476	105	78
entB	1693	505	100	68
entA	1201	373	103	65
cstA	3522	2438	35384	26587
ybdH	593	434	1377	885
ybdL	203	141	260	121
ibrB	37	29	39	38
ibrA	19	10	21	10
ybdO	7	12	18	10
dsbG	272	166	94	78
ahpF	2862	2053	726	554
