	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS08990	579	695	912	276
VV1_RS08995	2064	2151	1182	752
VV1_RS09015	4708	3137	4461	1548
VV1_RS09025	1400	1117	2425	803
VV1_RS09045	10031	6856	1699	735
VV1_RS09055	377	878	242	136
VV1_RS09060	2310	4797	1401	619
VV1_RS09095	2635	4348	3164	356
VV1_RS09100	5560	4197	14106	6884
VV1_RS09105	132478	105904	364017	145553
VV1_RS09110	65580	35070	54841	30050
VV1_RS09135	8791	3899	3171	1056
VV1_RS09140	1824	1337	4424	3622
VV1_RS09145	1302	1753	3217	1144
VV1_RS09235	11849	12016	15649	3759
VV1_RS09250	17380	9523	24676	9797
VV1_RS09255	24945	18043	42574	16346
VV1_RS09260	3523	3079	7709	1971
VV1_RS09265	5126	5220	11852	4588
VV1_RS09270	12191	10290	34200	10025
VV1_RS09285	2490	1255	999	445
VV1_RS09290	880	666	1926	370
VV1_RS09295	494	355	782	183
VV1_RS09310	1018	978	1525	382
VV1_RS09325	689	477	869	239
VV1_RS09330	1533	1678	609	377
VV1_RS09335	572	553	470	163
VV1_RS09340	1074	358	40553	7418
VV1_RS09345	5093	1897	2165	825
VV1_RS09365	18666	8330	76232	28949
VV1_RS09380	3222	3518	2232	1006
VV1_RS09385	4679	8618	2744	1391
VV1_RS09390	195	39	80	22
VV1_RS09410	2548	2178	2282	780
VV1_RS09420	1930	1437	1848	437
VV1_RS09435	10638	1509	1364	436
VV1_RS09440	1377	1487	365	151
VV1_RS09455	1774	1357	298	169
VV1_RS09460	16075	40563	2507	1437
VV1_RS09465	3488	3569	137628	47428
VV1_RS09500	140	139	153	48
VV1_RS09505	1304	1029	2577	1449
VV1_RS09510	541	185	726	328
VV1_RS09515	288	256	446	171
VV1_RS09545	170	107	61	28
VV1_RS09565	326	491	70	17
VV1_RS09695	839	317	209	102
VV1_RS09705	4415	15413	8142	2309
VV1_RS09720	153	146	310	89
VV1_RS09725	824	214	18082	5986
VV1_RS09740	21011	9285	14347	3974
VV1_RS09745	64903	4272	314	207
VV1_RS09750	13941	4263	8821	4129
VV1_RS09760	1944	3749	787	378
VV1_RS09775	4491	7485	3491	1558
VV1_RS09785	1903	3768	490	234
VV1_RS09795	1034	1278	835	482
VV1_RS09800	2468	3828	4140	1849
VV1_RS09810	684	714	406	315
VV1_RS09815	749	775	239	187
VV1_RS09820	830	742	236	120
VV1_RS09830	1125	1189	641	741
VV1_RS09835	1675	1519	424	213
VV1_RS09850	869	587	164	80
VV1_RS09855	267	180	3787	1364
VV1_RS09860	3135	4012	480533	228618
VV1_RS09865	7058	6961	732067	209714
VV1_RS09870	13473	10646	967050	417849
VV1_RS09880	240	154	1795	428
VV1_RS09890	151	417	18188	6105
VV1_RS09895	397	215	1581	562
VV1_RS09900	43384	384523	6703	2064
VV1_RS09905	7415	32620	4363	1255
VV1_RS09915	384	3233	17112	6547
VV1_RS09920	944	17139	22798	8256
VV1_RS09925	121	2284	3928	2307
VV1_RS09930	93	541	1506	1139
VV1_RS09940	3985	1872	546	174
VV1_RS09945	1754	6820	6933	4328
VV1_RS09960	229	113	135	89
VV1_RS09975	1821	1434	963	395
VV1_RS09980	1232	970	2171	1160
VV1_RS09985	11055	17087	4896	1898
VV1_RS10010	1264	1063	8935	2688
VV1_RS10025	3552	4303	787	397
VV1_RS10050	960	1031	2581	951
VV1_RS10060	77	87	452	135
VV1_RS10070	1144	948	1052	240
VV1_RS10080	1361	1386	2048	427
VV1_RS10085	3709	1293	1455	327
VV1_RS10090	863	733	923	924
VV1_RS10095	1531	1397	693	412
VV1_RS10100	2033	2403	987	458
VV1_RS10110	425	585	643	342
VV1_RS10125	3154	1363	605	159
VV1_RS10130	2703	908	845	294
VV1_RS10135	1243	863	1365	709
VV1_RS10140	279	296	249	118
VV1_RS10145	115	163	1929	1165
VV1_RS10150	746	610	671	425
VV1_RS10165	574	410	957	879
VV1_RS10180	14989	7326	3423	897
VV1_RS10185	3881	4029	1101	224
VV1_RS10205	4913	2731	917	403
VV1_RS10215	2225	2034	725	377
VV1_RS10230	4288	3326	2062	997
VV1_RS10235	5191	4461	1227	448
VV1_RS10240	219	140	102	47
VV1_RS10255	142	115	147	60
VV1_RS10265	5745	6755	32621	15882
VV1_RS10360	803	901	306	217
VV1_RS10365	654	469	278	94
VV1_RS10370	4470	4392	2068	950
VV1_RS10375	146	111	73	27
VV1_RS10380	10344	568	224	122
VV1_RS10390	329	263	287	146
VV1_RS10395	1797	1779	3231	1550
VV1_RS10400	316	292	412	386
VV1_RS10405	2208	904	1441	1011
VV1_RS10410	1087	451	423	156
VV1_RS10415	50079	4873	33391	15090
VV1_RS10420	3515	787	6910	2069
VV1_RS10425	57	25	36	14
VV1_RS10435	349	288	747	226
VV1_RS10445	3747	20795	1173	444
VV1_RS10450	9133	28993	1483	546
VV1_RS10460	544	3176	2176	1098
VV1_RS10465	174	578	699	314
VV1_RS10470	335	586	463	137
VV1_RS10480	904	468	894	236
VV1_RS10485	245	72	47	49
VV1_RS10490	638	302	106	34
VV1_RS10505	2263	3152	1536	578
VV1_RS10520	286	185	1802	859
VV1_RS10530	124	134	386	148
VV1_RS10535	637	588	535	429
VV1_RS10540	559	757	1137	409
VV1_RS10550	585	377	372	129
VV1_RS10555	863	565	273	121
VV1_RS10560	98	100	154	49
VV1_RS10570	21214	1130	64228	13473
VV1_RS10575	3759	22593	1193	631
VV1_RS10580	203	142	2066	698
VV1_RS10610	3020	156	2027	723
VV1_RS10625	3175	3138	637	257
VV1_RS10630	1424	189	790	226
VV1_RS10635	4845	276	2358	1307
VV1_RS10640	508	353	5869	2366
VV1_RS10650	734	1326	57216	16555
VV1_RS10665	23276	6681	4043	1858
VV1_RS10680	3081	3918	442	238
VV1_RS10685	3261	2341	552	348
VV1_RS10705	1850	2940	78	48
VV1_RS10710	4169	3968	101	45
VV1_RS10720	458	780	163	56
VV1_RS10725	13883	5002	2830	2423
VV1_RS10730	849	495	820	349
VV1_RS10735	4262	1845	15002	4335
VV1_RS10745	3732	5707	16985	8261
VV1_RS10750	1915	5196	23077	6777
VV1_RS10755	619	461	962	712
VV1_RS10760	847	450	13752	3904
VV1_RS10765	66	50	99	49
VV1_RS10770	4990	828	6171	1736
VV1_RS10775	93	152	221	81
VV1_RS10780	228	225	2517	1255
VV1_RS10785	491	66	206	171
VV1_RS10790	7915	1116	1838	1208
VV1_RS10800	2880	2117	4469	907
VV1_RS10825	1180	6798	205	103
VV1_RS10830	69	79	353	71
VV1_RS10835	962	181	277	131
VV1_RS10850	585	788	328	161
VV1_RS10870	259	174	183	73
VV1_RS10875	125	110	64	23
VV1_RS10885	356	342	333	141
VV1_RS10895	1478	680	13249	5905
VV1_RS10900	3434	1644	34452	15273
VV1_RS10910	1931	1051	1588	355
VV1_RS10920	1910	352	80	22
VV1_RS10925	7645	665	127	65
VV1_RS10930	6851	241	84	39
VV1_RS10935	734	542	349	84
VV1_RS10955	1513	809	319	196
VV1_RS10980	485	535	19	20
VV1_RS10985	189	237	116	26
VV1_RS10995	341	580	61	49
VV1_RS11000	192	337	69	21
VV1_RS11005	41	105	39	33
VV1_RS11010	54	72	36	11
VV1_RS11015	37	38	20	6
VV1_RS11030	268	97	126	36
VV1_RS11040	164	124	135	27
VV1_RS11045	4181	2161	4278	3781
VV1_RS11070	76	83	4849	1621
VV1_RS11100	1286	658	243	110
VV1_RS11105	4207	2257	445	105
VV1_RS11115	156	101	4822	370
VV1_RS11130	1526	1888	400	131
VV1_RS11140	26	72	51	15
VV1_RS11145	3438	1716	460	139
VV1_RS11155	103	55	112	45
VV1_RS11160	343	200	1657	876
VV1_RS11165	9947	1414	18553	5109
VV1_RS11180	2301	3116	536	135
VV1_RS11185	1843	908	155	22
VV1_RS11190	1839	1964	110	43
VV1_RS11200	25484	4091	2823	1196
VV1_RS11205	567	719	775	357
VV1_RS11215	2268	497	659	117
VV1_RS11225	639	584	1140	634
VV1_RS11230	461	558	177	103
VV1_RS11235	238	141	65	21
VV1_RS11240	4032	2213	22631	5046
VV1_RS11245	4954	26641	3479	1497
VV1_RS11255	16224	6037	2258	831
VV1_RS11260	123	45	305	266
VV1_RS11270	545	102	20977	11365
VV1_RS11275	363	213	10813	6898
VV1_RS11285	750	189	1564	624
VV1_RS11290	1056	720	229	137
VV1_RS11295	1368	749	995	351
THRS	11831	16740	3875	1256
VV1_RS11320	417	365	1382	399
VV1_RS11675	1350	1172	613	243
VV1_RS11900	2490	1210	1590	754
VV1_RS12160	296	284	228	64
VV1_RS12210	532	1093	247	102
VV1_RS12215	1164	1153	2760	1441
VV1_RS12225	23095	1295	29874	11446
VV1_RS12230	2141	484	775	197
VV1_RS12235	1791	517	857	257
VV1_RS12255	278	472	129	42
VV1_RS12265	12483	920	917	420
VV1_RS12275	2671	692	420	147
VV1_RS12285	2540	579	356	256
VV1_RS12290	971	255	157	62
VV1_RS12295	6551	4517	2736	787
VV1_RS12300	9116	3938	497	356
VV1_RS12305	4604	2083	485	244
VV1_RS12310	441	367	491	127
VV1_RS12320	759	300	345	125
VV1_RS12330	3313	8707	1460	340
VV1_RS12345	6777	1342	1120	290
VV1_RS12350	1805	530	741	173
VV1_RS12360	5100	2192	2082	416
VV1_RS12365	827	363	349	80
VV1_RS12370	1341	525	415	112
VV1_RS12395	225	1400	167	38
VV1_RS12400	2532	1992	1223	1213
POTD	1689	1104	1367	299
VV1_RS12430	283	157	4921	1371
VV1_RS12435	1195	227	5728	2984
VV1_RS12440	375	175	1957	805
VV1_RS12445	457	206	1152	454
VV1_RS12450	27609	10041	43469	17581
VV1_RS12455	28722	10315	17976	9772
VV1_RS12460	196	159	240	90
VV1_RS12480	6564	5397	1805	581
VV1_RS12490	15875	10494	4929	1497
VV1_RS12495	8331	7387	3377	1074
VV1_RS12505	3382	2381	2233	1027
VV1_RS12510	3376	1086	2307	877
VV1_RS12515	1864	1337	22491	5501
VV1_RS12535	1184	503	239	136
VV1_RS12555	3365	1608	5188	3224
VV1_RS12575	3149	1109	514	161
VV1_RS12590	532	442	20645	6696
VV1_RS12595	7064	9149	16290	4330
VV1_RS12600	7086	4666	27145	3991
VV1_RS12610	4469	1444	10659	2504
VV1_RS12615	581	508	984	441
VV1_RS12620	2181	862	930	364
VV1_RS12630	2962	2276	2105	404
VV1_RS12635	1147	952	538	286
VV1_RS12645	638	641	124	57
VV1_RS12660	688	286	191	72
VV1_RS12670	29	95	44	25
VV1_RS12675	140	261	371	120
VV1_RS12680	47	74	100	51
VV1_RS12685	129	134	4395	2667
VV1_RS12690	723	739	26904	7465
VV1_RS12695	2334	1508	45974	12202
VV1_RS12710	179	179	4862	1304
VV1_RS12720	59	67	2495	679
VV1_RS12725	28	59	566	144
VV1_RS12730	174	106	285	114
VV1_RS12735	117	76	146	38
VV1_RS12750	262	438	99	77
VV1_RS12780	4004	2079	1845	737
VV1_RS12785	1653	891	1159	521
VV1_RS12790	3619	1326	2852	1342
VV1_RS12795	923	685	1105	828
VV1_RS12800	1082	648	1668	767
VV1_RS12815	2606	2646	166	71
VV1_RS12820	670	503	70	43
VV1_RS12825	479	402	121	70
VV1_RS12830	2470	1210	636	356
VV1_RS12835	14575	12285	8650	4321
VV1_RS12845	478	1146	347	111
VV1_RS12855	1802	2197	338	213
VV1_RS12865	957	97	175	45
VV1_RS12880	1260	964	1430	506
VV1_RS12885	8362	25263	138851	39695
VV1_RS12890	528	1702	4609	1154
VV1_RS12895	826	2141	5185	951
VV1_RS12900	3642	8361	36266	7435
VV1_RS12925	11407	9691	6246	3060
VV1_RS12945	13181	11560	13589	6711
VV1_RS12950	29029	18104	14411	7696
VV1_RS12960	743	146	220	104
VV1_RS12965	418	204	207	71
VV1_RS12970	288	235	313	59
VV1_RS12975	425	357	80	72
VV1_RS12980	1170	157	137	41
VV1_RS12985	475	317	165	108
VV1_RS12990	501	346	685	437
VV1_RS13025	1202	651	14894	5090
VV1_RS13035	940	277	6853	2378
VV1_RS13045	41	304	681	150
VV1_RS13055	157	182	144	37
VV1_RS13070	58	326	74	14
VV1_RS13080	2096	1334	1690	648
VV1_RS13095	1122	3206	6171	2469
VV1_RS13100	4470	943	4157	2876
VV1_RS13105	28	22	276	77
VV1_RS13110	16	15	15	10
VV1_RS13115	88	56	35	25
VV1_RS13125	35	28	72	14
VV1_RS13130	5357	1279	4402	1305
VV1_RS13150	346	332	568	453
VV1_RS13165	2414	1413	16886	5521
VV1_RS13170	2422	1849	1644	652
VV1_RS13180	155	263	3598	811
VV1_RS13190	698	300	3408	658
VV1_RS13195	5002	816	15760	3745
VV1_RS13200	2197	215	17421	4000
VV1_RS13205	210	310	136	42
VV1_RS13215	188	487	354	161
VV1_RS13220	201	38	427	537
VV1_RS13245	10329	468	1036	805
VV1_RS13250	567	913	178	135
VV1_RS13265	220	110	65	26
VV1_RS13270	487	194	216	98
VV1_RS13275	5752	2274	1151	373
VV1_RS13280	4900	7297	2537	1685
VV1_RS13285	937	1354	780	663
VV1_RS13305	5075	187	5269	3108
VV1_RS13320	79	122	176	47
VV1_RS13340	3684	3594	1552	870
VV1_RS13350	3345	2972	2886	692
VV1_RS13355	1121	701	522	179
VV1_RS13360	121	34	612	512
VV1_RS13365	1747	1106	4315	1331
VV1_RS13370	722	382	350	182
VV1_RS13380	292	209	6134	677
VV1_RS13385	9195	8075	2160	1140
VV1_RS13390	341	190	174	42
VV1_RS13395	319	286	215	94
VV1_RS13400	1629	10374	524	237
VV1_RS13405	5905	7011	5323	5895
VV1_RS13430	2292	1997	2075	1200
VV1_RS13435	423	1005	344	231
VV1_RS13445	1495	675	460	197
VV1_RS13450	34934	7887	9062	4332
VV1_RS13455	25235	2695	22502	2760
VV1_RS13465	1201	759	717	429
VV1_RS13470	2067	3552	1395	389
VV1_RS13475	27146	2804	14582	4841
VV1_RS13480	5594	196	1443	475
VV1_RS13490	322	143	71	49
VV1_RS13495	1340	671	424	194
VV1_RS13500	170	97	83	23
VV1_RS13505	2240	2858	1471	1132
VV1_RS13510	274	293	737	314
VV1_RS13515	121	214	34	19
VV1_RS13520	339	949	311	70
VV1_RS13525	372	153	251	73
VV1_RS13530	526	250	111	36
VV1_RS13540	7612	5949	453	266
VV1_RS13545	2941	1639	219	201
VV1_RS13555	536	204	290	132
VV1_RS13560	396	316	475	150
VV1_RS13565	2393	1336	2200	874
VV1_RS13585	1894	1216	22155	5591
VV1_RS13590	160	184	1551	495
VV1_RS13595	214	148	1644	328
VV1_RS13600	49	44	607	159
VV1_RS13605	461	1059	170	82
VV1_RS13610	202	158	141	48
VV1_RS13615	486	266	62	33
VV1_RS13620	29	13	19	7
VV1_RS13625	133	214	187	94
VV1_RS13630	2314	2671	2652	1130
VV1_RS13635	3188	17374	20226	9574
VV1_RS13645	1836	5202	781	404
VV1_RS13655	3990	4304	12398	2223
VV1_RS13665	4659	4490	22059	5445
VV1_RS13680	16042	5715	3961	1722
VV1_RS13685	736	1565	669	276
VV1_RS13690	6231	1277	4264	1683
VV1_RS13695	989	239	2244	650
VV1_RS13700	220	91	655	267
VV1_RS13705	701	326	1848	456
VV1_RS13710	272	150	1101	443
VV1_RS13725	1244	863	771	269
VV1_RS13745	927	255	3982	2619
VV1_RS13755	6355	4508	5564	985
VV1_RS13760	4348	2342	3447	722
VV1_RS13770	1892	213	317	160
VV1_RS13775	209	174	192	55
VV1_RS13780	996	2835	1062	403
VV1_RS13795	1161	134	917	630
VV1_RS13825	329	329	136	63
VV1_RS13830	1950	442	740	214
VV1_RS13840	1240	1974	766	252
VV1_RS13845	634	1290	253	109
VV1_RS13850	1893	4432	768	511
VV1_RS13860	1617	3846	528	317
VV1_RS13865	3465	6506	945	442
VV1_RS13880	587	276	757	191
VV1_RS13890	1602	2082	1560	590
VV1_RS13905	6826	2581	1526	540
VV1_RS13910	1779	1252	4982	1880
VV1_RS13930	1901	1418	316842	119430
VV1_RS13935	347	269	73914	28939
VV1_RS13955	10167	971	834	242
VV1_RS13965	810	8488	180	40
VV1_RS13975	629	240	423	189
VV1_RS13985	10977	12294	2091	1050
VV1_RS13990	421	332	229	110
VV1_RS14010	9157	7168	6409	2493
VV1_RS14025	6117	2492	21598	10391
VV1_RS14030	119	178	129	132
VV1_RS14045	722	254	35997	7331
VV1_RS14050	608	276	4775	703
VV1_RS14060	933	1126	27478	20099
VV1_RS14065	345	341	220	91
VV1_RS14070	717	588	362	165
VV1_RS14075	949	391	392	131
VV1_RS14085	2250	1477	2871	1259
VV1_RS14110	2071	6045	4388	2189
VV1_RS14115	1375	1140	1006	620
VV1_RS14120	476	1022	1363	701
VV1_RS14125	2124	723	389	169
VV1_RS14130	14712	7095	3464	2587
VV1_RS14155	4262	2223	2215	871
VV1_RS14160	556	411	449	206
VV1_RS14165	718	296	421	137
VV1_RS14170	799	403	741	411
VV1_RS14180	13532	3861	14525	3000
VV1_RS14185	21748	2678	3700	2068
VV1_RS14190	26698	3234	43421	10424
VV1_RS14195	13063	2516	31012	15798
VV1_RS14205	720	2850	981	516
VV1_RS14215	142611	84554	35939	5782
VV1_RS14220	346	415	152	63
VV1_RS14235	1090	923	438	203
VV1_RS14240	1030	817	396	247
VV1_RS14245	852	851	834	155
VV1_RS14260	714	483	669	188
VV1_RS14265	714	301	707	193
VV1_RS14270	651	224	520	311
VV1_RS14290	2826	534	382	136
VV1_RS14295	6959	3418	1257	335
VV1_RS14300	204	289	309	120
VV1_RS14310	342	372	168	81
VV1_RS14320	2187	1451	10453	2488
VV1_RS14325	2925	5752	1676	547
VV1_RS14335	8411	661312	413	220
VV1_RS14355	3831	480	472	240
VV1_RS14360	14136	809	1352	607
VV1_RS14365	6691	424	826	322
VV1_RS14385	530	172	73	34
VV1_RS14390	5636	4226	3027	955
VV1_RS14400	711	220	287	89
VV1_RS14405	402	593	1978	482
VV1_RS14420	4319	2639	1724	856
VV1_RS14425	2177	4289	1353	773
VV1_RS14435	402	468	1997	1841
VV1_RS14440	1048	1257	954	246
VV1_RS14445	2419	1786	3701	759
VV1_RS14495	623	535	301	144
VV1_RS14510	2514	975	1411	322
VV1_RS14515	667	5947	276	54
VV1_RS14520	1425	1254	3353	1181
VV1_RS14525	1403	869	2932	675
VV1_RS14535	1634	3900	2191	1708
VV1_RS14555	3861	7221	3864	3300
VV1_RS14565	1179	3385	123	18
VV1_RS14595	10702	2694	4691	871
VV1_RS14600	324	451	367	172
VV1_RS14610	1031	638	821	438
VV1_RS14620	6380	5926	16119	6869
VV1_RS14650	6452	1843	4204	1503
VV1_RS14660	54719	15765	5209	2443
VV1_RS14665	6008	6272	3082	1509
VV1_RS14700	820	379	230	170
VV1_RS14705	493	229	144	161
VV1_RS14710	620	442	291	190
VV1_RS14725	10987	10014	8392	4266
VV1_RS14730	184	268	197	38
VV1_RS14735	141	204	1710	554
VV1_RS14740	962	1125	706	442
VV1_RS14760	4362	177	48750	17701
VV1_RS14765	125187	637806	9764	3342
VV1_RS14770	418	178	195	89
VV1_RS14775	260	230	105	57
VV1_RS14785	7120	23755	1300	776
VV1_RS14790	237	157	290	108
VV1_RS14795	1539	520	2706	1130
VV1_RS14800	5823	1373	5841	1722
VV1_RS14805	2911	2772	2321	638
VV1_RS14815	1513	845	1502	550
VV1_RS14825	629	247	23	6
VV1_RS14845	1533	882	2658	1541
VV1_RS14850	3160	2041	9975	4784
VV1_RS14855	121	84	38	15
FADH	4584	1261	3292	2410
VV1_RS14875	2335	3880	2168	1410
VV1_RS14890	1906	771	2906	746
VV1_RS14900	22791	72953	5121	1351
VV1_RS14905	715	7249	308	152
VV1_RS14910	761	593	381	187
VV1_RS14925	13402	2333	349	231
VV1_RS14935	46135	7271	27901	8469
VV1_RS14950	1313	1039	6774	1989
VV1_RS14965	10231	664	1610	407
VV1_RS14980	813	1004	711	265
VV1_RS14985	584	1335	1167	838
VV1_RS15005	3532	3954	1537	695
VV1_RS15015	1180	1063	1084	411
VV1_RS15020	394	206	107	30
VV1_RS15035	1621	2985	1716	645
VV1_RS15040	2758	6332	1013	330
VV1_RS15055	1881	413	428	173
VV1_RS15060	743	3572	2557	801
