	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS02505	1277	1753	2546	944
VV1_RS02515	1190	741	373	231
VV1_RS02520	1149	679	410	160
VV1_RS02525	8930	6173	3295	1706
VV1_RS02535	606	1023	2840	886
VV1_RS02545	1314	4279	2198	1526
VV1_RS02555	31815	29499	11729	4101
VV1_RS02565	2458	3869	973	324
VV1_RS02570	1976	1321	449	388
VV1_RS02575	2364	1350	1017	412
VV1_RS02590	70	109	178	49
VV1_RS02595	342	298	362	166
VV1_RS02600	686	490	287	144
VV1_RS02605	5944	3257	1206	983
VV1_RS02610	620	340	428	201
VV1_RS02625	1301	33305	1779	816
VV1_RS02630	1180	3528	893	467
VV1_RS02640	3972	19517	4934	1710
VV1_RS02645	6513	26761	3086	1768
VV1_RS02670	29747	21337	4651	2152
VV1_RS02680	13515	7621	7814	3472
VV1_RS02685	679	1004	1804	649
VV1_RS02690	1153	1931	200	97
VV1_RS02720	1257	519	1164	392
VV1_RS02730	369	91	62	63
VV1_RS02735	128	58	50	23
VV1_RS02740	278	92	172	86
VV1_RS02745	48	53	143	26
VV1_RS02760	905	960	391	99
VV1_RS02765	2496	3054	814	355
VV1_RS02790	37292	39663	65229	21250
VV1_RS02800	7204	6796	6163	2937
VV1_RS02815	620	373	468	248
MURF	933	890	933	291
VV1_RS02840	424	329	152	69
VV1_RS02855	7041	5128	8197	3242
VV1_RS02860	4254	5531	3745	2231
VV1_RS02890	12161	7064	8382	4566
VV1_RS02895	9448	5612	7965	3521
VV1_RS02915	2167	1422	3640	3272
VV1_RS02925	27582	3014	961	352
VV1_RS02930	483	797	392	174
VV1_RS02935	1900	1697	1022	301
VV1_RS02940	1311	919	419	151
VV1_RS02950	1472	1390	1840	749
NUDF	2313	3241	1004	314
VV1_RS02970	10398	7225	3174	1537
VV1_RS02975	8260	10088	3205	1775
VV1_RS02980	42452	10385	15475	6883
VV1_RS02985	704	775	9972	5434
VV1_RS02990	8084	8950	2963	1233
VV1_RS02995	8281	1352	6415	1417
VV1_RS03000	1111	361	696	140
VV1_RS03005	791	477	187	79
VV1_RS03035	1089	1517	2983	1560
VV1_RS03045	1397	445	3508	983
VV1_RS03065	22517	7265	19168	4968
VV1_RS03075	4926	5278	2871	1139
VV1_RS03080	347	126	639	176
VV1_RS03085	2416	1567	1138	319
VV1_RS03090	8082	605	8275	20332
VV1_RS03095	5738	924	6632	6690
VV1_RS03105	2750	20580	4096	4154
VV1_RS03110	688	6884	3437	3689
VV1_RS03115	10627	16851	11422	3318
VV1_RS03120	1038	406	499	232
VV1_RS03130	3665	1694	3025	863
VV1_RS03140	28635	12502	4229	3453
VV1_RS03145	3693	3029	1293	334
VV1_RS03155	72	65	99	46
VV1_RS03165	399	992	270	97
VV1_RS03170	3957	6464	2698	1123
VV1_RS03175	4573	7612	3445	912
VV1_RS03180	2512	5428	2324	690
VV1_RS03190	530	490	954	184
VV1_RS03200	4662	5120	2739	1367
VV1_RS03205	1262	1518	5519	1382
VV1_RS03260	1673	2934	1398	792
VV1_RS03265	4995	1449	12085	9826
VV1_RS03275	3395	3710	2794	895
VV1_RS03280	1115	2773	6218	2322
VV1_RS03290	269	228	358	92
VV1_RS03295	2693	2272	2827	715
VV1_RS03310	3848	2611	6430	1826
VV1_RS03320	1282	697	1445	540
VV1_RS03325	2108	1120	4236	977
VV1_RS03330	450	203	409	158
VV1_RS03335	1826	1185	5308	1314
VV1_RS03355	4186	1357	787	394
VV1_RS03360	17652	9580	86358	33721
VV1_RS03375	391	219	1468	1119
VV1_RS03385	1300	2048	2069	643
VV1_RS03400	101	80	121	51
VV1_RS03415	1724	1578	21567	5939
VV1_RS03420	8298	5777	130924	16670
VV1_RS03425	2143	1034	8734	2897
VV1_RS03450	2409	1169	1288	509
VV1_RS03455	908	1099	6758	2533
VV1_RS03475	108	80	1012	174
VV1_RS03480	77	69	298	114
VV1_RS03485	181	332	603	325
VV1_RS03495	7369	3784	3037	2981
VV1_RS03500	236	546	1521	402
VV1_RS03505	508	1198	4764	1014
VV1_RS03515	318	2744	10353	1989
VV1_RS03520	126	118	3925	958
VV1_RS03540	152	142	864	472
VV1_RS03565	6354	11318	11952	3449
VV1_RS03775	1983	3517	8311	3063
VV1_RS03850	584	631	688	183
VV1_RS03915	5973	6185	3575	1797
VV1_RS03930	299	215	166	80
VV1_RS03945	2132	1212	2361	701
VV1_RS03950	4316	2810	991	429
VV1_RS03965	965	864	458	242
VV1_RS03990	29403	1685	8415	5510
VV1_RS03995	985	1750	757	303
VV1_RS04020	684	1257	627	218
VV1_RS04025	53	79	45	18
VV1_RS04045	1096	4005	7343	3811
VV1_RS04050	1569	6734	8689	4396
VV1_RS04055	416	1594	2355	507
VV1_RS04060	248	534	2844	849
VV1_RS04070	50	361	416	558
VV1_RS04075	80	749	585	918
VV1_RS04090	140	283	426	657
VV1_RS04095	409	711	544	551
VV1_RS04110	1785	1715	1178	472
VV1_RS04115	34	30	27	13
VV1_RS04120	4314	3315	1170	718
VV1_RS04125	197	81	198	68
VV1_RS04155	475	454	298	102
VV1_RS04175	2137	2093	23584	6408
VV1_RS04180	479	368	355	184
VV1_RS04190	504	489	485	185
VV1_RS04195	1008	699	538	532
VV1_RS04200	671	375	264	321
VV1_RS04210	1894	806	423	485
VV1_RS04220	215	316	193	196
VV1_RS04225	528	602	328	293
VV1_RS04235	2032	1483	1136	958
VV1_RS04250	245382	3850	29204	18023
VV1_RS04260	1475	1624	1685	352
VV1_RS04275	1876	1700	7469	6733
VV1_RS04285	540	1267	776	207
GLNG	1083	24431	8632	3101
VV1_RS04310	875	4501	33222	14235
VV1_RS04315	1399	506	414	150
VV1_RS04330	1534	676	3745	946
VV1_RS04335	7398	2735	4229	1992
VV1_RS04345	3814	5632	2488	1091
VV1_RS04350	5736	2268	424	197
VV1_RS04355	860	649	1098	574
VV1_RS04360	1181	758	923	394
VV1_RS04380	1292	1184	1216	486
VV1_RS04395	349	608	7048	1431
VV1_RS04400	1511	1604	55146	9944
VV1_RS04495	284	1518	5789	4759
VV1_RS04510	9816	6865	6056	4125
VV1_RS04515	5984	4957	2333	1650
VV1_RS04520	114	73	137	74
VV1_RS04530	293	236	2803	378
VV1_RS04535	486	356	326	110
VV1_RS04540	346	498	326	85
VV1_RS04545	70	48	88	25
VV1_RS04560	168	115	266	66
VV1_RS04565	44	12	41	8
VV1_RS04580	64	83	79	72
VV1_RS04585	97	88	55	45
VV1_RS04590	2029	2444	620	394
VV1_RS04610	40	86	24	5
VV1_RS04620	911	786	1073	571
VV1_RS04680	329	346	341	227
VV1_RS04685	371	446	318	206
VV1_RS04700	1716	3482	1116	585
VV1_RS04705	1635	1222	451	308
VV1_RS04770	2618	2481	1114	424
VV1_RS04780	378	161	1915	558
VV1_RS04785	256	220	1110	355
VV1_RS04790	229	161	509	151
VV1_RS04805	1455	2010	736	329
VV1_RS04830	7530	7823	2008	595
VV1_RS04835	12575	10474	2492	927
VV1_RS04845	8857	5814	5733	3800
VV1_RS04865	19799	14504	8214	7386
VV1_RS04870	5007	4794	2895	1372
VV1_RS04875	19682	15820	9520	3145
VV1_RS04890	255	274	578	216
VV1_RS04895	2340	675	21902	9371
VV1_RS04900	170	112	804	364
VV1_RS04905	291	226	355	73
VV1_RS04910	1087	2017	442	205
VV1_RS04915	4838	9598	2094	996
VV1_RS04920	3098	4969	1238	541
VV1_RS04930	2521	4768	1118	588
VV1_RS04945	403	211	486	178
VV1_RS04950	1244	559	1176	274
VV1_RS04955	628	635	613	428
VV1_RS04960	4522	621	1789	762
VV1_RS04970	51956	6432	12066	6263
VV1_RS04975	2730	3093	1344	516
VV1_RS04980	970	552	354	180
VV1_RS04990	796	416	1212	5057
VV1_RS05005	409	184	455	239
VV1_RS05010	2429	3018	8092	1096
VV1_RS05025	2817	2028	434	130
VV1_RS05040	1805	1395	717	235
VV1_RS05105	232	205	179	136
VV1_RS05110	7117	16386	2207	1171
VV1_RS05120	14452	8164	5971	1421
VV1_RS05125	8990	4979	4108	1180
VV1_RS05135	1142	779	528	542
VV1_RS05170	3959	21707	13918	3787
VV1_RS05175	2403	34127	18396	4221
VV1_RS05180	508	5156	2410	522
VV1_RS05185	657	5200	3144	863
VV1_RS05200	106	87	50	53
VV1_RS05220	431	363	1748	650
VV1_RS05225	663	383	17321	4306
VV1_RS05230	416	271	3566	543
VV1_RS05235	572	330	1462	434
VV1_RS05240	3411	236	574	85
VV1_RS05250	11252	445	921	161
VV1_RS05255	4796	341	231	64
VV1_RS05275	10877	3268	6376	1478
VV1_RS05280	1256	1610	1880	1142
VV1_RS05285	2088	4158	15332	3645
VV1_RS05295	2403	1124	3158	951
VV1_RS05300	4828	3719	2921	1694
VV1_RS05310	6441	710	9898	3724
VV1_RS05330	118	75	368	154
VV1_RS05335	2927	1764	596	348
VV1_RS05340	1989	971	509	284
VV1_RS05370	6007	10511	2032	930
VV1_RS05380	509	1046	238	175
