	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2
VV1_RS02515	1190	741	373	232
VV1_RS02520	1149	679	411	160
VV1_RS02525	8930	6173	3297	1715
VV1_RS02535	606	1023	2881	935
VV1_RS02545	1314	4279	2198	1526
VV1_RS02555	31815	29499	11728	4102
VV1_RS02565	2458	3869	974	325
VV1_RS02570	1976	1321	456	391
VV1_RS02575	2364	1350	1089	430
VV1_RS02590	70	109	158	42
VV1_RS02595	342	298	239	108
VV1_RS02600	686	490	294	149
VV1_RS02605	5944	3257	1217	990
VV1_RS02610	620	340	517	245
VV1_RS02625	1301	33305	1796	818
VV1_RS02630	1180	3528	898	470
VV1_RS02640	3972	19517	4983	1725
VV1_RS02645	6513	26761	3089	1769
VV1_RS02670	29747	21337	4673	2162
VV1_RS02680	13515	7621	7826	3476
VV1_RS02685	679	1004	1807	653
VV1_RS02690	1153	1931	200	98
VV1_RS02720	1257	519	1197	410
VV1_RS02730	369	91	63	63
VV1_RS02735	128	58	40	16
VV1_RS02740	278	92	138	75
VV1_RS02745	48	53	108	17
VV1_RS02760	905	960	391	100
VV1_RS02765	2496	3054	816	356
VV1_RS02790	37292	39663	65268	21260
VV1_RS02800	7204	6796	6163	2937
VV1_RS02815	620	373	360	192
MURF	933	890	943	290
VV1_RS02840	424	329	150	65
VV1_RS02855	7041	5128	8326	3302
VV1_RS02860	4254	5531	3748	2235
VV1_RS02890	12161	7064	8394	4573
VV1_RS02895	9448	5612	8202	3642
VV1_RS02915	2167	1422	3644	3286
VV1_RS02925	27582	3014	1033	382
VV1_RS02930	483	797	405	180
VV1_RS02935	1900	1697	1041	308
VV1_RS02940	1311	919	429	153
VV1_RS02950	1472	1390	1847	752
NUDF	2313	3241	1014	317
VV1_RS02970	10398	7225	3213	1566
VV1_RS02975	8260	10088	3226	1778
VV1_RS02980	42452	10385	16067	7076
VV1_RS02985	704	775	2769	1301
VV1_RS02990	8084	8950	2957	1230
VV1_RS02995	8281	1352	6395	1396
VV1_RS03000	1111	361	696	140
VV1_RS03005	791	477	188	79
VV1_RS03035	1089	1517	3076	1587
VV1_RS03045	1397	445	3517	989
VV1_RS03065	22517	7265	19501	5103
VV1_RS03075	4926	5278	2880	1138
VV1_RS03080	347	126	602	172
VV1_RS03085	2416	1567	1079	309
VV1_RS03090	8082	605	8307	20552
VV1_RS03095	5738	924	6527	6674
VV1_RS03105	2750	20580	4104	4164
VV1_RS03110	688	6884	3445	3708
VV1_RS03115	10627	16851	13059	4358
VV1_RS03120	1038	406	499	232
VV1_RS03130	3665	1694	3028	859
VV1_RS03140	28635	12502	4249	3471
VV1_RS03145	3693	3029	1304	340
VV1_RS03155	72	65	100	47
VV1_RS03165	399	992	306	104
VV1_RS03170	3957	6464	2703	1128
VV1_RS03175	4573	7612	3445	917
VV1_RS03180	2512	5428	2362	701
VV1_RS03190	530	490	1053	220
VV1_RS03200	4662	5120	2817	1406
VV1_RS03205	1262	1518	5462	1376
VV1_RS03260	1673	2934	1394	787
VV1_RS03265	4995	1449	11993	9832
VV1_RS03275	3395	3710	2955	973
VV1_RS03280	1115	2773	6398	2378
VV1_RS03290	269	228	359	92
VV1_RS03295	2693	2272	2829	717
VV1_RS03310	3848	2611	6511	1855
VV1_RS03320	1282	697	1448	541
VV1_RS03325	2108	1120	4254	980
VV1_RS03330	450	203	442	180
VV1_RS03335	1826	1185	5343	1327
VV1_RS03355	4186	1357	797	397
VV1_RS03360	17652	9580	86555	33827
VV1_RS03375	391	219	1232	1008
VV1_RS03385	1300	2048	2089	652
VV1_RS03400	101	80	121	51
VV1_RS03415	1724	1578	22352	6265
VV1_RS03420	8298	5777	132547	17128
VV1_RS03425	2143	1034	8600	2852
VV1_RS03450	2409	1169	1288	510
VV1_RS03455	908	1099	6745	2525
VV1_RS03475	108	80	862	147
VV1_RS03480	77	69	300	114
VV1_RS03485	181	332	607	327
VV1_RS03495	7369	3784	3328	3136
VV1_RS03500	236	546	1548	405
VV1_RS03505	508	1198	4761	1005
