	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2
VV1_RS09045	10031	6856	1705	735
VV1_RS09055	377	878	258	154
VV1_RS09060	2310	4797	1407	622
VV1_RS09095	2635	4348	3178	357
VV1_RS09100	5560	4197	14203	6922
VV1_RS09105	132478	105904	362718	144936
VV1_RS09110	65580	35070	54910	30093
VV1_RS09135	8791	3899	3190	1058
VV1_RS09140	1824	1337	4435	3628
VV1_RS09145	1302	1753	3265	1162
VV1_RS09235	11849	12016	15701	3846
VV1_RS09250	17380	9523	30142	12085
VV1_RS09255	24945	18043	42965	16441
VV1_RS09260	3523	3079	7917	2018
VV1_RS09265	5126	5220	11868	4606
VV1_RS09270	12191	10290	34239	10048
VV1_RS09285	2490	1255	999	442
VV1_RS09290	880	666	1932	371
VV1_RS09295	494	355	781	183
VV1_RS09310	1018	978	1528	386
VV1_RS09325	689	477	883	243
VV1_RS09330	1533	1678	622	385
VV1_RS09335	572	553	530	191
VV1_RS09340	1074	358	40779	7462
VV1_RS09345	5093	1897	2171	825
VV1_RS09365	18666	8330	76482	29028
VV1_RS09380	3222	3518	2235	1007
VV1_RS09385	4679	8618	2744	1392
VV1_RS09390	195	39	80	22
VV1_RS09410	2548	2178	2286	784
VV1_RS09420	1930	1437	1869	440
VV1_RS09435	10638	1509	1227	332
VV1_RS09440	1377	1487	365	150
VV1_RS09455	1774	1357	300	171
VV1_RS09460	16075	40563	2556	1466
VV1_RS09465	3488	3569	136254	46963
VV1_RS09500	140	139	172	51
VV1_RS09505	1304	1029	2585	1452
VV1_RS09510	541	185	762	333
VV1_RS09515	288	256	446	167
VV1_RS09545	170	107	59	20
VV1_RS09565	326	491	70	17
VV1_RS09695	839	317	204	94
VV1_RS09705	4415	15413	8292	2347
VV1_RS09720	153	146	327	89
VV1_RS09725	824	214	18432	6089
VV1_RS09740	21011	9285	14952	4110
VV1_RS09745	64903	4272	316	207
VV1_RS09750	13941	4263	8920	4196
VV1_RS09760	1944	3749	685	317
VV1_RS09775	4491	7485	3536	1580
VV1_RS09785	1903	3768	510	254
VV1_RS09795	1034	1278	851	483
VV1_RS09800	2468	3828	4158	1854
VV1_RS09810	684	714	388	281
VV1_RS09815	749	775	245	192
VV1_RS09820	830	742	234	117
VV1_RS09830	1125	1189	622	736
VV1_RS09835	1675	1519	424	213
VV1_RS09850	869	587	166	80
VV1_RS09855	267	180	3854	1400
VV1_RS09860	3135	4012	496819	236004
VV1_RS09865	7058	6961	734277	210575
VV1_RS09870	13473	10646	966927	417875
VV1_RS09880	240	154	1808	428
VV1_RS09890	151	417	18307	6142
VV1_RS09895	397	215	1643	604
VV1_RS09900	43384	384523	6704	2077
VV1_RS09905	7415	32620	4551	1279
VV1_RS09915	384	3233	16234	6136
VV1_RS09920	944	17139	24943	8824
VV1_RS09925	121	2284	3923	2308
VV1_RS09930	93	541	1534	1150
VV1_RS09940	3985	1872	552	177
VV1_RS09945	1754	6820	6944	4332
VV1_RS09960	229	113	135	89
VV1_RS09975	1821	1434	964	395
VV1_RS09980	1232	970	2173	1160
VV1_RS09985	11055	17087	4908	1905
VV1_RS10010	1264	1063	14191	3894
VV1_RS10025	3552	4303	797	410
VV1_RS10050	960	1031	2321	868
VV1_RS10060	77	87	369	113
VV1_RS10070	1144	948	1049	240
VV1_RS10080	1361	1386	2047	427
VV1_RS10085	3709	1293	1454	328
VV1_RS10090	863	733	923	931
VV1_RS10095	1531	1397	694	413
VV1_RS10100	2033	2403	988	458
VV1_RS10110	425	585	657	357
VV1_RS10125	3154	1363	698	175
VV1_RS10130	2703	908	853	296
VV1_RS10135	1243	863	1372	713
VV1_RS10140	279	296	241	110
VV1_RS10145	115	163	132	116
VV1_RS10150	746	610	687	447
VV1_RS10165	574	410	960	882
VV1_RS10180	14989	7326	3476	915
VV1_RS10185	3881	4029	1104	225
VV1_RS10205	4913	2731	918	401
VV1_RS10215	2225	2034	724	376
VV1_RS10230	4288	3326	1979	973
VV1_RS10235	5191	4461	1233	460
VV1_RS10240	219	140	99	47
VV1_RS10255	142	115	148	61
VV1_RS10265	5745	6755	32824	16109
VV1_RS10360	803	901	380	282
VV1_RS10365	654	469	291	93
VV1_RS10370	4470	4392	2399	1389
VV1_RS10375	146	111	76	26
VV1_RS10380	10344	568	213	115
VV1_RS10390	329	263	316	171
VV1_RS10395	1797	1779	3294	1643
VV1_RS10400	316	292	346	148
VV1_RS10405	2208	904	1536	1063
VV1_RS10410	1087	451	420	157
VV1_RS10415	50079	4873	33710	15348
VV1_RS10420	3515	787	6841	2100
VV1_RS10425	57	25	40	13
VV1_RS10435	349	288	759	229
VV1_RS10445	3747	20795	1255	459
VV1_RS10450	9133	28993	1484	546
VV1_RS10460	544	3176	2271	1129
VV1_RS10465	174	578	730	324
VV1_RS10470	335	586	463	138
VV1_RS10480	904	468	911	240
VV1_RS10485	245	72	47	49
VV1_RS10490	638	302	107	35
VV1_RS10505	2263	3152	1590	606
VV1_RS10520	286	185	1806	872
VV1_RS10530	124	134	401	160
VV1_RS10535	637	588	536	429
VV1_RS10540	559	757	1138	409
VV1_RS10550	585	377	384	139
VV1_RS10555	863	565	276	123
VV1_RS10560	98	100	186	57
VV1_RS10570	21214	1130	53428	11563
VV1_RS10575	3759	22593	1234	653
VV1_RS10580	203	142	2083	707
VV1_RS10610	3020	156	2031	726
VV1_RS10625	3175	3138	640	260
VV1_RS10630	1424	189	790	226
VV1_RS10635	4845	276	2391	1338
VV1_RS10640	508	353	5884	2378
VV1_RS10650	734	1326	60638	17777
VV1_RS10665	23276	6681	4060	1875
VV1_RS10680	3081	3918	442	238
VV1_RS10685	3261	2341	552	348
VV1_RS10705	1850	2940	82	47
VV1_RS10710	4169	3968	79	32
VV1_RS10720	458	780	163	56
VV1_RS10725	13883	5002	2867	2472
VV1_RS10730	849	495	824	352
VV1_RS10735	4262	1845	15553	4479
VV1_RS10745	3732	5707	17128	8334
VV1_RS10750	1915	5196	23089	6793
VV1_RS10755	619	461	965	715
VV1_RS10760	847	450	13854	3966
VV1_RS10765	66	50	99	49
VV1_RS10770	4990	828	5575	1600
VV1_RS10775	93	152	232	88
VV1_RS10780	228	225	2527	1257
VV1_RS10785	491	66	207	171
VV1_RS10790	7915	1116	1837	1224
VV1_RS10800	2880	2117	4542	977
VV1_RS10825	1180	6798	205	103
VV1_RS10830	69	79	358	71
VV1_RS10835	962	181	283	131
VV1_RS10850	585	788	328	161
VV1_RS10870	259	174	181	70
VV1_RS10875	125	110	68	23
VV1_RS10885	356	342	337	141
VV1_RS10895	1478	680	13383	5980
VV1_RS10900	3434	1644	35432	15687
VV1_RS10910	1931	1051	1593	352
VV1_RS10920	1910	352	85	22
VV1_RS10925	7645	665	132	65
VV1_RS10930	6851	241	84	39
VV1_RS10935	734	542	208	73
VV1_RS10955	1513	809	293	181
VV1_RS10980	485	535	20	20
VV1_RS10985	189	237	115	26
VV1_RS10995	341	580	62	49
VV1_RS11000	192	337	69	21
VV1_RS11005	41	105	39	33
VV1_RS11010	54	72	33	11
VV1_RS11015	37	38	20	6
VV1_RS11030	268	97	130	36
VV1_RS11040	164	124	136	27
VV1_RS11045	4181	2161	4270	3779
VV1_RS11070	76	83	4860	1631
VV1_RS11100	1286	658	247	119
VV1_RS11105	4207	2257	449	99
VV1_RS11115	156	101	4844	376
VV1_RS11130	1526	1888	457	152
VV1_RS11140	26	72	51	15
VV1_RS11145	3438	1716	414	130
VV1_RS11155	103	55	112	47
VV1_RS11160	343	200	1660	879
VV1_RS11165	9947	1414	18571	5121
VV1_RS11180	2301	3116	537	135
VV1_RS11185	1843	908	164	28
VV1_RS11190	1839	1964	111	43
VV1_RS11200	25484	4091	2838	1200
VV1_RS11205	567	719	776	359
VV1_RS11215	2268	497	748	148
VV1_RS11225	639	584	1140	634
VV1_RS11230	461	558	176	106
VV1_RS11235	238	141	65	21
VV1_RS11240	4032	2213	22666	5055
VV1_RS11245	4954	26641	3481	1497
VV1_RS11255	16224	6037	2257	833
VV1_RS11260	123	45	308	272
VV1_RS11270	545	102	22761	12621
VV1_RS11275	363	213	10939	6976
VV1_RS11285	750	189	1576	627
VV1_RS11290	1056	720	231	137
VV1_RS11295	1368	749	1002	357
THRS	11831	16740	3889	1261
VV1_RS11320	417	365	1372	396
VV1_RS11675	1350	1172	575	233
VV1_RS11900	2490	1210	1421	645
VV1_RS12160	296	284	230	54
VV1_RS12210	532	1093	236	105
VV1_RS12215	1164	1153	2775	1456
VV1_RS12225	23095	1295	29942	11489
VV1_RS12230	2141	484	830	222
VV1_RS12235	1791	517	858	258
VV1_RS12255	278	472	127	41
VV1_RS12265	12483	920	948	435
VV1_RS12275	2671	692	428	151
VV1_RS12285	2540	579	340	245
VV1_RS12290	971	255	166	71
VV1_RS12295	6551	4517	2738	788
VV1_RS12300	9116	3938	480	342
VV1_RS12305	4604	2083	504	263
VV1_RS12310	441	367	516	131
VV1_RS12320	759	300	357	128
VV1_RS12330	3313	8707	1488	349
VV1_RS12345	6777	1342	1233	318
VV1_RS12350	1805	530	747	173
VV1_RS12360	5100	2192	2129	421
VV1_RS12365	827	363	351	78
VV1_RS12370	1341	525	422	112
VV1_RS12395	225	1400	171	39
VV1_RS12400	2532	1992	1237	1234
POTD	1689	1104	345	101
VV1_RS12430	283	157	4920	1370
VV1_RS12435	1195	227	5763	3000
VV1_RS12440	375	175	1967	808
VV1_RS12445	457	206	1170	461
VV1_RS12450	27609	10041	47874	18765
VV1_RS12455	28722	10315	17985	9774
VV1_RS12460	196	159	240	90
VV1_RS12480	6564	5397	1806	581
VV1_RS12490	15875	10494	4930	1494
VV1_RS12495	8331	7387	3384	1074
VV1_RS12505	3382	2381	2248	1034
VV1_RS12510	3376	1086	2310	881
VV1_RS12515	1864	1337	22524	5511
VV1_RS12535	1184	503	239	139
VV1_RS12555	3365	1608	4929	3090
VV1_RS12575	3149	1109	505	158
VV1_RS12590	532	442	20353	6662
VV1_RS12595	7064	9149	16529	4395
VV1_RS12600	7086	4666	27384	4058
VV1_RS12610	4469	1444	10704	2512
VV1_RS12615	581	508	970	428
VV1_RS12620	2181	862	957	372
VV1_RS12630	2962	2276	2206	427
VV1_RS12635	1147	952	541	291
VV1_RS12645	638	641	124	57
VV1_RS12660	688	286	190	72
VV1_RS12670	29	95	49	26
VV1_RS12675	140	261	374	121
VV1_RS12680	47	74	98	51
VV1_RS12685	129	134	4407	2682
VV1_RS12690	723	739	26986	7514
VV1_RS12695	2334	1508	46090	12228
VV1_RS12710	179	179	5054	1349
VV1_RS12720	59	67	2539	688
VV1_RS12725	28	59	587	150
VV1_RS12730	174	106	287	116
VV1_RS12735	117	76	137	38
VV1_RS12750	262	438	99	78
VV1_RS12780	4004	2079	2140	855
VV1_RS12785	1653	891	1203	546
VV1_RS12790	3619	1326	3213	1424
VV1_RS12795	923	685	1123	839
VV1_RS12800	1082	648	1667	769
VV1_RS12815	2606	2646	223	76
VV1_RS12820	670	503	70	45
VV1_RS12825	479	402	125	70
VV1_RS12830	2470	1210	640	357
VV1_RS12835	14575	12285	6506	3496
VV1_RS12845	478	1146	347	111
VV1_RS12855	1802	2197	338	213
VV1_RS12865	957	97	103	37
VV1_RS12880	1260	964	1439	506
VV1_RS12885	8362	25263	160909	44687
VV1_RS12890	528	1702	4454	1089
VV1_RS12895	826	2141	5185	949
VV1_RS12900	3642	8361	36358	7470
VV1_RS12925	11407	9691	6337	3069
VV1_RS12945	13181	11560	13300	6624
VV1_RS12950	29029	18104	14715	7915
VV1_RS12960	743	146	221	105
VV1_RS12965	418	204	211	71
VV1_RS12970	288	235	313	59
VV1_RS12975	425	357	82	72
VV1_RS12980	1170	157	136	42
VV1_RS12985	475	317	165	109
VV1_RS12990	501	346	687	439
VV1_RS13025	1202	651	15254	5209
VV1_RS13035	940	277	6880	2385
VV1_RS13045	41	304	636	148
VV1_RS13055	157	182	149	40
VV1_RS13070	58	326	74	14
VV1_RS13080	2096	1334	1692	647
VV1_RS13095	1122	3206	6206	2510
VV1_RS13100	4470	943	4237	2965
VV1_RS13105	28	22	276	78
VV1_RS13110	16	15	15	10
VV1_RS13115	88	56	43	25
VV1_RS13125	35	28	71	14
VV1_RS13130	5357	1279	4422	1317
VV1_RS13150	346	332	567	454
VV1_RS13165	2414	1413	16915	5533
VV1_RS13170	2422	1849	1651	655
VV1_RS13180	155	263	3623	814
VV1_RS13190	698	300	3439	660
VV1_RS13195	5002	816	13770	3423
VV1_RS13200	2197	215	17462	4028
VV1_RS13205	210	310	158	64
VV1_RS13215	188	487	316	152
VV1_RS13220	201	38	389	440
VV1_RS13245	10329	468	1039	809
VV1_RS13250	567	913	182	136
VV1_RS13265	220	110	67	30
VV1_RS13270	487	194	237	107
VV1_RS13275	5752	2274	1156	378
VV1_RS13280	4900	7297	2541	1695
VV1_RS13285	937	1354	780	663
VV1_RS13305	5075	187	5517	3196
VV1_RS13320	79	122	177	47
VV1_RS13340	3684	3594	1552	877
VV1_RS13350	3345	2972	2895	694
VV1_RS13355	1121	701	524	183
VV1_RS13360	121	34	386	277
VV1_RS13365	1747	1106	4333	1347
VV1_RS13370	722	382	352	182
VV1_RS13380	292	209	6143	679
VV1_RS13385	9195	8075	2145	1149
VV1_RS13390	341	190	178	42
VV1_RS13395	319	286	219	94
VV1_RS13400	1629	10374	489	224
VV1_RS13405	5905	7011	5304	5869
VV1_RS13430	2292	1997	2082	1205
VV1_RS13435	423	1005	344	231
VV1_RS13445	1495	675	472	200
VV1_RS13450	34934	7887	9060	4337
VV1_RS13455	25235	2695	22510	2761
VV1_RS13465	1201	759	719	429
VV1_RS13470	2067	3552	1394	389
VV1_RS13475	27146	2804	15620	5165
VV1_RS13480	5594	196	1456	476
VV1_RS13490	322	143	71	49
VV1_RS13495	1340	671	423	195
VV1_RS13500	170	97	83	23
VV1_RS13505	2240	2858	1479	1139
VV1_RS13510	274	293	750	315
VV1_RS13515	121	214	36	20
VV1_RS13520	339	949	304	61
VV1_RS13525	372	153	251	73
VV1_RS13530	526	250	92	28
VV1_RS13540	7612	5949	429	253
VV1_RS13545	2941	1639	228	215
VV1_RS13555	536	204	290	133
VV1_RS13560	396	316	475	151
VV1_RS13565	2393	1336	2204	879
VV1_RS13585	1894	1216	20467	5179
VV1_RS13590	160	184	1418	462
VV1_RS13595	214	148	1975	433
VV1_RS13600	49	44	646	171
VV1_RS13605	461	1059	172	82
VV1_RS13610	202	158	146	50
VV1_RS13615	486	266	63	34
VV1_RS13620	29	13	26	10
VV1_RS13625	133	214	187	95
VV1_RS13630	2314	2671	2660	1134
VV1_RS13635	3188	17374	20858	10068
VV1_RS13645	1836	5202	820	418
VV1_RS13655	3990	4304	12487	2241
VV1_RS13665	4659	4490	22173	5654
VV1_RS13680	16042	5715	3962	1726
VV1_RS13685	736	1565	685	286
VV1_RS13690	6231	1277	5130	1836
VV1_RS13695	989	239	2265	654
VV1_RS13700	220	91	270	152
VV1_RS13705	701	326	2255	584
VV1_RS13710	272	150	1033	393
VV1_RS13725	1244	863	756	270
VV1_RS13745	927	255	4056	2684
VV1_RS13755	6355	4508	5580	987
VV1_RS13760	4348	2342	3669	796
VV1_RS13770	1892	213	371	182
VV1_RS13775	209	174	192	55
VV1_RS13780	996	2835	1064	406
VV1_RS13795	1161	134	1075	663
VV1_RS13825	329	329	136	63
VV1_RS13830	1950	442	745	214
VV1_RS13840	1240	1974	815	274
VV1_RS13845	634	1290	321	126
VV1_RS13850	1893	4432	771	515
VV1_RS13860	1617	3846	531	318
VV1_RS13865	3465	6506	946	446
VV1_RS13880	587	276	693	171
VV1_RS13890	1602	2082	1647	615
VV1_RS13905	6826	2581	1557	545
VV1_RS13910	1779	1252	5017	1890
VV1_RS13930	1901	1418	325253	122524
VV1_RS13935	347	269	73925	28819
VV1_RS13955	10167	971	838	244
VV1_RS13965	810	8488	180	40
VV1_RS13975	629	240	468	189
VV1_RS13985	10977	12294	2096	1055
VV1_RS13990	421	332	232	112
VV1_RS14010	9157	7168	6410	2493
VV1_RS14025	6117	2492	24765	11413
VV1_RS14030	119	178	151	132
VV1_RS14045	722	254	37925	7524
VV1_RS14050	608	276	3989	669
VV1_RS14060	933	1126	30046	21195
VV1_RS14065	345	341	225	91
VV1_RS14070	717	588	371	164
VV1_RS14075	949	391	386	131
VV1_RS14085	2250	1477	2550	1114
VV1_RS14110	2071	6045	4191	2072
VV1_RS14115	1375	1140	906	541
VV1_RS14120	476	1022	1372	705
VV1_RS14125	2124	723	388	169
VV1_RS14130	14712	7095	3474	2605
VV1_RS14155	4262	2223	2217	868
VV1_RS14160	556	411	453	206
VV1_RS14165	718	296	447	140
VV1_RS14170	799	403	750	417
VV1_RS14180	13532	3861	14563	3017
VV1_RS14185	21748	2678	3765	2125
VV1_RS14190	26698	3234	43442	10424
VV1_RS14195	13063	2516	27877	14573
VV1_RS14205	720	2850	983	517
VV1_RS14215	142611	84554	36236	5903
VV1_RS14220	346	415	152	64
VV1_RS14235	1090	923	438	203
VV1_RS14240	1030	817	399	264
VV1_RS14245	852	851	836	157
VV1_RS14260	714	483	669	188
VV1_RS14265	714	301	708	193
VV1_RS14270	651	224	520	313
VV1_RS14290	2826	534	347	139
VV1_RS14295	6959	3418	1267	338
VV1_RS14300	204	289	309	120
VV1_RS14310	342	372	168	81
VV1_RS14320	2187	1451	10455	2490
VV1_RS14325	2925	5752	1691	553
VV1_RS14335	8411	661312	413	220
VV1_RS14355	3831	480	471	246
VV1_RS14360	14136	809	1366	612
VV1_RS14365	6691	424	920	413
VV1_RS14385	530	172	73	34
VV1_RS14390	5636	4226	3068	975
VV1_RS14400	711	220	332	97
VV1_RS14405	402	593	2012	518
VV1_RS14420	4319	2639	1728	861
VV1_RS14425	2177	4289	1353	773
VV1_RS14435	402	468	3710	3185
VV1_RS14440	1048	1257	953	246
VV1_RS14445	2419	1786	3736	778
VV1_RS14495	623	535	301	144
VV1_RS14510	2514	975	1411	325
VV1_RS14515	667	5947	277	50
VV1_RS14520	1425	1254	3344	1178
VV1_RS14525	1403	869	2962	688
VV1_RS14535	1634	3900	2185	1711
VV1_RS14555	3861	7221	4022	3391
VV1_RS14565	1179	3385	127	20
VV1_RS14595	10702	2694	5044	998
VV1_RS14600	324	451	351	171
VV1_RS14610	1031	638	821	438
VV1_RS14620	6380	5926	17133	7200
VV1_RS14650	6452	1843	4794	1741
VV1_RS14660	54719	15765	5009	2384
VV1_RS14665	6008	6272	3307	1588
VV1_RS14700	820	379	222	171
VV1_RS14705	493	229	145	161
VV1_RS14710	620	442	292	192
VV1_RS14725	10987	10014	8967	4543
VV1_RS14730	184	268	196	38
VV1_RS14735	141	204	1716	557
VV1_RS14740	962	1125	709	450
VV1_RS14760	4362	177	48829	17849
VV1_RS14765	125187	637806	9776	3342
VV1_RS14770	418	178	201	93
VV1_RS14775	260	230	104	57
VV1_RS14785	7120	23755	1312	784
VV1_RS14790	237	157	291	108
VV1_RS14795	1539	520	2761	1153
VV1_RS14800	5823	1373	5882	1731
VV1_RS14805	2911	2772	2455	651
VV1_RS14815	1513	845	1443	547
VV1_RS14825	629	247	23	6
VV1_RS14845	1533	882	2673	1558
VV1_RS14850	3160	2041	10009	4812
VV1_RS14855	121	84	39	15
FADH	4584	1261	3441	2475
VV1_RS14875	2335	3880	2203	1433
VV1_RS14890	1906	771	2904	748
VV1_RS14900	22791	72953	5095	1349
VV1_RS14905	715	7249	326	154
VV1_RS14910	761	593	379	186
VV1_RS14925	13402	2333	349	231
VV1_RS14935	46135	7271	29280	9039
VV1_RS14950	1313	1039	6799	1991
VV1_RS14965	10231	664	1558	384
VV1_RS14980	813	1004	726	269
VV1_RS14985	584	1335	1170	840
VV1_RS15005	3532	3954	1547	701
VV1_RS15015	1180	1063	1091	412
VV1_RS15020	394	206	108	32
VV1_RS15035	1621	2985	1722	644
VV1_RS15040	2758	6332	1065	340
VV1_RS15055	1881	413	429	173
VV1_RS15060	743	3572	2560	802
