	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_chemostat1	K12_chemostat2
yecE	239	188	242	189
yecO	329	205	345	216
yecP	288	199	437	285
torY	56	21	64	29
cutC	554	319	554	320
argS	2662	1513	2788	1581
flhA	2515	1405	2520	1409
flhB	1734	905	1734	905
cheZ	8795	4788	8795	4788
cheB	7382	3799	7627	3938
cheR	4673	2559	4685	2568
tap	25532	12883	25606	12919
tar	40772	20329	40805	20355
cheA	27799	14853	29123	15549
motB	7119	4137	7610	4372
motA	11594	6060	11602	6062
otsA	1900	1080	1900	1080
otsB	1100	598	1109	604
araH	332	177	336	178
araG	493	236	523	252
araF	975	409	975	409
tyrP	346	230	346	231
yecA	1731	1001	1731	1001
uvrC	1623	934	1624	935
uvrY	1906	1065	1906	1065
sdiA	419	213	465	242
yecC	915	486	941	504
yecS	588	311	627	343
yedO	1853	966	1928	1023
fliY	22490	10645	24543	11643
fliA	21829	11173	23220	11884
fliD	10334	5771	11105	6205
amyA	3391	1860	3578	1977
yedE	3418	1522	3569	1578
fliF	5819	3105	6236	3311
fliG	4437	2411	4752	2602
fliH	2338	1310	2550	1431
fliI	1939	1021	2029	1070
fliM	2708	1531	2849	1634
fliP	437	256	491	291
fliR	251	126	301	146
rcsA	369	211	374	214
yedP	418	230	491	274
yedQ	407	261	392	257
yedI	694	401	711	415
yedA	39	24	44	24
dcm	1016	534	1039	549
yedJ	323	188	342	194
hchA	401	258	471	301
yedW	442	243	449	244
yedZ	93	50	101	53
yodA	10333	6120	10386	6150
yeeI	4478	1983	4484	1987
shiA	1113	613	1179	650
amn	824	530	834	544
yeeN	2534	1461	2534	1463
yeeO	172	89	175	89
cbl	964	465	994	487
nac	75	47	80	47
erfK	603	367	619	376
cobS	576	335	611	361
yeeA	433	287	460	301
dacD	300	151	344	185
yeeE	8326	3474	8398	3515
yeeF	2728	1708	2706	1689
yeeY	213	122	220	127
yeeZ	1091	625	1094	628
hisG	968	604	1154	713
hisD	621	381	849	539
hisC	647	394	754	462
hisB	1244	727	1546	901
hisA	1077	605	1077	605
hisF	787	422	934	502
ugd	246	117	310	152
gnd	12552	7394	19067	11233
galF	2841	1608	6011	3471
wcaL	26	15	43	25
wcaK	30	14	37	16
wzxC	19	12	25	16
wcaJ	21	10	25	14
cpsG	26	14	33	17
cpsB	46	21	46	24
fcl	23	11	28	14
gmd	38	29	39	29
wcaE	8	7	8	7
wcaD	19	19	26	22
wcaC	46	22	53	25
wcaA	13	10	13	10
wzc	34	16	35	17
wza	7	5	9	5
yegH	463	256	504	280
asmA	2201	1082	2246	1130
udk	399	254	400	254
yegL	26	7	39	12
mdtA	74	58	84	65
mdtB	197	110	217	118
mdtC	200	100	219	108
baeS	105	68	117	74
baeR	205	158	194	150
yegQ	526	347	526	347
yegS	298	181	312	192
gatD	9032	3752	9551	3966
gatZ	138196	53318	138739	53535
gatY	114869	46727	115782	47113
fbaB	5116	2556	5305	2643
yegT	140	85	142	86
yegU	185	86	194	87
yegV	160	79	163	79
yegW	177	99	177	99
yegX	242	109	260	118
thiD	932	503	946	509
thiM	1713	924	1852	1001
rncA	53	32	57	37
yehA	26	13	27	14
yehC	0	1	0	2
mrp	2991	1839	3604	2192
metG	1958	1230	2279	1443
yehL	7	4	8	4
yehP	15	8	21	11
yehT	654	305	654	306
yehU	1322	557	1355	572
mlrA	216	130	227	135
yehW	101	40	107	43
yehX	153	81	157	82
yehY	171	87	179	91
yehZ	441	225	442	225
bglX	1966	1056	1998	1079
dld	4837	2543	5011	2635
pbpG	651	354	651	356
yohF	157	97	213	126
dusC	136	85	159	90
yohK	66	49	66	49
cdd	318	171	330	180
sanA	159	92	160	92
yeiT	258	122	268	127
yeiA	394	164	402	168
mglC	4938	1841	5006	1878
mglA	11074	3932	12035	4298
mglB	34380	14482	36197	15214
galS	1058	396	1067	394
yeiB	305	184	326	200
folE	1432	937	1440	940
frmC	1464	920	2069	1247
cirA	2699	1405	2542	1330
lysP	2929	1835	2934	1836
yeiE	406	276	409	277
yeiH	163	107	164	109
nfo	613	395	650	419
yeiJ	14	17	31	32
rihB	18	7	21	7
yeiL	47	23	54	24
yeiC	209	68	213	68
fruA	1542	847	1670	914
fruK	779	407	781	408
fruB	699	415	703	419
setB	80	38	46	24
yeiQ	462	256	493	279
yeiR	246	144	248	145
yeiU	159	103	160	103
rtn	532	331	556	343
yejB	98	59	114	71
yejE	160	112	161	112
yejF	583	347	584	347
bcr	443	235	473	256
rsuA	467	319	508	371
yejH	85	63	99	69
yejK	1608	846	1714	886
yejM	1238	629	1253	646
narP	924	521	1068	592
ccmH	186	130	249	151
ccmF	235	106	287	137
ccmC	151	67	152	67
ccmB	74	40	79	40
ccmA	152	85	162	87
napC	313	141	313	141
napH	72	37	74	38
napG	54	32	54	32
napA	477	236	503	250
mqo	236	146	249	154
yojI	924	497	1036	551
alkB	36	18	39	18
ada	148	105	158	110
yojL	137	59	158	72
rcsB	4012	2301	4021	2308
rcsC	1379	769	1463	809
yfaP	33	10	38	11
yfaQ	111	40	113	40
yfaT	8	4	8	4
gyrA	10828	6352	11092	6511
ubiG	547	306	627	346
nrdA	2604	1674	2922	1878
nrdB	1914	1168	2137	1318
inaA	587	288	587	289
glpQ	58669	22142	62411	23644
glpT	65214	23551	68349	24728
glpA	8019	3147	8081	3167
glpB	4667	1789	5284	2028
glpC	3090	1230	3180	1276
yfaY	570	324	593	334
ais	18	11	22	11
yfbE	189	102	178	99
yfbF	48	36	48	36
yfbG	228	118	234	123
yfbH	78	42	80	43
arnT	103	51	105	51
menE	301	173	332	182
menC	376	223	485	301
menB	853	478	908	509
yfbB	271	171	283	178
menD	315	172	328	178
menF	622	369	633	377
elaC	302	226	306	234
nuoN	2052	1283	2299	1429
nuoM	2437	1436	2451	1445
nuoL	5194	2886	5309	2958
nuoH	4651	2381	4656	2382
nuoG	15597	7707	15983	7900
nuoF	6760	3386	7917	3978
nuoC	9723	4848	10396	5175
nuoB	5449	2648	5668	2759
lrhA	2898	1330	2908	1333
yfbQ	1132	658	1133	659
yfbS	346	187	351	188
yfbT	1504	883	1552	920
ackA	2263	1264	2469	1371
pta	3673	2109	3677	2113
yfcF	201	125	201	125
yfcG	88	56	90	57
yfcH	908	534	1004	609
hisP	1222	573	1229	573
hisM	903	435	913	441
hisQ	2074	957	2099	969
hisJ	10101	4285	10123	4298
purF	2648	1638	2659	1648
dedD	827	417	829	419
folC	1638	855	1667	875
accD	6977	3831	6993	3837
truA	998	598	1028	619
usg	918	533	989	588
pdxB	1452	886	1573	975
flk	440	238	461	242
yfcJ	78	62	83	65
fabB	4142	2786	4238	2839
trmC	476	315	477	315
yfcA	429	224	451	249
mepA	550	333	562	341
aroC	2090	1243	2536	1500
prmB	1646	965	1936	1104
yfcY	1421	534	1520	568
fadL	3423	1435	3592	1509
vacJ	1351	762	1418	798
yfdC	182	83	193	91
dsdA	197	128	199	129
emrY	14	9	15	9
emrK	32	15	35	17
evgA	320	216	343	230
yfdE	48	13	48	13
yfdV	12	9	12	9
oxc	52	18	52	18
frc	41	19	41	19
yfdX	25	8	25	8
ddg	65	35	90	50
yfdZ	844	478	938	551
ypdA	369	200	378	205
ypdB	428	212	428	212
ypdC	87	53	101	60
ypdD	118	63	132	72
ypdE	42	16	44	18
ypdF	56	29	67	31
ypdG	24	12	27	16
glk	1769	923	1848	968
yfeO	190	113	195	114
mntH	847	509	918	543
nupC	885	539	965	589
yfeA	743	412	749	412
gltX	5581	3237	5728	3320
yfeR	162	101	166	103
yfeH	677	358	529	290
ligA	1117	612	1193	648
zipA	4455	2255	4473	2263
cysZ	381	228	388	233
cysK	36048	17702	36987	18154
ptsI	45565	26519	45644	26560
pdxK	685	368	718	387
cysM	3598	1615	4221	1907
cysA	2727	1262	3742	1670
cysW	1836	802	2064	892
cysU	1764	682	1838	711
cysP	4240	1922	4240	1922
ucpA	3992	1529	4154	1595
yfeT	127	58	130	59
yfeU	173	68	206	82
murP	181	70	188	71
murQ	211	111	230	123
yfeX	2022	1105	2025	1106
amiA	743	455	791	476
hemF	238	140	279	159
yfeG	151	54	162	60
eutL	133	54	184	80
eutC	180	110	187	115
eutB	851	549	905	590
eutA	15	7	17	9
eutH	24	14	25	15
eutG	22	13	25	14
eutJ	14	11	15	11
eutE	27	9	32	11
eutI	71	46	72	46
eutT	38	23	38	24
eutQ	61	22	63	22
maeB	19269	8874	21048	9712
talA	1833	1187	1937	1255
tktB	3137	1997	3147	2002
ypfG	280	166	325	197
aegA	127	58	127	59
narQ	247	137	260	147
acrD	216	107	222	113
dapE	776	450	881	524
ypfH	360	160	360	160
ypfJ	990	592	1022	626
purC	4089	2289	4411	2464
nlpB	4710	2705	4710	2705
dapA	7453	4052	7456	4055
hyfA	4	5	5	5
hyfC	8	5	9	5
hyfD	22	12	25	12
hyfE	17	5	17	5
hyfG	40	19	41	19
hyfI	20	9	20	10
perM	375	230	383	238
yfgC	1964	1076	1979	1086
hda	968	534	952	522
uraA	2524	1389	2549	1405
upp	4406	2393	4495	2444
purM	2994	1733	3034	1756
purN	866	549	869	553
ppk	1258	740	1321	782
ppx	1154	633	1188	648
yfgF	102	62	102	62
guaA	5591	3126	5682	3165
guaB	3041	1981	3373	2176
xseA	526	350	550	366
der	2747	1605	2788	1626
yfgL	3749	2111	3769	2122
yfgM	2542	1343	2542	1343
hisS	5528	3139	5768	3272
ispG	3107	1744	3237	1813
yfgA	2003	1154	2094	1213
yfgB	1921	1063	1941	1078
pbpC	139	60	142	61
sseA	1575	683	1576	683
sseB	933	538	944	543
pepB	3184	1628	3255	1679
hscA	2815	1659	2889	1719
iscS	9476	5727	9518	5760
yfhQ	1053	642	1100	665
suhB	1564	918	1610	942
yfhR	32	21	31	22
hcaT	248	113	255	119
hcaR	5669	2045	5402	1950
hcaE	337	157	338	157
hcaB	77	42	77	42
yphB	110	58	114	58
yphC	124	49	136	54
yphD	31	10	37	12
yphE	78	41	94	45
yphF	79	37	92	43
yphH	480	218	488	220
glyA	19496	10100	20340	10566
hmp	896	476	903	477
yfhA	488	265	545	297
yfhG	392	202	324	176
yfhK	661	360	697	375
yfhD	328	170	349	193
yfhB	416	244	437	256
yfhH	257	140	260	140
pdxJ	1220	588	1536	783
recO	614	350	627	358
era	1589	874	2012	1149
rnc	1225	765	1377	874
lepB	2243	1268	2428	1374
lepA	5080	2840	5191	2909
rseB	2156	1114	2158	1115
rseA	6715	3520	6719	3521
yfiC	289	162	313	173
srmB	707	423	781	458
yfiE	166	91	215	124
ung	753	409	811	440
yfiF	1294	764	1320	772
yfiP	118	54	120	55
yfiQ	3850	1554	4008	1607
pssA	5024	2360	5083	2401
kgtP	21628	10824	22997	11537
clpB	9327	5774	9565	5936
yfiH	390	184	414	195
rluD	1129	631	1202	669
yfiO	5662	3265	5696	3279
pheA	2456	1470	2678	1599
tyrA	1773	1050	1939	1138
aroF	3410	1827	3415	1830
yfiN	105	65	109	67
trmD	31582	16544	31601	16555
ffh	2287	1305	2808	1605
ypjD	443	253	421	243
yfjD	552	359	602	400
yfjB	371	243	371	243
recN	783	431	783	431
gabT	790	396	879	443
gabP	231	126	263	147
csiR	391	185	402	188
nrdF	260	149	265	150
proV	1437	870	1448	883
proW	408	272	440	307
proX	1865	974	2107	1126
ygaZ	724	383	724	383
emrA	446	253	486	277
emrB	267	173	305	184
gshA	3538	2069	3601	2111
alaS	15332	8634	15586	8771
recA	7236	3950	7275	3970
mltB	178	86	178	86
srlE	75	40	75	40
srlD	150	90	150	90
srlR	543	241	582	260
gutQ	351	170	386	181
norV	75	44	83	52
norW	27	32	29	33
ascG	909	462	924	472
ascF	116	65	120	66
hycG	57	22	66	24
hycE	29	15	34	17
hycD	5	7	6	8
hycC	13	3	15	4
hycB	11	3	11	3
hypB	130	72	132	72
hypD	643	317	721	353
hypE	170	66	200	78
fhlA	152	95	161	101
mutS	1028	565	1187	645
ygbI	739	375	736	375
ygbJ	63	46	63	46
ygbK	78	51	73	48
ygbL	36	22	41	25
ygbM	42	28	43	28
ygbN	111	48	116	52
nlpD	61037	28516	64314	30073
pcm	980	486	985	490
surE	628	337	934	481
truD	1967	967	1976	972
ispD	429	243	449	261
cysC	2170	887	2176	887
cysN	8003	3569	8817	3925
cysD	5447	2381	5452	2385
iap	304	184	316	191
cysH	4823	2110	5605	2480
cysI	9405	4290	10254	4699
cysJ	6832	3154	7055	3247
ygcQ	37	34	37	34
ygcR	15	13	15	13
ygcS	31	11	31	11
ygcU	56	28	62	30
ygcW	25	10	25	10
yqcE	87	42	100	46
ygcF	691	400	695	403
eno	28639	17373	28655	17383
pyrG	6330	3792	6555	3939
mazG	948	502	1050	555
relA	3444	1797	3823	2005
barA	794	463	817	474
gudD	222	122	235	130
gudX	98	39	115	50
gudP	54	28	57	30
truC	225	116	235	122
queF	885	517	903	523
ygdH	1115	570	1123	572
sdaC	941	655	954	666
sdaB	367	233	380	242
exo	255	170	252	167
fucO	1288	467	1288	467
fucA	452	158	478	170
fucP	98	40	106	42
fucI	283	143	294	147
fucK	247	151	247	151
fucR	1465	642	1465	642
ygdE	815	441	815	441
gcvA	430	211	447	223
csdA	339	190	408	217
ygdL	427	209	453	222
mltA	954	468	1015	496
amiC	1399	726	1555	813
argA	3746	1655	3950	1754
recD	822	420	861	438
ptr	1603	843	1699	905
recC	1097	582	1139	616
thyA	1010	619	1139	697
lgt	819	460	859	484
ptsP	2755	1637	2759	1641
mutH	236	102	238	103
ygdQ	148	127	152	133
tas	908	572	908	572
ygeD	279	126	279	126
aas	878	538	909	552
galR	448	201	452	204
lysA	1488	752	1500	758
lysR	114	72	124	79
ygeA	727	358	729	359
araE	236	105	253	111
kduD	219	119	222	119
kduI	202	92	213	98
yqeF	5164	2217	5219	2238
yqeG	80	43	81	48
yqeH	35	25	35	25
yqeI	65	32	65	32
ygeH	21	13	21	13
ygeR	1117	544	1012	489
xdhA	178	90	178	90
xdhB	71	34	71	34
ygeV	1376	508	1393	512
ygeW	28	10	30	10
ygeX	51	23	51	23
ygeY	41	24	46	26
hyuA	53	18	53	18
yqeA	138	71	139	72
yqeB	407	144	410	147
yqeC	195	58	199	58
ssnA	20	9	22	12
ygfM	30	12	30	12
xdhD	158	95	157	97
ygfO	96	65	100	68
guaD	214	111	216	112
ygfT	159	62	169	63
ygfU	41	22	38	22
lysS	5726	3111	6174	3412
prfB	4401	2499	4535	2565
recJ	1032	623	1101	670
dsbC	1289	734	1296	735
xerD	994	555	1043	595
ygfZ	2234	1171	2247	1176
yqfA	600	322	624	336
bglA	2391	1519	2621	1638
ygfF	116	48	126	53
gcvP	2815	1227	2970	1305
gcvT	1461	693	1477	699
visC	990	601	1102	645
serA	16583	11578	16861	11784
rpiA	3556	1902	3563	1905
argP	801	446	801	446
yliK	83	38	84	38
argK	28	18	29	19
ygfG	37	21	37	21
ygfH	78	52	78	52
ygfI	120	47	120	47
yggE	1460	892	1473	896
argO	173	71	249	111
mscS	1807	1300	1808	1300
fbaA	17142	9705	17469	9915
pgk	18382	10606	18386	10606
epd	3393	1943	3394	1943
yggF	52	37	63	40
cmtA	31	15	32	17
tktA	5715	3959	6046	4171
yggG	1360	643	1453	693
speB	947	496	1206	623
speA	6953	3720	7868	4256
metK	4401	3115	4515	3181
galP	215	126	224	129
endA	42	9	43	9
yggJ	456	253	457	255
gshB	1392	766	1396	766
yggS	486	308	520	326
yggW	500	267	532	284
yggM	91	46	91	46
ansB	135	72	135	72
yggN	1123	570	1146	574
yggH	2040	1214	2049	1219
mutY	875	499	902	515
mltC	822	473	841	481
nupG	1201	482	1203	482
yqgA	57	23	58	23
yghK	429	252	439	252
glcF	1186	622	1245	655
glcD	1012	572	1017	573
glcC	1595	638	1600	641
ECIAI1_3132	17	11	204	108
yghR	9	4	10	5
yghS	16	10	17	10
yghT	7	4	7	4
pitB	48	25	33	22
gss	1069	666	1089	672
yghU	1668	846	1754	899
hybC	520	282	556	301
hybB	117	76	126	78
hybA	142	45	145	51
hybO	122	82	134	89
yghZ	3144	1152	3207	1180
yghA	266	145	268	146
exbB	3527	2046	3488	2028
metC	3022	1504	3280	1645
yghB	430	220	430	220
yqhC	215	114	226	118
yqhD	568	580	570	581
dkgA	473	337	473	337
yqhG	89	47	89	47
ygiQ	735	441	796	471
sufI	759	454	759	454
plsC	584	314	596	331
parC	2407	1252	2459	1283
qseB	53	27	53	27
parE	1752	955	1995	1086
cpdA	1826	909	1859	929
nudF	1060	582	1098	614
tolC	4044	2473	4489	2765
ygiC	2214	1273	2672	1503
ygiE	698	451	700	453
ribB	2849	1534	3033	1618
yqiJ	36	16	38	19
yqiK	46	37	58	44
rfaE	1740	1028	2134	1261
htrG	627	330	745	380
cca	771	396	833	426
bacA	761	387	846	440
plsY	416	221	416	222
ygiP	105	52	105	52
ttdA	23	13	24	13
ttdB	6	4	7	4
ygjE	74	38	76	41
gcp	574	322	622	355
dnaG	2282	1358	2291	1362
rpoD	7717	4710	7804	4748
yqjH	302	171	309	173
yqjI	383	197	384	197
aer	9324	4143	9661	4332
ygjG	1606	826	1622	831
ebgR	112	68	112	69
ygjI	18	9	18	9
ygjJ	10	7	10	7
ygjK	56	42	57	45
ygjO	183	133	212	151
ygjQ	11	8	21	15
ygjR	992	434	1077	473
alx	84	60	96	64
sstT	1765	876	1949	955
uxaA	926	405	985	428
uxaC	1115	464	1158	483
exuT	687	279	737	298
exuR	1014	519	1148	582
yqjA	592	335	592	335
yqjG	491	273	534	295
yhaJ	913	513	984	554
yhaK	80	31	80	32
yhaM	137	77	138	78
yhaO	58	28	62	29
tdcG	99	45	103	46
tdcE	530	272	531	273
tdcD	62	23	63	23
tdcC	182	90	194	93
tdcB	68	28	68	28
tdcA	39	27	40	27
garK	248	117	246	121
garR	207	117	223	124
garL	58	34	63	37
garP	23	7	25	7
garD	386	140	418	158
agaR	1393	729	1404	733
kbaZ	157	60	167	67
agaS	36	17	39	19
kbaY	26	8	26	10
agaC	10	7	10	7
agaD	24	16	25	18
agaI	17	5	19	10
yraI	11	7	12	7
yraL	504	248	563	293
yraQ	1093	523	1105	527
yraR	200	108	203	109
yhbU	39	17	39	17
yhbV	33	23	35	24
yhbW	196	132	206	141
mtr	322	163	430	225
deaD	1623	1087	1667	1096
nlpI	8761	4635	8761	4635
pnp	16017	8867	17694	9820
truB	1583	811	2004	1039
infB	23919	12503	24307	12723
nusA	8087	4322	8134	4337
argG	8918	4314	9463	4561
yhbX	155	82	155	82
glmM	3838	2030	3838	2030
folP	973	485	973	485
ftsH	13173	8065	13410	8198
rrmJ	4096	2454	4097	2455
dacB	185	115	187	117
obgE	1787	985	2129	1155
yhbE	1289	684	1290	685
ispB	1796	1042	1809	1045
murA	3106	1750	3179	1779
yrbC	2312	1356	2319	1357
yrbE	1111	626	1111	626
yrbF	2306	1242	2334	1258
yrbG	469	248	469	251
kdsD	2029	1107	2051	1131
lptB	2262	1323	2262	1323
rpoN	7529	4205	7828	4399
yhbJ	1736	1014	1740	1016
yrbL	4940	2880	4948	2883
mtgA	1029	569	1073	601
elbB	1293	669	1297	671
arcB	2404	1209	2430	1220
yhcC	35	19	35	19
gltB	13185	8943	14982	10037
gltD	7480	4901	8267	5387
nanE	133	59	150	61
nanT	274	122	320	142
nanA	509	200	509	200
nanR	701	452	776	488
dcuD	53	14	60	17
sspA	2973	1783	2973	1783
degQ	1755	1108	1755	1108
degS	538	333	543	338
mdh	32481	18179	34676	19445
aaeB	91	57	92	57
aaeA	185	95	190	96
aaeR	179	99	183	103
tldD	1604	883	1696	927
rng	2001	1106	2196	1199
mreC	766	462	828	498
mreB	3238	1943	3324	1988
csrD	1004	539	1031	565
yhdH	1241	642	1271	667
accC	7948	4371	8549	4701
panF	233	122	252	133
prmA	641	350	642	350
dusB	7596	4270	7596	4270
yhdJ	91	43	94	43
envR	93	60	93	60
acrE	14	13	15	13
acrF	245	139	254	143
aapQ	65	38	66	38
aapP	143	72	168	81
aroE	870	482	919	506
smf	1028	584	1064	598
fmt	1716	1129	1759	1147
rsmB	975	596	995	615
trkA	928	561	942	568
rpoA	64514	33859	64536	33876
rpsD	57743	30167	57743	30167
secY	67703	35654	66346	34965
rpsC	44913	21849	44913	21849
rplB	41895	21598	41895	21598
rplD	26961	15293	26961	15293
rplC	40280	22323	40280	22323
tufA	172475	90219	172677	90307
fusA	152172	77938	148426	76194
yheO	1330	850	1345	853
fkpA	6181	3750	6297	3810
kefB	597	334	646	349
yheS	861	575	875	587
yheT	257	143	282	153
prkB	630	345	662	362
crp	5687	3445	6933	4191
yhfK	1040	620	1064	624
argD	4099	1944	4290	2037
fic	379	181	395	189
tsgA	96	72	96	72
nirB	129	80	134	83
nirC	81	47	83	48
cysG	698	392	793	441
frlA	37	22	37	22
frlB	38	21	38	21
frlC	49	23	54	23
frlD	83	53	83	53
frlR	196	125	196	125
yhfS	43	38	43	38
yhfT	40	25	42	28
php	42	15	43	15
yhfZ	373	180	479	223
trpS	3480	1940	3702	2069
gph	1256	655	1297	681
rpe	1239	678	1271	697
dam	828	532	832	532
aroB	5064	2915	5075	2921
hofQ	83	39	83	39
yrfD	99	62	103	67
mrcA	1251	787	1334	851
igaA	1270	630	1337	659
yrfG	651	364	651	364
hslO	1067	590	1074	590
pck	17349	7644	19043	8420
envZ	990	497	1061	532
ompR	1533	839	1540	842
yhgF	1882	1145	1943	1175
feoB	1067	623	1077	625
yhgA	105	61	133	80
bioH	246	153	246	153
gntX	241	152	245	154
gntT	376	203	391	212
malQ	2900	1493	3021	1555
malP	4306	2216	4376	2248
malT	23747	10353	25720	11180
rtcB	156	84	162	88
glpG	902	502	921	510
glpD	38309	18670	45595	22202
glgP	5953	3402	6147	3486
glgA	3500	1980	3505	1983
glgC	4808	2687	4839	2707
glgX	3972	2232	3984	2238
glgB	6542	3632	6594	3668
asd	12543	6878	12548	6880
gntU	93	47	102	48
gntR	414	254	521	304
yhhW	279	143	287	148
yhhX	697	402	704	404
yhhZ	7	0	7	0
ggt	466	268	489	285
ugpC	420	227	447	235
ugpE	151	56	159	57
ugpA	89	46	93	46
ugpB	2296	852	2468	930
livF	2726	1395	3829	1971
livG	2533	1256	3036	1485
livM	3501	1824	4018	2066
livH	3154	1619	3413	1732
livK	11536	5527	11603	5582
livJ	49247	26926	52720	28734
rpoH	3579	2010	3688	2078
ftsX	974	638	1108	720
ftsE	722	393	769	411
ftsY	3505	1834	3772	1984
yhhN	172	97	179	107
yhhQ	132	84	149	93
yhhS	162	95	168	97
yhhT	212	135	226	143
nikA	12	16	14	16
nikB	19	6	19	6
nikC	14	5	14	5
nikD	22	13	23	13
nikE	23	13	23	14
yhhI	501	284	94	51
yhhJ	526	330	611	376
rbbA	1342	849	1441	899
yhiI	1740	960	1908	1058
yhiM	54	28	54	28
yhiN	462	263	485	275
pitA	2045	1234	2065	1250
yhiP	166	103	173	108
yhiQ	204	132	240	150
prlC	1964	1253	2181	1415
yhiR	204	133	213	135
gor	1764	1005	1766	1007
arsB	69	49	69	49
yhiD	41	26	41	26
mdtE	25	14	25	14
mdtF	162	106	172	113
gadW	140	101	148	112
gadX	305	157	330	181
gadA	337	190	334	187
yhjA	106	46	107	46
treF	280	201	294	216
yhjB	127	50	130	53
yhjC	209	107	212	110
yhjD	250	164	259	168
yhjE	2419	1833	2676	2000
yhjG	3212	1665	3243	1688
yhjH	8808	4459	8957	4547
kdgK	1284	606	1357	630
yhjJ	1016	554	1143	617
dctA	2990	1310	2995	1314
yhjK	521	290	535	297
bcsC	475	231	488	234
bcsZ	51	26	52	26
bcsB	61	47	62	47
bcsA	192	97	87	47
bcsE	1004	594	1006	595
bcsG	273	203	280	210
yhjV	576	275	589	283
dppF	2225	1215	2624	1424
dppD	2420	1221	2569	1287
dppC	2096	1001	2103	1003
dppB	2509	1201	2677	1276
dppA	44393	22780	50752	25972
eptB	644	289	647	291
yhjX	36	24	43	31
yhjY	560	300	561	301
yiaD	213	113	214	113
tiaE	1509	1028	1520	1043
yiaF	2726	1471	2888	1553
glyS	7560	4445	8203	4815
glyQ	4205	2408	4252	2437
yiaH	92	46	92	46
xylB	284	143	309	154
xylA	340	142	370	154
xylF	411	162	426	174
xylG	371	193	372	195
xylH	148	69	147	69
xylR	247	145	272	161
bax	14156	6629	15078	7065
avtA	1417	846	1666	972
yiaJ	326	175	331	178
yiaK	62	33	70	40
yiaN	22	11	22	11
yiaO	21	10	24	10
sgbH	18	13	26	20
sgbU	26	13	35	19
sgbE	36	17	42	18
yiaT	42	24	44	27
yiaU	107	61	108	61
yiaV	40	23	42	24
aldB	1382	478	1396	488
yiaY	16	9	16	9
selB	1216	653	1421	778
selA	571	299	579	305
yibF	232	125	231	124
yibH	99	66	99	66
mtlA	3119	1491	3204	1542
mtlD	1432	741	1681	850
lldP	723	349	842	412
lldR	305	142	316	151
lldD	442	230	465	241
cysE	1304	663	1408	709
gpsA	2836	1421	3230	1631
gpmI	2255	1564	2492	1740
envC	911	569	1066	636
yibQ	264	177	282	190
yibD	51	30	53	31
tdh	403	228	634	334
kbl	728	391	757	414
waaD	2021	1213	2187	1353
waaF	1353	819	1359	826
kdtA	510	282	532	293
mutM	268	136	271	139
yicR	746	440	939	556
dfp	674	484	679	490
pyrE	76	35	102	47
yicC	1417	802	1574	889
yicG	28	15	30	16
ligB	212	96	217	103
gmk	2462	1414	2462	1414
spoT	2603	1572	2707	1635
trmH	431	243	431	243
gltS	178	112	204	127
yicE	1102	667	1102	669
yicH	1292	752	1321	772
yicI	228	131	235	132
yicJ	43	23	43	23
setC	26	10	26	10
yicL	534	275	534	275
nlpA	3310	1605	3317	1607
yicM	64	53	55	45
uhpT	4167	2480	4186	2491
uhpC	113	63	114	65
uhpB	229	124	236	132
ilvB	6871	3306	6625	3161
emrD	14	3	14	3
yidJ	73	35	85	47
yidK	30	19	30	19
yidL	133	69	118	60
yidP	30	12	33	14
yidE	887	475	890	477
yidR	619	277	771	340
cbrA	41	14	44	18
dgoT	44	27	45	27
dgoD	108	73	126	80
dgoA	54	22	58	22
dgoR	424	166	441	176
yidX	202	112	202	112
yidA	426	269	467	301
gyrB	4459	2486	4693	2635
recF	434	243	456	256
dnaN	1319	715	1385	757
dnaA	2421	1268	2438	1279
yidC	6093	3475	6172	3514
trmE	732	462	774	500
tnaA	5628	2130	6005	2264
tnaB	481	167	532	188
mdtL	35	23	41	25
yidZ	162	87	176	91
yieE	283	121	285	124
yieH	199	136	214	140
yieK	58	40	67	47
yieL	41	19	42	21
bglH	43	22	43	23
bglB	45	34	45	36
bglG	39	13	39	13
phoU	835	521	893	585
pstB	1042	722	1043	723
pstA	237	175	257	203
pstC	406	334	406	334
pstS	1344	1205	1344	1205
glmS	5772	3713	6992	4462
glmU	4200	2382	4701	2733
atpD	25515	13439	25873	13603
atpG	19393	9788	19393	9788
atpA	44964	24469	44964	24469
atpB	23931	12006	23959	12023
gidB	373	218	373	218
gidA	1892	1177	1906	1186
asnA	463	269	526	308
yieM	384	224	384	224
ravA	332	196	361	211
trkD	641	374	645	378
rbsA	1971	870	1996	886
rbsC	1966	890	1972	893
rbsB	18005	8337	18170	8433
rbsK	2050	1009	2061	1013
rbsR	441	203	445	204
hsrA	177	124	179	127
yieP	491	296	521	332
hdfR	602	334	603	334
yifB	199	129	207	131
ilvE	1544	854	1611	902
ilvD	1684	916	1924	1040
ilvA	715	368	960	497
ilvY	136	86	217	133
ilvC	34908	18283	41620	21765
rep	725	429	853	479
gpp	1218	715	1229	721
rhlB	3098	1836	3150	1875
rho	3185	1915	3320	1991
rfe	1364	820	1395	834
wzzE	853	573	856	578
rffE	800	429	823	443
rffD	684	358	704	375
rffG	537	300	548	307
rffH	324	197	351	210
rffC	203	129	212	133
rffA	441	246	442	249
wzxE	374	200	389	207
