	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_chemostat1	K12_chemostat2
clpX	7267	4226	7784	4553
lon	8482	5395	8660	5513
ppiD	8763	4603	9069	4773
queC	1110	580	1167	624
ybaE	339	144	355	148
cof	160	111	174	117
mdlA	290	158	297	162
mdlB	238	153	246	157
amtB	172	99	213	104
tesB	408	183	412	184
ylaB	358	185	361	186
acrB	8469	4868	8682	4971
acrA	5699	3282	5706	3290
acrR	679	414	679	414
kefA	1689	920	1799	980
dnaX	1725	861	1801	903
recR	1125	663	1192	691
htpG	6929	4721	7078	4813
adk	6031	3221	6181	3307
hemH	292	154	303	160
aes	193	55	198	59
gsk	728	472	752	482
ybaL	1218	682	1319	752
fsr	294	183	308	189
ushA	2109	1115	2317	1209
ybaP	187	100	196	106
copA	898	475	1015	539
ybaS	68	43	75	45
ybaT	58	64	58	64
ybbK	533	316	547	326
ybbL	345	198	369	208
ybbM	272	167	272	169
ybbN	1687	1012	1825	1090
ybbO	269	153	288	174
tesA	486	259	486	259
ybbA	209	111	220	114
ybbP	405	238	432	254
ybbB	204	91	213	98
ybbS	8	5	8	5
allR	1586	904	1602	912
gcl	64	35	81	41
hyi	24	10	24	10
glxR	25	20	25	20
ybbW	11	13	13	13
allB	151	86	166	92
ybbY	28	18	33	21
glxK	97	43	100	44
ylbA	353	225	367	231
allC	182	108	202	117
allD	24	16	24	17
ylbE	34	17	34	17
ylbF	13	12	14	13
ybcF	30	16	46	31
purK	1442	762	1725	927
lpxH	512	332	592	379
cysS	1726	1075	1750	1086
folD	718	493	752	518
sfmC	13	0	14	0
sfmH	11	9	11	9
fimZ	11	16	11	16
envY	32	36	35	41
ybcH	56	35	60	39
nfrB	151	75	165	79
cusR	136	65	151	70
cusC	23	21	915	460
cusB	33	16	34	16
cusA	88	54	91	56
pheP	384	225	410	236
ybdG	566	367	573	372
nfnB	901	516	930	533
ybdK	147	105	167	117
fepA	1511	667	1848	791
fepC	140	87	184	106
fepG	105	44	120	47
fepD	77	48	81	48
ybdA	240	105	245	106
fepB	246	127	258	134
entC	498	236	542	255
entE	702	313	725	330
entB	689	281	697	284
entA	396	162	439	180
cstA	29040	10771	32937	12211
ybdH	1419	613	1888	834
ybdL	577	336	583	340
ibrB	90	49	93	51
ibrA	36	17	38	17
ybdO	28	15	32	16
dsbG	350	185	350	185
ahpF	3675	2056	3766	2094
ybdR	280	116	287	119
rna	411	257	424	262
citT	34	27	35	27
citG	19	12	19	13
citF	8	4	8	4
citE	16	11	16	12
citC	19	12	20	12
citA	320	182	327	186
citB	112	76	128	81
dcuC	57	28	62	31
lipA	2844	1554	2849	1558
ybeF	126	76	126	76
lipB	434	257	436	258
dacA	1648	1116	1671	1127
rlpA	1793	981	1946	1054
mrdB	946	476	969	485
mrdA	1078	619	1120	656
phpB	101	53	102	53
nadD	251	170	251	170
holA	875	531	880	533
leuS	9824	5486	9905	5540
ybeQ	200	136	201	137
ybeU	18	8	18	8
hscC	148	63	156	67
rihA	2283	968	2407	1034
gltL	1001	469	1136	533
gltK	539	270	621	316
gltJ	485	212	622	277
gltI	6517	3440	7493	3923
ybeX	3631	2056	3644	2062
ybeZ	3173	1880	3195	1880
miaB	1605	901	1692	979
asnB	2309	1276	2706	1544
nagD	775	426	897	512
nagC	998	556	1029	570
nagA	1177	622	1182	625
nagB	683	390	740	418
nagE	3628	1716	3857	1835
glnS	4329	2640	4741	2884
ybfM	136	51	140	53
ybfF	291	178	302	184
pgm	5196	2754	5697	3065
potE	142	63	160	80
kdpE	77	36	85	42
kdpD	422	194	461	225
kdpB	102	50	116	54
ybgH	233	88	254	97
ybgI	2385	1291	2476	1331
ybgJ	1296	661	1298	662
ybgK	1222	650	1345	718
nei	181	93	188	101
abrB	40	30	45	34
gltA	21271	12704	21985	13146
sdhA	16627	8013	18132	8745
sdhB	9374	4450	9537	4529
sucA	24015	12875	24432	13095
sucB	13309	7508	13412	7584
sucC	25450	14183	25587	14242
sucD	17357	10584	19705	12029
mngR	335	189	362	207
mngA	19	16	19	17
cydA	5124	2736	5126	2736
cydB	3894	1954	3531	1777
tolQ	1204	657	1242	669
tolA	2391	1163	2391	1163
tolB	9226	5218	9230	5221
ybgF	5282	3027	5304	3035
nadA	3915	2060	4009	2125
pnuC	1618	877	1618	877
zitB	442	224	442	224
aroG	4278	3105	4413	3194
gpmA	14990	7768	15851	8205
galM	2484	1400	2712	1516
galK	2681	1364	2942	1494
galT	689	341	741	356
galE	842	489	864	504
modF	1680	948	1704	963
modE	461	266	462	267
modA	2339	1249	2801	1532
modB	1220	629	1234	635
modC	1739	984	1900	1068
ybhA	514	272	525	273
pgl	993	564	1052	606
ybhD	49	29	61	30
ybhH	9	5	9	5
ybhI	2162	1139	815	419
ybhJ	114	64	122	67
ybhC	2222	1294	2364	1369
bioB	1978	1143	2040	1178
bioC	369	220	434	242
bioD	456	293	497	324
uvrB	1472	859	1519	886
ybhK	837	428	837	428
moaA	1579	940	1588	948
ybhL	931	617	939	626
ybhN	67	51	73	54
ybhO	177	127	181	137
ybhP	212	124	213	124
ybhR	141	76	146	77
ybhS	107	56	107	56
ybhF	327	174	372	191
