"","Gene","IAI1","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_chemostat1","K12_IAI1ref_chemostat2","K12_chemostat1","K12_chemostat2"
"1","aaeA","aaeA",1745,133.875270582402,-0.00793014193424694,0.0570830615320521,-0.138922855947279,0.889511109662775,0.99990598088106,140.200208403725,130.98017917401,137.743606122161,126.577088629711
"2","aaeB","aaeB",1744,72.3508759126722,-0.0078691201763354,0.0479835574590402,-0.163996181047073,0.869734150192634,0.99990598088106,68.9633457553457,78.588107504406,66.6969040170463,75.1551463738907
"3","aaeR","aaeR",1746,135.155954599825,-0.00459354682850221,0.0576266440209681,-0.0797122044245852,0.936466152616136,0.99990598088106,135.653174617658,136.4951340866,132.668841686081,135.80666800896
"4","aas","aas",1527,698.489179100237,-0.00870312992292656,0.0681792402728428,-0.127650731925113,0.898425381233607,0.99990598088106,665.382610694434,741.761435743341,658.994410342338,727.818259620836
"5","aat","aat",500,113.970188129631,-0.0101274245650569,0.0504450500032623,-0.200761513060289,0.84088505829316,0.99990598088106,99.276904329124,133.737656630305,94.9705915894899,127.895599969603
"6","abgA","abgA",757,62.4786970228258,-0.00406295654154654,0.0463716427244057,-0.0876172657003626,0.930180878911009,0.99990598088106,62.90063404059,63.4219814947838,61.6221395809667,61.9700329749625
"7","abgB","abgB",756,71.7920838079316,0.0271722872250414,0.048353263281417,0.561953534902041,0.574147677434848,0.99990598088106,65.1741509336234,68.9369364073737,73.9465674971601,79.1106803935692
"8","abgR","abgR",758,259.323363487792,0.0021441966766809,0.0560075650917443,0.0382840545409993,0.969461204099183,0.99990598088106,301.619907809094,215.083241591006,303.035933468754,217.554371082315
"9","abgT","abgT",755,43.2777244330858,0.0266151918453563,0.0400361495209638,0.664779010064894,0.506191849816657,0.99990598088106,43.1968209676341,34.4684682036869,49.2977116647734,46.1478968962487
"10","abrB","abrB",385,37.2821479087675,0.00848808695855353,0.0365426811030605,0.23227871361203,0.816321544427853,0.99990598088106,30.3135585737783,41.3621618444242,32.6234856605118,44.8293855563559
"11","accA","accA",135,2422.3422085419,0.0219345712366236,0.0684446965181931,0.320471451440993,0.748610968548419,0.99990598088106,2405.38087282931,2374.18808986995,2469.23538132674,2440.56449014161
"12","accC","accC",1753,6111.45754683193,0.0245776520968967,0.0676178146720549,0.363478947317328,0.716247136700587,0.99990598088106,6023.30408860975,6026.46698073261,6197.73730914923,6198.32180883614
"13","accD","accD",1264,5174.55205114413,-0.0366638245506495,0.0677377231587804,-0.541261542917641,0.588327323517859,0.99990598088106,5287.44245423128,5281.94806753297,5069.68967164353,5059.12801116875
"14","aceA","aceA",2182,49460.1214800665,0.0137774556284735,0.0671108907856896,0.205293886985797,0.837342519827673,0.99990598088106,49599.0445384161,48556.4205278977,50400.3854800987,49284.6353738537
"15","aceE","aceE",90,21170.2227376507,0.0174301825756997,0.0679974146265783,0.256335960292331,0.797691432300762,0.99990598088106,21596.8948058884,20307.4427268841,21937.4816908242,20839.071727006
"16","aceF","aceF",91,11734.8303921601,0.000722940235768762,0.0677537569796844,0.0106701128910908,0.991486643205284,0.99990598088106,11962.4880521773,11497.3022540218,11980.793867236,11498.7373952053
"17","aceK","aceK",2183,6499.06912125402,0.135243840327951,0.067688085602808,1.99804499009706,0.0457117827621536,0.99990598088106,6055.13332511222,5927.19779230599,7064.07209502282,6949.87327257505
"18","ackA","ackA",1252,1763.83407223076,0.031363917262514,0.0687422213865397,0.45625405507561,0.648207298617179,0.99990598088106,1714.98957631151,1742.72575237841,1789.94191324008,1807.67904699306
"19","acnA","acnA",716,5954.727891218,0.00877353137183098,0.0678207307578437,0.129363562937079,0.897069977934456,0.99990598088106,5848.24328784618,6000.27094489781,5909.2007026407,6061.19662948729
"20","acnB","acnB",93,24277.7360851511,-0.004354128554673,0.0675066502863224,-0.0644992535728764,0.94857270143838,0.99990598088106,23870.4116989217,24806.2671968294,23784.6959455571,24649.5694992963
