	IAI1_starvation1	IAI1_starvation2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
purK	22	19	16	15
lpxH	35	15	33	13
cysS	154	118	153	117
folD	329	293	301	281
sfmC	70	46	65	43
sfmH	11	6	10	6
fimZ	13	10	13	10
envY	31	22	32	22
ybcH	51	41	47	40
nfrB	69	49	65	44
cusR	13	9	13	9
cusC	2	3	21	22
cusB	12	2	12	2
cusA	36	20	35	20
pheP	152	113	139	109
ybdG	295	241	295	239
nfnB	270	195	264	191
ybdK	75	73	68	66
fepA	402	279	338	234
fepC	54	28	45	24
fepG	69	40	64	34
fepD	85	56	84	50
ybdA	78	47	77	46
fepB	96	73	85	63
entC	77	59	69	57
entE	105	78	98	76
entB	100	68	100	68
entA	103	65	91	62
cstA	35384	26587	31354	23479
ybdH	1377	885	1024	628
ybdL	260	121	257	120
ibrB	39	38	39	38
ibrA	21	10	21	10
ybdO	18	10	15	10
dsbG	94	78	94	78
ahpF	726	554	712	542
ybdR	70	56	68	56
rna	339	288	334	283
citT	21	31	21	31
citG	0	1	0	1
citF	2	4	2	4
citE	5	5	5	5
citC	12	14	11	14
citA	72	49	72	47
citB	37	24	35	22
