	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2
pflB	22310	33451	33768	18345
focA	1642	2326	2323	1250
ycaO	1635	2061	1027	625
ycaP	206	225	367	183
serC	15605	22902	8434	5561
aroA	9402	12319	4675	3050
ycaL	79	103	70	42
cmk	7922	9224	6808	3907
rpsA	93139	132026	90301	49871
msbA	2258	3114	2421	1504
lpxK	324	526	383	205
kdsB	1508	2305	1208	721
ycbJ	175	252	347	152
smtA	1001	1344	1419	641
mukF	1507	2123	1948	1043
mukE	1027	1255	1228	703
mukB	5609	8273	7031	3760
ycbB	791	1209	1014	565
ycbL	1920	2862	3089	1542
aspC	6162	8045	7070	4479
ompF	241435	312515	605735	266540
asnS	7553	11296	7270	4297
pncB	2300	3230	2315	1591
pepN	3094	4004	5590	2962
ssuC	14	19	21	8
ssuA	12	23	30	21
ycbR	17	17	21	7
ycbT	74	114	126	53
ycbF	73	107	100	59
pyrD	957	1291	532	371
ycbX	619	808	829	497
ycbY	1448	2158	1634	862
uup	2378	3333	2638	1419
pqiA	437	658	463	262
pqiB	944	1308	964	464
ycbZ	1591	2208	1998	1119
yccR	300	337	456	252
yccS	701	979	656	399
helD	1459	2155	1745	1001
yccT	25	24	50	25
yccW	884	1216	841	529
yccA	4108	5564	4964	3346
hyaA	15	17	20	12
hyaB	22	31	26	18
hyaC	15	30	20	7
hyaF	28	28	28	12
appC	82	131	121	69
appB	53	73	63	40
appA	77	114	128	72
yccC	326	495	417	222
yccZ	77	115	81	42
ymcA	69	100	91	45
ymcB	12	15	14	4
ymcC	17	29	25	14
yccM	33	62	47	21
torR	155	243	250	106
torC	28	39	52	25
torA	80	120	151	88
cbpA	649	994	647	412
agp	509	780	5974	2414
rutG	67	107	118	54
rutD	8	11	7	1
rutB	4	7	7	5
rutA	6	12	12	4
rutR	231	367	294	176
putP	1346	2074	4979	1729
efeO	1308	1919	1044	492
efeB	652	1002	615	283
phoH	1257	1597	2008	1017
ycdW	1375	2071	1691	932
ycdX	1562	2041	1613	803
csgG	242	363	159	122
csgD	402	546	260	147
ymdC	396	554	605	369
mdoC	201	258	257	134
mdoG	3011	3822	3496	2045
mdoH	2299	3343	2592	1539
mdtG	40	64	61	43
lpxL	152	194	175	133
yceA	2811	3579	1979	1141
solA	1128	1459	1027	632
pyrC	1297	1596	1226	678
grxB	586	728	838	450
mdtH	18	32	29	22
yceH	785	1113	939	530
mviM	588	973	798	432
mviN	334	426	402	212
flgA	4095	5330	6326	3474
flgD	8892	11956	15489	8531
flgF	5532	7855	9522	5293
flgG	6519	8987	10614	5603
flgH	2265	3066	4009	2191
flgI	2478	3432	4120	2283
flgJ	1914	2519	2834	1579
flgK	13374	17317	29946	15519
flgL	13802	18309	27821	14532
rluC	2057	2850	1524	822
plsX	3753	5408	4133	2202
fabH	5493	7779	5366	2836
fabD	7955	11224	7908	4227
fabG	13468	18270	15880	8337
fabF	8084	13271	7768	4357
pabC	385	538	479	271
yceG	332	423	424	223
tmk	257	384	325	169
holB	308	452	332	184
ycfH	525	672	706	386
ptsG	18444	27338	40464	19861
fhuE	323	495	463	224
ycfM	854	1256	1032	586
ycfN	531	772	625	290
nagZ	1513	2002	1629	895
ndh	1816	2707	882	549
ycfQ	423	563	1002	556
ycfS	338	411	522	273
mfd	2551	3579	2734	1622
lolC	691	875	717	390
lolD	386	516	389	256
lolE	1077	1478	1589	787
ycfX	731	1044	1169	553
cobB	932	1312	1158	579
potD	5448	7821	7904	3979
potC	1097	1352	1233	658
potB	513	663	404	283
potA	882	1099	697	493
pepT	1275	1923	2025	1193
ycfD	1220	1799	1589	852
phoQ	1389	1803	1839	1022
phoP	1757	2369	2218	1375
purB	1267	1599	935	641
hflD	302	376	350	172
trmU	1180	1555	1370	788
ymfC	151	198	137	98
icd	69772	99814	109539	59606
ycgE	845	1083	1146	582
ycgF	306	295	494	280
ycgG	30	45	46	28
minD	4003	5884	4925	2647
minC	1551	2023	1817	903
ycgM	809	1317	976	560
umuC	104	130	131	71
nhaB	281	385	387	234
fadR	731	980	1020	485
ycgB	404	506	999	625
dadA	380	652	2135	869
dadX	257	405	1220	521
cvrA	928	1192	1111	616
emtA	873	1319	1108	610
ycgR	3366	3842	6182	3563
treA	99	104	430	242
dhaH	1040	1551	865	486
dhaL	591	817	553	294
dhaK	888	1161	1051	523
dhaR	361	526	424	267
ychF	4559	6428	3352	2046
ychM	141	232	261	143
prsA	2953	3700	3540	2183
ispE	972	1331	1287	749
lolB	726	960	819	513
hemA	973	1317	990	590
prfA	999	1271	831	527
prmC	274	343	250	121
ychA	1348	1922	1413	746
kdsA	3567	5170	3650	2092
chaA	1202	1586	987	670
chaC	363	536	501	244
ychP	322	437	299	179
narL	355	533	374	257
narX	353	533	390	272
narK	17	37	43	13
narG	124	187	198	84
narH	63	142	109	60
narJ	20	47	47	20
narI	18	54	49	27
purU	4670	6088	2332	1315
rssA	783	1000	1310	632
rssB	534	688	752	456
galU	3680	5678	2992	1858
tdk	956	1173	733	416
adhE	8731	11950	9227	5943
ychE	138	159	175	92
oppA	42043	58259	90652	47682
oppB	5576	7788	11042	5701
oppC	5705	7731	10238	5214
oppD	5577	8451	10245	5249
oppF	5545	8179	10204	4882
cls	1383	1989	1923	987
kch	362	554	315	194
tonB	1124	1552	1204	610
yciC	626	869	723	427
ompW	443	825	1343	621
trpA	2004	2985	1647	978
trpB	3725	5483	3174	1993
trpD	1909	2682	1524	902
trpE	833	1084	554	342
yciV	842	1046	805	485
yciO	672	868	746	446
rluB	1425	2196	1315	802
yciK	558	724	885	496
sohB	2838	4037	2691	1559
topA	8171	11701	9134	5232
cysB	1449	1925	1396	808
acnA	3051	4144	8151	4597
pgpB	389	544	521	274
yciM	1076	1510	1498	759
pyrF	1558	2431	1146	697
deoT	372	402	581	338
gmr	486	588	768	403
rnb	6609	9053	4588	2642
fabI	9584	14235	8328	4924
sapF	148	182	176	96
sapD	313	389	330	209
sapC	129	173	146	88
sapB	147	208	183	121
sapA	289	412	378	250
puuP	99	142	336	207
puuA	683	924	1934	1138
puuD	477	662	1466	814
puuB	55	99	191	176
puuE	82	106	202	178
pspF	200	261	268	159
pspA	1447	1929	1867	874
ycjM	20	25	66	27
ycjN	10	11	17	11
ycjO	6	7	17	12
ycjP	12	9	16	13
ycjQ	15	35	35	21
ycjR	16	30	44	24
ycjS	49	58	50	26
ycjU	1	9	10	5
ompG	5	6	15	9
ycjW	178	205	181	100
ycjX	462	753	545	325
ycjF	397	574	446	284
tyrR	1341	2122	1817	1004
ycjG	381	471	1055	443
mpaA	195	241	349	221
ycjZ	280	389	261	190
mppA	798	1135	1983	909
ynaI	403	499	482	305
uspE	3015	4183	5054	2629
fnr	3109	4444	3771	2501
abgT	46	65	68	35
abgB	50	59	102	60
abgA	34	57	85	47
abgR	96	153	418	165
ydaM	229	328	505	294
ydaN	487	752	724	405
dbpA	200	287	250	137
ydaO	1397	2058	1208	657
ompN	1567	2481	1771	1006
ldhA	836	1276	971	654
feaR	166	221	2231	786
feaB	206	290	537	252
maoC	20	32	40	15
paaA	12	23	81	25
paaC	15	24	46	18
paaJ	17	36	54	26
paaF	9	33	24	18
paaG	19	20	47	25
paaH	39	56	95	31
paaE	147	185	1261	487
paaK	122	170	1338	525
paaX	398	554	873	384
ydbC	108	173	602	222
azoR	366	514	350	236
hrpA	2234	3219	2071	1177
ydcF	482	579	609	425
aldA	5976	7454	104345	37604
trg	1403	1839	14309	5394
ydcI	893	1038	4475	2033
ydcJ	75	114	507	213
mdoD	1625	2291	2552	1219
ydcK	176	230	277	167
tehA	224	306	352	187
ydcL	1092	1470	2204	1259
ydcO	40	70	113	61
ydcP	1347	2079	1400	801
ydcR	439	623	567	361
ydcS	56	96	1170	341
ydcT	25	24	286	97
ydcU	23	42	127	61
ydcV	66	105	552	238
ydcW	291	477	2121	1069
yncB	351	517	973	493
yncC	111	160	223	122
yncD	519	665	462	266
yncE	6407	8709	6248	3315
ansP	248	340	168	109
yncG	50	76	107	52
nhoA	178	255	248	161
narV	31	37	58	31
narW	31	21	45	32
narY	41	65	127	69
narZ	73	131	184	112
narU	22	21	55	33
yddG	160	266	198	110
fdnG	124	173	223	142
fdnH	31	47	78	45
fdnI	40	63	53	35
adhP	382	560	1327	638
sfcA	3401	4678	4925	2638
ddpD	24	40	98	34
ddpC	25	26	101	38
ddpB	7	15	54	26
ddpA	32	40	223	82
dos	179	217	359	222
yddV	270	346	543	317
yddW	257	348	303	186
gadC	263	399	349	154
gadB	375	618	399	223
ydeM	13	20	73	29
ydeN	78	96	777	418
ydeO	21	27	14	10
ydeP	139	219	199	136
ydeQ	16	28	29	16
lsrK	83	168	404	161
lsrR	229	314	742	293
lsrC	6	28	95	34
lsrD	28	18	100	41
lsrB	57	57	377	147
lsrF	81	125	443	177
tam	136	165	333	166
yneE	139	208	155	108
uxaB	88	104	321	173
yneF	96	116	91	58
yneH	420	602	403	214
yneI	587	774	663	433
ydeA	256	340	126	92
marC	208	266	277	150
eamA	869	1172	1234	670
ydeE	150	194	188	147
ydeH	253	403	441	211
dcp	3664	4978	4252	2282
ydfG	2413	3728	3189	1708
ydfH	568	786	536	374
ydfT	159	193	174	95
ydfU	10	22	16	11
rspB	84	109	172	71
rspA	65	76	241	89
ynfC	445	613	681	393
ynfF	184	267	162	119
ynfG	37	32	25	26
ynfH	196	301	208	121
dmsD	343	470	275	150
clcB	31	67	50	28
ynfK	209	315	358	180
dgsA	828	1116	3096	1449
ynfL	77	107	120	55
ynfM	154	169	189	119
ydgD	315	511	587	351
ydgG	179	273	173	109
pntB	25474	38427	15536	9038
pntA	42379	61030	24866	14452
ydgH	3530	4700	4370	2395
ydgI	100	139	158	82
folM	238	309	305	170
rstA	892	1075	1113	641
rstB	845	1136	1227	655
tus	197	260	437	221
fumC	1974	2515	6701	3115
fumA	2396	3340	14668	6249
manA	1211	1759	1478	878
ydgA	4754	6473	5509	3174
uidC	11	19	62	39
uidB	10	11	88	32
uidA	50	63	409	170
hdhA	1289	1955	1931	1123
malI	80	158	179	91
malX	176	258	367	214
malY	382	505	502	261
add	193	310	425	240
ydgJ	1478	2029	2131	1139
rsxD	230	331	306	172
rsxG	161	252	232	130
rsxE	105	149	120	70
nth	118	140	142	69
ydgR	200	319	284	189
gst	704	908	1056	632
pdxY	669	1075	625	337
tyrS	5469	8055	4906	2694
pdxH	1149	1566	1032	571
anmK	472	704	807	422
ydhJ	73	114	89	47
ydhF	494	714	1000	431
nemA	306	412	314	213
rnt	134	180	179	118
ydhO	297	312	427	224
ydhP	271	370	139	97
purR	2504	3496	2569	1483
ydhB	157	220	216	134
ydhC	101	131	107	62
cfa	1610	2166	2088	1357
ribC	2229	3092	1911	1158
mdtK	404	592	567	354
ydhQ	1548	2222	2017	1253
ydhS	207	288	462	251
ydhT	57	55	74	39
ydhU	58	89	99	45
ydhX	48	70	82	30
ydhV	35	48	101	40
ydhY	7	10	15	5
pykF	8919	12056	5406	3539
ynhG	786	1046	1060	688
sufS	511	630	759	366
sufC	304	423	492	231
sufB	930	1190	1443	688
ydiK	411	596	533	293
ydiM	11	14	22	15
ydiN	9	10	11	3
ydiB	84	110	96	63
aroD	430	641	455	272
ydiF	27	28	38	25
ydiO	27	42	45	23
ydiP	101	126	117	80
ydiQ	17	20	21	22
ydiR	27	38	50	36
ydiS	40	44	46	22
ydiD	78	103	135	83
pps	6263	9489	14977	7554
ydiA	241	276	314	195
aroH	689	899	455	328
ydiV	183	244	133	88
btuD	405	561	569	322
btuC	224	359	336	152
pheT	12702	18312	13102	7257
pheS	5056	6757	4018	2181
thrS	25147	32844	28963	15381
ydiY	330	354	175	96
pfkB	107	112	97	49
yniA	418	640	1418	628
yniC	174	217	171	108
ydjN	8661	13446	4261	2642
katE	561	727	2188	1240
chbF	191	265	287	158
chbR	168	208	212	136
chbC	69	90	188	93
nadE	3006	4255	2712	1537
ydjQ	158	216	301	134
astE	22	33	101	39
astB	22	47	161	57
astA	33	43	230	89
astC	51	82	470	145
xthA	977	1422	1007	518
ydjX	86	112	141	61
ydjZ	54	98	103	55
ynjE	290	446	615	315
ynjF	57	96	110	49
gdhA	23864	36228	17165	10716
topB	1488	2269	1873	921
selD	2405	3602	3343	1639
sppA	1482	2160	1569	931
ansA	425	515	397	258
pncA	433	583	483	318
ydjE	41	43	68	39
ydjF	364	544	733	338
ydjG	85	131	156	107
ydjH	39	85	115	55
ydjI	52	63	149	70
ydjJ	45	49	115	42
ydjK	17	34	91	40
ydjL	48	56	118	58
gapA	72681	99485	43454	29979
yeaD	1135	1379	756	568
yeaE	351	495	521	284
mipA	3217	4223	2537	1727
yeaG	1109	1539	3066	1631
yeaH	251	298	632	347
yeaI	24	25	28	19
yeaJ	233	280	260	156
yeaM	159	190	157	118
yeaN	71	105	88	58
yeaP	1337	1574	1201	665
yeaS	52	72	118	46
yeaT	204	298	781	307
yeaU	97	149	167	79
yeaV	14	24	54	23
yeaW	23	28	53	39
yeaX	65	97	153	56
rnd	473	595	596	340
fadD	486	693	3679	1349
yeaZ	811	1077	722	378
yoaA	503	683	667	358
sdaA	265	373	370	224
adrB	103	151	163	88
yoaE	441	679	703	414
manX	7484	10399	35423	17055
manY	5202	7860	22491	11391
rrmA	456	555	377	205
kdgR	2102	2993	3175	1539
yebQ	28	33	54	36
htpX	3495	5526	5139	3017
prc	6818	10036	7638	4207
yebS	236	295	293	176
yebT	620	906	840	488
yebU	245	332	234	122
pphA	75	118	121	72
yebZ	1208	1558	489	324
yobB	127	197	198	98
exoX	215	312	382	188
ptrB	420	627	600	369
yebE	254	340	547	264
purT	1725	2664	1382	777
eda	1312	2152	1182	665
edd	1358	1685	1075	559
zwf	7329	9929	5514	3029
yebK	635	809	1795	866
pykA	2993	4126	6154	3080
lpxM	733	980	649	393
yebA	4992	6944	4685	2558
znuA	27900	39283	18056	10266
znuC	830	1048	742	489
znuB	621	866	599	334
ruvB	538	842	727	475
ruvA	419	609	697	392
yebB	13	25	34	20
