	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2
VV1_RS08980	6502	2571	452	412
VV1_RS08990	549	629	279	316
VV1_RS08995	6162	2254	1191	464
VV1_RS09015	6136	6388	4472	2970
VV1_RS09025	1772	1273	900	833
VV1_RS09045	9887	13544	1860	2305
VV1_RS09055	836	475	218	203
VV1_RS09060	10014	2115	1109	1238
VV1_RS09095	6399	2150	1940	1480
VV1_RS09100	4688	4014	15557	11617
VV1_RS09105	88004	61144	333818	307418
VV1_RS09110	31717	61925	61508	49805
VV1_RS09135	3905	9998	2625	1929
VV1_RS09140	2222	1760	7875	2243
VV1_RS09145	1102	783	1914	1023
VV1_RS09235	7102	7782	10239	9254
VV1_RS09250	10599	14687	22800	11960
VV1_RS09255	27341	37358	58576	38472
VV1_RS09260	2293	5276	7021	5098
VV1_RS09265	2454	5032	9984	7948
VV1_RS09270	4992	11963	27595	25152
VV1_RS09285	1151	2967	833	659
VV1_RS09290	648	1106	908	631
VV1_RS09295	292	596	469	354
VV1_RS09310	874	1078	1103	706
VV1_RS09325	425	606	894	478
VV1_RS09330	2796	1558	576	1055
VV1_RS09335	304	444	258	349
VV1_RS09340	478	1705	21719	13989
VV1_RS09345	1958	3253	1724	1217
VV1_RS09365	12219	13838	70342	49116
VV1_RS09380	4242	1841	1647	1944
VV1_RS09385	7138	2567	1879	3421
VV1_RS09390	63	229	91	79
VV1_RS09410	3651	2010	2153	1991
VV1_RS09420	1575	1728	1598	1367
VV1_RS09435	1567	8483	1028	692
VV1_RS09440	2307	1192	252	282
VV1_RS09455	2758	1350	404	497
VV1_RS09460	61845	9855	1409	2139
VV1_RS09465	7157	4350	129733	104109
VV1_RS09500	292	142	148	206
VV1_RS09505	1182	1146	2788	3386
VV1_RS09510	339	772	916	716
VV1_RS09515	226	202	320	220
VV1_RS09545	131	139	47	53
VV1_RS09565	707	356	73	102
VV1_RS09695	1888	1673	915	313
VV1_RS09705	8916	2061	2903	5998
VV1_RS09720	176	242	559	189
VV1_RS09725	188	574	9598	6120
VV1_RS09740	27009	19194	12251	6279
VV1_RS09745	8195	43294	208	205
VV1_RS09750	3972	13927	10644	7918
VV1_RS09760	4327	1555	833	709
VV1_RS09775	4517	2194	2578	2044
VV1_RS09785	5694	743	235	236
VV1_RS09795	4992	1937	1060	737
VV1_RS09800	3760	1717	3910	3024
VV1_RS09810	1287	963	539	389
VV1_RS09815	499	568	255	219
VV1_RS09820	1094	1374	276	342
VV1_RS09830	5148	3470	858	508
VV1_RS09835	2511	1829	392	355
VV1_RS09850	650	658	138	94
VV1_RS09855	76	280	2238	2150
VV1_RS09860	1771	3886	384978	284955
VV1_RS09865	3514	7542	442541	421875
VV1_RS09870	16245	14745	983728	842500
VV1_RS09880	117	443	687	927
VV1_RS09890	624	246	16171	14397
VV1_RS09895	251	524	809	663
VV1_RS09900	369727	25453	10252	4145
VV1_RS09905	56613	7603	3166	1994
VV1_RS09915	4556	375	25473	21121
VV1_RS09920	10943	657	33466	20130
VV1_RS09925	864	94	4014	2521
VV1_RS09930	503	96	2215	1308
VV1_RS09940	4351	3447	529	502
VV1_RS09945	7733	2403	4449	8547
VV1_RS09960	88	317	89	69
VV1_RS09975	1376	2365	1273	881
VV1_RS09980	1180	1565	2885	1060
VV1_RS09985	29566	10711	4053	3380
VV1_RS10010	1064	516	7560	4223
VV1_RS10025	6600	4414	4394	3978
VV1_RS10050	569	834	963	719
VV1_RS10060	102	116	379	292
VV1_RS10070	1780	1359	865	551
VV1_RS10080	993	932	973	749
VV1_RS10085	1290	5465	949	771
VV1_RS10090	1967	1120	1562	851
VV1_RS10095	2466	1281	674	1057
VV1_RS10100	738	1098	415	878
VV1_RS10110	895	271	484	522
VV1_RS10125	547	2409	918	965
VV1_RS10130	959	2537	831	924
VV1_RS10135	923	1684	986	822
VV1_RS10140	498	355	243	206
VV1_RS10145	546	494	464	375
VV1_RS10150	898	728	610	653
VV1_RS10165	451	729	1988	3031
VV1_RS10180	11543	12198	1941	879
VV1_RS10185	2440	3777	551	242
VV1_RS10205	3756	3327	626	657
VV1_RS10215	1424	1553	540	430
VV1_RS10230	4225	3566	1659	1538
VV1_RS10235	12949	4468	1095	1468
VV1_RS10240	267	400	310	245
VV1_RS10255	130	225	155	112
VV1_RS10265	9469	7919	32939	30879
VV1_RS10360	1407	530	311	292
VV1_RS10365	207	317	315	178
VV1_RS10370	9204	1913	1042	2905
VV1_RS10375	213	273	87	130
VV1_RS10380	959	2976	235	121
VV1_RS10390	1990	638	316	297
VV1_RS10395	2070	1702	5247	4423
VV1_RS10400	274	489	375	234
VV1_RS10405	746	2123	1837	2257
VV1_RS10410	693	967	881	408
VV1_RS10415	5715	42164	38493	34001
VV1_RS10420	432	3386	5313	8033
VV1_RS10425	31	62	20	25
VV1_RS10435	401	460	277	228
VV1_RS10445	15614	2249	938	452
VV1_RS10450	46507	8286	1002	670
VV1_RS10460	8499	880	2650	3292
VV1_RS10465	1439	468	1127	1272
VV1_RS10470	375	179	229	339
VV1_RS10480	328	951	440	423
VV1_RS10485	113	245	99	52
VV1_RS10490	639	344	57	118
VV1_RS10505	3110	3336	1210	1014
VV1_RS10520	221	283	393	533
VV1_RS10530	109	102	168	157
VV1_RS10535	1313	1756	991	1265
VV1_RS10540	402	759	680	875
VV1_RS10550	202	453	230	258
VV1_RS10555	1301	1414	298	272
VV1_RS10560	75	152	138	66
VV1_RS10570	1241	15792	50438	40289
VV1_RS10575	43410	3079	1188	884
VV1_RS10580	184	256	1549	1193
VV1_RS10610	322	7021	3280	1839
VV1_RS10625	1120	3243	14771	8627
VV1_RS10630	229	2495	3852	2093
VV1_RS10635	519	9274	1713	1340
VV1_RS10640	605	783	7984	4208
VV1_RS10650	897	1262	48692	56361
VV1_RS10665	5930	26615	5697	4014
VV1_RS10680	9693	2621	357	556
VV1_RS10685	4054	2852	554	478
VV1_RS10705	1918	5600	82	36
VV1_RS10710	1662	6340	88	102
VV1_RS10720	193	534	139	148
VV1_RS10725	9677	12752	2949	3358
VV1_RS10730	1254	1674	1393	1366
VV1_RS10735	2486	4518	17660	15097
VV1_RS10745	4029	2623	10920	11319
VV1_RS10750	1660	2051	7324	5940
VV1_RS10755	649	765	1080	1156
VV1_RS10760	407	289	4346	3929
VV1_RS10765	180	109	76	34
VV1_RS10770	1179	6392	5559	4223
VV1_RS10775	154	190	63	62
VV1_RS10780	511	228	1218	1299
VV1_RS10785	105	309	237	522
VV1_RS10790	1360	3472	280	315
VV1_RS10800	1030	1507	2455	2098
VV1_RS10825	13105	1514	311	355
VV1_RS10830	68	95	112	165
VV1_RS10835	217	1139	311	249
VV1_RS10850	828	776	332	324
VV1_RS10870	89	196	177	228
VV1_RS10875	43	94	177	145
VV1_RS10885	846	582	499	643
VV1_RS10895	1046	2325	11585	15215
VV1_RS10900	3339	7100	64368	59080
VV1_RS10910	3035	2942	843	768
VV1_RS10920	194	2418	298	170
VV1_RS10925	1354	12847	175	106
VV1_RS10930	908	12584	71	38
VV1_RS10935	291	1080	203	161
VV1_RS10955	1724	1776	714	792
VV1_RS10980	462	224	31	71
VV1_RS10985	743	199	100	157
VV1_RS10995	261	140	75	146
VV1_RS11000	200	115	51	136
VV1_RS11005	107	32	47	42
VV1_RS11010	68	51	24	20
VV1_RS11015	72	11	14	27
VV1_RS11030	60	123	94	102
VV1_RS11040	89	167	54	49
VV1_RS11045	2339	4371	7444	2666
VV1_RS11070	76	147	1842	2128
VV1_RS11100	1144	1364	229	167
VV1_RS11105	4374	4123	420	316
VV1_RS11115	163	197	1477	839
VV1_RS11130	1509	1593	498	517
VV1_RS11140	64	45	17	22
VV1_RS11145	3276	2685	439	407
VV1_RS11155	84	19	222	70
VV1_RS11160	126	202	2765	564
VV1_RS11165	1602	7508	14687	14869
VV1_RS11180	4956	1593	180	155
VV1_RS11185	1931	1772	123	88
VV1_RS11190	2764	1841	72	76
VV1_RS11200	5990	41981	2384	3817
VV1_RS11205	1325	817	624	602
VV1_RS11215	752	2848	753	594
VV1_RS11225	1451	1377	1040	613
VV1_RS11230	738	443	136	93
VV1_RS11235	210	264	60	65
VV1_RS11240	1570	3698	10418	7904
VV1_RS11245	25355	6071	2368	3187
VV1_RS11255	6321	19979	1169	1554
VV1_RS11260	171	245	446	258
VV1_RS11270	126	1686	48720	26816
VV1_RS11275	110	882	29584	13368
VV1_RS11285	154	688	889	570
VV1_RS11290	730	791	155	126
VV1_RS11295	1041	1248	1120	974
THRS	28215	11298	2620	2346
VV1_RS11320	408	702	2290	2369
VV1_RS11675	1057	2505	665	327
VV1_RS11900	1583	2097	1843	1439
VV1_RS12160	2216	2377	3167	3456
VV1_RS12210	1887	634	135	183
VV1_RS12215	2526	2452	10508	5589
VV1_RS12225	1048	14556	26796	21454
VV1_RS12230	298	2731	371	213
VV1_RS12235	248	2031	540	427
VV1_RS12255	390	303	59	69
VV1_RS12265	1932	26599	1639	2496
VV1_RS12275	519	7338	484	277
VV1_RS12285	1184	7675	860	870
VV1_RS12290	942	2622	503	147
VV1_RS12295	4443	3625	2026	1971
VV1_RS12300	4888	5665	508	682
VV1_RS12305	1319	4700	410	382
VV1_RS12310	151	371	230	83
VV1_RS12320	212	540	371	286
VV1_RS12330	3768	1522	528	528
VV1_RS12345	2626	3301	715	1605
VV1_RS12350	611	926	398	395
VV1_RS12360	1434	1965	1084	870
VV1_RS12365	152	156	80	53
VV1_RS12370	283	622	275	286
VV1_RS12395	3748	594	378	417
VV1_RS12400	3984	2736	2195	2466
POTD	2322	1760	700	675
VV1_RS12430	331	696	3984	2413
VV1_RS12435	696	1157	5905	4406
VV1_RS12440	236	550	3208	1689
VV1_RS12445	247	517	2877	1520
VV1_RS12450	15812	18627	57544	31801
VV1_RS12455	15333	22657	15247	19351
VV1_RS12460	229	460	225	175
VV1_RS12480	2271	4205	1038	756
VV1_RS12490	7551	8178	3213	2812
VV1_RS12495	5218	7353	2305	3029
VV1_RS12505	2072	3440	1576	2193
VV1_RS12510	835	3460	2324	1868
VV1_RS12515	1224	2942	31391	15675
VV1_RS12535	518	1366	313	281
VV1_RS12555	1883	5998	3778	4721
VV1_RS12575	1142	2065	495	391
VV1_RS12590	940	326	32142	23833
VV1_RS12595	7893	6048	10711	8214
VV1_RS12600	3516	4779	8953	6869
VV1_RS12610	1789	3519	10975	7418
VV1_RS12615	545	1014	747	443
VV1_RS12620	1008	3075	1313	1070
VV1_RS12630	1677	3327	1313	1181
VV1_RS12635	1197	1348	607	999
VV1_RS12645	1058	710	144	81
VV1_RS12660	263	548	126	79
VV1_RS12670	89	29	26	20
VV1_RS12675	213	133	136	69
VV1_RS12680	40	26	26	28
VV1_RS12685	975	253	2841	1441
VV1_RS12690	358	794	20611	12733
VV1_RS12695	1791	3608	30764	23316
VV1_RS12710	171	174	1866	1192
VV1_RS12720	87	96	737	576
VV1_RS12725	60	10	162	199
VV1_RS12730	743	850	492	587
VV1_RS12735	87	135	60	53
VV1_RS12750	275	93	57	122
VV1_RS12780	1756	4981	1077	665
VV1_RS12785	825	1491	629	454
VV1_RS12790	1665	2940	1035	640
VV1_RS12795	655	711	1505	1721
VV1_RS12800	328	911	1303	1623
VV1_RS12815	638	1125	145	62
VV1_RS12820	119	445	87	55
VV1_RS12825	142	447	96	61
VV1_RS12830	1453	2497	864	1399
VV1_RS12835	21237	12533	7587	8857
VV1_RS12845	1042	363	223	147
VV1_RS12855	1886	1316	282	255
VV1_RS12865	148	606	57	66
VV1_RS12880	1276	732	1002	733
VV1_RS12885	28411	14865	108400	88363
VV1_RS12890	1160	1025	3156	2686
VV1_RS12895	1211	1475	4119	5174
VV1_RS12900	4901	4845	22633	10710
VV1_RS12925	15632	13468	6511	7434
VV1_RS12945	20526	11559	10544	6380
VV1_RS12950	40751	12013	9569	6131
VV1_RS12960	187	1245	195	157
VV1_RS12965	173	138	94	64
VV1_RS12970	664	314	204	181
VV1_RS12975	1133	693	102	55
VV1_RS12980	294	1069	116	81
VV1_RS12985	422	848	120	193
VV1_RS12990	176	171	145	115
VV1_RS13025	362	1154	15396	5023
VV1_RS13035	649	885	7060	2588
VV1_RS13045	105	32	423	469
VV1_RS13055	464	188	186	118
VV1_RS13070	56	40	24	49
VV1_RS13080	1222	3868	1372	1258
VV1_RS13095	8648	1546	1437	2648
VV1_RS13100	1250	3389	1551	1814
VV1_RS13105	22	35	104	62
VV1_RS13110	29	55	68	68
VV1_RS13115	131	134	64	91
VV1_RS13125	49	53	73	40
VV1_RS13130	1548	7520	2884	2155
VV1_RS13150	377	526	657	502
VV1_RS13165	1271	1260	14547	11023
VV1_RS13170	2050	2517	2245	2198
VV1_RS13180	250	208	2095	1317
VV1_RS13190	213	901	5033	2928
VV1_RS13195	464	4033	21608	16071
VV1_RS13200	180	3124	14824	7967
VV1_RS13205	558	160	141	51
VV1_RS13215	691	200	175	270
VV1_RS13220	81	342	546	291
VV1_RS13245	757	11364	2137	1769
VV1_RS13250	954	1196	222	405
VV1_RS13265	107	86	44	43
VV1_RS13270	380	479	269	170
VV1_RS13275	1741	7899	874	760
VV1_RS13280	15037	7844	2342	3294
VV1_RS13285	4490	3818	1194	613
VV1_RS13305	328	2926	6177	3789
VV1_RS13320	169	69	144	37
VV1_RS13340	1971	715	877	684
VV1_RS13350	2787	3314	2808	1197
VV1_RS13355	663	846	562	565
VV1_RS13360	121	393	1585	391
VV1_RS13365	1574	2282	2398	3911
VV1_RS13370	388	585	295	247
VV1_RS13380	125	219	3210	1293
VV1_RS13385	14068	5092	2337	2048
VV1_RS13390	177	483	69	62
VV1_RS13395	190	313	101	41
VV1_RS13400	23099	2016	511	727
VV1_RS13405	10920	4323	5113	4270
VV1_RS13430	2228	3199	1719	1294
VV1_RS13435	1290	927	652	455
VV1_RS13445	705	1790	549	317
VV1_RS13450	12152	24099	6719	4582
VV1_RS13455	4542	23087	10347	6928
VV1_RS13465	357	914	239	192
VV1_RS13470	7232	1605	842	701
VV1_RS13475	2980	26589	13670	9146
VV1_RS13480	261	3180	1312	808
VV1_RS13490	157	354	71	105
VV1_RS13495	583	706	472	375
VV1_RS13500	61	307	45	45
VV1_RS13505	1906	2368	1543	2337
VV1_RS13510	195	307	411	275
VV1_RS13515	153	74	29	53
VV1_RS13520	773	424	157	143
VV1_RS13525	158	435	143	125
VV1_RS13530	243	300	69	58
VV1_RS13540	5518	4429	495	542
VV1_RS13545	1271	1977	278	194
VV1_RS13555	125	151	126	100
VV1_RS13560	231	274	419	287
VV1_RS13565	1339	1308	2449	2152
VV1_RS13585	2551	2283	22499	18708
VV1_RS13590	143	280	1078	750
VV1_RS13595	281	211	1705	1037
VV1_RS13600	46	199	1265	963
VV1_RS13605	1026	369	173	216
VV1_RS13610	150	237	101	119
VV1_RS13615	131	222	65	129
VV1_RS13620	57	60	62	35
VV1_RS13625	115	279	137	246
VV1_RS13630	1586	1772	2887	3054
VV1_RS13635	27090	2739	25771	27412
VV1_RS13645	4044	1608	427	604
VV1_RS13655	2875	3559	6262	4470
VV1_RS13665	7692	2970	8516	21695
VV1_RS13680	15094	12799	4098	2703
VV1_RS13685	5522	2124	543	620
VV1_RS13690	2165	6345	3806	3194
VV1_RS13695	195	1021	6390	3917
VV1_RS13700	207	550	681	451
VV1_RS13705	228	620	1236	613
VV1_RS13710	71	323	476	188
VV1_RS13725	1678	1032	565	219
VV1_RS13745	294	425	3615	2797
VV1_RS13755	4463	5868	4338	3137
VV1_RS13760	1728	3437	3207	2665
VV1_RS13770	589	2393	724	1383
VV1_RS13775	207	244	80	289
VV1_RS13780	1814	523	397	425
VV1_RS13795	524	4188	2191	974
VV1_RS13825	230	410	81	83
VV1_RS13830	506	2190	635	581
VV1_RS13840	426	341	389	229
VV1_RS13845	983	558	378	322
VV1_RS13850	3899	1679	808	1162
VV1_RS13860	3459	1944	660	661
VV1_RS13865	5651	2911	1069	979
VV1_RS13880	377	1500	403	367
VV1_RS13890	2172	2582	1118	1353
VV1_RS13905	4082	4705	911	1390
VV1_RS13910	3409	1370	3582	5011
VV1_RS13930	1230	3152	158231	163698
VV1_RS13935	481	1375	61267	52516
VV1_RS13955	1284	27232	884	715
VV1_RS13965	4055	1297	79	163
VV1_RS13975	330	421	399	273
VV1_RS13985	50884	11788	1610	1129
VV1_RS13990	458	430	428	224
VV1_RS14010	10143	15462	5961	5353
VV1_RS14025	5715	7717	43132	18905
VV1_RS14030	584	594	352	401
VV1_RS14045	397	850	13551	9859
VV1_RS14050	332	694	947	715
VV1_RS14060	775	1592	25846	24727
VV1_RS14065	358	240	92	106
VV1_RS14070	2220	971	356	508
VV1_RS14075	332	598	213	254
VV1_RS14085	937	1328	1116	734
VV1_RS14110	6778	3142	4860	3354
VV1_RS14115	1697	1929	1164	1057
VV1_RS14120	873	740	1121	852
VV1_RS14125	199	1154	366	699
VV1_RS14130	9662	11745	3467	5178
VV1_RS14155	1406	3202	1252	2370
VV1_RS14160	402	775	222	276
VV1_RS14165	679	473	1217	825
VV1_RS14170	445	687	2040	1265
VV1_RS14180	6241	12060	8773	6472
VV1_RS14185	3565	16262	3658	4137
VV1_RS14190	4413	20045	25530	27765
VV1_RS14195	2223	8477	24474	29614
VV1_RS14205	12137	1700	1228	1582
VV1_RS14215	45059	47114	16412	13170
VV1_RS14220	341	339	98	54
VV1_RS14235	1632	1214	265	265
VV1_RS14240	1871	738	363	465
VV1_RS14245	462	1034	372	329
VV1_RS14260	494	580	415	464
VV1_RS14265	288	554	377	329
VV1_RS14270	350	572	380	499
VV1_RS14290	473	968	164	160
VV1_RS14295	5484	10813	1473	635
VV1_RS14300	441	412	226	233
VV1_RS14310	1160	631	205	125
VV1_RS14320	1887	3259	5375	2757
VV1_RS14325	3911	1747	714	949
VV1_RS14335	909017	5382	288	275
VV1_RS14355	230	3395	380	407
VV1_RS14360	383	7643	1614	1588
VV1_RS14365	267	3002	709	366
VV1_RS14385	160	753	92	59
VV1_RS14390	3817	4979	1900	1154
VV1_RS14400	267	847	203	156
VV1_RS14405	893	517	1547	1150
VV1_RS14420	3260	4760	2243	1866
VV1_RS14425	8881	2400	1150	1010
VV1_RS14435	301	698	4651	1733
VV1_RS14440	1354	1241	706	521
VV1_RS14445	2413	2200	3017	1973
VV1_RS14495	356	955	256	290
VV1_RS14510	2313	4045	1120	850
VV1_RS14515	2851	511	159	314
VV1_RS14520	1625	1373	2916	3035
VV1_RS14525	1191	1481	2276	3701
VV1_RS14535	10615	3247	2799	3496
VV1_RS14555	4092	3702	4201	3685
VV1_RS14565	9214	1504	299	171
VV1_RS14595	2485	2330	3272	2242
VV1_RS14600	313	456	341	223
VV1_RS14610	574	1346	728	445
VV1_RS14620	11562	8836	9984	6680
VV1_RS14650	1877	3457	2718	3551
VV1_RS14660	22975	33044	4082	5559
VV1_RS14665	9590	4257	2301	2163
VV1_RS14700	445	462	367	195
VV1_RS14705	539	455	277	190
VV1_RS14710	483	583	392	372
VV1_RS14725	5939	2024	6653	5301
VV1_RS14730	161	166	53	83
VV1_RS14735	234	180	1456	886
VV1_RS14740	1573	763	730	717
VV1_RS14760	243	6588	59296	22980
VV1_RS14765	495064	63070	5221	3395
VV1_RS14770	233	673	230	165
VV1_RS14775	544	290	90	144
VV1_RS14785	17826	3576	1217	1363
VV1_RS14790	127	451	235	235
VV1_RS14795	495	1891	3755	2403
VV1_RS14800	1861	8340	8413	4782
VV1_RS14805	2881	2013	846	741
VV1_RS14815	1391	2238	1691	1176
VV1_RS14825	138	543	19	10
VV1_RS14845	1329	1874	3946	5327
VV1_RS14850	3094	7601	11464	13190
VV1_RS14855	69	100	61	25
FADH	1352	6493	6513	4469
VV1_RS14875	6405	2549	2595	2169
VV1_RS14890	1795	3144	1761	1376
VV1_RS14900	52903	23895	2650	2553
VV1_RS14905	9695	950	274	231
VV1_RS14910	831	809	226	156
VV1_RS14925	4207	10791	549	826
VV1_RS14935	4043	24112	19887	12801
VV1_RS14950	3894	844	2263	1791
VV1_RS14965	3054	2995	513	500
VV1_RS14980	756	707	588	467
VV1_RS14985	1340	563	1048	607
VV1_RS15005	6539	4514	1575	1475
VV1_RS15015	687	1289	607	497
VV1_RS15020	37	261	27	31
VV1_RS15035	2360	1413	1184	831
VV1_RS15040	5573	1996	522	354
VV1_RS15055	676	1912	365	346
VV1_RS15060	2589	452	954	1083
