	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2
VV1_RS02505	992	1053	1738	996
VV1_RS02515	296	1083	303	320
VV1_RS02520	380	1402	443	423
VV1_RS02525	7244	8491	3144	2916
VV1_RS02535	1079	410	1584	1949
VV1_RS02545	7714	2044	2210	2411
VV1_RS02555	22845	10192	4143	7161
VV1_RS02565	6874	1660	608	690
VV1_RS02570	1090	861	331	455
VV1_RS02575	2347	1149	921	750
VV1_RS02590	81	145	117	83
VV1_RS02595	466	307	455	317
VV1_RS02600	1011	813	412	281
VV1_RS02605	9010	3593	1637	1949
VV1_RS02610	388	408	388	325
VV1_RS02625	45759	835	3164	2010
VV1_RS02630	7565	626	605	649
VV1_RS02640	22685	4088	4407	4448
VV1_RS02645	20332	4262	3325	4818
VV1_RS02670	15973	11411	4404	3528
VV1_RS02680	12380	23257	10835	11100
VV1_RS02685	1940	1328	1315	1472
VV1_RS02690	2526	1950	95	106
VV1_RS02720	678	1949	862	773
VV1_RS02730	188	533	76	64
VV1_RS02735	31	186	47	29
VV1_RS02740	144	590	126	109
VV1_RS02745	110	308	66	58
VV1_RS02760	336	517	140	90
VV1_RS02765	3810	1531	368	744
VV1_RS02790	47277	26049	49025	42327
VV1_RS02800	4905	6286	5219	5536
VV1_RS02815	704	1437	809	880
MURF	490	617	252	177
VV1_RS02840	121	347	119	95
VV1_RS02855	5202	4243	3798	4042
VV1_RS02860	9815	3617	2933	3507
VV1_RS02890	9538	7914	6435	9437
VV1_RS02895	6708	9326	6491	7425
VV1_RS02915	1915	1934	5544	4169
VV1_RS02925	5312	90230	1277	1494
VV1_RS02930	1334	914	516	407
VV1_RS02935	2228	1326	925	709
VV1_RS02940	1323	1106	469	320
VV1_RS02950	2817	1748	1787	1200
NUDF	2404	2158	639	664
VV1_RS02970	7542	5584	1917	2507
VV1_RS02975	6966	5987	2821	3140
VV1_RS02980	11574	25377	11101	11026
VV1_RS02985	1567	6708	6848	6242
VV1_RS02990	12360	5836	2702	2854
VV1_RS02995	1549	5890	5705	3740
VV1_RS03000	333	1202	451	228
VV1_RS03005	754	1033	115	187
VV1_RS03035	3206	2827	4074	4442
VV1_RS03045	465	1066	3659	1966
VV1_RS03065	17144	42373	12050	7852
VV1_RS03075	2922	4659	2316	2201
VV1_RS03080	227	329	497	358
VV1_RS03085	1732	3161	850	1229
VV1_RS03090	562	8075	12327	19803
VV1_RS03095	722	5442	5896	10674
VV1_RS03105	64934	1445	4156	5317
VV1_RS03110	16175	470	2252	4450
VV1_RS03115	22077	14064	5579	4295
VV1_RS03120	592	947	278	424
VV1_RS03130	3006	4535	2058	1376
VV1_RS03140	34735	14323	2198	4297
VV1_RS03145	4142	3219	1317	648
VV1_RS03155	56	92	64	117
VV1_RS03165	600	196	165	193
VV1_RS03170	10588	10975	3111	4201
VV1_RS03175	6726	9471	5102	2790
VV1_RS03180	3386	4904	2506	1738
VV1_RS03190	334	271	977	564
VV1_RS03200	4920	5014	2384	2483
VV1_RS03205	1180	1293	3248	3635
VV1_RS03260	5641	1967	1001	1223
VV1_RS03265	3222	10056	24778	12629
VV1_RS03275	8121	3904	4104	2460
VV1_RS03280	3345	1817	4801	3903
VV1_RS03290	171	192	294	265
VV1_RS03295	2265	2299	3355	4087
VV1_RS03310	2481	1920	7048	5562
VV1_RS03320	617	1214	2253	2922
VV1_RS03325	1107	2644	5906	7355
VV1_RS03330	267	538	325	253
VV1_RS03335	2862	2799	2088	1914
VV1_RS03355	1187	3171	738	675
VV1_RS03360	13113	17184	92115	46902
VV1_RS03375	361	632	2378	2714
VV1_RS03385	2237	1052	1276	1244
VV1_RS03400	172	52	94	43
VV1_RS03415	1626	1541	14340	8652
VV1_RS03420	7543	4696	49756	42584
VV1_RS03425	1160	2144	8631	7553
VV1_RS03450	1342	1952	901	868
VV1_RS03455	1589	715	5025	7124
VV1_RS03475	281	254	672	500
VV1_RS03480	91	86	226	164
VV1_RS03485	381	174	421	704
VV1_RS03495	16012	11229	6433	2530
VV1_RS03500	1199	266	789	1039
VV1_RS03505	594	598	2098	1954
VV1_RS03515	1073	358	6796	4035
VV1_RS03520	145	141	2288	1988
VV1_RS03540	367	227	1592	1019
VV1_RS03565	13245	5991	10524	4660
VV1_RS03775	3524	2392	7765	5477
VV1_RS03850	401	390	197	155
VV1_RS03915	12303	13473	21571	13348
VV1_RS03930	813	427	251	255
VV1_RS03945	2264	1657	1318	751
VV1_RS03950	3789	2283	1458	1359
VV1_RS03965	2930	1013	716	661
VV1_RS03990	3696	38557	17399	7305
VV1_RS03995	2926	1060	392	458
VV1_RS04020	2031	566	469	555
VV1_RS04025	29	40	9	3
VV1_RS04045	4041	798	2300	3895
VV1_RS04050	6235	1982	6471	7269
VV1_RS04055	2697	688	1279	1593
VV1_RS04060	851	286	988	971
VV1_RS04070	94	38	55	313
VV1_RS04075	235	60	178	829
VV1_RS04090	219	98	156	422
VV1_RS04095	701	393	231	349
VV1_RS04110	2346	1984	997	689
VV1_RS04115	18	25	18	14
VV1_RS04120	3258	2897	1055	1491
VV1_RS04125	87	296	117	142
VV1_RS04155	624	393	175	247
VV1_RS04175	3302	1746	17198	15751
VV1_RS04180	721	551	474	365
VV1_RS04190	623	448	454	565
VV1_RS04195	629	1122	1273	1538
VV1_RS04200	468	656	1114	1026
VV1_RS04210	586	1237	892	845
VV1_RS04220	860	742	315	241
VV1_RS04225	1553	1470	869	832
VV1_RS04235	2952	2265	1342	3134
VV1_RS04250	7726	290278	25248	18114
