	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_starvation1	K12_starvation2
wza	0	2	0	2
yegH	123	136	130	149
asmA	60	67	63	72
udk	2	6	2	6
yegL	0	2	0	3
mdtA	9	6	12	6
mdtB	10	9	11	11
mdtC	7	12	7	12
baeS	5	7	5	9
baeR	15	18	15	18
yegQ	13	20	13	20
yegS	57	58	60	61
gatD	54	70	59	77
gatZ	5889	6069	5940	6121
gatY	7161	6805	7189	6833
fbaB	464	548	482	563
yegT	6	2	6	2
yegU	4	3	4	3
yegV	2	5	2	5
yegW	9	14	9	14
yegX	4	8	4	8
thiD	17	14	17	14
thiM	17	11	19	12
rncA	2	3	2	3
yehA	2	5	2	5
yehC	0	0	0	0
mrp	93	101	122	133
metG	21	22	25	27
yehL	0	0	0	0
yehP	1	4	3	4
yehT	9	15	9	14
yehU	33	39	34	40
mlrA	20	28	19	32
yehW	6	1	6	3
yehX	10	9	10	9
yehY	8	6	8	6
yehZ	86	105	86	105
bglX	55	62	56	64
dld	85	111	85	115
pbpG	17	13	17	14
yohF	97	116	129	156
dusC	4	6	4	6
yohK	34	59	34	59
cdd	75	90	79	91
sanA	5	5	5	5
yeiT	20	31	20	32
yeiA	36	39	37	40
mglC	23	43	24	44
mglA	45	62	48	68
mglB	324	324	333	334
galS	22	35	23	35
yeiB	3	5	3	7
folE	6	6	6	6
frmC	32	46	38	56
cirA	31	36	30	37
lysP	105	109	105	109
yeiE	114	101	115	101
yeiH	34	42	34	42
nfo	9	13	11	13
yeiJ	3	4	5	4
rihB	3	3	4	3
yeiL	3	8	4	9
yeiC	2	0	2	0
fruA	296	302	321	321
fruK	94	110	94	111
fruB	51	59	52	61
setB	1	5	0	3
yeiQ	64	64	64	64
yeiR	0	1	0	1
yeiU	2	1	2	1
rtn	14	17	16	20
yejB	1	4	2	4
yejE	3	4	3	4
yejF	23	23	23	23
bcr	37	37	42	38
rsuA	9	9	9	9
yejH	3	3	3	3
yejK	25	23	31	23
yejM	30	43	31	44
narP	43	42	47	47
ccmH	4	1	5	3
ccmF	2	7	2	7
ccmC	0	5	0	5
ccmB	1	4	1	4
ccmA	24	30	24	30
napC	18	28	18	28
napH	1	1	1	1
napG	1	1	1	1
napA	8	12	10	13
mqo	10	6	10	8
yojI	6	10	7	12
alkB	8	13	8	13
ada	38	45	40	46
yojL	0	3	0	3
rcsB	178	228	179	228
rcsC	48	35	50	40
yfaP	11	6	12	10
yfaQ	8	6	8	6
yfaT	0	0	0	0
gyrA	108	104	110	105
ubiG	7	9	7	9
nrdA	24	30	29	33
nrdB	38	46	44	50
inaA	31	35	31	35
glpQ	2138	2294	2335	2459
glpT	2195	2278	2281	2369
glpA	2431	2295	2451	2303
glpB	1280	1185	1481	1352
glpC	776	809	820	843
yfaY	30	24	33	26
ais	2	2	2	3
yfbE	16	24	15	23
yfbF	1	2	1	2
yfbG	6	6	6	7
yfbH	3	0	3	0
arnT	41	46	41	46
menE	13	6	14	6
menC	15	19	17	22
menB	21	30	22	33
yfbB	8	6	8	6
menD	21	27	21	27
menF	26	14	26	15
elaC	4	4	4	4
nuoN	52	98	60	103
nuoM	29	34	29	34
nuoL	105	146	107	148
nuoH	78	76	78	76
nuoG	253	298	260	303
nuoF	89	131	101	155
nuoC	180	217	188	225
nuoB	209	188	209	190
lrhA	546	678	547	677
yfbQ	18	27	18	27
yfbS	62	57	62	57
yfbT	161	158	164	161
ackA	538	515	603	578
pta	189	154	189	154
yfcF	14	12	14	12
yfcG	98	100	98	104
yfcH	390	456	445	515
hisP	6	11	6	11
hisM	13	8	13	9
hisQ	35	35	37	35
hisJ	217	206	218	207
purF	23	23	22	23
dedD	105	124	106	125
folC	124	154	124	154
accD	126	140	126	140
truA	85	85	86	90
usg	21	15	23	16
pdxB	27	35	28	38
flk	4	4	4	4
yfcJ	2	1	2	1
fabB	236	233	235	238
trmC	15	11	15	11
yfcA	8	4	8	5
mepA	7	7	7	7
aroC	25	23	30	27
prmB	17	16	22	16
yfcY	370	411	399	442
fadL	444	446	465	468
vacJ	145	189	153	205
yfdC	84	98	88	105
dsdA	15	19	15	19
emrY	2	3	2	3
emrK	22	43	22	51
evgA	5	13	5	13
yfdE	77	81	77	81
yfdV	1	4	1	4
oxc	0	0	0	0
frc	0	1	0	1
yfdX	1	5	1	6
ddg	0	0	4	4
yfdZ	48	63	56	70
ypdA	68	59	70	61
ypdB	83	74	83	74
ypdC	15	20	19	21
ypdD	2	3	2	3
ypdE	0	1	0	1
ypdF	0	3	0	3
ypdG	2	1	2	1
glk	111	119	117	124
yfeO	49	51	49	52
mntH	1100	1180	1177	1249
nupC	22	22	23	24
yfeA	19	21	19	21
gltX	66	77	66	79
yfeR	16	10	16	12
yfeH	53	61	38	50
ligA	76	78	83	79
zipA	319	418	320	419
cysZ	35	35	35	35
cysK	188	248	195	252
ptsI	2256	2488	2259	2489
pdxK	23	30	25	32
cysM	19	25	22	28
cysA	27	28	35	34
cysW	8	10	10	13
cysU	6	17	7	17
cysP	18	27	18	27
ucpA	1703	1554	1814	1651
yfeT	10	6	10	7
yfeU	28	29	32	34
murP	34	30	36	30
murQ	24	23	25	26
yfeX	47	59	47	59
amiA	48	44	48	47
hemF	4	14	4	16
yfeG	4	7	4	8
eutL	5	4	9	7
eutC	7	10	8	10
eutB	44	51	47	52
eutA	0	2	0	3
eutH	7	11	7	12
eutG	1	0	2	0
eutJ	3	0	3	0
eutE	2	2	2	2
eutI	4	3	4	3
eutT	2	3	2	3
eutQ	1	9	1	9
maeB	558	600	604	632
talA	323	369	331	384
tktB	607	699	607	699
ypfG	15	25	16	25
aegA	5	7	6	8
narQ	24	21	25	21
acrD	7	17	8	18
dapE	164	230	176	235
ypfH	105	91	105	91
ypfJ	675	709	701	735
purC	18	30	22	35
nlpB	106	129	106	129
dapA	128	149	128	149
hyfA	1	0	1	0
hyfC	0	1	0	1
hyfD	2	3	3	3
hyfE	0	1	0	1
hyfG	7	7	7	7
hyfI	1	4	1	4
perM	7	17	7	17
yfgC	53	69	53	70
hda	4	5	4	5
uraA	9	14	9	14
upp	13	14	13	14
purM	30	26	31	26
purN	6	9	6	9
ppk	101	87	105	92
ppx	23	31	23	32
yfgF	7	13	7	13
guaA	38	50	39	51
guaB	18	14	20	16
xseA	5	7	5	7
der	92	101	92	101
yfgL	135	181	135	182
yfgM	38	40	38	40
hisS	96	100	99	104
ispG	350	414	367	432
yfgA	380	373	400	387
yfgB	43	51	43	51
pbpC	6	5	6	5
sseA	469	459	472	459
sseB	17	13	17	13
pepB	55	58	56	61
hscA	36	43	36	46
iscS	414	469	415	470
yfhQ	54	69	57	75
suhB	16	14	17	18
yfhR	5	6	4	6
hcaT	65	72	65	72
hcaR	78	89	74	82
hcaE	13	9	13	9
hcaB	3	0	3	0
yphB	11	5	11	5
yphC	4	3	3	5
yphD	6	4	6	4
yphE	6	13	8	12
yphF	10	14	11	16
yphH	28	23	28	24
glyA	108	128	112	139
hmp	69	76	69	78
yfhA	2	9	5	11
yfhG	18	14	8	10
yfhK	60	70	61	70
yfhD	5	11	6	11
yfhB	37	39	37	41
yfhH	10	2	10	2
pdxJ	29	36	33	41
recO	36	31	36	31
era	164	188	236	258
rnc	193	286	194	286
lepB	90	121	101	128
lepA	80	117	83	119
rseB	73	81	73	81
rseA	1433	1390	1433	1391
yfiC	4	3	4	3
srmB	15	13	16	14
yfiE	15	17	17	21
ung	22	14	26	18
yfiF	50	55	47	50
yfiP	3	3	3	3
yfiQ	1036	1104	1088	1158
pssA	364	353	369	355
kgtP	1774	1891	1881	2027
clpB	956	1016	985	1052
yfiH	13	9	13	11
rluD	62	71	65	81
yfiO	65	66	66	66
pheA	33	25	34	30
tyrA	77	63	81	67
aroF	98	130	98	130
yfiN	2	7	2	7
trmD	262	303	262	303
ffh	136	143	181	193
ypjD	7	7	7	6
yfjD	14	11	15	12
yfjB	15	23	15	23
recN	104	138	104	138
gabT	286	435	310	482
gabP	32	30	32	31
csiR	44	67	46	71
nrdF	8	5	8	5
proV	5	12	5	12
proW	6	9	6	9
proX	12	9	12	10
ygaZ	19	13	19	13
emrA	6	10	9	11
emrB	53	47	59	51
gshA	165	177	163	173
alaS	150	176	151	176
recA	554	493	556	496
mltB	4	5	4	5
srlE	8	9	8	9
srlD	15	19	15	19
srlR	27	21	28	23
gutQ	18	20	18	22
norV	4	7	6	8
norW	1	1	1	1
ascG	9	11	9	11
ascF	19	24	18	25
hycG	3	2	4	2
hycE	0	1	1	1
hycD	0	1	0	1
hycC	0	0	0	0
hycB	0	0	0	0
hypB	4	4	4	4
hypD	21	16	23	23
hypE	21	24	25	33
fhlA	25	22	25	23
mutS	9	11	11	14
ygbI	42	54	41	54
ygbJ	41	42	41	42
ygbK	23	29	22	27
ygbL	4	5	4	6
ygbM	4	7	4	7
ygbN	7	10	8	11
nlpD	2512	2666	2653	2838
pcm	57	63	57	63
surE	28	37	40	52
truD	54	55	54	55
ispD	5	11	5	12
cysC	6	19	6	19
cysN	57	77	59	80
cysD	14	29	14	29
iap	7	11	7	11
cysH	27	35	28	41
cysI	38	68	41	68
cysJ	22	27	22	27
ygcQ	2	2	2	2
ygcR	1	0	1	0
ygcS	0	2	0	2
ygcU	2	2	2	3
ygcW	2	1	2	1
yqcE	1	3	1	3
ygcF	498	470	501	472
eno	1620	1848	1620	1850
pyrG	999	973	1033	1021
mazG	74	69	84	88
relA	127	137	136	152
barA	18	21	18	21
gudD	20	23	21	24
gudX	7	20	8	22
gudP	21	14	22	14
truC	4	3	4	3
queF	13	17	14	17
ygdH	262	268	263	268
sdaC	34	41	35	42
sdaB	16	13	16	14
exo	6	7	6	7
fucO	59	79	59	79
fucA	19	17	20	17
fucP	17	19	21	19
fucI	23	19	26	19
fucK	12	15	12	15
fucR	22	27	22	27
ygdE	47	43	47	43
gcvA	32	29	34	32
csdA	9	15	12	17
ygdL	19	13	20	13
mltA	46	43	46	47
amiC	17	13	18	15
argA	33	39	35	41
recD	36	28	39	32
ptr	26	23	26	23
recC	31	45	34	45
thyA	8	10	8	12
lgt	5	11	5	12
ptsP	65	47	65	47
mutH	12	16	12	16
ygdQ	7	9	7	10
tas	50	60	50	60
ygeD	23	30	23	30
aas	31	34	31	34
galR	23	32	24	32
lysA	14	13	14	13
lysR	4	4	4	4
ygeA	13	22	13	22
araE	34	48	36	51
kduD	11	9	11	9
kduI	13	16	14	18
yqeF	149	185	153	188
yqeG	8	8	9	8
yqeH	3	2	3	2
yqeI	1	1	1	1
ygeH	2	4	2	4
ygeR	38	55	29	35
xdhA	13	12	13	12
xdhB	1	8	1	8
ygeV	542	614	551	622
ygeW	2	2	2	2
ygeX	2	5	2	5
ygeY	0	3	0	3
hyuA	2	3	2	3
yqeA	30	26	30	28
yqeB	155	190	156	193
yqeC	98	83	98	84
ssnA	2	4	2	5
ygfM	1	5	1	5
xdhD	26	22	26	23
ygfO	48	68	54	75
guaD	12	13	12	13
ygfT	10	16	10	18
ygfU	3	4	2	3
lysS	83	86	86	86
prfB	31	35	34	35
recJ	32	19	34	22
dsbC	37	42	37	42
xerD	74	61	75	65
ygfZ	155	155	155	156
yqfA	94	132	97	136
bglA	94	96	106	103
ygfF	3	7	4	8
gcvP	23	22	26	23
gcvT	26	25	26	25
visC	16	22	17	24
serA	123	118	126	121
rpiA	94	89	94	89
argP	46	44	46	44
yliK	4	7	4	7
argK	3	2	3	2
ygfG	1	1	1	1
ygfH	5	7	5	7
ygfI	8	11	8	11
yggE	144	149	144	151
argO	7	3	8	6
mscS	23	22	23	22
fbaA	480	533	494	543
pgk	861	951	861	951
epd	200	238	200	238
yggF	11	16	11	16
cmtA	0	0	0	1
tktA	104	105	108	111
yggG	454	481	505	520
speB	56	57	75	70
speA	836	810	951	921
metK	47	60	49	59
galP	5	4	6	4
endA	10	9	10	10
yggJ	21	12	21	12
gshB	47	60	47	60
yggS	11	16	12	19
yggW	0	5	1	5
yggM	3	4	3	4
ansB	13	13	13	13
yggN	40	36	40	36
yggH	57	57	58	57
mutY	10	13	10	14
mltC	10	10	10	10
nupG	158	184	158	184
yqgA	8	12	8	12
yghK	23	36	24	36
glcF	38	57	40	59
glcD	68	87	68	87
glcC	455	453	457	454
ECIAI1_3132	0	1	4	10
yghR	0	0	0	0
yghS	1	1	1	1
yghT	1	0	1	0
pitB	3	6	0	5
gss	27	34	27	34
yghU	57	55	60	55
hybC	36	30	36	31
hybB	3	2	3	2
hybA	8	7	8	7
hybO	11	22	11	23
yghZ	585	597	598	610
yghA	58	83	58	85
exbB	61	59	60	56
metC	36	26	37	29
yghB	123	110	123	110
yqhC	42	43	42	43
yqhD	34	44	34	44
dkgA	323	304	323	304
yqhG	17	22	17	22
ygiQ	15	18	16	19
sufI	34	38	34	38
plsC	29	30	30	31
parC	56	44	56	45
qseB	2	3	2	3
parE	44	43	50	48
cpdA	326	358	336	366
nudF	25	30	28	32
tolC	131	144	151	162
ygiC	120	109	132	125
ygiE	232	211	234	211
ribB	361	356	378	376
yqiJ	10	6	11	6
yqiK	5	3	6	3
rfaE	40	57	52	78
htrG	13	11	13	11
cca	30	37	32	40
bacA	36	38	39	41
plsY	26	26	26	26
ygiP	0	7	0	7
ttdA	0	2	0	2
ttdB	0	0	0	0
ygjE	3	1	3	1
gcp	22	24	23	25
dnaG	235	241	235	241
rpoD	1940	1969	1965	2001
yqjH	4	7	4	7
yqjI	26	19	26	20
aer	64	64	67	67
ygjG	1076	1160	1082	1167
ebgR	3	3	3	3
ygjI	2	2	2	2
ygjJ	0	0	0	0
ygjK	6	6	6	6
ygjO	6	7	7	7
ygjQ	0	1	1	1
ygjR	571	682	632	746
alx	1	2	1	2
sstT	865	943	935	1022
uxaA	50	40	52	40
uxaC	50	37	52	38
exuT	48	41	53	50
exuR	186	200	206	223
yqjA	148	159	148	159
yqjG	237	250	257	265
yhaJ	8	14	9	16
yhaK	7	13	8	13
yhaM	6	5	6	5
yhaO	5	7	6	8
tdcG	10	6	13	7
tdcE	30	39	30	39
tdcD	1	2	1	2
tdcC	6	11	6	12
tdcB	0	3	0	3
tdcA	6	6	7	6
garK	142	171	139	165
garR	159	161	171	174
garL	56	70	57	79
garP	58	75	57	79
garD	86	90	96	97
agaR	34	37	34	37
kbaZ	8	7	10	7
agaS	3	3	3	3
kbaY	1	1	1	1
agaC	0	0	0	0
agaD	3	2	3	2
agaI	0	0	0	0
yraI	0	0	0	0
yraL	14	19	14	20
yraQ	47	47	48	48
yraR	196	188	206	197
yhbU	1	0	1	0
yhbV	4	2	3	2
yhbW	8	13	10	13
mtr	86	69	108	90
deaD	70	77	68	78
nlpI	263	387	263	387
pnp	291	481	308	494
truB	24	25	29	34
infB	195	216	202	221
nusA	160	149	160	150
argG	96	111	99	118
yhbX	15	25	15	25
glmM	93	107	93	107
folP	11	20	11	20
ftsH	1578	1768	1610	1800
rrmJ	599	681	599	683
dacB	2	3	2	3
obgE	680	703	765	804
yhbE	157	168	158	168
ispB	64	96	64	97
murA	26	21	26	21
yrbC	130	117	131	117
yrbE	56	80	56	80
yrbF	100	107	101	109
yrbG	21	22	21	22
kdsD	18	38	18	38
lptB	89	93	89	93
rpoN	158	200	167	212
yhbJ	31	35	31	35
yrbL	757	760	757	762
mtgA	62	54	63	55
elbB	77	75	77	75
arcB	250	228	251	230
yhcC	2	3	2	3
gltB	93	91	98	100
gltD	32	57	38	69
nanE	19	18	21	19
nanT	33	30	37	39
nanA	15	16	15	16
nanR	26	16	31	18
dcuD	1	6	1	7
sspA	131	155	131	155
degQ	60	68	61	68
degS	12	18	12	18
mdh	546	651	593	697
aaeB	8	13	8	13
aaeA	4	10	4	10
aaeR	13	15	13	15
tldD	163	221	180	236
rng	52	51	56	58
mreC	14	14	14	16
mreB	40	33	43	35
csrD	88	97	90	98
yhdH	227	196	233	204
accC	88	110	92	114
panF	13	23	13	23
prmA	40	36	40	36
dusB	71	72	71	72
yhdJ	5	3	5	3
envR	0	0	0	0
acrE	0	0	0	0
acrF	21	29	25	33
aapQ	13	12	13	12
aapP	3	5	4	5
aroE	75	77	78	80
smf	231	248	231	249
fmt	684	598	700	610
rsmB	49	73	49	73
trkA	156	145	159	148
rpoA	700	830	700	830
rpsD	436	537	436	537
secY	1731	2117	1656	2023
rpsC	364	444	364	444
rplB	312	383	312	383
rplD	263	259	263	259
rplC	282	319	282	319
tufA	1962	2224	1962	2226
fusA	2055	2370	2041	2350
yheO	28	27	29	27
fkpA	169	215	171	215
kefB	70	70	73	73
yheS	21	32	22	33
yheT	25	23	25	23
prkB	60	46	62	47
crp	164	220	195	234
yhfK	10	13	11	13
argD	32	36	33	36
fic	696	649	725	664
tsgA	10	9	10	9
nirB	5	7	5	7
nirC	4	0	4	0
cysG	23	36	24	37
frlA	5	1	5	1
frlB	5	3	5	3
frlC	2	3	2	3
frlD	5	11	5	11
frlR	17	9	17	9
yhfS	8	4	8	4
yhfT	1	0	1	0
php	2	5	2	5
yhfZ	51	59	61	77
trpS	74	75	85	86
gph	15	10	16	12
rpe	12	14	12	16
dam	8	15	8	15
aroB	70	99	70	99
hofQ	4	2	4	2
yrfD	3	4	3	4
mrcA	21	21	22	21
igaA	42	31	42	31
yrfG	37	35	37	35
hslO	80	83	81	83
pck	1671	1594	1851	1789
envZ	57	60	60	63
ompR	198	188	198	190
yhgF	12	19	12	21
feoB	38	53	38	53
yhgA	2	1	2	2
bioH	9	15	9	15
gntX	8	10	8	11
gntT	43	57	43	59
malQ	43	54	43	56
malP	44	44	44	44
malT	1449	1356	1502	1437
rtcB	108	108	113	112
glpG	23	18	24	19
glpD	17482	16836	21419	20731
glgP	342	383	348	386
glgA	194	231	194	232
glgC	289	332	291	338
glgX	300	348	300	348
glgB	142	202	142	202
asd	180	217	180	217
gntU	8	9	8	10
gntR	36	30	39	35
yhhW	24	23	25	23
yhhX	122	137	127	137
yhhZ	1	0	1	0
ggt	5	7	6	7
ugpC	24	47	27	49
ugpE	8	10	8	10
ugpA	9	9	9	9
ugpB	1399	1573	1493	1657
livF	15	17	24	23
livG	7	19	9	22
livM	30	25	34	30
livH	24	27	27	30
livK	91	95	97	103
livJ	256	250	279	258
rpoH	419	412	449	455
ftsX	127	134	150	149
ftsE	59	62	61	64
ftsY	98	120	106	127
yhhN	37	38	39	40
yhhQ	7	5	8	5
yhhS	11	10	12	10
yhhT	87	111	89	116
nikA	1	1	1	1
nikB	0	0	0	0
nikC	1	0	1	0
nikD	0	0	0	0
nikE	2	6	2	6
yhhI	21	34	3	5
yhhJ	44	36	45	40
rbbA	53	63	56	65
yhiI	188	213	199	237
yhiM	11	9	12	10
yhiN	69	63	71	63
pitA	153	179	157	180
yhiP	142	158	144	169
yhiQ	17	36	21	40
prlC	220	278	251	309
yhiR	4	6	4	6
gor	57	55	57	55
arsB	13	17	13	17
yhiD	4	5	4	5
mdtE	4	2	4	2
mdtF	18	9	19	10
gadW	12	24	15	24
gadX	96	121	108	133
gadA	86	98	86	98
yhjA	10	12	10	12
treF	165	168	174	175
yhjB	10	14	10	14
yhjC	9	7	8	7
yhjD	253	233	267	245
yhjE	29	37	33	41
yhjG	185	205	186	209
yhjH	35	48	36	49
kdgK	21	20	24	21
yhjJ	9	20	10	21
dctA	269	321	270	321
yhjK	38	25	39	31
bcsC	79	83	79	83
bcsZ	0	1	0	1
bcsB	2	1	3	2
bcsA	6	9	2	3
bcsE	57	66	57	66
bcsG	12	12	13	12
yhjV	2	8	2	8
dppF	16	12	20	13
dppD	18	21	18	21
dppC	25	27	25	27
dppB	18	25	21	27
dppA	549	696	628	789
eptB	3	14	3	14
yhjX	4	8	6	8
yhjY	190	173	190	175
yiaD	4	7	4	7
tiaE	17	18	17	19
yiaF	202	249	215	264
glyS	121	112	128	120
glyQ	66	75	67	75
yiaH	8	10	8	10
xylB	96	100	110	115
xylA	127	153	130	156
xylF	14	18	14	19
xylG	10	19	10	19
xylH	28	23	27	23
xylR	10	13	12	13
bax	187	195	197	201
avtA	15	21	49	46
yiaJ	17	8	17	8
yiaK	7	6	7	6
yiaN	0	2	0	2
yiaO	0	0	0	0
sgbH	1	2	1	2
sgbU	2	1	1	1
sgbE	3	2	2	3
yiaT	42	41	46	42
yiaU	27	28	27	28
yiaV	11	12	11	12
aldB	966	1058	979	1074
yiaY	2	3	2	3
selB	16	19	17	19
selA	8	18	8	18
yibF	15	33	16	33
yibH	52	44	52	44
mtlA	1390	1427	1429	1479
mtlD	457	557	526	640
lldP	43	38	49	51
lldR	14	23	14	23
lldD	7	18	7	19
cysE	116	93	118	98
gpsA	115	153	133	192
gpmI	78	94	84	103
envC	10	8	10	9
yibQ	2	2	2	2
yibD	1	0	1	0
tdh	83	108	123	164
kbl	147	195	157	207
waaD	97	95	105	108
waaF	22	31	22	31
kdtA	20	19	21	19
mutM	8	9	8	9
yicR	53	37	79	62
dfp	11	7	11	7
pyrE	6	6	8	7
yicC	28	31	30	36
yicG	1	2	1	2
ligB	12	9	12	9
gmk	185	246	185	246
spoT	44	40	44	40
trmH	0	4	0	4
gltS	79	103	87	113
yicE	22	14	22	14
yicH	270	268	273	271
yicI	11	10	11	10
yicJ	4	8	4	8
setC	0	3	0	3
yicL	32	27	32	27
nlpA	49	51	49	51
yicM	4	2	3	2
uhpT	817	1106	820	1111
uhpC	2	1	2	1
uhpB	2	4	2	4
ilvB	48	66	46	58
emrD	5	4	5	4
yidJ	1	2	1	3
yidK	4	0	4	0
yidL	10	10	9	9
yidP	0	2	0	2
yidE	116	125	116	125
yidR	11	13	11	15
cbrA	1	2	2	2
dgoT	2	9	3	9
dgoD	16	25	17	28
dgoA	6	8	6	8
dgoR	56	53	57	55
yidX	19	21	19	21
yidA	11	7	12	7
gyrB	186	220	193	231
recF	2	6	2	7
dnaN	41	47	43	50
dnaA	47	66	47	67
yidC	58	71	58	71
trmE	14	16	14	17
tnaA	24	30	25	30
tnaB	10	7	10	7
mdtL	2	4	2	4
yidZ	31	28	33	29
yieE	10	9	10	9
yieH	5	6	5	7
yieK	6	12	6	12
yieL	1	4	1	4
bglH	4	1	4	1
bglB	2	0	2	0
bglG	0	0	0	0
phoU	11	14	12	15
pstB	16	12	16	12
pstA	10	6	11	6
pstC	21	15	21	15
pstS	25	16	25	16
glmS	441	433	519	528
glmU	333	340	376	393
atpD	261	294	264	297
atpG	109	159	109	159
atpA	288	360	288	360
atpB	148	155	148	155
gidB	11	9	11	9
gidA	25	33	25	33
asnA	19	18	21	22
yieM	13	13	13	13
ravA	40	52	42	58
trkD	34	26	35	26
rbsA	89	119	91	120
rbsC	68	92	69	92
rbsB	255	378	258	383
rbsK	25	41	25	41
rbsR	7	5	7	5
hsrA	9	8	9	8
yieP	38	38	40	43
hdfR	20	27	20	27
yifB	5	3	5	3
ilvE	17	13	17	13
ilvD	34	20	43	25
ilvA	16	23	22	32
ilvY	30	34	39	47
ilvC	160	183	195	233
rep	13	8	14	11
gpp	36	35	36	36
rhlB	152	180	152	182
rho	104	131	106	136
rfe	38	40	38	40
wzzE	18	10	18	10
rffE	10	4	10	4
rffD	12	8	12	8
rffG	9	9	9	9
rffH	11	16	11	16
rffC	1	2	1	2
rffA	20	22	20	23
wzxE	20	26	21	27
rffT	11	9	13	9
wzyE	13	13	14	13
rffM	12	13	12	18
yifK	169	209	169	209
hemY	41	57	43	59
hemX	66	76	66	77
hemD	28	27	28	27
hemC	129	118	138	130
cyaA	265	270	282	290
dapF	25	26	25	26
yigA	4	4	4	5
xerC	3	5	3	5
yigB	9	7	9	7
uvrD	27	24	27	26
yigE	1	1	1	1
corA	45	36	47	39
rarD	4	5	4	5
pldA	19	12	20	13
recQ	3	7	3	7
rhtC	7	4	7	4
rhtB	7	8	6	5
pldB	21	25	30	32
yigL	7	8	7	8
yigM	2	2	2	2
metR	6	13	7	14
ysgA	57	56	62	58
udp	69	99	71	101
rmuC	56	48	57	49
ubiE	41	51	41	51
yigP	34	40	19	22
ubiB	34	37	34	37
tatC	6	11	6	11
tatD	8	6	8	6
ubiD	224	267	233	280
fre	158	206	166	211
fadA	247	250	251	258
fadB	752	829	772	844
pepQ	142	133	158	147
yigZ	24	27	24	28
trkH	50	60	51	63
yihE	17	16	17	16
dsbA	71	50	71	50
yihG	0	0	0	0
polA	266	269	266	269
hemN	39	34	39	34
glnG	61	61	61	60
glnL	40	40	40	40
glnA	40	50	40	51
bipA	119	135	119	136
yihL	2	4	2	4
yihM	2	6	2	6
yihN	2	1	2	1
ompL	0	0	0	0
yihO	2	8	2	8
yihP	2	3	2	4
yihQ	1	5	1	5
yihS	5	13	5	13
yihT	2	5	2	5
yihU	2	1	2	1
yihV	22	23	22	23
yihW	34	36	34	36
rbn	62	64	64	65
yiiD	33	36	36	38
fdhE	29	44	31	47
fdoI	66	106	66	106
fdoH	149	183	153	185
fdoG	1205	1463	1232	1487
fdhD	88	78	91	80
frvB	3	1	3	1
rhaD	0	1	0	2
rhaA	2	0	2	1
rhaS	29	23	30	23
rhaR	7	14	7	13
sodA	336	345	336	345
kdgT	14	20	14	20
yiiM	86	97	90	99
cpxA	51	39	51	39
cpxR	44	47	44	47
fieF	78	84	78	84
pfkA	475	515	479	516
sbp	7	16	8	16
cdh	1	1	2	1
tpiA	110	128	123	139
fpr	27	24	29	27
glpX	161	176	161	176
glpK	8173	8684	8580	9119
glpF	6492	6722	6492	6722
menA	5	4	6	4
hslU	232	231	234	233
ftsN	66	58	67	59
cytR	17	18	17	18
yiiX	2	5	5	6
metB	20	13	20	13
metL	31	46	34	50
metF	32	39	37	43
katG	286	325	315	358
yijE	6	3	6	4
yijF	0	0	0	0
gldA	43	42	43	43
fsaB	5	4	10	6
ptsA	13	18	15	20
frwC	11	2	11	2
pflD	15	8	15	9
pflC	2	0	4	0
yijO	1	2	1	3
yijP	23	34	24	38
ppc	102	105	104	113
argE	60	80	60	81
argC	27	23	27	23
argB	17	19	17	19
argH	47	50	49	53
oxyR	41	39	41	39
sthA	123	133	125	138
fabR	64	65	63	66
trmA	137	159	148	174
btuB	55	39	55	39
murI	10	9	10	9
murB	17	34	19	34
birA	24	19	24	20
coaA	9	18	9	18
tufB	1930	2155	1930	2154
rplA	327	367	327	367
rpoB	756	862	757	862
rpoC	873	1003	875	1011
thiH	18	19	20	22
thiG	6	17	6	19
thiF	13	18	13	18
thiE	18	18	18	18
thiC	65	54	65	54
nudC	54	44	54	44
hemE	29	26	29	26
nfi	3	2	3	2
yjaH	6	7	7	7
zraR	41	27	45	29
purD	17	15	18	15
purH	11	13	14	18
metA	55	71	55	71
aceA	1175	1147	1230	1198
aceK	492	555	575	632
iclR	40	23	41	23
metH	154	176	171	192
yjbB	67	62	70	65
pepE	11	13	12	13
yjbC	19	19	24	23
lysC	21	30	22	30
pgi	200	236	213	254
yjbF	0	0	0	0
yjbG	1	0	1	0
yjbH	13	5	13	6
xylE	12	28	13	28
malG	37	50	37	50
malF	14	16	14	16
malE	135	128	140	131
malK	30	18	30	18
malM	55	75	55	75
ubiA	173	171	181	176
plsB	145	160	150	169
lexA	514	558	514	560
dinF	6	11	6	10
yjbM	2	2	2	2
yjbN	7	10	7	10
qor	262	367	270	382
dnaB	14	12	14	13
alr	4	11	4	11
tyrB	37	49	37	49
aphA	8	17	8	17
uvrA	65	79	80	97
yjcC	182	200	182	201
yjcE	22	45	22	45
actP	222	295	250	318
acs	2763	3261	2796	3309
nrfA	4	3	4	3
nrfC	0	2	0	2
nrfD	0	0	0	0
gltP	10	15	12	15
yjcO	28	38	31	41
fdhF	37	21	37	22
yjcQ	5	5	5	5
yjcR	2	1	2	3
phnL	6	8	9	9
phnK	5	2	5	2
phnJ	0	0	0	0
phnI	0	0	0	0
phnF	0	0	0	0
phnD	0	1	0	1
phnC	0	0	0	0
yjcZ	46	43	47	48
