	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_starvation1	K12_starvation2
ybaS	20	27	22	34
ybaT	20	28	20	28
ybbK	801	776	839	801
ybbL	9	10	11	9
ybbM	10	13	10	13
ybbN	49	59	53	62
ybbO	9	9	11	13
tesA	34	40	34	40
ybbA	33	26	34	27
ybbP	26	22	27	23
ybbB	10	9	11	9
ybbS	0	1	0	1
allR	1908	2352	1914	2358
gcl	30	30	36	37
hyi	4	3	4	3
glxR	3	1	3	1
ybbW	12	9	14	11
allB	22	36	23	37
ybbY	4	3	6	4
glxK	10	12	10	12
ylbA	2	6	2	6
allC	5	8	6	8
allD	1	1	1	1
ylbE	2	1	2	1
ylbF	1	1	1	1
ybcF	2	3	2	4
purK	2	8	3	10
lpxH	4	4	5	4
cysS	32	34	33	35
folD	21	14	22	15
sfmC	0	0	0	0
sfmH	2	0	2	0
fimZ	2	0	2	0
envY	3	1	3	1
ybcH	5	3	5	3
nfrB	23	19	25	21
cusR	2	8	4	9
cusC	3	1	6	8
cusB	3	0	3	0
cusA	5	9	5	9
pheP	7	9	7	10
ybdG	17	21	17	21
nfnB	11	18	12	19
ybdK	301	294	349	332
fepA	23	28	30	34
fepC	1	1	2	1
fepG	3	6	3	6
fepD	8	14	8	14
ybdA	4	8	4	8
fepB	5	12	6	13
entC	13	20	13	22
entE	32	31	32	33
entB	18	22	18	22
entA	11	17	12	22
cstA	9899	10389	11411	11939
ybdH	147	155	205	230
ybdL	5	16	5	16
ibrB	3	3	3	3
ibrA	2	3	2	3
ybdO	5	1	5	1
dsbG	26	28	26	28
ahpF	73	84	73	87
ybdR	16	21	16	21
rna	77	68	77	69
citT	2	3	3	3
citG	6	1	6	1
citF	1	2	1	2
citE	2	1	2	1
citC	0	1	0	1
citA	7	8	7	8
citB	4	3	4	3
dcuC	9	9	9	9
lipA	193	223	194	223
ybeF	5	10	5	10
lipB	2	4	2	4
dacA	13	10	13	10
rlpA	38	43	39	44
mrdB	14	16	16	19
mrdA	15	10	14	10
phpB	7	5	7	5
nadD	3	9	3	9
holA	14	18	14	18
leuS	424	441	428	444
ybeQ	125	162	125	162
ybeU	0	0	0	0
hscC	8	8	9	9
rihA	31	28	32	31
gltL	12	5	12	8
gltK	8	14	9	15
gltJ	6	7	8	9
gltI	307	313	348	383
ybeX	603	687	603	688
ybeZ	812	807	810	819
miaB	63	81	65	85
asnB	66	55	86	70
nagD	12	15	19	16
nagC	44	66	44	66
nagA	121	123	121	123
nagB	109	120	123	130
nagE	484	510	501	525
glnS	51	44	56	44
ybfM	6	7	7	7
ybfF	8	8	8	8
pgm	142	198	159	221
potE	29	43	33	46
kdpE	42	50	46	59
kdpD	263	306	270	312
kdpB	2	3	2	3
ybgH	9	6	9	7
ybgI	125	93	129	94
ybgJ	61	61	61	61
ybgK	63	62	72	71
nei	2	3	2	3
abrB	5	4	6	4
gltA	986	1121	1028	1155
sdhA	241	314	268	337
sdhB	129	162	129	165
sucA	380	433	389	435
sucB	212	264	212	265
sucC	241	369	241	370
sucD	232	293	248	315
mngR	10	11	10	11
mngA	2	2	2	2
cydA	569	650	569	650
cydB	468	547	438	494
tolQ	13	15	14	15
tolA	103	123	103	123
tolB	268	296	268	296
ybgF	86	99	86	99
nadA	79	77	83	77
pnuC	145	143	145	143
zitB	66	61	66	61
aroG	41	61	41	63
gpmA	996	1064	1059	1123
galM	51	64	53	68
galK	52	79	55	79
galT	41	53	45	59
galE	126	148	132	157
modF	26	37	27	38
modE	8	17	8	17
modA	28	41	33	45
modB	13	20	13	20
modC	21	24	23	25
ybhA	8	10	8	10
pgl	51	68	53	70
ybhD	1	2	1	4
ybhH	0	0	0	0
ybhI	131	132	8	14
ybhJ	4	5	4	5
ybhC	30	25	31	27
bioB	25	20	25	21
bioC	3	4	4	6
bioD	3	3	3	3
uvrB	230	236	236	244
ybhK	13	8	13	8
moaA	91	90	90	92
ybhL	1682	1730	1693	1741
ybhN	15	12	16	12
ybhO	40	41	40	41
ybhP	42	31	42	31
ybhR	10	14	10	15
ybhS	4	11	4	11
ybhF	19	37	21	39
ybhG	36	38	37	38
ybiH	14	14	15	17
rhlE	3	1	3	1
dinG	39	45	44	47
ybiB	128	132	128	134
ybiC	124	129	125	132
ybiX	9	18	9	18
fiu	9	9	9	10
ybiN	7	6	7	7
ybiO	38	46	44	47
glnQ	39	63	40	65
glnP	95	109	95	109
glnH	618	624	618	624
rhtA	10	8	10	8
ybiR	31	36	31	36
ybiS	73	98	73	99
ybiT	44	52	46	54
ybiU	7	11	7	11
ybiV	16	9	16	9
ybiW	7	12	7	15
ybiY	3	0	3	0
fsaA	9	6	10	7
moeB	10	10	10	16
moeA	36	41	36	44
iaaA	125	131	123	125
yliA	50	58	51	58
yliB	36	42	38	46
yliC	8	8	8	8
yliD	2	10	2	10
yliE	1	3	1	3
yliF	1	0	1	0
yliG	2	1	2	1
yliI	47	42	47	42
yliJ	36	43	36	43
dacC	600	568	604	578
deoR	19	16	19	16
cmr	227	217	229	218
ybjI	12	16	12	16
ybjJ	11	10	11	10
ybjL	64	56	65	58
nfsA	14	16	14	16
rimK	7	16	8	17
potF	213	200	237	221
potG	31	28	41	49
potH	17	20	19	20
potI	21	28	22	29
rumB	2	1	2	3
artJ	14	11	14	17
artM	11	23	11	25
artQ	20	27	20	27
artI	193	228	195	233
artP	102	137	102	137
ybjR	327	310	334	315
ybjS	33	37	33	37
ybjT	15	17	17	17
ltaE	52	50	64	57
poxB	119	110	144	132
hcr	2	2	2	2
hcp	1	1	1	1
ybjE	4	7	4	7
aqpZ	45	47	45	49
ybjD	86	100	103	123
ybjX	63	65	63	65
macA	37	37	37	37
macB	89	183	90	188
clpA	3380	3574	3423	3625
aat	4	10	4	10
cydC	15	10	15	11
cydD	10	19	10	19
trxB	35	38	37	43
lolA	58	75	58	75
ycaJ	12	14	13	14
serS	321	355	332	383
dmsA	12	13	12	14
dmsB	5	3	5	3
dmsC	13	13	13	15
ycaC	35	32	35	34
ycaD	13	24	15	23
ycaM	18	18	18	18
ycaN	3	3	3	3
pflA	181	164	181	164
pflB	2027	2234	2042	2257
focA	219	222	228	234
ycaO	14	23	14	24
ycaP	58	72	61	80
serC	74	135	75	139
aroA	26	36	26	36
ycaL	33	38	5	8
cmk	229	295	240	300
rpsA	3873	4051	3885	4060
msbA	34	33	35	34
lpxK	21	21	21	21
kdsB	53	52	54	55
ycbJ	104	135	104	135
smtA	11	13	12	15
mukF	17	20	16	18
mukE	7	10	7	10
mukB	55	58	55	62
ycbB	2484	2524	2488	2530
ycbL	48	41	48	41
aspC	83	96	83	97
ompF	1730	1878	1732	1878
asnS	164	213	169	219
pncB	43	29	47	31
pepN	321	339	375	375
ssuC	1	0	1	0
ssuA	3	0	3	0
ycbR	2	8	2	8
ycbT	4	10	5	12
ycbF	4	2	4	2
pyrD	3	4	3	4
ycbX	6	7	6	7
ycbY	26	27	26	28
uup	109	113	109	113
pqiA	55	64	55	64
pqiB	72	90	70	88
ycbZ	504	552	504	552
yccR	52	56	52	56
yccS	29	30	29	30
helD	130	139	130	140
yccT	15	13	15	13
yccW	315	321	318	326
yccA	445	416	458	434
hyaA	9	8	10	8
hyaB	8	9	8	9
hyaC	5	3	5	3
hyaF	3	0	3	0
appC	11	16	11	16
appB	3	3	2	3
appA	6	7	6	7
yccC	39	60	39	60
yccZ	6	3	6	3
ymcA	0	1	0	1
ymcB	0	0	0	0
ymcC	4	3	4	3
yccM	2	3	2	3
torR	5	8	6	10
torC	3	4	3	4
torA	6	13	6	14
cbpA	156	150	162	154
agp	3300	3320	3369	3394
rutG	17	9	21	10
rutD	0	1	0	1
rutB	1	1	1	1
rutA	5	0	5	0
rutR	39	35	39	37
putP	1197	1275	1338	1445
efeO	2	7	2	7
efeB	5	10	5	10
phoH	2120	2518	2120	2519
ycdW	25	27	25	27
ycdX	25	35	25	35
csgG	4	12	7	13
csgD	16	11	16	11
ymdC	78	83	78	83
mdoC	13	9	13	12
mdoG	79	95	82	97
mdoH	74	75	74	75
mdtG	3	6	3	6
lpxL	26	29	27	31
yceA	14	8	15	8
solA	19	18	19	18
pyrC	7	6	7	11
grxB	63	75	63	75
mdtH	3	2	3	2
yceH	181	159	196	174
mviM	196	182	201	185
mviN	3	15	3	15
flgA	44	45	44	45
flgD	76	90	76	90
flgF	40	53	52	72
flgG	47	44	47	45
flgH	11	20	11	20
flgI	12	19	12	20
flgJ	11	11	11	12
flgK	181	213	194	219
flgL	159	157	185	182
rluC	18	28	18	28
plsX	92	97	92	97
fabH	173	167	173	168
fabD	120	161	120	162
fabG	765	892	765	892
fabF	280	387	286	400
pabC	12	9	12	9
yceG	13	11	13	12
tmk	14	9	14	9
holB	9	4	9	4
ycfH	293	263	293	263
ptsG	368	455	368	455
fhuE	9	19	9	19
ycfM	37	52	38	52
ycfN	24	22	24	22
nagZ	127	115	127	117
ndh	40	33	40	33
ycfQ	60	59	60	59
ycfS	18	11	18	11
mfd	30	35	30	38
lolC	5	7	5	7
lolD	3	6	5	7
lolE	167	173	169	177
ycfX	119	130	121	133
cobB	45	46	41	46
potD	55	61	75	69
potC	13	15	13	15
potB	12	6	12	7
potA	15	17	11	14
pepT	253	293	273	309
ycfD	204	211	212	215
phoQ	45	61	45	61
phoP	115	126	126	139
purB	12	18	14	20
hflD	8	8	8	8
trmU	14	18	14	18
ymfC	4	3	4	4
icd	1196	1314	1315	1435
ycgE	71	55	71	55
ycgF	20	18	20	18
ycgG	16	8	16	8
minD	89	100	89	100
minC	47	63	47	63
ycgM	32	47	35	47
umuC	16	18	16	18
nhaB	9	7	9	7
fadR	125	105	125	106
ycgB	5086	5825	5175	5946
dadA	1526	1729	1674	1897
dadX	408	492	431	509
cvrA	20	27	23	28
emtA	113	103	114	103
ycgR	26	39	26	39
treA	162	164	162	164
dhaH	40	43	40	43
dhaL	16	15	17	15
dhaK	50	35	51	35
dhaR	15	11	15	11
ychF	56	58	57	58
ychM	286	382	286	382
prsA	31	37	31	37
ispE	20	17	20	17
lolB	17	16	17	16
hemA	20	31	20	32
prfA	9	11	10	13
prmC	1	7	1	7
ychA	32	34	32	34
kdsA	88	91	88	91
chaA	24	26	24	27
chaC	124	109	106	105
ychP	10	15	14	20
narL	5	2	5	2
narX	37	40	39	41
narK	35	28	35	29
narG	17	15	17	15
narH	2	6	2	6
narJ	4	2	5	2
narI	3	9	3	9
purU	39	36	39	37
rssA	190	191	170	175
rssB	383	379	393	391
galU	314	425	314	427
tdk	8	8	8	8
adhE	2050	2003	2055	2009
ychE	3	5	3	5
oppA	755	770	757	773
oppB	57	65	58	66
oppC	73	87	73	87
oppD	77	76	83	84
oppF	95	87	100	92
cls	96	97	101	100
kch	7	7	7	7
tonB	34	28	35	29
yciC	102	130	108	132
ompW	41	42	41	44
trpA	22	17	23	17
trpB	43	47	47	47
trpD	14	14	16	15
trpE	2	3	5	6
yciV	45	59	45	59
yciO	75	105	84	113
rluB	20	18	23	24
yciK	15	21	15	21
sohB	99	117	103	120
topA	208	226	208	226
cysB	60	86	61	87
acnA	1650	1837	1720	1940
pgpB	53	53	53	53
yciM	58	59	58	61
pyrF	11	9	11	9
deoT	16	16	18	18
gmr	641	659	641	662
rnb	31	36	31	37
fabI	255	295	260	299
sapF	34	30	35	31
sapD	90	96	90	96
sapC	58	59	61	62
sapB	107	103	107	108
sapA	196	223	196	223
puuP	21	24	21	26
puuA	162	152	177	174
puuD	424	384	429	389
puuB	22	21	28	29
puuE	15	21	18	24
pspF	9	14	9	14
pspA	301	278	310	284
ycjM	1	0	1	0
ycjN	0	0	0	0
ycjO	2	1	2	1
ycjP	1	1	1	1
ycjQ	1	3	1	3
ycjR	4	3	4	3
ycjS	0	3	0	3
ycjU	0	0	0	0
ompG	0	0	0	0
ycjW	1	1	1	1
ycjX	24	23	30	37
ycjF	20	21	20	26
tyrR	319	311	319	312
ycjG	183	213	194	219
mpaA	60	55	59	51
ycjZ	8	6	8	6
mppA	138	137	138	140
ynaI	11	15	11	15
uspE	4777	4877	4784	4884
fnr	574	635	574	635
abgT	3	0	5	4
abgB	13	16	19	19
abgA	5	1	5	1
abgR	8	11	9	11
ydaM	47	62	52	64
ydaN	150	173	152	175
dbpA	6	4	6	5
ydaO	45	51	45	55
ompN	16	19	23	32
ldhA	110	113	112	116
feaR	60	77	60	77
feaB	95	85	96	87
maoC	2	3	2	3
paaA	1	2	2	2
paaC	1	3	1	3
paaJ	1	3	1	3
paaF	1	0	2	0
paaG	0	0	0	0
paaH	2	2	2	2
paaE	114	108	116	109
paaK	63	77	65	81
paaX	100	89	115	101
ydbC	174	168	199	199
azoR	9	7	9	7
hrpA	130	147	142	156
ydcF	26	20	27	20
aldA	6317	6504	6400	6611
trg	172	161	178	165
ydcI	214	274	216	275
ydcJ	363	347	364	347
mdoD	39	50	42	54
ydcK	197	246	206	253
tehA	11	29	12	29
ydcL	764	814	796	861
ydcO	8	3	9	3
ydcP	24	24	24	24
ydcR	13	18	13	18
ydcS	1197	1314	1206	1326
ydcT	172	208	172	209
ydcU	48	58	48	58
ydcV	28	47	29	47
ydcW	107	121	111	128
yncB	83	76	94	97
yncC	28	33	28	33
yncD	10	13	10	13
yncE	134	135	134	139
