"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_starvation1","K12_starvation2"
"1","ybhI",72.4687058823917,-0.233698064409934,0.0323576650312532,-7.22234018382393,5.11004435278579e-13,1.18450828097575e-09,139.578952913992,128.975015574783,8.18763227353673,13.1332227672543
"2","galF",154.985991702749,0.181697681394106,0.0429903262914838,4.22647830495997,2.3737714652876e-05,0.0275120112826833,105.483330828132,94.7770947784393,206.737714906803,212.945826297623
"3","insF",38.6822344166972,0.0939439585375691,0.0238642515086939,3.9365977392312,8.26449687730094e-05,0.0638570125386119,9.58939371164833,14.6562517698618,46.0554315386441,84.4278606466345
"4","ycaL",21.2280625803665,-0.0624699872835627,0.0194077411746471,-3.2188180335571,0.00128720141112441,0.602630282512928,35.1611102760439,37.1291711503164,5.11727017096046,7.50469872414529
"5","gnd",374.070358092804,0.167800526718063,0.0521767249505182,3.21600343596108,0.0012998927577932,0.602630282512928,315.384504294212,292.147951945911,465.671585557402,423.077390573691
"6","thrA",147.162397997761,-0.00368637903675393,0.0400364780064481,-0.0920755076448086,0.926638047841272,0.999974208147515,127.858582821978,169.035437079072,123.837938137243,167.917633952751
"7","thrB",152.769589467279,-0.000139871634389402,0.0430668331017448,-0.00324778081682851,0.997408650385009,0.999974208147515,150.233834815824,155.356268760535,153.518105128814,151.970149163942
"8","thrC",170.65818208423,0.00555476611719316,0.0441584548995884,0.125791677490168,0.899896829842757,0.999974208147515,161.954204907839,175.875021238341,163.752645470735,181.050856720005
"9","yaaA",15.5376593669095,-0.00135144430870149,0.0170066862067075,-0.0794654697732047,0.936662395859353,0.999974208147515,17.0478110429304,14.6562517698618,16.3752645470735,14.0713101077724
"10","yaaJ",23.3663990680652,-0.000879012731939544,0.0202979872545129,-0.0433054135327685,0.965458075897434,0.999974208147515,26.6372047545787,20.5187524778065,26.6098048889944,19.6998341508814
"11","talB",184.960476507681,-0.00307607947844269,0.0450159927992628,-0.0683330364868254,0.945520526267518,0.999974208147515,196.049826993699,175.875021238341,193.432812462305,174.484245336378
"12","htpY",10.2448043756733,0.000152250057755785,0.0140168653531636,0.0108619191181303,0.991333612847208,0.999974208147515,10.6548819018315,9.77083451324117,10.2345403419209,10.3189607456998
"13","dnaK",2689.28690325307,-0.00450039288517819,0.0554204935695673,-0.0812044894462915,0.935279329248064,0.999974208147515,2744.69757791179,2647.89615308836,2728.52845515612,2636.02542685603
"14","dnaJ",422.539914393666,-0.00413604042872254,0.0531807787755154,-0.0777732203994497,0.938008448934765,0.999974208147515,408.081976840146,440.664636547177,404.264343505876,437.148700681463
