	IAI1_batch1	IAI1_batch2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
dhaK	871	562	190	140
dhaR	268	161	125	105
ychF	3004	2322	712	507
ychM	215	138	526	431
prsA	3780	2211	298	273
ispE	1008	568	130	124
lolB	440	291	100	80
hemA	824	636	295	210
prfA	717	594	121	74
prmC	289	206	25	36
ychA	654	533	501	407
kdsA	2216	1715	785	564
chaA	1646	1167	372	293
chaC	320	249	246	178
ychP	146	106	102	54
narL	355	232	93	61
narX	272	185	133	103
narK	14	11	40	25
narG	63	48	67	45
narH	56	33	50	49
narJ	16	17	19	22
narI	20	13	22	23
purU	2111	1607	351	239
rssA	321	243	287	216
rssB	232	172	250	164
galU	2097	1583	1040	739
tdk	514	415	146	114
adhE	8423	5824	8589	7087
ychE	75	61	66	71
oppA	1658	1115	942	657
oppB	321	223	70	67
oppC	422	311	79	65
oppD	559	383	128	87
oppF	610	393	243	181
cls	952	665	1048	743
kch	342	245	172	113
tonB	731	377	580	498
yciC	574	443	683	540
ompW	525	927	2474	1543
trpA	2496	1633	144	141
trpB	4600	2742	206	171
trpD	2482	1274	74	77
trpE	1305	743	26	30
yciV	418	317	374	385
yciO	356	234	223	205
rluB	1206	860	130	79
yciK	626	439	468	352
sohB	1637	1123	942	760
topA	5958	4136	1335	1040
cysB	568	434	568	434
acnA	1476	1105	2359	1625
pgpB	225	154	225	167
yciM	814	612	819	573
pyrF	1329	959	48	32
deoT	314	201	192	183
gmr	644	481	402	330
rnb	5397	3536	206	155
fabI	6623	4837	2929	2402
sapF	188	133	44	33
sapD	301	196	85	75
sapC	107	71	45	31
sapB	122	93	83	43
sapA	276	186	170	140
puuP	47	31	68	43
puuA	134	66	143	120
puuD	180	108	300	293
puuB	14	6	3	5
puuE	20	12	23	16
pspF	137	82	141	99
pspA	524	425	1390	1063
ycjM	9	7	36	28
ycjN	2	4	9	3
ycjO	3	4	8	5
ycjP	3	3	6	3
ycjQ	13	13	7	5
ycjR	8	8	4	7
ycjS	18	10	15	11
ycjU	2	1	3	2
ompG	6	11	14	6
ycjW	161	100	42	42
ycjX	243	160	228	176
ycjF	245	151	218	167
tyrR	957	723	861	644
ycjG	172	119	647	452
mpaA	111	68	136	109
ycjZ	159	123	111	69
mppA	959	777	1391	1063
ynaI	220	171	205	173
uspE	1375	1043	8899	6764
fnr	2207	1453	4029	3419
abgT	17	10	8	19
abgB	19	11	26	18
abgA	28	20	14	13
abgR	91	67	117	114
ydaM	55	45	158	104
ydaN	391	264	319	250
dbpA	155	107	45	27
ydaO	866	688	122	103
ompN	77	51	198	164
ldhA	607	424	478	337
feaR	155	108	1246	1053
feaB	131	95	400	362
maoC	37	30	23	17
paaA	26	14	14	14
paaC	26	21	20	10
paaJ	29	19	21	12
paaF	17	16	1	1
paaG	27	11	5	4
paaH	50	38	17	9
paaE	87	64	1310	957
paaK	81	58	766	572
paaX	205	137	202	146
ydbC	66	47	1306	1043
azoR	340	261	170	192
hrpA	1394	931	202	167
ydcF	144	101	130	75
aldA	580	374	6295	4965
trg	68	63	144	109
ydcI	491	332	2202	1756
ydcJ	56	27	319	191
mdoD	1437	994	636	448
ydcK	41	28	85	68
tehA	100	60	115	95
ydcL	417	283	420	318
ydcO	75	41	58	50
ydcP	1475	1097	201	157
ydcR	269	169	55	79
ydcS	28	20	349	227
ydcT	9	15	58	67
ydcU	13	9	49	26
ydcV	19	12	36	23
ydcW	97	71	126	89
yncB	137	113	653	444
yncC	62	51	249	168
yncD	337	211	66	58
yncE	8137	3875	4020	3015
ansP	444	325	54	60
yncG	7	9	28	16
nhoA	90	71	92	59
narV	36	13	52	40
narW	11	7	17	20
narY	25	27	44	29
narZ	55	38	75	58
narU	9	10	43	44
yddG	149	115	22	24
fdnG	112	82	449	401
fdnH	29	30	99	85
fdnI	47	39	55	57
adhP	85	40	110	77
sfcA	1784	1315	584	444
ddpD	24	7	20	18
ddpC	19	11	22	15
ddpB	9	4	12	13
ddpA	16	14	44	39
dos	286	206	134	120
yddV	355	230	462	325
yddW	255	195	243	201
gadC	76	59	149	95
gadB	162	115	102	87
ydeM	21	11	86	71
ydeN	120	68	447	450
ydeO	8	5	13	5
ydeP	211	168	289	192
ydeQ	70	70	26	15
lsrK	79	57	666	554
lsrR	130	110	553	450
lsrC	17	13	88	51
lsrD	12	11	44	34
lsrB	28	30	95	52
lsrF	70	39	110	71
tam	35	28	80	65
yneE	66	49	29	19
uxaB	164	108	166	125
yneF	215	177	142	144
yneH	283	207	18	15
yneI	147	138	50	40
ydeA	128	107	43	31
marC	108	85	92	57
eamA	422	264	326	260
ydeE	66	48	86	56
ydeH	230	194	1053	668
dcp	2048	1488	423	245
ydfG	1567	1097	636	463
ydfH	357	285	243	214
ydfT	32	33	55	38
ydfU	6	3	15	11
rspB	105	77	117	104
rspA	243	159	56	54
ynfC	235	166	359	250
ynfF	50	46	49	39
ynfG	19	12	8	8
ynfH	127	81	70	73
dmsD	185	137	85	76
clcB	39	30	16	14
ynfK	132	121	592	425
dgsA	996	689	652	463
ynfL	61	37	51	41
ynfM	176	96	47	39
ydgD	175	125	458	345
ydgG	138	120	172	108
pntB	26422	18184	2308	1607
pntA	35926	23832	1984	1385
ydgH	3349	2354	1748	1472
ydgI	152	113	58	46
folM	207	148	134	107
rstA	661	499	195	153
rstB	738	532	169	125
tus	117	62	232	153
fumC	814	421	4403	3434
fumA	3208	2383	19681	16929
manA	657	491	331	279
ydgA	2375	1778	1039	786
uidC	13	12	90	54
uidB	7	8	90	70
uidA	21	18	376	240
hdhA	675	540	263	209
malI	81	64	152	112
malX	112	108	139	91
malY	393	300	192	167
add	183	114	515	390
ydgJ	1395	938	948	740
rsxD	272	153	18	14
rsxG	214	105	9	16
rsxE	135	91	19	17
nth	151	79	29	7
ydgR	210	123	60	49
gst	644	441	1827	1558
pdxY	490	327	128	91
tyrS	6087	4221	1053	796
pdxH	663	472	238	214
anmK	378	257	449	334
ydhJ	39	29	13	8
ydhF	233	161	459	300
nemA	222	142	68	54
rnt	138	77	20	19
ydhO	282	190	135	109
ydhP	361	256	18	15
purR	2158	1563	242	205
ydhB	118	85	37	43
ydhC	66	51	16	20
cfa	585	305	899	800
ribC	887	639	598	448
mdtK	152	102	626	494
ydhQ	587	415	605	465
ydhS	19	17	120	89
ydhT	17	17	44	29
ydhU	42	32	78	59
ydhX	25	16	25	15
ydhV	26	16	54	35
ydhY	4	2	10	13
pykF	5250	3691	483	331
ynhG	252	200	843	649
sufS	805	297	186	148
sufC	603	219	179	120
sufB	1221	457	446	332
ydiK	464	299	277	232
ydiM	5	6	65	59
ydiN	3	5	52	42
ydiB	53	34	45	34
aroD	382	221	120	124
ydiF	25	9	23	23
ydiO	27	14	12	19
ydiP	75	47	216	195
ydiQ	7	9	9	10
ydiR	13	17	16	13
ydiS	18	11	14	10
ydiD	32	36	74	56
pps	7622	5474	12474	9653
ydiA	179	108	195	198
aroH	476	300	32	27
ydiV	253	197	134	80
btuD	246	164	52	34
btuC	262	184	125	99
pheT	15295	10576	3328	2600
pheS	5466	3745	243	168
thrS	19354	14094	11950	10102
ydiY	91	58	32	30
pfkB	241	90	191	126
yniA	145	108	8513	6513
yniC	338	240	153	190
ydjN	7611	5672	359	282
katE	82	54	57	32
chbF	107	77	243	175
chbR	80	80	283	203
chbC	36	40	457	396
nadE	1778	1244	502	359
ydjQ	92	51	54	33
astE	6	12	120	107
astB	12	9	168	126
astA	12	6	220	160
astC	11	11	418	328
xthA	645	427	190	154
ydjX	45	29	80	55
ydjZ	37	26	17	17
ynjE	343	270	60	45
ynjF	57	45	42	33
gdhA	12043	7309	590	516
topB	1081	740	299	204
selD	1449	961	1216	918
sppA	1164	819	534	406
ansA	391	257	64	60
pncA	466	292	245	221
ydjE	35	25	135	84
ydjF	241	227	364	293
ydjG	89	66	68	45
ydjH	43	28	36	18
ydjI	53	36	54	30
ydjJ	43	41	34	16
ydjK	27	24	24	18
ydjL	32	35	27	15
gapA	42272	29884	5443	4409
yeaD	595	325	70	57
yeaE	257	165	135	127
mipA	4362	3193	247	201
yeaG	284	188	3160	2311
yeaH	45	32	1056	820
yeaI	2	3	30	25
yeaJ	155	113	130	100
yeaM	70	37	56	47
yeaN	50	40	27	24
yeaP	940	695	370	301
yeaS	26	25	84	75
yeaT	70	62	103	79
yeaU	67	44	86	104
yeaV	21	15	341	300
yeaW	56	34	605	476
yeaX	55	33	372	250
rnd	235	156	94	48
fadD	429	319	6636	5113
yeaZ	581	395	28	29
yoaA	515	332	103	51
sdaA	151	112	627	505
adrB	31	41	54	44
yoaE	335	233	142	102
manX	5828	3975	1142	891
manY	4750	3406	859	648
rrmA	228	185	41	36
kdgR	1301	1050	1431	1120
yebQ	16	19	27	19
htpX	4203	3013	19130	15535
prc	5880	4217	919	703
yebS	180	115	125	116
yebT	466	341	86	95
yebU	340	239	60	53
pphA	37	26	61	49
yebZ	864	636	73	69
yobB	124	69	307	271
exoX	210	131	202	115
ptrB	208	111	137	113
yebE	238	150	933	744
purT	1577	1101	26	23
eda	1079	752	217	156
edd	684	421	95	86
zwf	4412	2853	780	631
yebK	368	234	548	499
pykA	1852	1175	731	579
lpxM	616	421	212	207
yebA	3632	2652	1446	1000
znuA	19263	13534	629	497
znuC	892	656	175	137
znuB	767	571	50	46
ruvB	576	377	324	236
ruvA	367	223	338	275
yebB	24	14	38	24
yebC	3200	2356	451	295
aspS	5329	3743	846	735
yecE	61	35	30	31
yecO	293	185	89	61
yecP	467	364	81	75
torY	4	6	42	25
cutC	641	459	242	227
argS	2985	2213	380	300
flhA	125	95	78	65
flhB	6	5	6	5
cheZ	31	34	22	25
cheB	12	11	14	7
cheR	10	9	9	6
tap	16	7	16	7
tar	15	7	41	21
cheA	56	36	14	7
motB	19	12	9	3
motA	16	8	2	8
otsA	111	85	240	173
otsB	24	20	77	76
araH	29	22	876	727
araG	54	31	797	577
araF	34	19	1564	1205
tyrP	331	264	109	79
yecA	795	606	1696	1323
uvrC	968	704	205	135
uvrY	1302	1077	581	441
sdiA	260	180	260	196
yecC	381	264	52	53
yecS	283	182	46	45
yedO	771	435	151	123
fliY	6432	4397	1218	861
fliA	3	3	6	3
fliD	22	12	19	13
amyA	132	85	304	279
yedE	1487	1062	303	191
fliF	9	3	6	2
fliG	13	8	8	7
fliH	6	3	5	2
fliI	7	3	4	4
fliM	13	5	6	5
fliP	6	4	4	4
fliR	14	10	106	106
rcsA	63	38	28	21
yedP	19	23	94	54
yedQ	177	101	170	131
yedI	312	230	205	138
yedA	24	14	19	9
dcm	818	520	148	118
