"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_starvation1","IAI1_K12ref_starvation2"
"57","serA",7889.27253106992,-3.07482185686316,0.0936758745757437,-32.8240528395275,2.67240982710214e-236,1.10694028101546e-234,14417.6595973253,13794.3466920758,1635.76943835465,1709.31439652399
"58","atpG",5715.14323689221,-3.31280236123538,0.101018189399571,-32.7941173854524,7.14238110706566e-236,2.90744168858311e-234,10577.8569268882,10193.4309161451,996.395934632576,1092.88916990297
"59","atpD",9684.67080101861,-2.88228775821457,0.088713345046868,-32.489900552074,1.48093226359205e-231,5.92623910905224e-230,17264.5192440952,16852.6463736108,2313.64536109648,2307.87222527193
"60","mhpR",1187.37647463899,5.16158189097752,0.159228725605188,32.4161477230924,1.62556809533092e-230,6.39661045512717e-229,63.4468385729858,64.8976059742195,2287.97708174998,2333.18437225879
"61","lrhA",4085.88997193094,4.07996216482684,0.126074261613422,32.361578902894,9.53492159193658e-230,3.69048358664955e-228,403.52189332419,509.265935769917,7432.13361078397,7998.63844784569
"62","aceA",2006.02364182168,3.64618921196258,0.113605824166378,32.0950905353466,5.16213324067167e-226,1.96577364213319e-224,298.834609678763,292.940582522518,3738.2348648276,3694.08451025785
"63","yccC",2631.36956986667,-4.17638373080357,0.130391339362463,-32.0296098745794,4.22182304044401e-225,1.58217844420449e-223,4734.4030943162,5239.58032677969,256.682793465066,294.812064905705
"64","dadA",1599.25441749588,4.32777400661455,0.135407797218386,31.9610398774505,3.79521186379351e-224,1.40007737662758e-222,154.810286118085,146.920969080525,3209.70165828362,2885.58475650129
"65","fdoG",5220.61069102107,3.462713044942,0.109583795968161,31.5987689087544,3.83867998103493e-219,1.39432668234207e-217,869.856156835636,862.597346074,8877.72443398041,10272.2648271942
"66","glnH",6410.10367444444,2.93578703080599,0.0934068959361258,31.4300887678953,7.85506403093703e-217,2.8099706328852e-215,1451.02919816419,1509.77069453913,11058.3614384632,11621.2533666112
"67","ydjN",2695.04289122255,-3.56334246208883,0.11446300408882,-31.1309535378242,9.18404330529814e-213,3.23634720056849e-211,4828.93888378995,5112.48918174684,418.859649336176,419.883850017216
"68","argH",1896.49680887233,-4.94194402856241,0.159016131852628,-31.0782558410015,4.73846960084251e-212,1.64522451876311e-210,3766.83880607817,3584.69137443709,137.675316494899,96.7817384791456
"69","acs",3676.60087239725,3.42455457020855,0.111125694913443,30.8169462776001,1.55380084191631e-208,5.31670114168754e-207,649.695626987375,599.401499622999,7105.44641910115,6351.85994387746
"70","garR",1147.82141907301,5.86702809990684,0.191000780086185,30.7172991506081,3.34412918391617e-207,1.12792700046087e-205,33.6268244436825,44.1664262880105,2381.31627937364,2132.17614618671
"71","cysJ",2132.99087533186,-6.9096262729552,0.225621269373352,-30.6248887445152,5.70849866493221e-206,1.89827680956408e-204,4390.52122925062,4074.12748615933,42.0026389306472,25.3121469868535
"72","ilvA",1932.50688699945,-4.31901844223685,0.14250063070862,-30.308767201657,8.78626873459809e-202,2.88116395588696e-200,3901.98057223863,3461.20565195837,186.678395247321,180.162928553486
"73","yeeF",1643.33111930721,-5.89631078809564,0.194611166743669,-30.2979057510195,1.22152597936539e-201,3.95071621545435e-200,3096.20572236171,3370.16873246676,54.8367786039005,52.113243796463
"74","rpsB",11738.0321480573,-3.25605850904667,0.108318651394512,-30.0599985979112,1.61607478113368e-198,5.15615210575219e-197,20560.5825079618,21947.1084425871,2038.29472810669,2406.14291357383
"75","mglB",4330.69303574592,2.99877347865461,0.100182502029932,29.9331062599999,7.30068876142736e-197,2.29825682209733e-195,923.151501236944,1002.30747004628,7849.82652014985,7547.4866515506
"76","aroF",1997.45815361564,-3.702946100365,0.123748508668382,-29.923157379521,9.83602620519397e-197,3.05563919348197e-195,3765.56986930671,3656.79982551956,290.518252603643,276.944667032632
"77","argD",1467.28212025996,-4.72357504895433,0.158153929620686,-29.8669470956762,5.28965029725514e-196,1.62193043530122e-194,2876.67966089918,2780.6821448676,112.007037148393,99.7596381246577
"78","lysP",1891.62184417364,-4.47280889475983,0.150021655966521,-29.8144215642972,2.54039889279956e-195,7.68959203320481e-194,3761.76305899233,3477.43005345193,141.175536405786,186.118727844511
"79","cysH",1516.83501977256,-5.92617247914395,0.199844862716214,-29.6538644956778,3.02395443603328e-193,9.03741319427161e-192,2926.16819498611,3043.8779913186,46.6695988118302,50.6242939737069
"80","cysD",1517.18212018223,-5.06757846358496,0.171509623576616,-29.5469044704724,7.19685005502653e-192,2.1239703724897e-190,3065.11677146095,2831.15806062532,98.0061575048435,74.4474911378043
"81","aroA",1903.13364420703,-4.17682745814663,0.141699625988018,-29.4766300829884,5.73940479519373e-191,1.67293021252499e-189,3631.06257153198,3587.39544135269,222.847334326489,171.22922961695
"82","potD",1647.19150514781,-4.01797656308624,0.136515451535767,-29.4323940468639,2.11534871883074e-190,6.0906564940968e-189,3035.93122571737,3171.87049198998,194.845575039391,186.118727844511
"83","dnaK",26860.1211659388,2.48862631806164,0.0846759773940583,29.3899922345185,7.37241952337908e-190,2.09714246924073e-188,8129.44342635667,8104.98990166919,44484.2948474663,46721.7564882632
"84","glyA",8272.78381518462,-2.59388088093968,0.0886874624300312,-29.2474359945307,4.84037628246383e-188,1.36049147653537e-186,14229.2224867635,14163.9025038734,2343.98060032417,2354.02966977737
"85","glcD",1070.97429372662,6.66622953908475,0.22803203182472,29.2337417938232,7.2274494046838e-188,2.00753035817158e-186,20.3029883433555,20.731179686209,2051.12886777994,2191.73413909696
"86","rnb",1770.63876800929,-3.80409883153096,0.132112103383072,-28.794476313049,2.51526067611088e-182,6.90526797243928e-181,3424.22587778404,3187.193537845,240.348433880926,230.787222527193
"87","pheS",1844.31061142556,-3.67089591642033,0.128482507369462,-28.5711727734606,1.53321051174531e-179,4.16081611290882e-178,3468.0041963994,3375.57686629794,283.517812781869,250.143570223022
"88","artJ",1317.9670723749,-4.37780414049975,0.15368573771854,-28.485428807436,1.77518866639518e-178,4.76275050154434e-177,2494.09522430407,2537.31612246427,121.340956910759,119.115985820487
"89","speA",3049.96109488662,-2.97368521647511,0.104546451757082,-28.4436742375972,5.83512163517991e-178,1.54794631243368e-176,5472.28982692003,5352.24978159604,691.876802385383,683.427968645043
"90","cysK",7571.68634608473,-2.68684476560077,0.0946432135009421,-28.3891962900649,2.74914924175373e-177,7.21193484420063e-176,12697.6158036117,13523.9400005165,2074.46366718585,1990.72591302489
"91","purM",1363.11862080782,-4.15100014934004,0.147287684232802,-28.1829412347809,9.46442146507625e-175,2.45554934934561e-173,2631.14039562172,2531.90798863309,143.509016346378,145.917082630096
"92","yeiT",883.946545423959,5.93083110307522,0.210873756737085,28.125031748117,4.84229701865456e-174,1.24268078924385e-172,24.1097986577346,33.3501586256406,1800.27977416635,1678.04645024611
"93","trmD",9097.30347079891,-2.5640084609413,0.0916712679909551,-27.9695974227638,3.8086024374503e-172,9.66893586539802e-171,15370.6311126915,15758.4006284344,2545.82661518534,2714.35552688434
"94","carA",1439.4771207281,-6.38837541650624,0.228753140072366,-27.9269408694687,1.25655824531965e-171,3.15610001829755e-170,2888.10009184231,2803.21603583087,33.8354591385769,32.7568961006339
"95","mltD",3307.4624711029,-3.0357095435229,0.108706201513932,-27.9258174901258,1.2966557807002e-171,3.22253084024545e-170,5658.18906393888,6137.33054275639,731.545961375439,702.784316340872
"96","araF",914.415883052637,6.495246059977,0.232926829285945,27.8853495747513,4.01692120013769e-171,9.87911557658863e-170,21.5719251148152,17.1257571320857,1824.78131354256,1794.18453642108
"97","ydbC",790.243923702493,5.17744998200475,0.186265827989079,27.7960269894933,4.84493108988349e-170,1.17926621682628e-168,41.8749134581706,42.3637150109488,1523.76240120626,1552.9746651346
"98","garK",812.53620274106,5.03294388445746,0.18286781515208,27.5223055531771,9.49680158508927e-167,2.28795393289753e-165,46.3161921582796,49.5745601191954,1647.43683805761,1506.81722062916
"99","argC",1279.90736036457,-4.95743091609302,0.180191478171972,-27.5120164748398,1.2609547003691e-166,3.00718590663782e-165,2493.46075591834,2470.61580521299,94.5059375939562,61.0469427329995
"100","pntB",9559.93820885262,-2.70158601507288,0.0983439627220395,-27.4707866176664,3.92290121536826e-166,9.26196976948447e-165,16763.9236877543,16390.2509310445,2692.8358514426,2392.74236516903
"101","thrB",1975.31715238289,-3.47541771695558,0.126718315531487,-27.4263250926187,1.33144735628746e-165,3.11242297841059e-164,3806.17584599342,3444.98125046482,325.520451712516,324.591061360827
"102","gdhA",3921.39645559578,-3.28686081095959,0.120737353759679,-27.2232304966854,3.44879184677226e-163,7.98293877473461e-162,7640.90276934468,6588.00836202181,688.376582474496,768.29810854214
"103","purF",1608.91721239544,-3.55572935925592,0.130848515776927,-27.1743958129245,1.30405022185235e-162,2.98918696484796e-161,2923.63032144319,3007.82376577737,239.18169391063,265.033068450583
"104","secY",24916.7891495633,-2.47204278576041,0.0912701678793078,-27.084893598852,1.48340972494967e-161,3.36762534673671e-160,40465.1247050789,43995.1687166896,7444.96775045722,7761.89542602747
"105","guaB",1248.27525871207,-4.05659244496044,0.151023978697915,-26.860585186109,6.34507510142088e-159,1.4267354585195e-157,2423.03476510233,2287.64061059124,136.508576524603,145.917082630096
"106","yccZ",1158.15772049116,-5.76088628215492,0.215012208291433,-26.7932985198053,3.8678182288155e-158,8.6150177719183e-157,2248.55595902662,2300.25958953067,36.1689390791684,47.6463943281947
"107","garP",796.1271761441,5.95755609844028,0.222431205258209,26.7838143102469,4.98838357995106e-158,1.10070781609948e-156,27.9166089721138,20.731179686209,1487.59346212709,1648.26745379099
"108","paaE",766.559962972371,4.7020847531961,0.175928807313861,26.727201900525,2.2735231249762e-157,4.97017416487852e-156,55.1987495584977,57.6867608659729,1528.42936108744,1424.92498037757
"109","glmS",2718.56265700202,-2.86368290252325,0.107529697032551,-26.6315537154018,2.92751733728339e-156,6.34116370029915e-155,4682.37668668635,4879.93942700589,646.373943543849,665.56057077197
"110","rseA",4717.03644612353,2.49049578882039,0.0936979829176483,26.5800363174231,1.15507106072402e-155,2.47920252215402e-154,1392.02363829131,1456.59071186581,8028.3377356051,7991.19369873191
"111","fadA",789.413840026388,4.40331092291492,0.166722512497034,26.411015866818,1.02392022893569e-153,2.17790600046592e-152,74.8672695161233,65.7989616127503,1475.92606242413,1541.06306655255
"112","yidC",1796.27542165517,-3.1742346437091,0.121352602177999,-26.1571205457396,8.1784475642057e-151,1.72404595527586e-149,3268.78112328023,3202.51658370002,369.856570583755,343.947409056656
"113","ydcI",1448.63283818413,3.08010605424549,0.119267266034674,25.8252423875469,4.61724833879933e-147,9.64718878575683e-146,311.52397739336,299.250071992234,2569.16141459125,2614.59588875969
"114","frdB",832.874665057461,4.08996365856475,0.158391539462026,25.8218568520531,5.03974853085037e-147,1.04375844573138e-145,85.018763687801,100.050475876922,1551.76416049336,1594.66526017177
"115","mipA",1558.2608348549,-3.26169361378135,0.126943252750406,-25.6941077458795,1.36027920930794e-145,2.79271235928351e-144,2767.55109855364,2878.02855382893,288.184772663052,299.278914373973
"116","glmU",2096.87800139396,-2.8867470147763,0.112526862072397,-25.653847993371,3.83006344267559e-145,7.79549981737678e-144,3668.49620629004,3721.69743149378,497.031227345992,500.287140446045
"117","yeaH",627.602680270785,5.39909134613466,0.213362367574028,25.3047967526953,2.82861672334446e-141,5.70800349044126e-140,28.5510773578436,28.8433804329864,1232.07740863232,1220.93885465999
"118","kgtP",1977.4452051581,2.76702722971624,0.109633813540606,25.2388121908337,1.50283682387253e-140,3.00694723827377e-139,504.402366655237,507.463224492855,3532.88863005555,3365.02659942875
"119","feaR",804.327793775032,3.93975168447579,0.15650217955702,25.173781576891,7.76097040161017e-140,1.53980261497492e-138,98.342599788128,97.3464089613292,1453.75800298851,1567.86416336216
"120","fucO",812.080938386709,4.65626943000049,0.185397315046678,25.115085560048,3.40323826792608e-139,6.6953757057806e-138,60.9089650300664,62.193539058627,1725.60841606742,1399.61283339072
"121","glnA",3311.34829351422,-2.51923817477732,0.1003090738728,-25.1147585907522,3.43134460143775e-139,6.6953757057806e-138,5704.50525609716,5575.78597995169,982.395054989027,982.706883019016
"122","dapD",4138.01009070623,-2.59765599117921,0.10346751429526,-25.106005579359,4.27631279281119e-139,8.27571680641575e-138,7427.08692335372,6780.8984686674,1173.74041011753,1170.31456068628
"123","fumC",2786.53444259055,3.50433963232209,0.140337057132892,24.9708787109855,1.26701905334964e-137,2.43205852435649e-136,516.457265984105,379.470723821478,5137.15608921221,5113.0536913444
"124","lpxC",14719.3321192759,2.40523913485304,0.0963470560635344,24.9643241124768,1.49269204435637e-137,2.8421338038108e-136,4634.79155775661,4705.07643313091,23328.9657060636,26208.4947801526
"125","cysA",923.063145208438,-4.75450820597244,0.192372765385543,-24.7150795823084,7.36377566209845e-135,1.39086994705715e-133,1871.68173790308,1690.0418222453,66.5041783068581,64.0248423785117
"126","rpsA",33634.3377598421,-2.31603402550265,0.0940217586933592,-24.6329579204759,5.60453758281986e-134,1.05018358992363e-132,54500.8343341948,57555.1629427473,10671.003768325,11810.3499941013
"127","pnp",4212.89979016723,-2.39183930186459,0.0981937439337526,-24.3583675094237,4.72689331698338e-131,8.78755521369903e-130,6989.30373720012,7166.6786819586,1307.91550670154,1387.70123480867
"128","gapA",16667.9262325698,-2.05635279127752,0.084813314116354,-24.2456365807902,7.35142027423059e-130,1.35599244277019e-128,26820.2476015726,26936.1119018552,6350.5656583198,6564.77976853158
"129","dusB",2089.18886135357,-3.06614578424924,0.126622971007105,-24.2147673511562,1.55510924856033e-129,2.84621157817902e-128,3520.66507241498,3945.23362984942,418.859649336176,471.997093813679
"130","serC",4543.85317988868,-2.36688914624297,0.0977935655132633,-24.2029128789865,2.07304147245119e-129,3.76496224342866e-128,7845.83605793543,7381.20132392893,1481.75976227561,1466.61557541474
"131","maeB",6496.26156104676,2.21512879333867,0.0917099605683713,24.1536336905003,6.83826313876019e-129,1.23245337943609e-127,2347.53302720048,2252.48774068853,10920.6861219683,10464.3393543298
"132","trxB",1967.29557788447,-2.73869866094954,0.113521136206315,-24.1250110109203,1.36624002778407e-128,2.44370659515015e-127,3469.27313317086,3376.47822193647,515.699066870724,507.731889559825
"133","yeiA",680.904763324127,4.65316954625135,0.193215125872511,24.0828430240066,3.78187528586748e-128,6.71353951122791e-127,44.4127870010901,60.3908277815653,1391.92078456284,1226.89465395101
"134","argB",881.496836038124,-4.80331238019762,0.201160134580329,-23.8780531252803,5.17849159140685e-126,9.12419302038176e-125,1756.20849170025,1651.28352978847,72.3378781583369,46.1574445054387
"135","spoT",1032.0313630163,-3.62383494262537,0.15194114886399,-23.8502536654455,1.00652131700532e-125,1.76029394774042e-124,1949.08688096212,1869.41159431293,145.84249628697,163.784480503169
"136","gyrA",3399.70380743851,-2.40348803423885,0.100864507105455,-23.8288779989376,1.6769560463908e-125,2.91124501877108e-124,5675.95417873931,5765.07066404316,1109.56971175126,1048.22067522028
"137","ybhC",979.49370058436,-4.2346906690984,0.177920258346157,-23.8010595783843,3.25645478175411e-125,5.61203630636603e-124,1715.60251501354,2006.41765136962,99.1728974751393,96.7817384791456
"138","ymcA",969.705351389435,-6.22624315569689,0.261630286809859,-23.7978684792783,3.51387415005686e-125,6.01178033933641e-124,1895.79153656082,1931.60513337156,18.6678395247321,32.7568961006339
"139","aceK",625.917787756955,4.51995452278024,0.190202304462649,23.7639314389477,7.88683256564018e-125,1.33962674010622e-123,55.8332179442275,46.8704932036029,1129.40429124629,1271.5631486337
"140","cysM",826.024961480603,-4.56303871167072,0.192290808605585,-23.7298846718677,1.77277063640079e-124,2.98965105181591e-123,1636.2939667973,1535.91000805653,72.3378781583369,59.5579929102434
"141","glcF",543.363342701748,5.10072666974526,0.215490441711599,23.6703151621536,7.29253766338629e-124,1.22111215767766e-122,32.9923560579526,27.0406691559248,1038.39857356322,1075.02177202989
"142","trpB",1471.25764719527,-3.44208100708647,0.145541792746566,-23.6501209867616,1.17693732049574e-123,1.9568655025989e-122,2918.55457435735,2471.51716085152,240.348433880926,254.610419691291
"143","hisJ",4088.59833469025,-2.25003025868573,0.0962273734512872,-23.3824345192666,6.4499801733051e-121,1.06492329994219e-119,6684.75891204979,6832.27574006366,1436.25690343408,1401.10178321348
"144","tyrA",1616.91215346796,-3.2229742118521,0.13786659770993,-23.3774842158158,7.24293068687644e-121,1.18753884386912e-119,3129.19807841966,2715.78453889338,327.853931653107,294.812064905705
"145","yhgF",830.554697498189,-4.44587453922378,0.190539656004466,-23.3330668924876,2.04769454859e-120,3.33421160635931e-119,1665.47951254088,1513.37611709326,79.3383179801114,64.0248423785117
"146","fdoH",746.699439544775,3.57954368222682,0.15349528363312,23.3202193416088,2.76475920769195e-120,4.47095649956212e-119,114.204309431374,115.373521731946,1338.25074592923,1418.96918108655
"147","araH",535.69003558915,5.76152330115689,0.247661585431532,23.263693847061,1.03393899824005e-119,1.66063263594882e-118,18.3995831861659,19.8298240476782,1022.06421397908,1082.46652114367
"148","nusA",2457.70499615501,-2.60062690899509,0.112074380852357,-23.2044726833786,4.10360051395485e-119,6.54635190097797e-118,4144.34749558743,4299.46639579204,730.379221405143,656.626871835434
"149","garD",535.86012428371,4.66604573654028,0.201755420614978,23.1272385263184,2.46402614695247e-118,3.90440653218442e-117,39.9715083009811,40.5610037338872,1075.73425261269,987.173732487285
"150","cysP",1018.30559315094,-4.03233105309144,0.174562955767669,-23.0995805230189,4.67514228380472e-118,7.35867395470864e-117,2018.24393500668,1824.34381238639,135.341836554308,95.2927886563895
"151","lipA",2047.95663401712,2.49752177053885,0.109152008371299,22.8811343721967,7.16143654878912e-116,1.11974514514511e-114,599.572624514716,631.850302610109,3392.87983362006,3567.52377532358
