	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2
ybhA	8	10	511	675
pgl	51	68	741	1052
ybhD	1	2	32	51
ybhH	0	0	3	6
ybhI	131	132	999	1006
ybhJ	4	5	101	119
ybhC	30	25	2811	4127
bioB	25	20	1683	2312
bioC	3	4	390	608
bioD	3	3	457	679
uvrB	230	236	1044	1609
ybhK	13	8	491	726
moaA	91	90	1405	1933
ybhL	1682	1730	627	838
ybhN	15	12	36	56
ybhO	40	41	90	117
ybhP	42	31	95	145
ybhR	10	14	63	68
ybhS	4	11	73	93
ybhF	19	37	264	358
ybhG	36	38	252	326
ybiH	14	14	109	146
rhlE	3	1	262	376
dinG	39	45	235	362
ybiB	128	132	716	906
ybiC	124	129	5256	7057
ybiX	9	18	113	154
fiu	9	9	931	1118
ybiN	7	6	328	473
ybiO	38	46	83	156
glnQ	39	63	1059	1808
glnP	95	109	960	1467
glnH	618	624	3935	4937
rhtA	10	8	78	104
ybiR	31	36	340	455
ybiS	73	98	2072	2669
ybiT	44	52	2545	3528
ybiU	7	11	289	427
ybiV	16	9	674	774
ybiW	7	12	82	102
ybiY	3	0	20	25
fsaA	9	6	106	143
moeB	10	10	412	585
moeA	36	41	590	929
iaaA	125	131	2493	3671
yliA	50	58	2086	2977
yliB	36	42	1645	2399
yliC	8	8	496	732
yliD	2	10	403	534
yliE	1	3	936	1286
yliF	1	0	365	480
yliG	2	1	729	964
yliI	47	42	85	122
yliJ	36	43	1756	2456
dacC	600	568	1664	2521
deoR	19	16	575	788
cmr	227	217	266	340
ybjI	12	16	481	670
ybjJ	11	10	191	283
ybjL	64	56	568	840
nfsA	14	16	758	1041
rimK	7	16	466	735
potF	213	200	1400	2120
potG	31	28	520	811
potH	17	20	238	384
potI	21	28	146	289
rumB	2	1	324	438
artJ	14	11	5870	7446
artM	11	23	665	1006
artQ	20	27	471	758
artI	193	228	1426	2203
artP	102	137	920	1154
ybjR	327	310	326	547
ybjS	33	37	257	329
ybjT	15	17	521	750
ltaE	52	50	821	1259
poxB	119	110	637	835
hcr	2	2	19	29
hcp	1	1	28	46
ybjE	4	7	83	94
aqpZ	45	47	66	86
ybjD	86	100	787	1130
ybjX	63	65	2801	3614
macA	37	37	488	674
macB	89	183	419	685
clpA	3380	3574	14584	21891
aat	4	10	127	143
cydC	15	10	766	1131
cydD	10	19	928	1244
trxB	35	38	5607	8278
lolA	58	75	1260	1590
ycaJ	12	14	511	675
serS	321	355	3187	4917
dmsA	12	13	135	252
dmsB	5	3	33	64
dmsC	13	13	60	103
ycaC	35	32	216	254
ycaD	13	24	343	488
ycaM	18	18	38	45
ycaN	3	3	91	148
pflA	181	164	429	547
pflB	2027	2234	22310	33451
focA	219	222	1642	2326
ycaO	14	23	1635	2061
ycaP	58	72	206	225
serC	74	135	15605	22902
aroA	26	36	9402	12319
ycaL	33	38	79	103
cmk	229	295	7922	9224
rpsA	3873	4051	93139	132026
msbA	34	33	2258	3114
lpxK	21	21	324	526
kdsB	53	52	1508	2305
ycbJ	104	135	175	252
smtA	11	13	1001	1344
mukF	17	20	1507	2123
mukE	7	10	1027	1255
mukB	55	58	5609	8273
ycbB	2484	2524	791	1209
ycbL	48	41	1920	2862
aspC	83	96	6162	8045
ompF	1730	1878	241435	312515
asnS	164	213	7553	11296
pncB	43	29	2300	3230
pepN	321	339	3094	4004
ssuC	1	0	14	19
ssuA	3	0	12	23
ycbR	2	8	17	17
ycbT	4	10	74	114
ycbF	4	2	73	107
pyrD	3	4	957	1291
ycbX	6	7	619	808
ycbY	26	27	1448	2158
uup	109	113	2378	3333
pqiA	55	64	437	658
pqiB	72	90	944	1308
ycbZ	504	552	1591	2208
yccR	52	56	300	337
yccS	29	30	701	979
helD	130	139	1459	2155
yccT	15	13	25	24
yccW	315	321	884	1216
yccA	445	416	4108	5564
hyaA	9	8	15	17
hyaB	8	9	22	31
hyaC	5	3	15	30
hyaF	3	0	28	28
appC	11	16	82	131
appB	3	3	53	73
appA	6	7	77	114
yccC	39	60	326	495
yccZ	6	3	77	115
ymcA	0	1	69	100
ymcB	0	0	12	15
ymcC	4	3	17	29
yccM	2	3	33	62
torR	5	8	155	243
torC	3	4	28	39
torA	6	13	80	120
cbpA	156	150	649	994
agp	3300	3320	509	780
rutG	17	9	67	107
rutD	0	1	8	11
rutB	1	1	4	7
rutA	5	0	6	12
rutR	39	35	231	367
putP	1197	1275	1346	2074
efeO	2	7	1308	1919
efeB	5	10	652	1002
phoH	2120	2518	1257	1597
ycdW	25	27	1375	2071
ycdX	25	35	1562	2041
csgG	4	12	242	363
csgD	16	11	402	546
ymdC	78	83	396	554
mdoC	13	9	201	258
mdoG	79	95	3011	3822
mdoH	74	75	2299	3343
mdtG	3	6	40	64
lpxL	26	29	152	194
yceA	14	8	2811	3579
solA	19	18	1128	1459
pyrC	7	6	1297	1596
grxB	63	75	586	728
mdtH	3	2	18	32
yceH	181	159	785	1113
mviM	196	182	588	973
mviN	3	15	334	426
flgA	44	45	4095	5330
flgD	76	90	8892	11956
flgF	40	53	5532	7855
flgG	47	44	6519	8987
flgH	11	20	2265	3066
flgI	12	19	2478	3432
flgJ	11	11	1914	2519
flgK	181	213	13374	17317
flgL	159	157	13802	18309
rluC	18	28	2057	2850
plsX	92	97	3753	5408
fabH	173	167	5493	7779
fabD	120	161	7955	11224
fabG	765	892	13468	18270
fabF	280	387	8084	13271
pabC	12	9	385	538
yceG	13	11	332	423
tmk	14	9	257	384
holB	9	4	308	452
ycfH	293	263	525	672
ptsG	368	455	18444	27338
fhuE	9	19	323	495
ycfM	37	52	854	1256
ycfN	24	22	531	772
nagZ	127	115	1513	2002
ndh	40	33	1816	2707
ycfQ	60	59	423	563
ycfS	18	11	338	411
mfd	30	35	2551	3579
lolC	5	7	691	875
lolD	3	6	386	516
lolE	167	173	1077	1478
ycfX	119	130	731	1044
cobB	45	46	932	1312
potD	55	61	5448	7821
potC	13	15	1097	1352
potB	12	6	513	663
potA	15	17	882	1099
pepT	253	293	1275	1923
ycfD	204	211	1220	1799
phoQ	45	61	1389	1803
phoP	115	126	1757	2369
purB	12	18	1267	1599
hflD	8	8	302	376
trmU	14	18	1180	1555
ymfC	4	3	151	198
icd	1196	1314	69772	99814
ycgE	71	55	845	1083
ycgF	20	18	306	295
ycgG	16	8	30	45
minD	89	100	4003	5884
minC	47	63	1551	2023
ycgM	32	47	809	1317
umuC	16	18	104	130
nhaB	9	7	281	385
fadR	125	105	731	980
ycgB	5086	5825	404	506
dadA	1526	1729	380	652
dadX	408	492	257	405
cvrA	20	27	928	1192
emtA	113	103	873	1319
ycgR	26	39	3366	3842
treA	162	164	99	104
dhaH	40	43	1040	1551
dhaL	16	15	591	817
dhaK	50	35	888	1161
dhaR	15	11	361	526
ychF	56	58	4559	6428
ychM	286	382	141	232
prsA	31	37	2953	3700
ispE	20	17	972	1331
lolB	17	16	726	960
hemA	20	31	973	1317
prfA	9	11	999	1271
prmC	1	7	274	343
ychA	32	34	1348	1922
kdsA	88	91	3567	5170
chaA	24	26	1202	1586
chaC	124	109	363	536
ychP	10	15	322	437
narL	5	2	355	533
narX	37	40	353	533
narK	35	28	17	37
narG	17	15	124	187
narH	2	6	63	142
narJ	4	2	20	47
narI	3	9	18	54
purU	39	36	4670	6088
rssA	190	191	783	1000
rssB	383	379	534	688
galU	314	425	3680	5678
tdk	8	8	956	1173
adhE	2050	2003	8731	11950
ychE	3	5	138	159
oppA	755	770	42043	58259
oppB	57	65	5576	7788
oppC	73	87	5705	7731
oppD	77	76	5577	8451
oppF	95	87	5545	8179
cls	96	97	1383	1989
kch	7	7	362	554
tonB	34	28	1124	1552
yciC	102	130	626	869
ompW	41	42	443	825
trpA	22	17	2004	2985
trpB	43	47	3725	5483
trpD	14	14	1909	2682
trpE	2	3	833	1084
yciV	45	59	842	1046
yciO	75	105	672	868
rluB	20	18	1425	2196
yciK	15	21	558	724
sohB	99	117	2838	4037
topA	208	226	8171	11701
cysB	60	86	1449	1925
acnA	1650	1837	3051	4144
pgpB	53	53	389	544
yciM	58	59	1076	1510
pyrF	11	9	1558	2431
deoT	16	16	372	402
gmr	641	659	486	588
rnb	31	36	6609	9053
fabI	255	295	9584	14235
sapF	34	30	148	182
sapD	90	96	313	389
sapC	58	59	129	173
sapB	107	103	147	208
sapA	196	223	289	412
puuP	21	24	99	142
puuA	162	152	683	924
puuD	424	384	477	662
puuB	22	21	55	99
puuE	15	21	82	106
pspF	9	14	200	261
pspA	301	278	1447	1929
ycjM	1	0	20	25
ycjN	0	0	10	11
ycjO	2	1	6	7
ycjP	1	1	12	9
ycjQ	1	3	15	35
ycjR	4	3	16	30
ycjS	0	3	49	58
ycjU	0	0	1	9
ompG	0	0	5	6
ycjW	1	1	178	205
ycjX	24	23	462	753
ycjF	20	21	397	574
tyrR	319	311	1341	2122
ycjG	183	213	381	471
mpaA	60	55	195	241
ycjZ	8	6	280	389
mppA	138	137	798	1135
ynaI	11	15	403	499
uspE	4777	4877	3015	4183
fnr	574	635	3109	4444
abgT	3	0	46	65
abgB	13	16	50	59
abgA	5	1	34	57
abgR	8	11	96	153
ydaM	47	62	229	328
ydaN	150	173	487	752
dbpA	6	4	200	287
ydaO	45	51	1397	2058
ompN	16	19	1567	2481
ldhA	110	113	836	1276
feaR	60	77	166	221
feaB	95	85	206	290
maoC	2	3	20	32
paaA	1	2	12	23
paaC	1	3	15	24
paaJ	1	3	17	36
paaF	1	0	9	33
paaG	0	0	19	20
paaH	2	2	39	56
paaE	114	108	147	185
paaK	63	77	122	170
paaX	100	89	398	554
ydbC	174	168	108	173
azoR	9	7	366	514
hrpA	130	147	2234	3219
ydcF	26	20	482	579
aldA	6317	6504	5976	7454
trg	172	161	1403	1839
ydcI	214	274	893	1038
ydcJ	363	347	75	114
mdoD	39	50	1625	2291
ydcK	197	246	176	230
tehA	11	29	224	306
ydcL	764	814	1092	1470
ydcO	8	3	40	70
ydcP	24	24	1347	2079
ydcR	13	18	439	623
ydcS	1197	1314	56	96
ydcT	172	208	25	24
ydcU	48	58	23	42
ydcV	28	47	66	105
ydcW	107	121	291	477
yncB	83	76	351	517
yncC	28	33	111	160
yncD	10	13	519	665
yncE	134	135	6407	8709
ansP	11	11	248	340
yncG	38	29	50	76
nhoA	21	16	178	255
narV	7	4	31	37
narW	5	2	31	21
narY	9	9	41	65
narZ	18	24	73	131
narU	8	6	22	21
yddG	3	3	160	266
fdnG	64	67	124	173
fdnH	8	12	31	47
fdnI	16	17	40	63
adhP	104	101	382	560
sfcA	50	57	3401	4678
ddpD	4	2	24	40
ddpC	3	4	25	26
ddpB	1	1	7	15
ddpA	13	20	32	40
dos	90	81	179	217
yddV	435	399	270	346
yddW	9	8	257	348
gadC	47	70	263	399
gadB	90	104	375	618
ydeM	1	1	13	20
ydeN	18	21	78	96
ydeO	2	3	21	27
ydeP	4	6	139	219
ydeQ	1	0	16	28
lsrK	86	111	83	168
lsrR	108	73	229	314
lsrC	49	69	6	28
lsrD	57	31	28	18
lsrB	60	57	57	57
lsrF	52	80	81	125
tam	86	83	136	165
yneE	24	24	139	208
uxaB	44	31	88	104
yneF	6	12	96	116
yneH	4	4	420	602
yneI	10	11	587	774
ydeA	3	12	256	340
marC	67	59	208	266
eamA	50	33	869	1172
ydeE	12	14	150	194
ydeH	43	41	253	403
dcp	39	53	3664	4978
ydfG	107	125	2413	3728
ydfH	12	6	568	786
ydfT	9	8	159	193
ydfU	3	2	10	22
rspB	12	8	84	109
rspA	6	3	65	76
ynfC	58	51	445	613
ynfF	10	9	184	267
ynfG	1	4	37	32
ynfH	6	14	196	301
dmsD	5	5	343	470
clcB	4	1	31	67
ynfK	122	115	209	315
dgsA	34	44	828	1116
ynfL	17	16	77	107
ynfM	6	11	154	169
ydgD	615	609	315	511
ydgG	28	28	179	273
pntB	478	524	25474	38427
pntA	425	452	42379	61030
ydgH	68	81	3530	4700
ydgI	7	9	100	139
folM	21	14	238	309
rstA	15	12	892	1075
rstB	14	22	845	1136
tus	62	52	197	260
fumC	428	386	1974	2515
fumA	1156	1327	2396	3340
manA	54	48	1211	1759
ydgA	1836	1959	4754	6473
uidC	7	6	11	19
uidB	3	3	10	11
uidA	24	34	50	63
hdhA	133	158	1289	1955
malI	157	361	80	158
malX	13	18	176	258
malY	11	12	382	505
add	27	14	193	310
ydgJ	80	75	1478	2029
rsxD	0	1	230	331
rsxG	3	2	161	252
rsxE	2	4	105	149
nth	0	2	118	140
ydgR	17	17	200	319
gst	178	168	704	908
pdxY	16	15	669	1075
tyrS	75	92	5469	8055
pdxH	6	10	1149	1566
anmK	45	47	472	704
ydhJ	5	1	73	114
ydhF	206	223	494	714
nemA	19	14	306	412
rnt	6	1	134	180
ydhO	11	17	297	312
ydhP	4	8	271	370
purR	21	29	2504	3496
ydhB	14	26	157	220
ydhC	8	7	101	131
cfa	195	201	1610	2166
ribC	38	45	2229	3092
mdtK	88	117	404	592
ydhQ	247	252	1548	2222
ydhS	271	264	207	288
ydhT	17	18	57	55
ydhU	13	9	58	89
ydhX	0	2	48	70
ydhV	8	6	35	48
ydhY	0	0	7	10
pykF	489	487	8919	12056
ynhG	4080	3925	786	1046
sufS	194	171	511	630
sufC	143	181	304	423
sufB	670	634	930	1190
ydiK	86	93	411	596
ydiM	2	2	11	14
ydiN	1	1	9	10
ydiB	2	4	84	110
aroD	9	9	430	641
ydiF	0	1	27	28
ydiO	0	1	27	42
ydiP	12	11	101	126
ydiQ	1	2	17	20
ydiR	11	4	27	38
ydiS	2	2	40	44
ydiD	5	6	78	103
pps	692	740	6263	9489
ydiA	18	12	241	276
aroH	9	13	689	899
ydiV	4	8	183	244
btuD	14	18	405	561
btuC	18	12	224	359
pheT	1814	2186	12702	18312
pheS	26	26	5056	6757
thrS	1167	1214	25147	32844
ydiY	4	5	330	354
pfkB	61	68	107	112
yniA	1924	2204	418	640
yniC	7	8	174	217
ydjN	67	66	8661	13446
katE	38	46	561	727
chbF	7	8	191	265
chbR	13	20	168	208
chbC	12	11	69	90
nadE	40	40	3006	4255
ydjQ	7	4	158	216
astE	318	384	22	33
astB	504	647	22	47
astA	833	942	33	43
astC	1880	1870	51	82
xthA	33	25	977	1422
ydjX	8	9	86	112
ydjZ	10	12	54	98
ynjE	7	9	290	446
ynjF	8	8	57	96
gdhA	96	85	23864	36228
topB	26	33	1488	2269
selD	150	146	2405	3602
sppA	40	52	1482	2160
ansA	6	7	425	515
pncA	29	29	433	583
ydjE	9	8	41	43
ydjF	48	49	364	544
ydjG	4	5	85	131
ydjH	0	0	39	85
ydjI	0	2	52	63
ydjJ	0	1	45	49
ydjK	1	1	17	34
ydjL	3	1	48	56
gapA	605	639	72681	99485
yeaD	11	10	1135	1379
yeaE	34	29	351	495
mipA	82	90	3217	4223
yeaG	10811	10821	1109	1539
yeaH	3475	3538	251	298
yeaI	22	21	24	25
yeaJ	7	10	233	280
yeaM	16	18	159	190
yeaN	7	6	71	105
yeaP	11	15	1337	1574
yeaS	9	7	52	72
yeaT	63	44	204	298
yeaU	21	18	97	149
yeaV	3	1	14	24
yeaW	1	2	23	28
yeaX	1	4	65	97
rnd	19	21	473	595
fadD	6990	8018	486	693
yeaZ	6	11	811	1077
yoaA	6	6	503	683
sdaA	1052	1073	265	373
adrB	14	15	103	151
yoaE	21	23	441	679
manX	235	262	7484	10399
manY	143	190	5202	7860
rrmA	9	3	456	555
kdgR	454	429	2102	2993
yebQ	7	5	28	33
htpX	2004	1904	3495	5526
prc	109	103	6818	10036
yebS	28	23	236	295
yebT	30	40	620	906
yebU	4	6	245	332
pphA	41	56	75	118
yebZ	13	9	1208	1558
yobB	60	61	127	197
exoX	22	14	215	312
ptrB	133	134	420	627
yebE	110	124	254	340
purT	12	11	1725	2664
eda	44	32	1312	2152
edd	19	25	1358	1685
zwf	107	102	7329	9929
yebK	79	75	635	809
pykA	237	224	2993	4126
lpxM	23	18	733	980
yebA	59	70	4992	6944
znuA	77	86	27900	39283
znuC	16	11	830	1048
znuB	20	22	621	866
ruvB	24	36	538	842
ruvA	34	37	419	609
yebB	2	3	13	25
yebC	51	62	3772	5296
aspS	101	124	4577	6751
yecE	9	16	160	225
yecO	10	12	441	590
yecP	5	8	552	784
torY	2	4	44	43
cutC	48	144	404	692
argS	69	80	3319	4773
flhA	25	23	1499	2235
flhB	11	11	909	1329
cheZ	57	68	4530	7035
cheB	39	43	4259	5290
cheR	34	40	2204	3132
tap	176	192	10187	14033
tar	276	290	16618	22064
cheA	164	198	14148	20066
motB	48	59	3502	4511
motA	83	96	4248	5905
otsA	345	392	828	1090
otsB	239	258	366	554
araH	210	213	152	169
araG	239	282	115	194
araF	336	333	84	87
tyrP	27	35	328	459
yecA	119	114	1441	1890
uvrC	41	33	1678	2427
uvrY	45	55	1943	2591
sdiA	69	70	346	478
yecC	20	46	577	854
yecS	22	32	381	573
yedO	134	111	1151	1627
fliY	1271	1352	14583	20634
fliA	126	137	9821	12939
fliD	63	73	5223	5758
amyA	150	167	1538	1992
yedE	37	43	691	905
fliF	32	38	3687	4903
fliG	37	30	2742	3950
fliH	16	19	1459	2275
fliI	7	13	1177	1644
fliM	18	9	2189	2928
fliP	2	1	348	506
