"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_batch1","K12_batch2"
"15","acnA",4249.47329536665,3.27023400288891,0.0786359573172498,41.5870056708973,0,0,7691.65514540182,7710.76715774629,811.567869617114,783.903008701371
"16","gmr",1498.68382256917,4.58050549912551,0.119293831811311,38.3968343507533,0,0,2988.09148375913,2766.13802773805,129.276297815116,111.229480964384
"17","uspE",11083.2199416356,4.74329408392163,0.0836444580937808,56.7078105593502,0,0,22268.507048233,20471.1003964772,801.991847556735,791.28047427554
"18","aldA",14936.860941393,4.23943150796538,0.0979960164886272,43.2612636704206,0,0,29447.3851839414,27300.3971660217,1589.6196620229,1410.04175358591
"19","ydcJ",797.55098921767,6.22640775183692,0.161317106771462,38.5973185141355,0,0,1692.1641319884,1456.52487955251,19.9500459591228,21.5648993706458
"20","ydcL",1886.69072703689,3.6160824777621,0.0934354073213984,38.7014150355606,0,0,3561.46941278,3416.74712379177,290.472669164828,278.073702410959
"21","ydcS",2782.12207004903,8.35991560263207,0.147486742651798,56.6824885567447,0,0,5579.94618730059,5515.48614331988,14.896034316145,18.1599152594912
"22","ydgD",1400.90191987947,4.89799645002595,0.124811584812288,39.2431236042099,0,0,2866.88964510432,2556.26412578524,83.7901930283157,96.6637156000002
"23","fumA",3057.00618885796,3.10923670715042,0.0817363253040615,38.0398396378106,0,0,5388.82021096031,5570.05335782761,637.337468240776,631.813718403132
"24","ynhG",8975.35266135258,6.44278619783245,0.107358138703047,60.012089215269,0,0,19019.3654504481,16475.1013032957,209.076481651607,197.867410014873
"25","yniA",4613.10800410295,6.28619018419549,0.0950955056517127,66.1039671761004,0,0,8968.93606045643,9251.24159807992,111.188256145511,121.066101729942
"26","astB",1269.99053070709,8.36032985151075,0.211267670657647,39.5722157842996,0,0,2349.45102623183,2715.76829126938,5.85201348134268,8.89079184579258
"27","astA",1963.51422696403,8.84389410329854,0.188594542663014,46.893690445227,0,0,3883.12044613316,3954.02431279096,8.77802022201402,8.13412870998045
"28","astC",4160.54670378764,9.12998595086949,0.159966569805372,57.0743372316964,0,0,8763.82525657905,7849.28393303514,13.5660312522035,15.5115942841488
"29","yeaG",24100.9218790555,7.34909950616589,0.0919509794466055,79.9241024989125,0,0,50396.6568345086,45420.9098606274,294.994679582229,291.126141503719
"30","yeaH",7793.22668918573,7.98010503183291,0.116834577184031,68.3025969209709,0,0,16199.0918971341,14850.6773021809,66.7661538098642,56.371403618004
"31","fadD",16625.0988161692,7.98662310255733,0.0850981141071103,93.8519400383518,0,0,32584.6481614295,33655.3789171528,129.276297815116,131.091888279452
"32","sdaA",2387.23894801294,6.05422001457619,0.108967898102953,55.5596659197384,0,0,4904.01285634104,4503.89393590733,70.4901623889005,70.5588374144815
"33","yedP",1023.81433175158,5.36582120735267,0.131099918839932,40.9292488876681,0,0,2088.40091220607,1909.85250777058,51.6041188809309,45.3997881487281
"34","erfK",1433.1296869589,4.67599272162572,0.107368562751944,43.5508551272012,0,0,2838.91999003013,2677.99098891787,111.188256145511,104.419512742075
