"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_batch1","K12_batch2"
"1","aaeA","aaeA",2043,35.575784076203,-0.399447867231941,0.47341863546643,-0.843751887456628,0.398808066005752,0.460883917689467,18.6464367161256,41.9747803905623,43.0920992717052,38.5898199264189
"2","aaeB","aaeB",1507,32.3225552129048,1.29385053593214,0.434272719285078,2.97935025267565,0.00288860382437215,0.00452554321787833,37.2928734322513,54.5672145077309,20.2160465719111,17.2140863397261
"3","aaeR","aaeR",1829,52.001415260459,0.546492397455238,0.353192829530427,1.54729188070382,0.121792878708515,0.157218691432916,60.6009193274083,62.9621705858434,42.8260986589169,41.6164724696674
"4","aas","aas",1441,191.139937368498,-0.730714556389001,0.221937039643207,-3.29244076411816,0.000993218182489587,0.00162733388539758,144.509884549974,142.714253327912,239.93255273505,237.403058861057
"5","aat","aat",2349,30.3635005090216,0.0201343780628765,0.496691850005368,0.0405369608191858,0.967665040773981,0.972608412629787,18.6464367161256,41.9747803905623,33.7820778241146,27.0507071052838
"6","abgA","abgA",2155,11.8329986135846,0.412760887185554,0.748773604208461,0.551249249259914,0.581462823381362,0.637045812530578,23.308045895157,4.19747803905623,9.04402083480232,10.7824496853229
"7","abgB","abgB",1016,38.055344961238,2.37075030889218,0.395900949329526,5.98824103076071,2.12122552326301e-09,4.92934395711021e-09,60.6009193274083,67.1596486248996,13.3000306394152,11.160781253229
"8","abgR","abgR",1867,34.4858889085903,0.611045884350218,0.431176846924537,1.4171583857265,0.156436625466738,0.197829069484182,37.2928734322513,46.1722584296185,25.5360588276772,28.9423649448141
"9","abgT","abgT",2031,9.62915792057584,-0.823659532377352,0.920034304062837,-0.895248719248947,0.370654146423415,0.43087860152914,13.9848275370942,0,12.236028188262,12.2957759569472
"10","abrB","abrB",2281,19.2091443758754,0.112477097379181,0.588496973221071,0.191126042269258,0.848426844932072,0.878183156898125,23.308045895157,16.7899121562249,17.8220410568163,18.9165783953034
"11","accA","accA",641,595.557699873924,-1.56690050869721,0.16053654323951,-9.76039770807505,1.66500981913031e-22,6.132742875143e-22,293.681378278979,306.415896851104,861.841985434104,920.291538931509
"12","accC","accC",312,1308.60617975818,-2.31697464583818,0.141750541735707,-16.3454376785251,4.68792691783091e-60,3.54749854262781e-59,410.221607754764,461.722584296185,2087.57280916261,2274.90771781918
"13","accD","accD",522,1111.46910151515,-1.47567840564489,0.128922678432129,-11.446228263259,2.45601037669812e-30,1.11085067038012e-29,587.362756557957,587.646925467871,1576.31963138349,1694.54709265128
"14","aceA","aceA",1419,4591.94843623204,0.348695312485726,0.103079226850762,3.38278936638289,0.00071753642063858,0.00119387138063967,5477.3907853619,4814.50731079749,3873.76692403607,4202.12872473269
"15","aceE","aceE",229,4711.10575054699,-1.85486049851504,0.0931946386487122,-19.9030816086615,3.82663116854446e-88,3.94527344494911e-87,2004.49194698351,2073.55415129378,7170.04651770873,7596.33038620197
"16","aceF","aceF",607,2827.68190438778,-1.25315519818704,0.123164592450471,-10.1746384513145,2.5735392010088e-24,1.00100923452747e-23,1580.28551169165,1758.74329836456,3683.31048527964,4288.38832221527
"17","aceK","aceK",226,1475.32388752146,1.8541562572185,0.0925781852124524,20.0280039294732,3.13993490870899e-89,3.28025943339023e-88,2293.51171608345,2329.6003116762,643.721482947695,634.462039378475
"18","ackA","ackA",210,1395.56027771276,2.35243425923472,0.112325982410127,20.9429217422329,2.17691621066156e-97,2.44747579684378e-96,2507.9457383189,2161.70119011396,469.757082184144,442.837100234052
"19","acnA","acnA",15,4249.47329536665,3.27023400288891,0.0786359573172498,41.5870056708973,0,0,7691.65514540182,7710.76715774629,811.567869617114,783.903008701371
"20","acnB","acnB",1613,3077.61338864884,-0.253041143309153,0.103989753132918,-2.4333276662915,0.0149607552990177,0.0218985389094736,2582.5314851834,3030.57914419859,3325.27366046658,3372.06926474678
"21","acrA","acrA",384,924.515621396559,-2.15711227543126,0.150705780153196,-14.3134010735256,1.80467163672769e-46,1.10959107664429e-45,340.297470069293,335.798243124498,1560.0935940034,1461.87317838904
"22","acrB","acrB",639,1515.99978505455,-1.23782132338815,0.126346554160455,-9.79703270590323,1.15941544768172e-22,4.28384956490851e-22,806.458387972434,994.802295256325,2058.57874236868,2204.15971462075
"23","acrD","acrD",1954,44.8364006271012,0.474268837036325,0.41411760316288,1.14525157446588,0.252104959562146,0.304616074476063,32.6312642532199,71.3571266639558,32.9840759857497,42.3731356054795
"24","acrE","acrE",1941,1.96995331243318,-1.85218391417906,1.54026750155531,-1.2025079489821,0.229166788226711,0.278754655849184,0,0,2.39400551509473,5.48580773463797
"25","acrF","acrF",1382,82.0364268364031,1.01927393350003,0.28114825626354,3.62539660407707,0.000288518318236591,0.000492902857710993,97.8937927596596,121.726863132631,56.1261292983321,52.3989221549903
"26","acrR","acrR",1659,117.870926170605,-0.628306983712603,0.283213109783238,-2.21849540861117,0.0265210722995485,0.0377433705239506,79.2473560435339,104.936950976406,153.74835419164,133.551043470842
"27","acs","acs",58,6759.66887937033,5.81720649758033,0.0864017005855297,67.3274537209118,0,0,12880.0261616638,13687.9758853623,239.134550896685,231.538919558513
"28","actP","actP",86,586.321584420782,4.97097041108213,0.153597433818278,32.3636293101309,8.92218847544762e-230,2.44945197564324e-228,1034.87723774497,1238.25602152159,35.6440821136327,36.5089963029355
"29","ada","ada",515,103.925026226388,2.87317904935557,0.248302605994849,11.5712802845701,5.76164272938965e-31,2.64140553089106e-30,177.141148803193,188.88651175753,25.2700582148888,24.4023861299413
"30","add","add",1668,73.6519129185545,0.722366581186148,0.332394243042955,2.17322229943916,0.0297635902221828,0.0421293983900322,125.863447833848,58.7646925467872,51.3381182681426,58.6413930254404
"31","adhE","adhE",212,5636.70744943436,1.96913121484946,0.095380280324687,20.6450558558465,1.08137487960906e-94,1.20430475979103e-93,9556.29881701439,8407.54851222962,2322.45135025468,2260.53111823875
"32","adhP","adhP",445,279.074427415694,2.12258349380172,0.163115757646393,13.0127433696695,1.03556504741981e-38,5.49431253249026e-38,484.807354619266,423.945281944679,101.612234085132,105.932839013699
"33","adiA","adiA",1927,15.7613609181005,0.782787920865031,0.629171022333824,1.24415761864141,0.213441558401955,0.261512983594716,23.308045895157,16.7899121562249,13.3000306394152,9.64745498160472
"34","adiC","adiC",1070,19.6703796854672,3.10214884614946,0.553473007188714,5.60487829732903,2.08401345489645e-08,4.59846333365468e-08,37.2928734322513,33.5798243124498,3.45800796624795,4.35081303091977
"35","adiY","adiY",1209,14.6585216773092,2.96014725331948,0.633947125401237,4.66939139671301,3.02093347910329e-06,5.8994408140305e-06,18.6464367161256,33.5798243124498,3.19200735345964,3.21581832720157
"36","adk","adk",260,1024.36948933181,-3.79415388698291,0.20644358621234,-18.3786474387264,1.9476456871749e-75,1.76861210285382e-74,121.201838654817,151.109209406024,1973.990547502,1851.17636176439
"37","aegA","aegA",2247,24.9419950154481,0.16075904654834,0.532252124824716,0.302035518601795,0.76262498667693,0.801316241007669,23.308045895157,29.3823462733936,20.2160465719111,26.8615413213308
"38","aer","aer",983,436.131206829784,-1.05485715517348,0.168186286653947,-6.27195698388841,3.56538095185002e-10,8.56344295759704e-10,298.34298745801,268.638594499598,608.343401446851,569.199843914678
"39","aes","aes",803,55.4216328635646,2.61784696555251,0.333683574233014,7.84529766432088,4.31927731709978e-15,1.26996435188949e-14,107.217011117722,83.9495607811245,14.6300337033567,15.8899258520548
"40","agaC","agaC",2045,1.33741645144457,-1.34958755139241,1.60645963246749,-0.840100506801702,0.400852035980136,0.462792986283179,0,0,3.45800796624795,1.89165783953034
"41","agaD","agaD",1685,6.95898444995811,1.89043901147807,0.899223336084925,2.10230199286058,0.0355268301290754,0.0497797305250724,13.9848275370942,8.39495607811245,1.86200428951813,3.59414989510764
"42","agaI","agaI",1848,2.51228921364798,-2.18737737725371,1.46605439443172,-1.49201652105248,0.135694814332069,0.173363342336588,0,0,5.32001225576607,4.72914459882584
"43","agaR","agaR",1352,217.895822455021,-0.827386686136595,0.213960169521738,-3.86701266869455,0.000110176706445225,0.000192401778045249,158.494712087068,155.30668744508,285.950658747426,271.831231540509
"44","agaS","agaS",1761,9.081230442446,1.39471235952977,0.779725596801793,1.78872203920261,0.0736595917603743,0.0987565565850333,13.9848275370942,12.5924341171687,5.58601286855438,4.16164724696674
"45","agp","agp",9,7400.47025096573,6.68743080308583,0.102248872557858,65.4034674005984,0,0,15383.3102908036,13935.6270896667,135.394311909247,147.549311483366
"46","ahpF","ahpF",610,671.174407406094,-1.520418345219,0.14996068429659,-10.1387797231703,3.71713772172825e-24,1.43871510836072e-23,340.297470069293,352.588155280723,975.424247094709,1016.38775717965
"47","aidB","aidB",81,595.577085976278,4.55464681658504,0.13611271615909,33.4623167115519,1.70390991036162e-245,4.96658184983183e-244,1160.74068557882,1124.92411446707,47.0821084635297,49.5614353956948
"48","ais","ais",2021,6.83691525507708,0.825441273762812,0.896243808997031,0.921000809686538,0.357050004292435,0.417117793238219,9.32321835806282,8.39495607811245,4.52201041740116,5.10747616673191
"49","alaS","alaS",165,2723.78014024905,-2.71373931488003,0.111949881854995,-24.2406626064603,8.29524791844017e-130,1.18697456578408e-128,699.241376854711,738.756134873896,4712.46685615759,4744.65619310999
"50","aldA","aldA",18,14936.860941393,4.23943150796538,0.0979960164886272,43.2612636704206,0,0,29447.3851839414,27300.3971660217,1589.6196620229,1410.04175358591
"51","aldB","aldB",53,2242.40017503991,8.43243008306455,0.161026834515559,52.3666139773105,0,0,4503.11446694434,4440.93176532149,12.5020288010503,13.0524390927593
"52","alkB","alkB",1132,26.4083133434026,2.72064180460554,0.522489454371514,5.20707505547286,1.91840511923176e-07,4.00119654284999e-07,37.2928734322513,54.5672145077309,9.04402083480232,4.72914459882584
"53","allB","allB",589,69.8816046384664,3.28676550611437,0.315001128234841,10.4341388379537,1.73176842208913e-25,6.94177460874777e-25,102.555401938691,151.109209406024,13.5660312522035,12.2957759569472
"54","allC","allC",2197,30.8385724882609,-0.210481134661054,0.485909797369032,-0.433169151560038,0.664891888059689,0.714524236553904,23.308045895157,33.5798243124498,32.9840759857497,33.4823437596869
"55","allD","allD",2246,3.90243708509311,0.355741180439023,1.1680380253793,0.304563013112097,0.760698993668534,0.799648407859043,4.66160917903141,4.19747803905623,3.72400857903625,3.02665254324854
"56","allR","allR",5,4878.59426207647,4.64674320210918,0.0951437997404381,48.8391594069815,0,0,8894.35031359193,9872.46834786024,364.686840132764,382.87154672094
"57","alr","alr",1126,90.7341198221229,-2.14954853886565,0.410101234052634,-5.24150712160444,1.59270329020328e-07,3.33958478523085e-07,18.6464367161256,46.1722584296185,144.704333356837,153.41345078591
"58","alx","alx",1810,12.5049616548748,-1.40455563193419,0.877628395097966,-1.60039902967976,0.109510090243307,0.142847139814611,4.66160917903141,8.39495607811245,17.2900398312397,19.6732415311155
"59","amiA","amiA",2177,210.827466793669,-0.0963881225692069,0.2035054001865,-0.473639139211408,0.635757260154221,0.689491452101109,223.757240593508,184.689033718474,208.810481038818,226.053111823875
"60","amiB","amiB",1786,175.548112264359,-0.381921060712207,0.224829034662005,-1.69871770025773,0.0893723867525209,0.118145691558064,153.833102908036,151.109209406024,189.924437530849,207.325699212525
"61","amiC","amiC",1084,145.868718483377,-1.749725002326,0.318669765076369,-5.49071544928864,4.00308842377856e-08,8.7189038455177e-08,79.2473560435339,54.5672145077309,201.096463267958,248.563840114286
"62","amn","amn",1502,147.164149071716,-0.859352514583129,0.285493251978347,-3.01006243975359,0.00261193988464537,0.00410571908631673,121.201838654817,88.1470388201807,213.598492069008,165.709226742857
"63","ampE","ampE",1271,148.530591268872,1.05300314742654,0.242908243073062,4.33498317761829,1.45771269523452e-05,2.70783609240654e-05,247.065286488665,155.30668744508,88.8442046712934,102.90618647045
"64","ampG","ampG",1178,57.5805816049466,-3.85289057401336,0.783782052538521,-4.9157677973546,8.84351692265456e-07,1.77245699952355e-06,9.32321835806282,4.19747803905623,115.9762671757,100.825362846967
"65","ampH","ampH",1698,72.3446083529711,-0.703758305985653,0.349246314316618,-2.01507725962039,0.0438965545353824,0.0610363752991978,41.9544826112827,67.1596486248996,92.3022126375414,87.9620895381606
"66","amtB","amtB",1686,60.8577514538395,-0.802076028275489,0.381709517781288,-2.10127332673707,0.0356169798028391,0.049876446805755,46.6160917903141,41.9747803905623,75.0121728063016,79.8279608281802
"67","amyA","amyA",986,546.536848369989,0.83330059857971,0.133168398049092,6.25749510234789,3.91209937193658e-10,9.36761320196984e-10,699.241376854711,700.97883252239,409.108942468411,376.818241634443
"68","anmK","anmK",1478,166.444720507768,0.649176734030238,0.207866205060551,3.12305087708285,0.00178986804910615,0.00285918705273316,209.772413056413,197.281467835643,125.552289236079,133.172711902936
"69","ansA","ansA",1306,66.9556601296058,-1.84776623002554,0.445983346905342,-4.14312830926783,3.42600135913932e-05,6.1935598843246e-05,27.9696550741884,29.3823462733936,113.050260435029,97.4203787358123
"70","ansB","ansB",1418,40.1845595082568,1.31838104729202,0.386626614511055,3.40995937116046,0.000649725576868758,0.00108180683144368,60.6009193274083,54.5672145077309,21.5460496358526,24.0240545620353
"71","ansP","ansP",1958,56.9336194786237,-0.417882264743453,0.372487534573765,-1.12186912569204,0.261918089645351,0.315826664786861,51.2777009693455,46.1722584296185,65.9681519714993,64.3163665440314
"72","apaH","apaH",1518,115.180165922577,0.758270685005755,0.261321892473697,2.90167302030418,0.00371175743402817,0.00577302984304381,125.863447833848,163.701643523193,77.1401777086081,94.0153946246577
"73","aphA","aphA",1919,46.7938520167885,0.48130624732295,0.382769419779872,1.25743129532068,0.20859750290966,0.256643410302088,37.2928734322513,71.3571266639558,39.3680906926689,39.157317278278
"74","appA","appA",2037,24.8497369757318,0.440528768660072,0.505141377545215,0.872090048930194,0.383159254392798,0.444103583515658,27.9696550741884,29.3823462733936,20.4820471846994,21.5648993706458
"75","aqpZ","aqpZ",390,110.219544689011,3.57751310451396,0.251792371786006,14.2081870039909,8.15084729633136e-46,4.93439755554829e-45,209.772413056413,197.281467835643,17.556040444028,16.2682574199609
"76","araA","araA",258,137.80381865685,4.8473052119872,0.262255406734125,18.4831469152566,2.82229497920412e-76,2.58272807980656e-75,293.681378278979,239.256248226205,9.57602206037893,8.70162606183955
"77","araC","araC",123,669.758056016507,3.65543317181749,0.129474245769324,28.2328979798047,2.30849827719229e-175,4.43119059548862e-174,1156.07907639979,1326.40306034177,96.2922218293659,100.257865495108
"78","araD","araD",861,20.9681858507443,4.31491859282629,0.592968542882103,7.27680860076284,3.41809664480779e-13,9.37296884830567e-13,46.6160917903141,33.5798243124498,1.59600367672982,2.08082362348337
"79","araE","araE",698,109.367639901961,2.21108105304376,0.24351378265232,9.0799010592376,1.08673594149479e-19,3.67590767603037e-19,158.494712087068,201.478945874699,37.7720870159391,39.7248146301371
"80","araF","araF",70,750.715586459602,6.26565704506099,0.171315038122305,36.5738881637922,7.44030952007468e-293,2.50951011098519e-291,1566.30068415455,1397.76018700572,22.3440514742175,16.4574232039139
"81","araG","araG",80,591.275408339976,5.07533738209392,0.151446690525918,33.5123690353957,3.1832392487092e-246,9.39453483275303e-245,1114.12459378851,1183.68880701386,30.5900704706549,36.6981620868885
"82","araH","araH",119,486.350465136864,4.69668107954926,0.164294325470054,28.5869951144802,9.74942886385501e-180,1.93431945777829e-178,978.937927596596,894.062822318976,40.4320931438222,31.9690174880627
"83","araJ","araJ",1275,61.0680523096905,1.41811051273933,0.32888456342052,4.31187921375955,1.61872859442585e-05,2.99750447956034e-05,107.217011117722,71.3571266639558,30.3240698578666,35.3740015992173
