	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_HS1	CMCP6_YJ016ref_HS2
VV1_RS08875	4998	1885	4607	1541
VV1_RS08890	473	536	471	536
VV1_RS08895	1298	1017	1285	1012
VV1_RS08900	271	373	264	363
VV1_RS08905	3402	1029	3397	1019
VV1_RS08910	2166	3149	2134	3066
VV1_RS08920	1871	1412	1865	1405
VV1_RS08925	2822	2206	2835	2206
VV1_RS08930	1104	897	1103	896
VV1_RS08935	1586	2056	1570	2048
VV1_RS08940	108	231	105	239
VV1_RS08970	3273	3468	3320	3566
VV1_RS08980	6502	2571	6490	2563
VV1_RS08990	549	629	550	623
VV1_RS08995	6162	2254	6144	2233
VV1_RS09015	6136	6388	5750	5763
VV1_RS09025	1772	1273	1861	1417
VV1_RS09045	9887	13544	9821	13485
VV1_RS09055	836	475	818	459
VV1_RS09060	10014	2115	9999	2113
VV1_RS09095	6399	2150	6372	2144
VV1_RS09100	4688	4014	4654	3981
VV1_RS09105	88004	61144	88268	61017
VV1_RS09110	31717	61925	31683	61850
VV1_RS09135	3905	9998	3868	9875
VV1_RS09140	2222	1760	2215	1752
VV1_RS09145	1102	783	1092	754
VV1_RS09235	7102	7782	7206	7786
VV1_RS09250	10599	14687	12469	18203
VV1_RS09255	27341	37358	27120	36552
VV1_RS09260	2293	5276	2214	5050
VV1_RS09265	2454	5032	2452	5021
VV1_RS09270	4992	11963	4983	11944
VV1_RS09285	1151	2967	1149	2957
VV1_RS09290	648	1106	644	1103
VV1_RS09295	292	596	292	596
VV1_RS09310	874	1078	868	1067
VV1_RS09325	425	606	417	596
VV1_RS09330	2796	1558	2710	1507
VV1_RS09335	304	444	275	394
VV1_RS09340	478	1705	475	1682
VV1_RS09345	1958	3253	1956	3242
VV1_RS09365	12219	13838	12012	13579
VV1_RS09380	4242	1841	4242	1832
VV1_RS09385	7138	2567	7136	2568
VV1_RS09390	63	229	63	229
VV1_RS09410	3651	2010	3646	1992
VV1_RS09420	1575	1728	1565	1715
VV1_RS09435	1567	8483	1396	6759
VV1_RS09440	2307	1192	2306	1191
VV1_RS09455	2758	1350	2752	1326
VV1_RS09460	61845	9855	61726	9913
VV1_RS09465	7157	4350	7096	4315
VV1_RS09500	292	142	308	154
VV1_RS09505	1182	1146	1181	1142
VV1_RS09510	339	772	338	750
VV1_RS09515	226	202	220	202
VV1_RS09545	131	139	125	125
VV1_RS09565	707	356	700	355
VV1_RS09695	1888	1673	1882	1672
VV1_RS09705	8916	2061	8843	2016
VV1_RS09720	176	242	176	229
VV1_RS09725	188	574	184	565
VV1_RS09740	27009	19194	26189	18230
VV1_RS09745	8195	43294	8186	43184
VV1_RS09750	3972	13927	3902	13678
VV1_RS09760	4327	1555	4145	1428
VV1_RS09775	4517	2194	4501	2158
VV1_RS09785	5694	743	5121	708
VV1_RS09795	4992	1937	4823	1914
VV1_RS09800	3760	1717	3738	1686
VV1_RS09810	1287	963	1070	790
VV1_RS09815	499	568	511	573
VV1_RS09820	1094	1374	1042	1360
VV1_RS09830	5148	3470	5118	3378
VV1_RS09835	2511	1829	2508	1815
VV1_RS09850	650	658	650	658
VV1_RS09855	76	280	74	273
VV1_RS09860	1771	3886	1737	3710
VV1_RS09865	3514	7542	3502	7517
VV1_RS09870	16245	14745	16244	14737
VV1_RS09880	117	443	117	446
VV1_RS09890	624	246	619	245
VV1_RS09895	251	524	249	510
VV1_RS09900	369727	25453	369246	25425
VV1_RS09905	56613	7603	56082	7499
VV1_RS09915	4556	375	4257	374
VV1_RS09920	10943	657	11300	740
VV1_RS09925	864	94	861	92
VV1_RS09930	503	96	504	96
VV1_RS09940	4351	3447	4369	3470
VV1_RS09945	7733	2403	7709	2399
VV1_RS09960	88	317	88	317
VV1_RS09975	1376	2365	1374	2354
VV1_RS09980	1180	1565	1179	1563
VV1_RS09985	29566	10711	29519	10689
VV1_RS10010	1064	516	1442	794
VV1_RS10025	6600	4414	6452	4321
VV1_RS10050	569	834	531	745
VV1_RS10060	102	116	94	100
VV1_RS10070	1780	1359	1779	1359
VV1_RS10080	993	932	992	930
VV1_RS10085	1290	5465	1271	5413
VV1_RS10090	1967	1120	1980	1125
VV1_RS10095	2466	1281	2453	1273
VV1_RS10100	738	1098	736	1094
VV1_RS10110	895	271	899	274
VV1_RS10125	547	2409	518	2187
VV1_RS10130	959	2537	953	2506
VV1_RS10135	923	1684	923	1671
VV1_RS10140	498	355	492	313
VV1_RS10145	546	494	405	342
VV1_RS10150	898	728	871	716
VV1_RS10165	451	729	450	726
VV1_RS10180	11543	12198	11270	12041
VV1_RS10185	2440	3777	2423	3766
VV1_RS10205	3756	3327	3740	3308
VV1_RS10215	1424	1553	1423	1554
VV1_RS10230	4225	3566	4271	3582
VV1_RS10235	12949	4468	12917	4458
VV1_RS10240	267	400	252	381
VV1_RS10255	130	225	155	239
VV1_RS10265	9469	7919	9314	7844
VV1_RS10360	1407	530	1641	564
VV1_RS10365	207	317	227	325
VV1_RS10370	9204	1913	10257	2335
VV1_RS10375	213	273	176	165
VV1_RS10380	959	2976	931	2947
VV1_RS10390	1990	638	2003	647
VV1_RS10395	2070	1702	1962	1657
VV1_RS10400	274	489	214	429
VV1_RS10405	746	2123	741	2150
VV1_RS10410	693	967	644	871
VV1_RS10415	5715	42164	5619	41635
VV1_RS10420	432	3386	393	2829
VV1_RS10425	31	62	14	53
VV1_RS10435	401	460	374	433
VV1_RS10445	15614	2249	15344	2216
VV1_RS10450	46507	8286	46499	8282
VV1_RS10460	8499	880	8301	842
VV1_RS10465	1439	468	1409	397
VV1_RS10470	375	179	373	171
VV1_RS10480	328	951	328	947
VV1_RS10485	113	245	113	243
VV1_RS10490	639	344	625	339
VV1_RS10505	3110	3336	3113	3342
VV1_RS10520	221	283	217	282
VV1_RS10530	109	102	107	103
VV1_RS10535	1313	1756	1307	1752
VV1_RS10540	402	759	402	759
VV1_RS10550	202	453	194	451
VV1_RS10555	1301	1414	1285	1373
VV1_RS10560	75	152	69	130
VV1_RS10570	1241	15792	1006	12151
VV1_RS10575	43410	3079	43184	3050
VV1_RS10580	184	256	184	258
VV1_RS10610	322	7021	320	6977
VV1_RS10625	1120	3243	1120	3223
VV1_RS10630	229	2495	229	2490
VV1_RS10635	519	9274	513	9153
VV1_RS10640	605	783	605	779
VV1_RS10650	897	1262	896	1291
VV1_RS10665	5930	26615	5865	26448
VV1_RS10680	9693	2621	9693	2620
VV1_RS10685	4054	2852	4052	2847
VV1_RS10705	1918	5600	1885	5518
VV1_RS10710	1662	6340	1496	5087
VV1_RS10720	193	534	192	536
VV1_RS10725	9677	12752	9468	12416
VV1_RS10730	1254	1674	1244	1666
VV1_RS10735	2486	4518	2409	4239
VV1_RS10745	4029	2623	4010	2604
VV1_RS10750	1660	2051	1659	2046
VV1_RS10755	649	765	648	765
VV1_RS10760	407	289	405	288
VV1_RS10765	180	109	180	109
VV1_RS10770	1179	6392	1157	5894
VV1_RS10775	154	190	115	156
VV1_RS10780	511	228	513	233
VV1_RS10785	105	309	105	307
VV1_RS10790	1360	3472	1351	3424
VV1_RS10800	1030	1507	1081	1543
VV1_RS10825	13105	1514	13100	1515
VV1_RS10830	68	95	68	94
VV1_RS10835	217	1139	218	1139
VV1_RS10850	828	776	827	776
VV1_RS10870	89	196	89	195
VV1_RS10875	43	94	43	97
VV1_RS10885	846	582	844	581
VV1_RS10895	1046	2325	1042	2250
VV1_RS10900	3339	7100	3317	7019
VV1_RS10910	3035	2942	3018	2922
VV1_RS10920	194	2418	174	2282
VV1_RS10925	1354	12847	1332	12627
VV1_RS10930	908	12584	908	12588
VV1_RS10935	291	1080	281	923
VV1_RS10955	1724	1776	1343	1293
VV1_RS10980	462	224	460	223
VV1_RS10985	743	199	717	192
VV1_RS10995	261	140	261	141
VV1_RS11000	200	115	200	115
VV1_RS11005	107	32	106	32
VV1_RS11010	68	51	62	45
VV1_RS11015	72	11	72	11
VV1_RS11030	60	123	62	121
VV1_RS11040	89	167	89	161
VV1_RS11045	2339	4371	2319	4337
VV1_RS11070	76	147	76	147
VV1_RS11100	1144	1364	1116	1337
VV1_RS11105	4374	4123	4374	4083
VV1_RS11115	163	197	152	185
VV1_RS11130	1509	1593	1481	1570
VV1_RS11140	64	45	59	43
VV1_RS11145	3276	2685	3209	2466
VV1_RS11155	84	19	77	19
VV1_RS11160	126	202	126	196
VV1_RS11165	1602	7508	1599	7478
VV1_RS11180	4956	1593	4942	1591
VV1_RS11185	1931	1772	1918	1778
VV1_RS11190	2764	1841	2764	1841
VV1_RS11200	5990	41981	5978	41949
VV1_RS11205	1325	817	1325	817
VV1_RS11215	752	2848	719	2423
VV1_RS11225	1451	1377	1451	1377
VV1_RS11230	738	443	738	440
VV1_RS11235	210	264	210	264
VV1_RS11240	1570	3698	1574	3699
VV1_RS11245	25355	6071	25204	6021
VV1_RS11255	6321	19979	6293	19909
VV1_RS11260	171	245	171	240
VV1_RS11270	126	1686	102	1579
VV1_RS11275	110	882	110	862
VV1_RS11285	154	688	152	683
VV1_RS11290	730	791	730	791
VV1_RS11295	1041	1248	1040	1239
THRS	28215	11298	28137	11291
VV1_RS11320	408	702	409	702
VV1_RS11675	1057	2505	977	2183
VV1_RS11900	1583	2097	1822	2445
VV1_RS12160	2216	2377	2275	2985
VV1_RS12210	1887	634	1824	574
VV1_RS12215	2526	2452	2529	2446
VV1_RS12225	1048	14556	1048	14530
VV1_RS12230	298	2731	267	2535
VV1_RS12235	248	2031	248	2021
VV1_RS12255	390	303	388	297
VV1_RS12265	1932	26599	1878	25746
VV1_RS12275	519	7338	507	7310
VV1_RS12285	1184	7675	1104	6969
VV1_RS12290	942	2622	789	2055
VV1_RS12295	4443	3625	4444	3621
VV1_RS12300	4888	5665	4777	5231
VV1_RS12305	1319	4700	1288	4507
VV1_RS12310	151	371	148	363
VV1_RS12320	212	540	212	520
VV1_RS12330	3768	1522	3710	1499
VV1_RS12345	2626	3301	2344	2950
VV1_RS12350	611	926	610	912
VV1_RS12360	1434	1965	1419	1933
VV1_RS12365	152	156	151	156
VV1_RS12370	283	622	282	610
VV1_RS12395	3748	594	3652	589
VV1_RS12400	3984	2736	3934	2676
POTD	2322	1760	1249	1094
VV1_RS12430	331	696	331	697
VV1_RS12435	696	1157	693	1155
VV1_RS12440	236	550	234	548
VV1_RS12445	247	517	247	499
VV1_RS12450	15812	18627	14060	16989
VV1_RS12455	15333	22657	15326	22637
VV1_RS12460	229	460	227	458
VV1_RS12480	2271	4205	2268	4196
VV1_RS12490	7551	8178	7555	8173
VV1_RS12495	5218	7353	5213	7359
VV1_RS12505	2072	3440	2061	3423
VV1_RS12510	835	3460	835	3450
VV1_RS12515	1224	2942	1224	2931
VV1_RS12535	518	1366	518	1362
VV1_RS12555	1883	5998	1889	6024
VV1_RS12575	1142	2065	1129	2031
VV1_RS12590	940	326	851	280
VV1_RS12595	7893	6048	7500	5726
VV1_RS12600	3516	4779	3601	4839
VV1_RS12610	1789	3519	1781	3501
VV1_RS12615	545	1014	541	993
VV1_RS12620	1008	3075	1000	3047
VV1_RS12630	1677	3327	1643	3231
VV1_RS12635	1197	1348	1183	1344
VV1_RS12645	1058	710	1030	697
VV1_RS12660	263	548	264	545
VV1_RS12670	89	29	92	30
VV1_RS12675	213	133	208	128
VV1_RS12680	40	26	40	26
VV1_RS12685	975	253	974	253
VV1_RS12690	358	794	356	787
VV1_RS12695	1791	3608	1789	3595
VV1_RS12710	171	174	170	163
VV1_RS12720	87	96	86	94
VV1_RS12725	60	10	61	10
VV1_RS12730	743	850	737	826
VV1_RS12735	87	135	61	104
VV1_RS12750	275	93	275	93
VV1_RS12780	1756	4981	1263	4058
VV1_RS12785	825	1491	833	1491
VV1_RS12790	1665	2940	1543	2813
VV1_RS12795	655	711	655	703
VV1_RS12800	328	911	328	910
VV1_RS12815	638	1125	601	1038
VV1_RS12820	119	445	114	438
VV1_RS12825	142	447	137	436
VV1_RS12830	1453	2497	1443	2480
VV1_RS12835	21237	12533	17891	9447
VV1_RS12845	1042	363	1039	362
VV1_RS12855	1886	1316	1886	1315
VV1_RS12865	148	606	141	589
VV1_RS12880	1276	732	1265	692
VV1_RS12885	28411	14865	32680	16661
VV1_RS12890	1160	1025	1044	949
VV1_RS12895	1211	1475	1220	1476
VV1_RS12900	4901	4845	4888	4822
VV1_RS12925	15632	13468	15560	13242
VV1_RS12945	20526	11559	19775	11013
VV1_RS12950	40751	12013	40492	11940
VV1_RS12960	187	1245	187	1243
VV1_RS12965	173	138	169	138
VV1_RS12970	664	314	662	311
VV1_RS12975	1133	693	1123	687
VV1_RS12980	294	1069	287	1042
VV1_RS12985	422	848	422	839
VV1_RS12990	176	171	175	170
VV1_RS13025	362	1154	358	1138
VV1_RS13035	649	885	641	885
VV1_RS13045	105	32	101	32
VV1_RS13055	464	188	453	186
VV1_RS13070	56	40	56	41
VV1_RS13080	1222	3868	1221	3861
VV1_RS13095	8648	1546	8616	1529
VV1_RS13100	1250	3389	1240	3366
VV1_RS13105	22	35	22	35
VV1_RS13110	29	55	29	55
VV1_RS13115	131	134	111	118
VV1_RS13125	49	53	49	53
VV1_RS13130	1548	7520	1544	7490
VV1_RS13150	377	526	376	531
VV1_RS13165	1271	1260	1263	1258
VV1_RS13170	2050	2517	2043	2511
VV1_RS13180	250	208	245	210
VV1_RS13190	213	901	213	908
VV1_RS13195	464	4033	432	3545
VV1_RS13200	180	3124	175	3120
VV1_RS13205	558	160	557	155
VV1_RS13215	691	200	663	173
VV1_RS13220	81	342	50	270
VV1_RS13245	757	11364	751	11260
VV1_RS13250	954	1196	942	1182
VV1_RS13265	107	86	91	83
VV1_RS13270	380	479	371	457
VV1_RS13275	1741	7899	1624	7297
VV1_RS13280	15037	7844	14926	7794
VV1_RS13285	4490	3818	4490	3818
VV1_RS13305	328	2926	321	2826
VV1_RS13320	169	69	169	69
VV1_RS13340	1971	715	1969	713
VV1_RS13350	2787	3314	2771	3293
VV1_RS13355	663	846	658	841
VV1_RS13360	121	393	24	221
VV1_RS13365	1574	2282	1574	2273
VV1_RS13370	388	585	388	586
VV1_RS13380	125	219	126	219
VV1_RS13385	14068	5092	13964	5038
VV1_RS13390	177	483	176	477
VV1_RS13395	190	313	189	314
VV1_RS13400	23099	2016	22655	1938
VV1_RS13405	10920	4323	10819	4309
VV1_RS13430	2228	3199	2230	3193
VV1_RS13435	1290	927	1287	924
VV1_RS13445	705	1790	712	1869
VV1_RS13450	12152	24099	12159	24092
VV1_RS13455	4542	23087	4543	23079
VV1_RS13465	357	914	355	912
VV1_RS13470	7232	1605	7233	1603
VV1_RS13475	2980	26589	2803	24891
VV1_RS13480	261	3180	261	3162
VV1_RS13490	157	354	157	354
VV1_RS13495	583	706	583	705
VV1_RS13500	61	307	61	305
VV1_RS13505	1906	2368	1881	2300
VV1_RS13510	195	307	192	288
VV1_RS13515	153	74	158	82
VV1_RS13520	773	424	675	365
VV1_RS13525	158	435	156	435
VV1_RS13530	243	300	203	277
VV1_RS13540	5518	4429	4817	3523
VV1_RS13545	1271	1977	1306	2005
VV1_RS13555	125	151	125	150
VV1_RS13560	231	274	230	274
VV1_RS13565	1339	1308	1336	1285
VV1_RS13585	2551	2283	2123	2019
VV1_RS13590	143	280	152	270
VV1_RS13595	281	211	137	169
VV1_RS13600	46	199	53	204
VV1_RS13605	1026	369	1023	368
VV1_RS13610	150	237	139	223
VV1_RS13615	131	222	131	222
VV1_RS13620	57	60	49	53
VV1_RS13625	115	279	116	277
VV1_RS13630	1586	1772	1574	1767
VV1_RS13635	27090	2739	26945	2739
VV1_RS13645	4044	1608	4069	1629
VV1_RS13655	2875	3559	2867	3540
VV1_RS13665	7692	2970	7626	2888
VV1_RS13680	15094	12799	15088	12788
VV1_RS13685	5522	2124	5414	2084
VV1_RS13690	2165	6345	2175	6408
VV1_RS13695	195	1021	195	1009
VV1_RS13700	207	550	157	300
VV1_RS13705	228	620	216	568
VV1_RS13710	71	323	71	335
VV1_RS13725	1678	1032	1638	1004
VV1_RS13745	294	425	291	419
VV1_RS13755	4463	5868	4449	5856
VV1_RS13760	1728	3437	1865	3620
VV1_RS13770	589	2393	521	2350
VV1_RS13775	207	244	204	241
VV1_RS13780	1814	523	1789	525
VV1_RS13795	524	4188	484	3518
VV1_RS13825	230	410	230	407
VV1_RS13830	506	2190	506	2182
VV1_RS13840	426	341	379	308
VV1_RS13845	983	558	882	441
VV1_RS13850	3899	1679	3878	1675
VV1_RS13860	3459	1944	3447	1931
VV1_RS13865	5651	2911	5609	2829
VV1_RS13880	377	1500	328	1270
VV1_RS13890	2172	2582	2118	2541
VV1_RS13905	4082	4705	4117	4749
VV1_RS13910	3409	1370	3403	1367
VV1_RS13930	1230	3152	1201	3072
VV1_RS13935	481	1375	476	1368
VV1_RS13955	1284	27232	1290	27073
VV1_RS13965	4055	1297	4036	1294
VV1_RS13975	330	421	326	418
VV1_RS13985	50884	11788	50708	11751
VV1_RS13990	458	430	454	424
VV1_RS14010	10143	15462	10139	15448
VV1_RS14025	5715	7717	5467	6919
VV1_RS14030	584	594	591	562
VV1_RS14045	397	850	380	804
VV1_RS14050	332	694	326	682
VV1_RS14060	775	1592	663	1439
VV1_RS14065	358	240	351	239
VV1_RS14070	2220	971	2220	973
VV1_RS14075	332	598	316	546
VV1_RS14085	937	1328	1017	1550
VV1_RS14110	6778	3142	6630	2989
VV1_RS14115	1697	1929	1401	1727
VV1_RS14120	873	740	881	741
VV1_RS14125	199	1154	198	1133
VV1_RS14130	9662	11745	9642	11677
VV1_RS14155	1406	3202	1400	3185
VV1_RS14160	402	775	402	771
VV1_RS14165	679	473	649	444
VV1_RS14170	445	687	444	674
VV1_RS14180	6241	12060	6220	12018
VV1_RS14185	3565	16262	3584	16312
VV1_RS14190	4413	20045	4401	20029
VV1_RS14195	2223	8477	2103	8192
VV1_RS14205	12137	1700	12115	1698
VV1_RS14215	45059	47114	45032	47001
VV1_RS14220	341	339	341	339
VV1_RS14235	1632	1214	1637	1212
VV1_RS14240	1871	738	1779	706
VV1_RS14245	462	1034	462	1032
VV1_RS14260	494	580	494	579
VV1_RS14265	288	554	288	547
VV1_RS14270	350	572	350	572
VV1_RS14290	473	968	450	934
VV1_RS14295	5484	10813	5460	10713
VV1_RS14300	441	412	438	412
VV1_RS14310	1160	631	1159	630
VV1_RS14320	1887	3259	1887	3256
VV1_RS14325	3911	1747	3871	1715
VV1_RS14335	909017	5382	908711	5381
VV1_RS14355	230	3395	228	3387
VV1_RS14360	383	7643	385	7604
VV1_RS14365	267	3002	346	3731
VV1_RS14385	160	753	155	748
VV1_RS14390	3817	4979	3789	4931
VV1_RS14400	267	847	275	863
VV1_RS14405	893	517	897	520
VV1_RS14420	3260	4760	3244	4728
VV1_RS14425	8881	2400	8885	2396
VV1_RS14435	301	698	239	446
VV1_RS14440	1354	1241	1355	1241
VV1_RS14445	2413	2200	2745	2344
VV1_RS14495	356	955	353	952
VV1_RS14510	2313	4045	2304	3997
VV1_RS14515	2851	511	2845	508
VV1_RS14520	1625	1373	1604	1351
VV1_RS14525	1191	1481	1178	1447
VV1_RS14535	10615	3247	10618	3238
VV1_RS14555	4092	3702	4021	3628
VV1_RS14565	9214	1504	9199	1500
VV1_RS14595	2485	2330	2265	2219
VV1_RS14600	313	456	311	453
VV1_RS14610	574	1346	573	1346
VV1_RS14620	11562	8836	11663	9323
VV1_RS14650	1877	3457	1757	3106
VV1_RS14660	22975	33044	22636	31852
VV1_RS14665	9590	4257	9647	4473
VV1_RS14700	445	462	442	455
VV1_RS14705	539	455	539	460
VV1_RS14710	483	583	477	576
VV1_RS14725	5939	2024	5663	1854
VV1_RS14730	161	166	160	165
VV1_RS14735	234	180	234	180
VV1_RS14740	1573	763	1565	760
VV1_RS14760	243	6588	261	6605
VV1_RS14765	495064	63070	494850	63033
VV1_RS14770	233	673	232	677
VV1_RS14775	544	290	543	290
VV1_RS14785	17826	3576	17726	3545
VV1_RS14790	127	451	127	448
VV1_RS14795	495	1891	498	1880
VV1_RS14800	1861	8340	1856	8278
VV1_RS14805	2881	2013	2824	1966
VV1_RS14815	1391	2238	1328	2126
VV1_RS14825	138	543	139	535
VV1_RS14845	1329	1874	1326	1864
VV1_RS14850	3094	7601	3086	7583
VV1_RS14855	69	100	65	99
FADH	1352	6493	1313	5866
VV1_RS14875	6405	2549	6394	2527
VV1_RS14890	1795	3144	1794	3142
VV1_RS14900	52903	23895	52620	23825
VV1_RS14905	9695	950	9868	971
VV1_RS14910	831	809	830	806
VV1_RS14925	4207	10791	4204	10780
VV1_RS14935	4043	24112	3866	22819
VV1_RS14950	3894	844	3886	843
VV1_RS14965	3054	2995	3008	2787
VV1_RS14980	756	707	745	702
VV1_RS14985	1340	563	1337	558
VV1_RS15005	6539	4514	6482	4455
VV1_RS15015	687	1289	686	1285
VV1_RS15020	37	261	36	260
VV1_RS15035	2360	1413	2372	1413
VV1_RS15040	5573	1996	5224	1861
VV1_RS15055	676	1912	675	1909
VV1_RS15060	2589	452	2568	451
