"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_chemostat1","IAI1_chemostat2"
"1","aaeA","aaeA",2315,53.4255473531477,-0.0315698863939246,0.356336804146065,-0.0885956376849131,0.929403275076467,0.947646352048944,52.569264894893,55.5318101678666,50.7791467210022,54.8219676288291
"2","aaeB","aaeB",2063,43.0993843085969,0.184924481131052,0.398942842917833,0.463536279479361,0.642980016412132,0.735858370697549,34.7332643055543,46.0507694074991,43.4079802615019,48.2055232598325
"3","aaeR","aaeR",1239,91.2733832695601,-0.663186873688004,0.283710775330622,-2.3375455969734,0.019410832942851,0.0369886816610745,113.587161647894,111.063620335733,76.1687200815033,64.27403101311
"4","aapP","yhdZ",964,60.4249674619916,1.16163907223491,0.348305370187502,3.33511674427979,0.000852635953463813,0.00208825050428222,35.6720011786774,37.9241630414699,86.8159605230038,81.2877451048155
"5","aapQ","yhdX",1639,41.70084477677,0.5204754477567,0.402358467030003,1.29356156364392,0.195816906163584,0.282076702533388,32.8557905593081,35.2152942527934,52.4171837120023,46.3151105829763
"6","aas","aas",1566,828.69627132973,0.176617819487541,0.120801321322312,1.46205205004591,0.143726947079102,0.216691776534967,818.578553363334,735.457876125648,872.254697707538,888.493958122402
"7","aat","aat",1224,71.0888924943271,-0.814516988926802,0.342177955108946,-2.38039001860149,0.0172943227108535,0.0333593920917688,108.893477282278,73.1394572942633,59.7883501715026,42.5342852292639
"8","abgA","abgA",835,53.0383888469354,1.51977071837406,0.378798122779624,4.01208619309402,6.01845162284229e-05,0.000169970864611611,26.2846324474465,27.0886878867642,73.7116645950032,85.0685704585279
"9","abgB","abgB",1108,29.8740157283312,1.31766990283118,0.480811012030383,2.74051523334892,0.0061342938334669,0.0130713607769092,17.8360005893387,14.8987783377203,44.2269987570019,42.5342852292639
"10","abgR","abgR",522,160.827693092491,1.39327235816056,0.227396585912449,6.12705926331273,8.95181363170792e-10,4.04889501618054e-09,85.4250554542011,90.74710442066,231.78223422651,235.356378268594
"11","abgT","abgT",1956,17.3622756880453,0.395925026189839,0.587867336589467,0.673493833637385,0.500633170434477,0.604291879036708,15.9585268430925,13.5443439433821,22.932517874001,17.0137140917056
"12","abrB","abrB",1009,35.6702317313749,-1.39526993126442,0.44246502321454,-3.15340164320264,0.00161379600743637,0.0037761866933174,54.4467386411392,50.1140725905138,16.3803699100007,21.739745783846
"13","accA","accA",1082,3244.0536545289,-0.262267799768292,0.0919694016122718,-2.85168539938936,0.00434881175756871,0.0094806505628991,3577.52622347209,3498.50404057559,2808.41442106962,3091.76993299827
"14","accC","accC",1491,6708.97381757051,-0.155418991989551,0.0937030191713318,-1.6586337704378,0.0971896124934398,0.153899849159632,6950.40780860335,7190.69219954155,5891.20003813175,6803.59522400537
"15","accD","accD",963,4958.98066571733,-0.278970668372395,0.083634927506555,-3.33557613654332,0.000851228411004106,0.00208696809800695,5286.02733255612,5591.10517982813,4514.42994719619,4444.36020328887
"16","aceA","aceA",29,1869.56282832925,2.89378783399354,0.109075177811631,26.5302142251925,4.34516902860373e-155,3.53756692294255e-153,442.145067240975,440.191178159918,3151.58317068414,3444.33189723195
"17","aceE","aceE",487,19900.8852136137,-0.521891451632097,0.0809825945025489,-6.44448915026636,1.15990431190178e-10,5.62327326570861e-10,22720.2485401981,24214.5781019785,15830.8084995202,16837.905712758
"18","aceF","aceF",492,10833.0246734115,-0.518448699881505,0.0810106505739579,-6.39975973786549,1.55621637196346e-10,7.46794076058076e-10,12461.731990709,13062.1652989977,8640.64512752537,9167.55627641402
"19","aceK","aceK",216,253.022083663355,2.45265274835922,0.206814539153459,11.859189196265,1.92833365049496e-32,2.10777580963824e-31,82.6088448348319,70.4305885055869,411.966303236518,447.082598076485
"20","ackA","ackA",577,2631.05408096582,0.551034621547756,0.097473736472177,5.65315993303534,1.57524604736897e-08,6.44567750058604e-08,2160.97228192935,2104.79104880158,2949.28560229563,3309.16739083673
"21","acnA","acnA",132,2900.67756459318,1.5949688308663,0.0991912774035296,16.0797287081772,3.53925437705222e-58,6.33043907895476e-57,1385.57562472968,1496.65000574372,4128.67223581568,4591.81239208365
"22","acnB","acnB",74,27342.4139462805,1.87777449926683,0.0922672442013175,20.3514748437671,4.50514316438799e-92,1.4373841906919e-90,12576.25788923,10765.0445662001,42063.9709103863,43964.3824193056
"23","acrA","acrA",471,3431.37986937667,-0.610225887003752,0.0923796903072405,-6.60562819570227,3.95835199619202e-11,1.98421848471536e-10,4028.11992257118,4267.8227765597,2593.01255675311,2836.56422162269
"24","acrB","acrB",477,6596.68141133584,-0.546379528391345,0.0830178112505171,-6.58147354358179,4.65808403863016e-11,2.30560511849179e-10,7876.94110237584,7787.9977674447,5169.64474359622,5552.14203192659
"25","acrD","acrD",1286,142.606055837972,0.510525890917578,0.233349041776963,2.18782081567553,0.0286826570113492,0.0526592171102608,115.46463539414,119.190226701762,158.070569631507,177.69879162448
"26","acrE","acrE",2237,13.6179889020536,0.142076696235783,0.667374835552188,0.212888902408537,0.831413618573028,0.877500023894018,8.4486318581078,17.6076471263967,18.0184069010008,10.397269722709
"27","acrF","acrF",2205,186.776921773873,-0.053885036460923,0.204420349939648,-0.263599179224728,0.792088791047918,0.848127725924777,185.869900878372,195.038552784702,187.555235469508,178.643997962909
"28","acrR","acrR",1813,341.260608217035,-0.151561895607943,0.160833235117372,-0.942354330542045,0.34601126069493,0.450597124379884,345.455169309297,373.823892837346,330.064453686514,315.698917034981
"29","acs","acs",9,10062.0611292165,4.35495073240879,0.0920688753448847,47.3010093377963,0,0,961.266558078043,900.698872234909,18346.0142992008,20040.2647873523
"30","actP","actP",8,3322.28973161624,5.32302203352046,0.120561373616625,44.1519690248987,0,0,163.340215923418,155.759955348894,6435.84733763928,6534.21141755337
"31","ada","ada",1207,82.9312661343321,0.719292489207878,0.297303420769703,2.41938854031907,0.0155466243914627,0.0304105883912539,64.7728442454932,59.5951133508812,108.110441406005,99.2466655349492
