	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2
mngA	15	2	24	33
cydA	4231	3587	12265	11184
cydB	2581	2160	7694	7219
tolQ	1298	927	1022	891
tolA	2152	1428	1935	1734
tolB	8869	6433	9056	8126
ybgF	3869	2686	3364	3014
nadA	1475	863	928	839
pnuC	782	488	585	564
zitB	211	130	200	192
aroG	8700	6027	2604	2485
gpmA	8103	5576	7614	7320
galM	3012	2282	3530	3329
galK	684	559	1099	1193
galT	349	213	500	479
galE	379	242	376	392
modF	1791	1253	1250	1117
modE	286	182	336	309
modA	270	202	629	466
modB	148	107	274	240
modC	262	178	533	415
ybhA	298	226	271	225
pgl	644	450	560	477
